character,line
Skye,"The secret is out. For decades, your organization stayed in the shadows. Hiding the truth. But now we know — they're among us. Heroes... and monsters. The world is full of wonders."
Mike,"Thanks, Bernie."
Bernie,You bet.
Mike,"Ace, come and get it. What do you say we go out to your Aunt Mindy's this weekend? You and Kisha can swim in the pond."
Ace,Sure.
Mike,"You know, you got a birthday coming up in a couple of months. Who's your favorite?"
Ace,I'm okay.
Mike,"Hey. Things are tight right now, but I'm gonna find something. Not back at the factory, but I got prospects. You and me... what are we?"
Ace,We're a team.
Mike,"That's right. So, who do you..."
Mike,"Are you okay? All right, Ace, look at me. I need you to stay here with Bernie, okay? People might be hurt, and I'm gonna see if they need my help. Stay with Bernie. Watch my boy!"
Debbie,Help me! Help me!!
Mike,Aah!
Debbie,Help me! Help me!
Skye,We can't explain everything we see. But our eyes are open. So what now? There are no more shadows for you to hide in. Something impossible just happened. What are you going to do about it?
Dumont,"Agent Ward, there's been a development. It's the Rising Tide. They've pinned down the location of the package. We need to abort."
Ward,I'm five minutes away from retrieving it.
Dumont,So is everyone else. They posted the coordinates online.
Ward,If the job was easy...
Dumont,"Yeah, it wouldn't be any fun. Watch your six."
Dumont,"Red tie, by the window."
Ward,Your fireplace is broken.
Dumont,"Ward, just a heads-up. We've got possible hostiles in your vicinity."
Ward,Really?
Hill,"What does “S.H.I.E.L.D.” stand for, Agent Ward?"
Ward,"Strategic Homeland Intervention, Enforcement and Logistics Division."
Hill,And what does that mean to you?
Ward,"It means someone really wanted our initials to spell out “SHIELD.” It means we're the line... between the world and the much weirder world. We protect people from news they aren't ready to hear. And when we can't do that, we keep them safe. Something turns up... like this Chitauri neural link... we get to it before someone bad does."
Hill,Any idea who Vanchat was planning to sell it to?
Ward,I'm more interested in how this Rising Tide group found out about it. I thought they were just hackers. What changed?
Hill,"A little while ago, most people went to bed thinking that the craziest thing in the world was a billionaire in a flying metal suit. Then aliens invaded New York and were beaten back by, among others, a giant green monster, a costumed hero from the ‘40s, and a god."
Ward,I don't think Thor's technically a god.
