character,line
Coulson,"Yeah, we're all good. It's gonna be blue skies from here on out."
Coulson,Aah! Aaaaah!
Simmons,Coulson! Hang on!
Skye,"Hey, no joy rides, okay? That's my house. Where do they think of this stuff?"
Ward,Skye? Girl's not qualified to be a S.H.I.E.L.D. agent.
Coulson,"Agreed. That's why I've invited her on as a consultant. S.H.I.E.L.D. does it all the time. Technically, Stark's a consultant."
Ward,"And technically, Skye's a member of the Rising Tide. She hacked our RSA implementation..."
Coulson,Twice. From a laptop. Imagine what she'll do with our resources.
Ward,I am. That's exactly what I'm imagining during this frown. You brought me on for risk assessment. She's a risk. She doesn't think like us.
Coulson,Exactly.
Simmons,"Oh, Agent Coulson told us the news. What a wonderful surprise. Isn't it, Fitz?"
Fitz,Yeah.
Simmons,"No, it's wonderful."
Fitz,"Yeah, a surprise."
Simmons,You must be very excited.
Skye,"Yep, first day of school."
Simmons,"Okay, so... just... sorry. Yeah."
May,We have two kids on this bus who aren't cleared for combat. You're adding a third.
Ward,"At least Fitz-Simmons are trained S.H.I.E.L.D. scientists. But Skye? You said this was a select team. Assembled to work new cases, to protect people. I don't see how letting some hacker tag along..."
Coulson,I'm looking for an objection I haven't already anticipated. I'm calling this. But your frown will be on record.
Ward,We've been called in to investigate an 0-8-4. We all know what that means.
Coulson,"Yes, we do. It means we don't know what that means."
Fitz,"Officially, it's an airborne mobile command station. But we call it the Bus. We find it best to use shorthand when in the field. But everything has to be just so, you know, because of the danger."
Skye,"Yeah, I've been up here before, but I didn't see much because of the bag that Agent Ward put over my head."
Simmons,"Yes, so sorry about that. Water?"
May,Wheels up in two. Lock it or lose it.
Skye,What's that mean?
Simmons,No backing out now. Let's find a bunk for our guest.
Fitz,"Oh, oh, yeah, there's only one left, and it's right next to mine. Sorry. You can..."
Skye,Hey. I know we didn't really...
Ward,Might want to read that. This isn't like other planes.
Skye,You can say that again.
Coulson,Say what again?
Skye,Sweet ride.
Coulson,I earned a little goodwill from Director Fury when I got hit right before the battle of New York.
Skye,You took a bullet?
Coulson,"-Ish. An Asgardian stabbed me through the heart with a Chitauri scepter. The effect was similar. Got a few weeks' R&R and this plane. Had it completely refurbished. Studs up, spared no expense."
Skye,"Yeah, Agent Ward told me they sent you to Tahiti."
Coulson,It's a magical place.
Skye,You mentioned that.
