character,line
Mack,♪ High and low I've traveled ♪ ♪ Far and wide I'd go ♪ ♪ From the desert tracks to the mountainside ♪ ♪ I'll bring you this traveling show ♪
Man,"Big boy, this is little boy. How'd things go down at the chicken coop?"
Mack,"Weigh-station inspector needs to learn some adult words and a bit of hygiene, but he waved us through. The cargo is secure. Looks like a clean shot from here."
Man,"Roger that. Little girl will take point on your front door. See you at the drop stop, Mack. I'm clear."
Mack,Son of a bitch. You see that?
Man,"Little girl is down. Repeat, escort two is down."
Mack,"I know, Sherlock. What the hell hit us?"
Mack,"We need to go to alt two, alt two."
Man,Nothing over our shoulder. Back door's clear. Protect the cargo at all costs.
Mack,"S.H.I.E.L.D. region CT, this is Agent Mack. We are under attack from an unseen I-don't-know-what."
Woman,"Agent Mack, advise nature of threat, over."
Mack,"What in the holy name of... S.H.I.E.L.D. region CT ... oh, hell, I can't explain. Oh no!"
Hall,Are we there yet?
Ward,You know you're late.
Skye,"I'm tired from the morning's workout. I thought I was joining S.H.I.E.L.D., not 24 hour fitness."
Ward,"It's called relative strength training, starting with the basics. And next time, you do 15 push-ups for every minute you're late."
Skye,"Fine, Mr. Fun machine. Better than pull-ups. I don't ever want to do another pull-up again."
Ward,"You find yourself hanging off the edge of a building 20 stories up, you're gonna want to do at least one. Stand here. Jab cross, like this. 10 minutes. You know the hardest part about boxing?"
Skye,Getting punched in the face?
Ward,Keeping your hands up.
Skye,Why do I even have to do this? I'm sure Fitz-Simmons' supervising officer didn't make them do this muscle stuff.
Ward,"You said you wanted to be a field Agent, like Coulson. Well, if you'd like to switch disciplines... Hey, Simmons. What did your S.O. give you guys for morning drills?"
Simmons,"Oh, atomistic attribute drills. Yeah, we'd name the mechanical, chemical, thermal..."
Fitz,Electrical properties of materials.
Skye,"Okay, okay. They made your point."
Ward,There will come a moment when you have to commit to this or bail. Every field Agent has a defining moment. Ask Coulson. When you have to make the hard call to either dedicate yourself to this or to curl up in a ball and run.
Skye,How can you run if you're curled up in a ball?
Ward,It's my job as your S.O. to make sure you don't die before then. Come on.
Skye,"So what was yours, Agent Ward?"
Ward,10 minutes.
Skye,"Your defining moment? Come on, tell me. I want to know. I could get Coulson to give you some of that truth serum. You could spill your little heart out to me again."
Ward,"You mean my level one overshare that miraculously got you to cooperate? I hate to tell you this, rookie, but we don't have a truth serum."
May,"Changing course, briefing in three."
Fitz,"Ah, looks like we're on the move."
May,S.H.I.E.L.D. 616 with new orders. Set for Colorado air field North.
Coulson,"A few minutes ago, a S.H.I.E.L.D. transport was attacked while carrying a priority red protected asset off route 76 near Sterling."
Simmons,Priority red?
Coulson,"The asset was Canadian physicist Dr. Franklin Hall, known for his work..."
Simmons,"Oh, no, not Frank."
Fitz,Dr. Hall? He was our chemical kinetics adviser our second year.
Simmons,"Yeah, he's so enthusiastic about science, we just adored him. We can rescue him, can't we?"
Coulson,He's one of ours. We're gonna try.
Ward,And the attackers?
Coulson,Invisible.
Skye,"Wait, invisible? Cool. But terrible."
Skye,Dr. Hall was an asset?
