character,line
Raina,How did you do that?
Chan,A magician never reveals his secrets.
Raina,Then I'll have to pierce your shell and gaze within?
Chan,You understood? Chan Ho Yin.
Raina,Raina. I would love to see that fire trick again.
Chan,I don't think that's a good idea.
Raina,Of course not. It's a great idea.
Chan,I am sorry for the clutter. I'm in between places.
Raina,How long have you been here?
Chan,Six years. Beer?
Raina,You seem to have an appreciation for the greats.
Chan,I idolized him for many years.
Raina,And now?
Chan,"There's no real magic there, just tricks."
Raina,And what you do... those aren't tricks? Show me.
Chan,I'm sorry. I really shouldn't.
Raina,Says who? What are you afraid of?
Chan,It's not me who's afraid.
Raina,That can't be real.
Chan,See for yourself.
Raina,How long have you been able to...
Chan,First time was a few years ago. A dish towel caught fire in my hands. I almost burned down my entire apartment.
Raina,And it doesn't hurt?
Chan,Not even a little.
Raina,You have a gift. I've never seen anything like it. Why not show the world?
Chan,"I ask that same question every day. There are people who... Never mind. It's just, for years, I did illusions, tricks, like the rest. And then this happens. It's real... real magic. If I believed in such things, I would say it was a miracle, that this happened for a reason."
Raina,I believe you've been chosen.
Chan,You do?
Raina,Close your eyes... and I'll show you. That'll do.
Ward,Every decision you make from here on out has consequences. So be warned. The kiddie gloves are off.
Ward,Hit.
Skye,"Yes! Ha! So, explain to me again what this has to do with my training."
Ward,It's important for every S.O. to evaluate their student's thought process.
Skye,Mm-hmm.
Ward,And I like board games. B10.
Skye,"Nope. This isn't thinking. This is stabbing in the dark, but it's nice to take a break from the workouts."
Ward,"Well. You deserve a break. I got to give Coulson credit. I would have never pegged an Ex-Rising Tide hacker as a good fit, but... you're picking things up pretty fast."
Skye,Did you just give me a compliment?
Ward,"I... no, I made a comment."
Skye,A kind one. Did it physically hurt to do that? Do you need an ice pack? Wow! A compliment and a smile!
Ward,Comment.
Skye,"I don't want to ruin the moment, but I'm gonna have to respond with... G4. Say it, Ward. Say it."
Ward,You sank my battleship.
Skye,Yes!
Ward,"All right, best 2 out of 3."
Skye,I beat you.
Ward,Best 2 out of 3.
Skye,Best I just won out of nothing.
Coulson,She's fitting in nicely.
May,Gloating?
Coulson,A little.
May,You were up early this morning. Heard you puttering around even before I started Tai Chi. Having trouble sleeping?
Coulson,"No, I feel great. Just have a little extra energy to burn."
May,"If you want, I could lay out the mats downstairs. We could go a few rounds, like the old days? Saved by the bell."
Coulson,"Chan Ho Yin. Just a struggling street performer until a few years ago, when Mr. Chan began to exhibit moderate pyrokinetic abilities."
Fitz,So what gave him powers?
Coulson,"It's still under investigation, but Chan did live near the decommissioned Wan Tai nuclear plant when it caught fire. To our knowledge, no other nearby residents have exhibited similar traits."
Simmons,So how did we find out about him?
May,Informant saw him lighting torches in a street show... with his pinkie.
Coulson,Brought it to S.H.I.E.L.D.'s attention. We told him to keep his abilities under wraps. He's been on the Index ever since.
Skye,The Index?
Simmons,It's a list S.H.I.E.L.D. keeps of people and objects with powers.
Skye,Wait. What? How many are there? Are you saying there are more people...
May,Not many.
Skye,"Well, enough to keep a list."
Coulson,"A short list, meant to protect them."
Ward,"Though, in rare cases, S.H.I.E.L.D. has had to take action."
Skye,"Action against objects or people? Well, that's drastic with a side of creepy. How are they monitored... Tapped phones, satellite surveillance, body probes in dark, unpleasant places?"
Fitz,"Body probes? Now, that's ridiculous. S.H.I.E.L.D. doesn't do that. We don't do that. Do we?"
Coulson,The methods vary. Mr. Chan was low-risk. He was assigned a case agent who checked in with him every few days. That's how we discovered him missing.
May,"Everyone, this is agent Kwan, Chan Ho Yin's case agent. What can you tell us?"
Kwan,"Not much, I'm afraid. Chan is a magician, so at first, I thought he'd made himself disappeared."
Coulson,The file says you'd caught him violating his Index agreement before.
Kwan,"On two separate occasions... claimed we were “hampering his artistic expression.” But late last night, he was taken by professionals. The only thing they left behind was this scrap of aluminized material."
Simmons,Fireproof clothing.
Ward,So whoever took him knew about his power.
Kwan,"Yes, and we think we know why. Over the last few days, tech division discovered a crack into our data stream. It's the same cyber punks who hacked us before. Somehow, they got in again. It's the Rising Tide. Heads turn. Hello? It got real quiet. You guys still there?"
Skye,The Rising Tide is a huge organization of hacktivists from all around the world. Any of them could have done this! It wasn't me.
Ward,No one's saying it was.
Skye,But you're thinking it. I can see your faces thinking it.
Coulson,We're assessing the situation.
Skye,Then I'm sure you're taking into account that I have been living on a plane with you this whole time. It would be impossible for me to hack S.H.I.E.L.D.
Coulson,Or easier. We're gonna need more than that.
Skye,"Fine. Let me trace the hack, and I'll prove it."
Ward,"I believe her, sir. And if she's telling the truth, we need to track down the person responsible."
Coulson,"Dig up something, and fast. The longer Mr. Chan's missing, the more danger he's in."
Raina,"Good morning, Chan."
Chan,What the hell?
Raina,I apologize for last night. It was important I bring you in under the radar.
Chan,Oh. S.H.I.E.L.D. Tell Agent Kwan I don't need to be read the power protocols again. It was just a street performance... it's not like I set anyone on fire.
Raina,I don't work for S.H.I.E.L.D. I come as a friend.
Chan,"English isn't my first language, but that word means something different than you think."
