character,line
Justin,"Thing is, no one exactly knows what happened to the crying man that summer. Some say that he drowned in the lake, but others say that they've seen his ghost, wandering these woods, in search for his lost sister."
Cross,"Actually, they say if you're quiet and listen real hard... you can still hear him crying."
Justin,"Mr. Cross, that was, like, the worst crying man ever."
Cross,Really? I thought it was pretty good.
Boy,Nah.
Justin,"You guys think we're kidding. Just remember to stick close to the campfire tonight, okay?"
Cross,"Hey, guys. Do you hear that?"
Justin,Hear what?
Cross,That humming sound. Stay here. I'm gonna take a look around the campground.
Justin,"He's just trying to scare us. So lame. No one really believes him. Come on, guys. Grab a s'more. Well, that's for you."
Justin,"Now, I know... Tommy, I know you like chocolates. Here. Don't hog the marshmallows, okay?"
Boy,Mm-hmm.
Justin,"Go, go! Go!"
Justin,"Mr. Cross? Mr. Cross! Come on, guys. Let's go look for him."
Boy,Whoa. Is he nuts?
Justin,"Stay close.Mr. Cross, are you okay?"
Boy,Mr. Cross! We should just go back.
Simmons,"Working up a good sweat there, sir?"
Coulson,I don't sweat. I glisten.
Simmons,"Blood pressure, heart rate, biochems... all normal. All that's left is the blood sample."
Coulson,You should know... I'm not a fan of getting poked.
Simmons,"Tell me, sir, have you been feeling under the weather lately?"
Coulson,Why?
Simmons,I just noticed from your chart that you're not due for a general physical for another three months.
Coulson,"I made a mistake. Took a call from my physical therapist. Asked how I was feeling. I said, “a little rusty.” Next thing you know, I'm wired to this hamster wheel."
Simmons,"Well, you can officially tell your physical therapist that you're fit as the proverbial fiddle, especially for a man of your age."
Coulson,A man of my age? That's something you say to an old person.
Simmons,"Is it? Well, let's get you some electrolytes, shall we?"
Ward,"Sorry, Fitz. It's close, but it's just not right."
Fitz,Really? ‘Cause agent Coulson had no problems.
Ward,It's an ounce too heavy.
Skye,An ounce? Seriously?
Ward,"It's the difference between success and failure. When you're on a rooftop with a 15-mile-an-hour wind, your target is 500 yards away..."
Fitz,"Yeah, but we do have a rifle."
Ward,Lose the ounce.
Fitz,"Yeah, okay. On it. “Lose the ounce.” I'm Agent Grant Ward, and I can shoot the legs off a flea from 500 yards, as long as it's not windy."
Fitz,Hey. That's a sound I haven't heard in a bit.
Skye,"Yeah, well, you wouldn't be laughing a whole lot if you were living in Ward's doghouse."
Fitz,"You made the rounds, apologized to us all. What more can he ask?"
Skye,"I don't know. I have been busting my ass, memorizing every S.H.I.E.L.D. protocol manual, following every order. “Yes, sir.” “No, sir.” I even let them tag me like a stray dog. I mean, I know I lied to you guys, but I was trying to protect my boyfriend."
Fitz,"You know, we all make mistakes. And who ca... I don't care... who cares about your ex-boyfriend?"
Skye,"It's not like I'm comparing Ward to Miles, but at least with Miles, I didn't have to worry about passive-aggressive stuff. There was no mind games."
Fitz,Mmm.
Skye,"We spoke the same language, you know?"
Fitz,"Yeah. Yeah, a bit like we do."
Skye,"Totally. You and Simmons are so tight, it's like you're psychically linked."
