character,line
Coulson,"I don't mean to alarm you, but I think you may have a mold problem. That sink with the standing water seems especially concerning. A soldier punches Coulson in the face."
Coulson,Looking forward to it.
Coulson,You have the intel on you? They know.
Interrogator,They know?
Coulson,"We have three minutes, Agent Shaw."
Ward,"Time to go, agents."
Coulson,Exit?
May,Follow me.
Coulson,I was wondering what you guys had been up to.
Ward,All right.
Shaw,"Um, where are the dogs?"
Coulson,Don't be ridiculous.
Coulson,I bet you're usually the one holding something like this. Don't worry. She knows what she's doing.
Simmons,"Whatever you do, don't breathe. That was a joke. You should, of course, feel comfortable breathing if you need to, just not through your nose. And very minimally through your mouth."
Simmons,Ah. There we are.
Coulson,That's all the intel you recovered?
Shaw,Ah. I certainly hope so.
Coulson,"Well, thank you, Agent Shaw, for keeping it safe up there. We'll push this through to the Hub. In fact, we're headed there now to drop you off. Get you a change of clothes, a proper meal ... you'll be good as new."
Simmons,The Hub? Really? How exciting. It's been ages.
Fitz,Ah. Good. Done with that paranasal extraction nonsense. Do you need me to analyze the data?
Coulson,That won't be necessary.
Skye,"If it's encrypted, I can mine the chip for him."
Coulson,I'm afraid this mission's classified. Clearance level 8.
Skye,Uh...
Skye,Wait. What? He can just shut us out of the process like that?
Fitz,"Well, he did say the mission is level 8."
Simmons,"And we're not, so we can't know about it."
Skye,"Right, but this is normally the part where we all stand around the holocom and we learn about stuff. I mean, aren't we all on the same team?"
Fitz,No need to get started on one of your socialist riffs.
Simmons,S.H.I.E.L.D.'s whole infrastructure is based on the hierarchy and compartmentalization of intelligence.
Ward,Every agent can't have the intel on every mission. Makes the entire organization vulnerable.
Skye,"Okay, fine, but if I just fought my way out of an underground Siberian prison, I'd kind of want to know what for."
May,"Coulson's got you used to the plane, the way we do missions here. The Hub is different."
Skye,The Hub? What's the Hub?
Skye,Wow. Didn't realize Big Brother was this big.
Simmons,"Oh, this is nothing. Wait until you see the Triskelion."
Skye,"Everyone's wearing the same suit. Someone tell me why, please."
Skye,Do I get one?
Coulson,"That's your badge, which means you've got a long way to go to even make level 1."
Skye,Copy that. Does that also mean no access to any computers here whatsoever? I could run a search on the redacted S.H.I.E.L.D. file on my parents.
Coulson,Skye.
Skye,"But it just... It seems like the place they'd keep them, right?"
Coulson,"I'll look into it. But right now, we've got more pressing matters at hand."
Coulson,Agent Sitwell.
Sitwell,Agent Coulson. Good to see you feeling better. Agent Hand's waiting for you in the situation room.
Coulson,And she doesn't like to wait.
Sitwell,So you know her?
Coulson,Only her reputation. After you.
Sitwell,Your level 7s can join us in the briefing.
Computer,Say cheese.
Simmons,Victoria Hand...
