character,line
Simmons,"In ancient times, people believed the heavens were filled with gods and monsters and magical worlds. Then, as time passed, those beliefs faded into myth and folklore. But now we know the stories were true. Other worlds, with names like Asgard, do exist. And beings once revered as gods, like Thor, have returned, leaving us with more questions and... an enormous mess to clean up."
Ward,Don't say I never gave you anything.
Fitz,Checking for alien spectrographic signatures one teeny rock at a time.
Ward,Necessary precaution. We don't want anything alien getting in the wrong hands.
Fitz,"Still, this is definitely the type of work a monkey could easily do."
Ward,You're our little monkey.
Simmons,Don't give me that look. I'll talk to them when I talk to them.
Ward,Talk to who?
Simmons,"Mum and Dad. They want explanations and answers for... well, all this. But I don't have any answers. And, more importantly, I haven't talked to them since I was ill. And if they knew that, they'd be even more terrified. So, you know... why waste any of our time, really?"
Skye,"You guys may think it's old news, but it's new... news to everybody else. So, Asgardians are aliens from another planet that visited us thousands of years ago?"
Coulson,Or more.
Skye,"And because we couldn't understand aliens, we thought they were gods?"
Coulson,That's where our Norse mythology comes from.
Skye,"That's too crazy. Do you think other deities are aliens, too? Vishnu for sure, right?"
Coulson,"You know, it'd be nice if, for once, Thor and his people sent down the god of cleaning up after yourself. They probably have a magic broom for this kind of thing."
Skye,I just wish they'd left their alien ship behind.
May,"So we can clean that up, too?"
Skye,"So we could go inside, take a peek under the hood, maybe take it for a spin. Come on, you're telling me piloting an alien ship isn't on your bucket list?"
Coulson,I can't think of a single time when anything alien in human hands ended well.
Skye,Wouldn't mind getting my human hands on Thor. He's so dreamy.
Coulson,"Sure, he's handsome, but..."
May,No. He's dreamy.
Simmons,"Fitz, is that, um..."
Fitz,Definitely not from here. Another piece of the ship. What are you doing?
Ward,Out of sight... out of mind. That's why we're here. Keep everything under control.
Larsen,"Baby, look."
Nystrom,"“South of the water, North of the hill... a halo of stones ...”"
Larsen,"“protect the tree still.” Jakob, is this it?"
Nystrom,"Finally, after all this time."
Larsen,I can't wait to tell the others.
Nystrom,I told you it was real... and that I would find it. Are you ready?
Nystrom,"What you're feeling, don't fight it. That rage, it's already inside of you. Don't be afraid of it. Don't hide from its power. Embrace it. Embrace it!"
Ward,"I can climb it if you want. Just talk me through what to do with the... doodads. Yeah, it's only about 15 feet."
Simmons,I'll be fine. I'm... I'm just a bit more wary about the height thing since falling to certain death.
Ward,"You're afraid. Hmm? Shaken up? It's normal. But some feelings will take over if you dwell on them. Especially fear. Now, keep your eyes ahead. Focus on what you like to do best."
Simmons,Yep. Not falling.
Ward,"No, research. You're a scientist. You like to figure things out."
Simmons,Yes. With my doodads.
Ward,"I'm curious. Whatever was up in these trees had to be there for centuries, right?"
Simmons,"At least a millennium. Radiocarbon-14 dates some of these trees at 9,000 years old."
Ward,That sounds impossible. Think the tree grew around it?
Simmons,I'd have to check the dendrochronology first to know for certain.
Ward,Uh-huh.
