character,line
Po,That seat is taken.
Guard,"Perimeter breach, quad four! Three guys just crashed the prison! Security breach! Security breach!"
Centipede Soldier,Time to go.
Po,Sir.
Centipede Soldier,Excuse me?
Po,"Time to go, sir."
Centipede Soldier,"It's time to go, sir!"
Coulson,Mission briefing in 5.
Skye,Okay.
Coulson,Katherine Shane?
Skye,Do you know her?
Coulson,"We ran a few ops together in the ‘90s. Smart, resourceful. Had a soft spot for Truffaut movies."
Skye,"Easy there, charm school. According to these files, Agent Shane could be my mom."
Coulson,"Even if Shane was the agent who dropped you off at the orphanage, it doesn't mean she's your mother."
Skye,"I started looking into all the female agents active when I was born. Mm-hmm. Needle, haystack, I know. But then I factored in age and marital status, and then I built a program to narrow down the field."
Coulson,You're still looking at a long road.
Skye,"Well, it would be a lot shorter if I could access more files. Maybe you could remove my internet nanny? I'm talking about my tracking bracelet."
Coulson,I got that.
Skye,So you'll take it off.
Coulson,No. But I asked May to look into S.H.I.E.L.D.'s more restricted files.
Skye,I was kind of hoping to keep this private.
Coulson,Agent May specializes in private. Let's go.
Ward,Nice feint.
May,I read your file. I know you favor your left.
Ward,That's in there? What else?
May,Nothing that's news. You don't play well with others.
Ward,I think I've proven that I can... more than once.
May,Not here.
Coulson,Towel down. I need you both in the command center in 5.
Coulson,"At 0800 hours, three men infiltrated the Havenworth federal penitentiary."
Skye,Infiltrated? More like cannonballed.
Coulson,"They were in and out in less then two minutes. Left no prints at the scene, but we do have one lead."
Ward,Centipede.
Coulson,Seems they salvaged some of their research from Hong Kong.
Simmons,So we were right. Chan's platelets solved their combustion problem. Now they can create super soldiers with no fear of explosion.
Fitz,Maybe don't get so excited about it.
Coulson,"Two of Centipede's labs have been destroyed, but they keep popping back up. Now they have at least three of these guys, maybe more."
May,Who did they break out?
Coulson,"Edison Po, former Marine, expert in tactics and rapid response. He fell off the grid in ‘08, reappeared 18 months ago at a diner in Boston."
Ward,Where he stabbed a friend's eyes out.
Coulson,"With a steak knife, then finished his meal."
Skye,That's funny. Po doesn't look crazy. I'm kidding. The guy is a walking mug shot.
Coulson,"Which means he shouldn't be too hard to track down. Finding Po and these Centipede soldiers is a top priority for S.H.I.E.L.D. We'll be running point, but we won't be working alone."
Ward,What team did H.Q. send for backup?
Coulson,"Not a team... a person, someone who can help us fight fire with fire."
Skye,Somebody we worked with before?
Coulson,Not exactly.
Mike,Did I beat Captain America's time?
Trainer,Not even close.
Coulson,Excuse me.
Mike,Agent Coulson?
Coulson,"Mr. Peterson, if you could put that bulldozer back where you found it... we need you to suit up."
May,This is a bad idea.
Coulson,"While I have you in a good mood, you should know that Skye's trying to I.D. the agent that dropped her off at the orphanage. We agreed to protect her from the truth, so I told her you were looking into it. She may come to you."
May,One mistake at a time.
Mike,"Agent Coulson, Agent May."
Coulson,"Last time you saw her, you threw her into a brick wall."
Mike,"Right. First time around, I wasn't who I wanted to be, but now I get it. Having all this... it's a privilege. And training to be an agent, working with S.H.I.E.L.D., it's me trying to do better, trying to be better. I just need you to give me a shot."
Coulson,Everyone deserves a second chance. But let me be clear... there will not be a third.
Mike,"Understood, sir."
Coulson,Good.
Ward,It's not good. At all. The guy was a ticking time bomb... literally.
Fitz,H.Q. wouldn't have sent him if he was still combustible. They must have found a way to stabilize him somehow.
Ward,They stabilize his attitude? 'Cause he was pretty hostile in Union Station.
Simmons,"Well, it's not like we haven't opened up our doors to other people... people with questionable track records."
Skye,"Not cool, but true. And don't worry about Mike. He's a good guy."
Simmons,Who's been in the Centipede program.
Skye,Exactly. He can give us some superpower backup.
Simmons,Yeah.
Ward,"Just saying, this could easily go sideways. I mean, the last time we saw this guy, he was a raging homicidal maniac... He's standing right behind me, isn't he?"
Skye,Mm-hmm.
Coulson,"Mr. Peterson, this is Agent Grant Ward. He's the man who shot you at Union Station. Fitz-Simmons designed the weapon he used, and I think you remember..."
Skye,Kidnap victim.
Mike,You joined S.H.I.E.L.D.?
Skye,"Yeah. Turns out, guys in suits ... not so bad."
Mike,"Look, I know Union Station could have gone another way. Another team might not have let me out of there alive. I owe you... all off you."
Skye,That's bygones and water under a distant bridge far away. How's your son?
Mike,"Still with my sister. He thinks I'm working construction, but he's good, happy."
Coulson,"So, what do we have?"
Skye,Not much on Po. I checked his previously known addresses and old military contacts... came up empty.
Coulson,We've been looking for where Po might be on the outside. Let's look at his life on the inside... at the prison. See if that gets us any leads. Anything on the Centipede soldiers?
Simmons,We found a facial recog match on one of them.
Ward,"Name's Brian Hayward. Stationed in Afghanistan for three years, then fell of the radar when he got back."
Skye,"Only living relative... sister, Laura, Sophomore at the University of Ohio."
Coulson,She's our best shot at finding Hayward. You and I will go talk to her. Have May set a course for Cleveland.
Coulson,"With all the high-tech gadgets and gizmos at our disposal, it's easy to forget about the simple tools of the past. What can I do for you?"
Mike,"I'm just curious about what you want me to do, where you need me."
Coulson,"Here, on the plane."
Mike,"But shouldn't I be out in the field? I mean, that's why you brought me here, right?"
Coulson,You'll get your chance. Right now I need you to go down to the lab for some tests.
Mike,I'm stable. They already tested me at Sci-Ops.
Coulson,"I know. I also know that using your powers takes a toll. I need to understand your limits, for your sake as well as my team's. The lab's downstairs."
Mike,I have to put away four times what I used to just to keep my energy up.
Simmons,"Uh, and after you use your strength?"
Mike,Maybe 10 times the food? And I usually crash afterwards. It's really hard on my body.
Simmons,Hard body. Got it.
Fitz,You do know we have equipment that can take measurements. No need to do it manually.
Simmons,"My mistake. Well, no matter. I'll send the numbers to you straight away."
Fitz,"I need measurements to build you a diagnostic suit so we can monitor your vitals in the field. As for fabrics, how does a polymer blend with 10 layers of treated composite material sound?"
Mike,Sounds great?
Fitz,"Yeah, it does, doesn't it? Uh... Sorry. I'm sorry. I was... I was just looking at it, and..."
Mike,"Oh, no, it's okay. I'm used to it. They tried to take it off me at the Sci-Ops facility. Realized they couldn't do it without killing me."
Simmons,I'm afraid we're terribly curious. How did they stabilize the Extremis in you?
Fitz,And keep you from exploding?
Simmons,Yeah.
Mike,"Oh, that wasn't them. That was you two."
Fitz,Come again?
Simmons,What's that?
Mike,"Your gun. It somehow froze me right at the moment I was about to explode, helped my body absorb the serum, stabilize. Your weapon saved my life."
Simmons,Well...
Mike,"All that, and it didn't even leave a scar, so..."
Simmons,"Well, I..."
Fitz,"Well, I should think not."
Simmons,"Yeah, we couldn't have that, could we? It would be a shame, especially when you're so, well, formed and symmetrical. And wh... when did you stop talking?"
Fitz,About three embarrassing sentences ago.
Simmons,"Yes, right."
Ward,“Psychology of women: Unraveling the female psyche.”
Coulson,That's an actual book?
Ward,It's a whole course. Hayward's sister's in there now.
Coulson,We'll be at the school in 10. We'll catch her on her way out.
Ward,Whole class... on women.
Coulson,"Time was, you just had to figure them out. Solving the puzzle was half the fun."
Ward,You solve a lot of puzzles in your day?
Coulson,A few. Some more worth it than others. One was... especially rewarding.
Ward,What happened?
Coulson,I died.
Ward,"Oh. I guess she wasn't level 7, sir?"
Coulson,"She was a cellist, second chair, Portland symphony. Saw her play whenever I was in town. Ever see a beautiful woman play the cello? It's something else. She laughed at my jokes, too, which was a very nice bonus."
Ward,You know where she is now?
Coulson,Of course I do.
Ward,"I'm sorry, sir."
Coulson,"I was gone for months. The Avengers thought I was dead, so I had to keep that up... S.H.I.E.L.D. protocol. It's probably better this way."
Ward,Maybe if she'd been part of the agency...
Coulson,"In my experience, that's just asking for trouble."
Skye,"Hey. Coulson told me you were helping to, you know, find my long-lost folks, so thanks. I'm glad you're in on this with me. It means a lot. Right, I can tell you're really into this. Um, I've done a lot of the heavy lifting already, came up with a short list. I thought you might..."
May,"We're on a mission, Skye. Is this why you called me here?"
Skye,"No. I was just working on this while I waited for you. Uh, I called 'cause I found something about Po."
May,Show me.
