character,line
Vanchat,"100% premium-grade Chitauri metal, as rare as it gets."
Deville,"How'd you get your hands on this, Vanchat?"
Vanchat,"It's what I do ... Find alien scrap that no one else can, then offer it to people who fully appreciate my efforts."
Deville,"Mm, I appreciate the hell out of them. You can name your price. Is that a roomba? Aah!"
May,"Fitz-Simmons, he's heading your way."
Simmons,We've never done anything like this before. Are you sure?
Fitz,"It's time, Simmons. Embrace the change."
Ward,"Skye, you're up."
Skye,Here. Let me get that for you.
Hand,Mr. Vanchat. We were hoping you could help us find a friend.
Simmons,Impressive. You actually managed to reopen all your stitches.
Ward,Just hope Vanchat can lead us to Centipede.
Simmons,"Well, the Chitauri metal he was selling is an exact match to what Centipede used for their device."
Ward,"We find Centipede, we find Coulson."
Fitz,"Don't ask questions, Agent Kob. Just get me the five-millimeter injector. That's an order."
Kob,Yes sir.
Fitz,"Honestly, how many agents do they think they can cram on this plane?"
Ward,It's only gonna get more crowded. We're set to pick up more men when Agent Hand dumps Vanchat off at the fridge.
Simmons,"Honestly, I think it's good they're here. We need fresh eyes. It's been 36 hours since Agent Coulson was taken, and none of us have gotten any rest."
Fitz,"Oh, joy. Agent Hand is giving another briefing."
Hand,"The burnt remains recovered at the site are believed to be those of Agent trainee Michael Peterson. Other physical evidence has proven scarce. Nothing relating to Mr. Po, his Centipede associates, or their location has been found."
Ward,Any progress with Vanchat?
Hand,"Nothing actionable, Agent Ward, but I have my best interrogator in there right now. Vanchat will talk, and rest assured, when he does, not a single stone will be left unturned until we take down Centipede."
Simmons,And find Agent Coulson.
Fitz,And get Coulson back.
Hand,We have a security breach. Someone's hacking the system.
Skye,Just in time. Can you override this?
Hand,What do you think you're doing?
Skye,"The money trail's our key to finding Coulson. I just need to gain access to Vanchat's financials, and from there, I should be able to trace Centipede's payments and then hack into their account."
Hand,You're the consultant... the one who shot Agent Sitwell.
Skye,"Technically, that wasn't me..."
Hand,I want you off this plane immediately.
Ward,What?
Skye,"Wait. I know I'm not some badass field agent like May or Ward, but this is what I do. You can't just kick me off this mission. Listen, I will do whatever you say. All this protocol crap doesn't matter to me. All that matters to me is Coulson."
Hand,"Well, “all this protocol crap” matters to me. You're a distraction, and you're gone."
Ward,"Agent Hand, I know Skye's methods are unorthodox, but she's a member of this team. She can help."
Hand,"Agent May, your professional opinion... Will this girl be of any use to us on this plane?"
Hand,"Increase her restriction level. Confiscate her laptop and phone, then have her delivered to debrief."
Ward,I'll do it. I'm her S.O.
Skye,"It's clear that May has an axe to grind with me, but that was way out of line."
Ward,No one knows what's in May's head except May. Don't worry. Coulson will make this right when he gets back.
Skye,"I can find him, Ward."
Ward,"I believe you. I've seen firsthand what you can do, even without S.H.I.E.L.D. resources."
Fitz,"Hang on, hang on."
Simmons,We have something for you.
Skye,You made me a sandwich?
Simmons,"Yes, it is that."
Fitz,It's a satellite phone... damper resistant. You get one shot before your bracelet shuts it down.
Simmons,So only call in case of emergency.
Skye,What do I even need this for? I'm gonna be spending the next three days in a S.H.I.E.L.D. broom closet getting debriefed.
Ward,That's right. A few agents are coming here to pick you up for debriefing... in exactly 12 minutes. Good luck.
Skye,Don't touch Lola.
Karine,Can you feel that?
Coulson,Don't stop.
Waiter,Listen to him. Who ordered this?
Po,It seems you passed out. Now maybe you're ready to share what memories you're seeing.
Coulson,I saw... Jordan... hitting that game-winner over Russell in the ‘98 finals. So clutch.
Po,"Agent Coulson, we're gonna turn the machine back on and open your mind. It's time to stop fighting it. If you don't, you won't survive the process."
