character,line
Callie,I completely blew the question on Von Neumann's entropy. Freaking thermodynamics.
Seth,"Test's over, Callie. Just let it go."
Callie,"Yeah, that's easy for you to say. You probably aced it."
Seth,What you need is a little distraction.
Callie,This will distract me just fine.
Seth,"Well, suit yourself. Whoo! Come on, Callie! Live a little!"
Girl,What are you waiting for?
Seth,"Callie, relax!"
Girl,"Guess, we've earned this."
Seth,"Come on, have some fun, Callie."
Girl,"Come on, take it on!"
Callie,Guys... get out.
Seth,They can't bust us for coming in here!
Callie,Get out now!
Seth,No! Get it off me! Aah!
Girl,"Seth, pull!"
Seth,I'm trying! Aah! Aah! My leg! Get it off me! Aah!
Simmons,"There is nothing more unsettling, being a part of something so horrible, completely unaware. The Cadet could have died."
Fitz,We drew up those concepts years ago. We didn't know they'd be applied in that way.
Skye,Is this the device they found in the frozen pool? Correction... the instantly frozen indoor pool.
Ward,"It seems like it was planted in the filter days before, like someone was waiting for those specific Cadets."
Fitz,"Well, as far as they can tell, the device uses a crystalline nucleation process she designed."
Simmons,And a delivery mechanism he invented. That's why we're being asked to consult on the investigation.
Skye,So we're going to the Academy?
Ward,Science and technology division. Cadets are pretty shaken up over what happened. Agent Weaver asked if you two could speak to the student body about potentiality to calm them down.
Simmons,Of course. The talk. We've all heard the talk.
Skye,I haven't.
Ward,I guess you will.
Skye,"Well, I've heard a lot about the Academy. I'm excited to finally see it."
Ward,"Me, too. Never been to Sci-Tech before."
Skye,Never? Huh. The different S.H.I.E.L.D. academies don't interact?
Ward,"Not much. Academy of communications does, but they're the biggest and focused on data analysis."
Fitz,Boring.
Simmons,It's the easiest to get into.
Fitz,"That's where you'd be, Skye."
Skye,Thanks.
Ward,Operations is the most aggressive program. More people wash out of operations than the other academies.
Skye,"So which one's the hardest to get into? I'm picking up on the rivalry between sciences and operations. Are you and Coulson past all that, or you gonna help Ward steal their mascot?"
May,"We're not going. After we drop you off, Coulson and I have other matters to attend to."
Skye,Coulson hasn't come out of his office in awhile. Do you think he's all right?
Ward,"We saw him at a low. It's not easy for anybody. But Coulson's tough as they come. He'll be good. Just give him time. And while he takes that time, it's on us to figure out what's going on at the Academy."
Simmons,This was the SSR facility before S.H.I.E.L.D. was even founded. “SSR” stands for...
Skye,"Strategic scientific reserve. Yeah, I know. Is this where you got all your PHDs?"
Simmons,"Oh, no, you need at least one to get through the door."
Fitz,"Is science and technology what you imagined, Agent Ward?"
Ward,"Yep... no uniforms, no rope course, no defined muscularity on anyone."
Fitz,"No marching in place, no I.Q.s in double digits."
Weaver,There they are. So good to see you.
Simmons,You look as lovely as ever.
Fitz,I concur.
Weaver,"Thank you. Agent Ward. Pleasure to have you, sir."
Ward,Agent Weaver. There's a list of suspects?
Weaver,"Based on the level of intelligence it would take to put a device together like the one we found, we've narrowed it down to the top 10% of our Cadets. I'm worried there's a bad seed."
Ward,"Ops and sciences have differences, but both have to be careful about what we call “bad seeds,” people who want to use the tools we give them for..."
Skye,"“Bad seed” isn't a S.H.I.E.L.D. term, Ward, just a term."
Ward,"I know you've already questioned the victim, but I have a few questions I'd like to ask him myself."
Weaver,"I'll arrange for you to talk to Seth Dormer when he's out of class. Now, if you'll excuse me, I'd like to get Agents Fitz and Simmons settled into the lecture hall."
Skye,Look at them... the popular kids. Who knew?
Ward,"I did. Come on. While we have a minute, I think there's something you'll want to see."
Skye,The Wall of valor.
Ward,So you've read about it?
Skye,Every S.H.I.E.L.D. facility has a memorial to the agents lost in the line of duty. S.H.I.E.L.D.'s history can be traced on walls like this. Huh. “Bucky” Barnes.
Ward,Puts it in perspective... what we do.
Skye,"Must make you guys proud... all this history. Just wish I was a part of it. It's not self-pity, really. I'm just saying everyone here has earned this. They deserve it. I hacked my way in... feels like I cheated."
Ward,All you need to join is a dedication to the greater good. Coulson saw that in you the moment he met you.
May,You have got to put that away.
Coulson,How can I? You read it.
May,And you haven't stopped reading it.
Coulson,I just can't get my head around it. I remember what happened... the pain... but I also remember Tahiti. It's...
May,What's in that file... it's the truth.
Coulson,Says who?
May,Director Fury.
Coulson,"If I hadn't asked, he'd have kept it from me, kept me from knowing."
May,"And now that you know, you feel better? Put it away."
Coulson,You want to tell me why we're flying to Mexico City?
May,"To get your head working on something else. I've been looking into Skye's past, like you asked, into the agent who dropped her off at the orphanage."
Coulson,Agent Avery. She was killed.
May,But her partner wasn't. He disappeared.
Coulson,Richard Lumley.
May,"Went off-grid 23 years ago, day after Avery was crossed off."
Coulson,He's resurfaced?
May,"A few days ago, a Mexican teenager posted a selfie on his facebook page, managed to capture our guy leaving a grocery store in the background."
