character,line
Jimmy,"I got to grab something real quick. I'll be right back, my love."
Rooster,"Get a look at that. H-hey, darlin', gal like you could have any man you want. Why did you marry that little dude? He loaded?"
Lorelei,He's not my husband. I took him from his bride earlier today. I needed him to provide safe passage.
Rooster,"You in trouble? ‘Cause if you need a place to lay low for awhile, this is as good as any."
Lorelei,Oh! What kind of beast is that?
Rooster,"It's a 1987 heritage softail. You can hop on mine, you want to feel a roar."
Lorelei,How grand. What is your name?
Rooster,"My men, they call me Rooster."
Lorelei,You have men? You are their leader?
Rooster,"Last time I checked, yeah."
Lorelei,You and your men now serve me.
Jimmy,This guy bothering you?
Lorelei,No. He's with me now.
Jimmy,"What? No! I'm with you! You said we'd be together forever, remember?"
Lorelei,I said we'd be together till the end. It is the end.
Jimmy,Aagh!
Rooster,Who are you?
Lorelei,I'm Lorelei. Now... introduce me to all of my men.
Simmons,No! What did I say?
Skye,Damn it. Every time. It's like you have a sensor for whenever my butt lifts off the bed.
Simmons,Back in it.
Skye,I just want to stretch my legs.
Simmons,Now.
Skye,Look! There's color in my cheeks. Breathing without... feeling like my whole body's on fire. I'm good.
Simmons,"“Good” is not the appropriate word to describe your state. You've been shot twice, had your stomach perforated, and a breathing tube shoved down your throat. “Better” is the more accurate word."
Skye,Again with the blood drive? I'm not gonna have anything left. Not sure how I feel about Dr. Simmons. She's so strict. Ow. And pokey.
Simmons,"Well, patient Skye is unruly and stubborn."
Skye,And grateful. I hope you know that.
Simmons,I didn't do it alone.
Skye,"Still, I'm the most... “grateful-est-est” patient alive."
Simmons,That's not even a word.
Ward,Hey. This a bad time?
Skye,It is if you're here to bust me out. The Warden has extended house arrest.
Simmons,Awful accent.
Skye,I must look terrible! Simmons won't even bring me a mirror.
Ward,I've seen worse.
Skye,Wow. Thanks.
Ward,"No, I mean, you look better than when you were dying."
Skye,"Swinging and a-missing, Ward."
Ward,It's great to see you... better.
Skye,It was so stupid to go in there alone.
Ward,"Hey. There's no point in doing that now. You were brave. Thanks to you, every S.H.I.E.L.D. agent in the country knows Mike Peterson's alive."
Skye,You tell them about his magic leg?
Ward,"I didn't call it that, but yes. Agent Garrett's running point on Mike. Thinks he's part of some project called Deathlok."
Skye,He looked like death. You should have... He wouldn't even look at me. They did something to him. He needs help.
Ward,"He's past help. He was there with you, Skye... could have protected you. He let this happen to you. And I'll never forgive that."
Skye,"Well, I-I need to better protect myself, so... when Simmons gives the all-clear, we'll start training?"
Ward,We'll ease you back into it.
Skye,"No. I want to train harder. Next time, I don't want to depend on some miracle drug to save me."
Simmons,She's beginning to get suspicious of all the blood I'm taking.
Fitz,No wonder. How many samples have you tested each day?
