character,line
Garrett,"Tower, this is S.H.I.E.L.D. Echo-3. I got a pair of UAVs on my six. These friendlies? Over. They're gonna hit my jet wash, they get any closer. What is that?"
Coulson,Drop the weapon.
May,Coulson...
Coulson,"Drop the damn weapon and kick it over to the stairs, May, now! Now! Now back the hell up! Over there! Talk. Tell us where you rerouted the plane."
May,I didn't set this new course. I swear!
Coulson,Don't lie to me!
Fitz,"Yeah, well, the plane just turned around, for god's sake!"
Skye,"How is this happening, then?"
May,"H.Q. can override automated control of the avionics, take us anywhere they want. Let me check the instrument panel, and I'll be able..."
Fitz,No way!
Coulson,You're not going anywhere till you explain what...
May,It's not me!
Coulson,Why did you have an encrypted hard line?
Fitz,And try to shoot me when we found it?
May,"Let's take a breath, huh?"
Coulson,Let's not!
May,It was a dedicated channel... to Director Fury. That's the truth.
Coulson,Director Fury? I haven't been able to get him on the line for weeks.
Skye,You were reporting to him?
May,That's all I can tell you.
Fitz,"Oh, just come out with it!"
Coulson,That's all you can tell us?!
May,I'm under orders! Fury will tell you.
Fitz,What... was this an order? To shoot me in the bloody head?
Coulson,Hold on. We're not headed to Fury anymore.
May,I don't know where we're headed. And I can't get Fury on the line because Fitz cut the line!
Fitz,Skye told me to!
Skye,"Someone was talking to the Clairvoyant, the real Clairvoyant."
May,"You were in the walls, Fitz. You want to explain why you were tampering with the plane's sat cable?"
Fitz,"Sure, because that's relevant! Don't try and turn this around on me!"
Coulson,Fitz.
Fitz,I was trying to speak to Simmons at the Hub.
Coulson,And you needed an encrypted line? What's so secret that you...
Fitz,"Well, you tell me! Simmons and I know you two have been whispering, keeping things from us, about the drug that saved your life. Simmons is just trying to figure out how the whole thing works!"
May,Fitz. Who is she talking to?
Coulson,"Fitz, open the door."
Fitz,"No way, not until we sort this out. I'm not opening anything."
Coulson,"Open the door. We can't get anything sorted until you open the damn door! Skye, get your laptop hooked up to our systems. See if you can pull up any S.H.I.E.L.D. communications. I want to know where this plane is headed and why."
May,Coulson...
Coulson,"You stay put! Now tell me who Simmons is talking to. ‘Cause if it isn't someone we trust, she's in serious danger."
Triplett,Agent Simmons. I was wondering where you snuck off to. You busy?
Simmons,"Yes, but that's okay."
Triplett,It's noisy here today. A lot of guys in action mode.
Simmons,I asked around. Guess it's a level eight operation of some sort.
Simmons,I was surprised to have this room to myself.
Triplett,"So, what are you working on? Wow. Coulson's team is awfully secretive, even for this organization. Are you hiding something, agent?"
Simmons,No. It's just nothing important.
Triplett,"I hope not. Because I remember us tracking down a drug that brought a girl back from the brink, and that was real important."
Simmons,Yes. I know.
Triplett,"Come to think of it, I don't remember seeing it in the dispatches, or you mentioning it when Agent Blake got his ribs caved in."
Simmons,I wasn't in a positi...
Triplett,"‘Cause if you had the means and you didn't use them, that blood is all over your hands, too."
Simmons,"I know. I'm trying. Look. Men died to keep this secret. We don't understand why, so we wanted to keep our research in-house for safety."
Triplett,Research?
Simmons,That's hit a dead end. I'm uploading Skye's blood scans. I would like to contact Agent Weaver at S.H.I.E.L.D. academy covertly.
Triplett,For a little help.
Simmons,"But we must keep this between us. Please, I don't want any... trouble."
Triplett,You're level five? My level-six clearance gives me access to the holobox... secure line.
Simmons,"But we can't sneak that in here, can we?"
Triplett,"Agent Hand seems to be keeping everyone busy. We'll be good. But, hey, we get questioned, let me talk. You're a surprisingly bad liar, Agent Simmons."
Simmons,I know. But I'm getting better at it.
Coulson,"What do you mean, “noise?”"
Skye,I mean literally noise across every S.H.I.E.L.D. communication channel. Some sort of blanket signal.
Fitz,"Encoded data, maybe."
Skye,I think so.
Coulson,"You want to fill us in? We root you out, a mole, suddenly our plane shuts down, our communications jammed."
May,I don't know what's happening. I wish I did. You have to believe me.
Coulson,"No, I don't."
Garrett,"Do you read? Do you read, 6-1-6?"
Fitz,Where's that coming from?
Skye,Close.
Garrett,Enemy aircraft on my tail. Over.
Coulson,Garrett?
Garrett,"Coulson, I'm under attack. Drones. Repeat, S.H.I.E.L.D. drones are on my ass. We're not getting along. Do you copy?"
Coulson,"Copy. Garrett, what's happening? We've lost control of our aircraft."
Garrett,Hell if I know. Tell me you got guns on that thing. I'm coming to you.
May,Ohh!
Coulson,"Fitz, can you manually wire the guns to weapons control, bypass our system?"
Fitz,"If I have cables long enough, yeah."
Coulson,"Skye, decode the signal. We need to get ahead of this. I don't want any more surprises today."
Ward,What happened?
Coulson,She's a sleeper. I mean the other kind of sleeper.
Ward,Wait. What are you saying?
Coulson,She's been reporting on us this whole time.
Fitz,"Controls are live, sir."
Coulson,"Garrett, what's your 20?"
Garrett,I'll be on top of you in seconds at your 10:00. Guns hot?
Coulson,Warming up.
Fitz,"He needs to pull up, sir. Hey. Hey! Garrett, pull up!"
Coulson,He knows what he's doing.
Coulson,Damn it.
Garrett,That's Joanie. Any thoughts on chachi? Now it knows you're here.
Coulson,"Want to roll over, play dead?"
Garrett,"Okay, Phil, but you better make it quick. I'm running on fumes. I'll pull up even of your six. Better not miss."
Coulson,Copy that.
Garrett,"Ready when you are, boss."
Coulson,That means... I better not miss. Boo-yah.
Barbour,The drones are down. Agent Garrett's alive and docking with S.H.I.E.L.D. 6-1-6.
Jacobson,"I suggest we send more men, shoot that airplane out of the sky."
Hand,"No. We couldn't seize automated control of Garrett's jet, so I wrote it off as a loss. But now that he's with Coulson, we can cross him off with the rest when they land. Preserve the aircraft. You got something to say, Agent Shaw?"
Shaw,"Apologies, ma'am. I'm just having a hard time killing the people we once called friends."
Hand,"Once that encoded transmission went out, everything changed. You understand that, don't you? We swore allegiance to each other. And today, that loyalty will be tested. If you waver... you die."
Skye,It's a simple message repeated. Semantic encoding. I needed to find the mnemonic key. It should only take me a minute more to decipher.
Garrett,Can I ask the obvious question? What the hell?!
Coulson,We don't know. We don't even know where our plane is headed.
Garrett,"Oh, I saw your trajectory. You're being tractor-beamed straight to the Hub. Those drones were launched out of there for sure."
Coulson,Victoria Hand.
Fitz,Hand? Can't be.
Garrett,"It can't be what, now?"
Skye,The Clairvoyant.
Garrett,I thought Ward capped that guy.
Coulson,I don't believe the man Ward killed was the Clairvoyant. I think he was an unwitting decoy meant to end our investigation.
Garrett,"That's a lot of trouble to go through for a red herring, don't you think?"
Coulson,"Because the Clairvoyant is a S.H.I.E.L.D. agent using high-level clearance to stay ahead of us, make it seem like she's got psychic abilities."
Garrett,"“She?” You think Victoria Hand's the Clairvoyant? I don't mean to pee in the punch bowl, but that doesn't make a lot of sense. I was stationed with Vic in Lisbon. She's a hard-ass and a buzzkill at parties, I grant you, but do you really think she's capable of that?"
Coulson,Excuse me. Didn't she just try to blow you out of the sky?
Garrett,"Don't get me wrong... she's definitely gone nuts, but her actions prove she's not the Clairvoyant, right? I mean, if she's been hiding in plain sight all this time, why reveal herself now?"
Skye,Guys.
Coulson,"“Out of the shadows, into the light.”"
Garrett,"Well, I'll be."
Fitz,I thought Hydra was defeated after World War II.
Coulson,It was. S.H.I.E.L.D. was founded in the wake of that victory.
Fitz,And now they're back?
Garrett,Hydra always comes back.
Coulson,"Cut off a head, two more will take its place."
Garrett,Is it a head? I thought it was a limb.
Fitz,"No, no, no. “Cut off a head.”"
Coulson,It's a head.
Skye,But it was sent from a S.H.I.E.L.D. source. It's got to be some sort of activation signal to Hydra members within S.H.I.E.L.D.
Coulson,Hand must be one of them.
Fitz,"Okay, stop. Stop. W-what does that mean? In S.H.I.E.L.D.?"
Garrett,"Targeting level-eight agents, seizing power. Wonder how deep it goes."
Skye,The signal's everywhere. Deep.
Coulson,You know what this means?
Garrett,Yeah. We're screwed.
Coulson,"We can't change course, and we have no idea what's waiting for us at the Hub."
Fitz,The Hub.
Garrett,"I say we blow a hole in the side of this puppy and parachute out, live to fight another day."
Coulson,We can't.
Garrett,"It's a cherry ride, I'll give you that, but let's not just hand over the keys."
Fitz,Simmons is at the Hub. We have to save her.
Garrett,"Oh, crap. Yeah. Trip's there, too. I don't mind saying I don't like the odds on this one. We should let your specialists out of their cage. We can use every weapon we can get."
Skye,We've got to save her.
Coulson,"; So we'll fly in there, face the music... even if it is the Hydra theme song."
Barbour,"Agents Triplett and Simmons are unaccounted for, ma'am."
Jacobson,Searches are under way. They don't have anywhere to go.
Hand,Don't underestimate Coulson's people. Tie up those loose ends.
Simmons,You're positive this line is secure?
Triplett,"Yeah, but be quick. Nothing looks more guilty than sneaking around."
Simmons,"Well, I sent her a request. She must not have... Agent Weaver, thank you for joining me. I'd been hop..."
Weaver,Jemma. Thank god you're still alive.
Simmons,What? What's wrong?
Weaver,The Hub still secure? Are you with your team? Get somewhere safe and lock the door.
Simmons,What's happening?
Weaver,Have your commander report that the academy is under sieze. We don't know how long Hydra's been inside S.H.I.E.L.D. They are taking control!
Simmons,Hydra? What? Where?
Weaver,"Everywhere! Among us! If you survive, you know where to find me. Jemma, don't trust anyone!"
Simmons,What are you doing?
Triplett,"What the lady said to do, locking the door."
Simmons,Let me out.
Triplett,"Go ahead. This door won't hold if they come looking, but they won't come around this way for a little while. I'm staying."
Simmons,"Well, how do I... know I can trust you?"
Triplett,"Because I'm trustworthy. You're the one who works for the zombie robot back from the dead. Take it. If you try to kill me with it, I'll know I can't trust you. Now fire that thing back up. Let's see if we can get our friends on the line. Can't wait to tell them the good news."
Ward,Coulson said you're an informant. Want to elaborate on that?
May,"No, I don't. Damn icer. My head's killing me."
Ward,I deserve to know.
