character,line
Man,Another example of this administration's lack of transparency.
Woman,You can't seriously be blaming the president for this.
Man,Those who let S.H.I.E.L.D. operate without oversight should be held accountable.
Woman,"If your party held the White House, would you be taking this position?"
Man,"If my party held the White House, we wouldn't be in this position."
Daniels,I need a ride.
Man,Sorry. What?
Daniels,I need a ride to Portland.
Man,"Sorry, dude. I'm not going 200 miles out of my way just to give you a ride."
Daniels,Okay.
Man,"Somehow, it's someone else's fault? At the very least..."
Man,"What the... All right, I give up. How did you do that?"
Man,... we cannot allow Hydra and their allies to rise again.
Simmons,I'm afraid this might scar.
Skye,"Upside... you'll look badass, dangerous."
Fitz,"He's gonna be fine, though, right?"
Simmons,He will if you back up and give me some room.
Coulson,"So, what then?"
Ward,"By the time we got to the Fridge, it was too late. It was overrun... Hydra everywhere. We couldn't stop them."
May,What were they after?
Ward,"Everything. They took weapons, alien artifacts... anything they could grab."
Coulson,I assume that means the prisoners are no longer prisoners?
Skye,So... Ian Quinn...
Ward,I'm sorry. He's out. They all are.
Fitz,And Garrett? Did he get away?
Ward,"Couldn't stop them from taking the Fridge, but I wasn't gonna let Garrett walk... not after what he did."
Skye,Is he the one that did this to you?
Ward,He was a tough son of a bitch.
Ward,We need to make it believable.
May,“Was?” Past tense?
Ward,"As soon as I had the upper hand, I put two in the back of his head."
Fitz,Good.
Ward,One from me... one from you.
Triplett,I would have emptied the mag.
Simmons,"You're all set... well, I mean, as set as you can be with two cracked ribs and a zygomatic fracture."
Fitz,"Uh, for those of you that don't know what that is, that's a..."
Simmons,Your body needs time to heal. Please take some time.
Ward,Understood. Thanks. Ah. One small victory. Hydra didn't get their hands on this.
Triplett,A hard drive?
Skye,"It's all the research our team's ever done, downloaded off the plane and encrypted for safekeeping."
Ward,We should probably back it up now that we're in a secure facility.
Coulson,"First, Skye, I need you on threat assessment. Pull up a list of all the inmates at the Fridge. I want to know just how bad this is."
Skye,"This is really, really bad. Quinn is the least scary of the bunch, and he shot me... twice."
Coulson,"Quinn's more a sociopath. A lot of those inmates are full-blown psychopaths... Violent, impulsive."
Skye,And some with superpowers. Lovely.
Coulson,"Is Marcus Daniels on the list? That's him. Cross-check the list of inmates with crime databases, recent activity. Got a feeling we'll be seeing a slight uptick."
Skye,"Okay, but that'll take time, and more computing power than my laptop. Agent Koenig probably has some sort of..."
Coulson,I'm sure he'll lend a hand. The plane you flew in on... is it operational?
Ward,Yeah. You need me to pilot?
Coulson,"You heard Simmons. You stay and get better. I'm gonna take a splinter team out and start going after inmates on that list, starting with Mr. Daniels. I think I know where he's going."
May,"Uh, you sure it's wise to split up the team, leave this base? What if it's part of Hydra's plan... a distraction?"
Skye,"She's got a point. I mean, Fury brought you to this base for a reason. We're safe here."
Coulson,"Yeah, we're safe here. But what about everyone else... people who don't happen to have access to a top-secret underground shelter? What about them? I don't know if it's wise, but it's right. I'm taking a team, and that's the end of it."
Eric Koenig,"No, you're not. Absolutely not. You can't leave. There are protocols."
Coulson,"Since the entire agency's pretty much collapsed, maybe now's not the time to stand on protocol."
Eric Koenig,"Okay, fine. Then forget protocols. What part of “secret base” don't you get? Fury said to let you in, and you show up with a bunch of people?"
Coulson,Agents!
Eric Koenig,"Whatever. The point is, they know where this place is now, and I don't know them."
Coulson,Hydra just released the entire population of the Fridge into the wild. There's gonna be violence. People will die. And I still consider it my duty to be the shield that protects them.
Eric Koenig,"Moving speech, truly. But nobody leaves until they go through orientation."
Coulson,Orientation?
Eric Koenig,"All right. Just gonna need you guys to answer a few questions, a few psychoanalytic, non sequitur questions."
Coulson,A lie detector.
Eric Koenig,"The lie detector, Agent Coulson. This baby measures galvanic skin response, oxygen consumption, micro-expressions, biofeedback brain waves, pupil dilation, voice biometrics... 96 variables in all. Fury designed this himself. He wanted a lie detector Romanoff couldn't beat."
Ward,Did she?
Eric Koenig,Like Fury would tell!
Coulson,"Okay. Sooner we get this done, sooner we can get to work. So who wants to go first?"
Eric Koenig,We're gonna start with some easy questions and establish a baseline. Can I have your full name?
May,Melinda Qiaolian May.
Eric Koenig,Eye color?
May,Brown.
Eric Koenig,You ever been married?
May,Once.
Eric Koenig,Have you ever been married?
Eric Koenig,Please list your immediate family.
Fitz,Just me and my mum.
Eric Koenig,So you're not gonna mention your grandfather?
Triplett,It's not something I advertise. Didn't want to be treated any different because I'm a legacy.
Eric Koenig,"If I was the grandson of a Howling Commando, I'd have that tattooed on my chest."
Eric Koenig,What is your first name?
Skye,Skye.
Eric Koenig,And what is your last name?
Skye,Only name. No family. No family name to inherit.
Eric Koenig,And you gave yourself the name Skye?
Skye,"Well, the name they gave me at the orphanage was Mary Sue Poots, so..."
Eric Koenig,"When we were kids, my brother and I used to give each other nicknames. He called me “lightning foot.”"
Eric Koenig,What's the difference between an egg and a rock?
May,Edible. Not.
Fitz,"Well, that's absurd. The differences are..."
Simmons,"... innumerable. If you want, I can start listing them, but then..."
Fitz,... we'll be here all day.
Eric Koenig,Have you ever heard of project Insight?
Eric Koenig,Ever had any contact with Alexander Pierce?
May,I've met him. We shook hands.
Triplett,"Garrett would get a call from him once in a while, said they had mutual friends."
Eric Koenig,You wash up on a deserted island alone. Sitting on the sand is a box. What is in that box?
May,Machete.
Triplett,A sat phone so I can call someone to get me off that island.
Fitz,How big is the box?
Eric Koenig,Just say the first answer that comes into your mind. What's in that box?
Fitz,Simmons.
Simmons,That's a hard one. Let me think. The tardis.
Skye,"I want to say my laptop, fully charged. But I don't want to seem subversive with the Rising Tide and all..."
Eric Koenig,You're over-thinking it.
Skye,"The laptop would be stupid, anyway. There's no wi-fi."
Eric Koenig,S.H.I.E.L.D. no longer exists. The agency has been labeled a terrorist organization. So why are you here?
Simmons,Honestly... I'm not entirely sure.
Fitz,"We have to stick together, keep the people we trust close-by. No one else, really."
Triplett,My grandfather fought Hydra back in the day. The good guys won then. We'll do it again.
May,Coulson.
Skye,It's the only home I've ever known.
Eric Koenig,"Congratulations, Agent Skye. Let's go get you a lanyard."
Skye,Got my backstage pass.
Ward,Piece of cake?
Skye,If you don't mind talking about yourself. So you'll hate it. Have fun.
Eric Koenig,What is your full name?
Ward,My name is Grant Douglas Ward.
Eric Koenig,Please list your immediate family.
Ward,"Two parents, a sister, two brothers. Don't have contact with any of them."
Eric Koenig,"Boy, your baseline's getting a lot of spikes. Are you in pain?"
Ward,"Yeah, only when I breathe. Two broken ribs."
Eric Koenig,"Okay, well, try not to move. It may affect the results."
Ward,I'll try my best.
Coulson,Marcus Daniels was an assistant at a physics lab where they were trying to harness the electrical power of something called Darkforce. And nothing bad ever happens when you work with something called “Darkforce.”
Fitz,"It's a form of cosmic radiation, pure negative energy. Unstable but powerful. You knew that already, didn't you?"
Coulson,"Daniels was exposed, ended up being able to absorb energy... all types."
Simmons,"Well, the human brain, the heart, run on electrical impulses."
Coulson,Exactly. He can kill with one touch.
Triplett,And I'm guessing he likes to. Do we need to put a bullet in him?
Coulson,"Unfortunately, it's not that simple. He can absorb the energy of most conventional weapons."
Simmons,He sounds unstoppable.
Coulson,"Like Fitz said, his power's unstable. Last time, we managed to capture him by overloading his system with pure light."
Fitz,Exposing him to more energy than he could absorb at once. I'm sure we could engineer some sort of delivery mechanism en route.
Coulson,"That's what I was hoping you were gonna say. You mind flying, being the specialist on mission?"
Triplett,"Sir, I'll be whatever you want me to be."
Coulson,That's what I was hoping you were gonna say.
Eric Koenig,What is the difference between an egg and a rock?
Ward,Egg's a food. Rock's a weapon.
Eric Koenig,Have you ever heard of project Insight?
Eric Koenig,Ever made contact with Alexander Pierce?
Eric Koenig,You wash up on a deserted island alone. Sitting on the sand is a box. What's in that box?
Ward,"It would depend on the island... Where it is, how big, what's the terrain? Is there fresh water?"
Eric Koenig,Just say the first thing that comes into your head.
Ward,A pistol.
Eric Koenig,S.H.I.E.L.D. no longer exists. The agency has been labeled a terrorist organization. So why are you here?
Ward,I'm an agent. It's my duty.
Eric Koenig,I need you to give that to me again.
Ward,It's my duty.
Eric Koenig,"I'm gonna ask you a follow-up. Agent Ward, are you associated with Hydra?"
Ward,Yes. We all are. They've infiltrated the highest levels of our orgazation.
Eric Koenig,Like you mean it. Are you Hydra?
Ward,I'm loyal to S.H.I.E.L.D... to Agent Coulson... and to my team.
Eric Koenig,Do you have another agenda here?
Garrett,"I'll give you 24 hours to get the password and get out. After that, well... cross off the team and bring the girl to me."
Eric Koenig,"Agent Ward, why are you really here?"
Ward,Skye. Came back for her. I want to spend time with her.
Eric Koenig,Skye? Cool.
Fitz,Hey. Ward.
Ward,Hey. Got my lanyard.
Fitz,Nice.
Ward,"So, are you guys taking off?"
Fitz,"Yeah, I wish you were coming instead of trip. He's insufferable, isn't he?"
Ward,Trip? Yeah. Think the guy's okay.
Fitz,I know. He's terrible. He's a horrible person.
Ward,You sure this is about him? Not about Simmons?
Fitz,What the hell does that mean?
Ward,"Everything is falling apart around us. We don't know how it'll end. If there's something you want to tell her, don't wait."
Fitz,Maybe Simmons should check you again for a head injury... ‘cause that's not the Ward that I know.
Ward,You know what? Do what you want. I don't care.
Fitz,Good to have you back.
May,I should be flying this mission.
Coulson,I made another call. Stay here. Get the fuel line repaired on the bus.
May,"I remember when you brought Daniels in. I know how personal this is for you, but..."
Coulson,We don't do personal... not anymore.
