character,line
Hill,"Yeah, it went as expected. S.H.I.E.L.D. implodes, and everyone wants answers. The CIA, NSA, NRO... them I can handle. But Congress? Congress is like kindergarten. “Where is this Fridge?” “What was in there?” “Who or what is a man-thing?” I swear I need a cocktail and a lobotomy. But apparently, my every move continues to fascinate them. Tonight's standard-issue surveillance package includes fake yuppie not checking her texts at the bus stop, imposter homeless man... mildly offensive... and the hipster following me looks familiar. I think he's Russian or... gone. Pepper, I'll call you back in 10."
May,"We need to talk, Agent Hill."
Hill,May. A phone call would have done it. But I appreciate the discretion.
May,Thought you'd like the night off. They must hate that you're going to work for Stark.
Hill,"Most of the intelligence community would like to drop me into a dark hole, but even they can't mess with Tony's army of lawyers. So, for now, we're privatizing global security. Want to join?"
May,Coulson needs help. And he won't take it from me anymore.
Hill,Where is he?
May,Providence base. And he's got enough to worry about without obsessing over T.A.H.I.T.I. and who covered it up.
Hill,You mean besides us. How much does he know?
May,"Enough. That they used alien biology, rewrote his memories, and that Fury did it under someone else's direction. I want to know who that was."
Hill,You're afraid it was Alexander Pierce.
May,"Secretary Pierce was the man in charge, the only person Fury took orders from, and he was Hydra. Having a man like that design your brain? You can understand my concern."
Hill,"Fury took his cues from pretty high up. That much I know. But when I asked him who it was, Fury said that he buried that intel when he decided not to bury Coulson."
May,"Maria, this is not the time to wax poetic."
Hill,"Those are his words, not mine. You knew the man. Sometimes he spoke in riddles."
May,"Guess I'll have to solve it, then."
Hill,Hmm.
May,Unless you want to ask Fury for me.
Hill,Fury's dead.
May,I'll believe it when I see it.
Officer,Drop your weapon!
Hill,"3 minutes and 20 seconds. Really? If you were my agents, it wouldn't be for long."
Coulson,Play it again.
Fitz,"It's the same every time, sir."
Coulson,Fitz.
Fitz,"As I said, all internal camera feeds were erased, but the hangar's landing assist system is separate. The camera tracks movement. So, after we left, everything's normal until this."
Simmons,An entry log has may leaving the base a few minutes later through the front door... only her.
Fitz,And then this.
Coulson,Holding hands.
Fitz,"Soon after, the plane takes off. But that is all we've got."
Coulson,Where are they going? And Koenig?
Simmons,Koenig must have gotten onto the plane somehow.
Coulson,There's no other way in or out.
Triplett,The blast door and the hangar door are the only exits.
Coulson,"And both are undamaged. So nobody attacked the place, and they weren't running away. So why?"
Triplett,Maybe Koenig got orders.
Fitz,From who? Not Fury. Is there anyone left to give orders? Aren't we just improvising at this point?
Simmons,Still wouldn't explain why the communication lines were cut or why they left their phones or why May just... left.
Coulson,"May walked away because I told her to. I was mad, and I was mean."
Triplett,Then we don't need her sorry ass.
Coulson,Excuse me?
Triplett,"With all the crap we're facing, this is not the time to pull the ripcord, bail out."
Simmons,I'll make us some food. We have to eat.
Triplett,Let me help.
Fitz,"Uh, no, I'll get it, actually. You stay here."
Fitz,"Simmons. For a minute there in the field, I thought things were normal again, and then... Why do you think they left us in the dark?"
Simmons,I don't know. But something will turn up. We just have to stay positive.
Fitz,"For Coulson, yeah. I know. He's had a rough go of it."
Simmons,Yeah. Between Garrett and May and seeing Audrey and... pancakes.
Fitz,Coulson's upset about pancakes now?
Simmons,"That's one way to cheer everyone up a bit, don't you think? I'll see if we have any in stock."
Fitz,"Yeah, I'll fire up the griddle."
Fitz,Night? Day.
Triplett,"Sir, you're an expert on analysis. I can see you running scenarios in your head, so what do you got?"
Coulson,"Best case... Agent Koenig knows something we don't. He took a team, kept us in the dark for our safety."
Triplett,Worst-case scenario?
Coulson,We've had a wolf in the herd the whole time.
Ward,Fitz keeps the candy under his bunk. What are you up to?
Skye,"Just looking for the sat-phone to call the team, make sure everyone's all right, no one's blown up."
