character,line
Garrett,"Grant Ward? My name's John Garrett. The quartermaster at your military school's an old Buddy of mine. He told me about a pissed-off young cadet with off-the-chart eye-hand coordination who went awol, stole a car, drove over a thousand miles home only to try and burn the place down. I must say, I find a young man like that intriguing. I'm curious. Did you know your brother was in the house when you set it on fire?"
Ward,"No, sir, I did not."
Garrett,"I was a pyro as a kid, too. Ended up making a pretty good living at it. I'm here to make you a one-time offer, so listen up. Your family's lawyer's gonna be here in about 20 minutes. Not only are your folks pressing charges against you for arson and attempted murder, but your older brother's petitioning the court to have you tried as an adult. Now, you can spend the next few years locked up in a cage, blaming mommy and daddy and mean older brother for your problems, or... you can let me get you out of here and teach you how to be a man. I work for a secret organization that's always looking to recruit young men like you."
Ward,And why should I trust you?
Garrett,"You shouldn't. Don't trust anybody, ever, especially me. Let me be clear, going with me will be the hardest thing you've ever done. But on the other hand, no one will ever screw with you again. Say yes. It'll be hard but fun. 10 seconds, and I walk out that door. Say yes."
Ward,Yes.
Man,Everybody down! On the ground! Nobody move!
Garrett,I told you it was gonna be fun.
Reporter,"Eyewitnesses claim the assailant smashed through several walls before killing Colombia's most notorious drug lord, Alejandro Castillo, A.K.A. El Dogo. Speculation continues as to whether this superhuman assassination was carried out by a man, monster, or machine."
Fitz,"The correct answer is “d,” all of the above. What the hell is Deathlok doing in Bogota?"
Simmons,And why would he kill a drug lord with known ties to Hydra?
Skye,"Well, if they really are in Colombia, then Garrett and our hijacked plane might not be in American airspace. I have to expand our search."
Coulson,"Guys... you want to come in here for a minute? This is just about everything we've been dealing with. And this... connects them all. Cybertek built Deathlok, shipped items to Quinn, who was working for the Clairvoyant, who turned out to be Garrett, who planted Ward on our bus because he wanted to know why I didn't stay dead. Should have drawn another chart for this part."
Fitz,"No, I get it. Garrett's been developing Centipede serum all this time."
Coulson,Yes.
Simmons,And he wants GH-325 as its final ingredient... a way to stabilize and regenerate his Centipede soldiers.
May,And it's why Ward came back for the hard drive. It had all of your research about Coulson and Skye. It's all on there.
Coulson,But that's not the only thing on there. Skye left them a little surprise.
Skye,A trojan horse. It's been slowly mapping every system they've uploaded it to.
Fitz,"Well, that's brilliant."
Simmons,Trojan horse.
Fitz,You can wake it up and take over their systems.
Simmons,"Well done, Skye."
Skye,"Yeah. Thanks. Except it doesn't work that way because I didn't have enough time to build it, so we need to plug this into one of their computers to activate it. Spoiler alert... we can't seem to find one."
May,I think we have. Garrett and Cybertek have been working together for years. If it's on Garrett's system...
Skye,It's on Cybertek's.
May,Which is why we're gonna go into one of their offices.
Coulson,We have no authority to do this. We're no longer S.H.I.E.L.D. agents. We're...
Fitz,We're vigilantes.
Coulson,"I was gonna say, “doing this because it's the right thing to do,” but... yeah. So, if you're with me, I'm gonna finish what I started. I'll be damned if I'm gonna let Garrett and Ward get away with murder. And I want my plane back."
Ward,"I could have crossed off that drug lord without getting my picture taken. Single shot, half a mile away."
Garrett,"You're missing the point. I didn't want to just cross him off. I wanted to make a spectacle. People are killed by guns every day in Bogota. But how often does a monster punch a drug lord's head clean off? Hell, that's international news. Spectacular thing you did back there, Mikey. If I didn't know better, I'd swear you're starting to enjoy your job. You get the impression he's enjoying his job?"
Ward,Somebody does.
Garrett,"Well, I'd like to think we all enjoy our work. And why not? These are exciting times full of rewards. Which reminds me... Zeller. Yeah, it's me. Stream Mike Peterson some video of his son this afternoon. Don't mention it. How about that guy? I've turned him into a new man."
Ward,Is that what he is?
Garrett,Are you still sore about what he did to you?
Ward,"No, I'm sore at you for making him do it."
Garrett,"Look, we're on the verge of completing something I've been chasing for 25 years. Can't you just be happy for me? See? That's what I'm talking about. Happy campers."
Raina,"I think you'll be happy, too. We're close to replicating the drug that healed Skye and brought Coulson back to life. And the data from Skye's hard drive, all that research... it's been a big help. I've uploaded everything to the lab in Cuba. They'll have initial results by the time we land."
Garrett,"You never disappoint, do you, Flowers? Wish everyone on my team had the same success rate."
Coulson,Okay. We'll see you this afternoon. We're on with the R&D department up at Cybertek's Palo Alto offices.
