character,line
Zeller,"Sorry about the security red tape... you know, intellectual property, blah, blah, blah. You'll get used to it. So, basically, I've been here since day one. It started with me on my computer in a basement, and now look what we've grown into. We've got 20 active systems, and we're growing fast."
Fletcher,I was gonna ask about the construction next door.
Zeller,"Ah, yeah, we're planning to add another 100 systems by the end of the month. That's Sally. Hey, Sally. So, what... are you just really into this sort of thing, or what brings you to the company?"
Fletcher,Um... the Incentives program?
Zeller,"Yeah. No one's turned that down yet. Anyway, so, every operator is in charge of one unit. You will receive an e-mail 24 hours before it goes online. Now, some are volunteers, but some are here for the same reason that you're here..."
Woman,"Hey, Zeller. We're in position."
Zeller,Okay. This is good for you to learn on your first day.
Fletcher,What's going on?
Zeller,"These guys? We don't like these guys. Yes, sir, we have them in sight. Copy that. Okay, people... let ‘em have it."
Coulson,Could sure use a little light in here.
Triplett,I got this.
Coulson,"So, who do we talk to about getting a haircut?"
Centipede Soldier,If it isn't the Cavalry.
May,Don't ever call me that.
Coulson,Bring the house down. Time to go!
May,Aah!
Coulson,Come on. Let's go. Let's go.
Zeller,"Our men are still digging themselves out, but it looks like Coulson and the others got away. Do you want to..."
Garrett,Doesn't matter.
Ward,You all right?
Garrett,"What does it look like? Never better, son. I need a nail. Get me a nail... a big one!"
Quinn,What the hell is he doing?
Raina,He's flexing his new muscles. He has every ounce of our research coursing through his veins. He feels good.
Quinn,"Because he took all of our miracle drug. When we land at Cybertek, military brass and investors are expecting a demonstration, and I promised them indestructible super soldiers, not disposable ones."
Raina,"Well, with Hydra in the mix, we won't lack for volunteers. And if we run out, our Incentives program should help fill the ranks."
Garrett,Just getting some ideas down. I can't keep everything in my head.
Ward,"Got to be honest with you, John, looks like you're kind of losing it."
Garrett,"I'm alive for the first time, thanks to you. We took some hits along the way, but we did it. We did it."
Ward,"Can't believe it. This is everything we've been working towards, saving you. Our alliance with Hydra was always a means to that end, right?"
Garrett,Symbiotic.
Ward,"And here we are. I mean, it's not like we're true believers, right? Don't get me wrong. I'll go where you go. Having our soldiers in key positions is great, but... then what? Are we really planning a coup?"
Garrett,"It's more of an uprising. It's become bigger than Hydra. Ward, you've taken good care of me, gave me everything I wanted. It's time for you to decide what it is you want. I'll see that you get it, too, son. I can do anything now."
Skye,The trojan horse worked. It gave us access to the system we wanted. Our secret weapon... we now have eyes on their operation right in the palm of my hand.
Triplett,We'll need more than eyes to defeat Garrett.
May,What is it?
Coulson,Fitz-Simmons' tracker crossed the ocean. It's in New Mexico.
Skye,They managed to tag the plane?
Coulson,"It appears so, but they're not answering."
Skye,No...
Coulson,"We can't think about that right now. They may have been captured. Either way, they risked everything to put a tracker on that plane for us. Now we know exactly where Garrett is, and Skye can see what he's doing. If Fitz and Simmons are still alive, then catching Garrett is our only shot at finding them."
Fitz,"You looked very peaceful sleeping. Didn't want to wake you, but I'm glad that you're up."
Simmons,What's happening?
Fitz,"I've spent the last hour trying to figure out why we sank. We're at the bottom of the ocean, in case you missed that bit. These pods are built to be compatible with all S.H.I.E.L.D. aircraft, submarines, spacecraft. On impact, the atmospheric adaptation must have tried to compensate. We slowly sank as it increased the density of the outer walls. I measured the rate the water rose on the glass. Did the math... we're at least 90 feet down. You can't see the surface."
Simmons,How did we survive the fall?
Fitz,"The plane must have been in vertical flight mode, flying low. I managed to strap us to one of the backboards before we hit. And I broke my arm... same two places I broke it in second grade... which is strange."
Simmons,"I thought we were dead for sure, Fitz. We're so lucky. Now we just need to figure a way out of here. We'll find a way out of here, right?"
Fitz,"And then we'd be in the middle of the ocean with the bends and no floatation and no one looking for us. I already spent an hour trying to rig the wireless signals on the EKG to send out a weak distress call before remembering that it's a S.H.I.E.L.D. frequency and no one's listening. And that's not the problem... the problem is that there aren't many supplies left in here, so I've already done the math..."
Simmons,Enough with the math. What are you saying? There is no way out. We're going to die down here.
Coulson,"We'll only get one shot at this, so let's go over the plan one more time to make sure we're clear on exactly what we're doing, okay? Trip and I will crest the ridge, use a noisemaker to grab a three-wheel, maybe something with more fireworks, and open a window for you two. You crawl in, grab the dealer, force his hand. He'll get us our ace in the hole, and then bob's your uncle."
Skye,Roger that.
Triplett,Makes it sound easy.
May,"Coulson, it's a solid plan you've mapped out, but it hinges on a gamble... a big one."
Coulson,"And backup isn't coming. It'll be just the four of us. We'll be outmanned and outgunned. But Fury always said... a man can accomplish anything when he realizes he's a part of something bigger. A team of people who share that conviction can change the world. So, what do you say? You ready to change the world?"
May,No. I'm ready to kick some ass.
Coulson,"That works, too."
Ward,"I'm saying, just talk to him. He says everything's fine, but he's not acting that way. I don't know what's going on with him, and I don't like it."
Raina,"Captivating, isn't it?"
Garrett,"First time I saw it, it reminded me of a lava lamp. Of course, that was before I could see through it."
Raina,"Quinn's expecting the gravitonium as payment. When he's done, I think it would be wise to let him have it."
Garrett,"Don't be coy. I know you have plans for the stuff. I understand it now. I can see its soul. I can see yours, too."
Ward,Ward's concerned you're going mad.
Garrett,"The drug didn't just strengthen my body. It gave me clarity of mind. It gave me a vision of the world that's waiting beneath the surface of this world. You don't think that's mad, do you? You know exactly what I'm talking about. You always have."
Raina,"I have no allegiance to Hydra, Centipede, Cybertek... you. I was only ever interested in..."
Garrett,"Evolution. You know we're prehistoric creatures oozing out of the swamps, through the mist, clawing our way onto land so we can finally stand or plant roots... or fly."
Raina,"Exactly. I was saddened to learn you weren't Clairvoyant. I had a question I didn't get to ask, but now..."
Garrett,"Now the truth is written on the back of my eyes, so... go ahead, Flowers. Ask."
Raina,What will I become?
Simmons,Are you scared?
Fitz,"Yeah. And I'm hungry, too."
Simmons,Me too... scared and hungry. What do you think it's like?
Fitz,"Death? Well, depends on the method, really. Drowning's supposed to be quite pleasant in the end, apparently. Once the water fills up your lungs..."
Simmons,I mean after.
Fitz,"Ah, yeah. Well, my mum always said that you shouldn't be afraid because it's just like the way life was before you were born... which wasn't that bad, was it?"
Simmons,"That's sweet... Though, apparently, I was miserable before I was born... upside down, umbilical cord all wrapped around my head."
Fitz,"Yeah, well, she meant pre-conception, of cour..."
Simmons,I know. I'm joking.
Fitz,"Yeah, I know that you're joking. That's fine."
Simmons,"I like to think about the first law of thermodynamics, that no energy in the universe is created..."
Simmons,"That means that every bit of energy inside us, every particle will go on to be a part of something else, maybe live as a dragonfish, a microbe, maybe burn in a supernova 10 billion years from now. And every part of us now was once a part of some other thing... a moon, a storm cloud, a mammoth."
Fitz,A monkey.
Simmons,"A monkey. Thousands and thousands of other beautiful things that were just as terrified to die as we are. We gave them new life... a good one, I hope. It's fitting we're down here together, Fitz. This is where all life began on our planet, anyway... Just outside that glass..."
Fitz,Jemma... What?
Simmons,"The glass. Fitz, the glass!"
Fitz,"Yeah. It's bulletproof, pressure-resistant."
Simmons,"But the seal is 4-hydroxy- 4-methyl-2-pentanone, surely."
Fitz,"Yeah, I know what you're thinking, but the flash point is too high for it to burn."
Simmons,"But medical ethanol has a low flash point, and it burns..."
Fitz,Hotter. If we could use the defibrillator as an ignition source...
Simmons,And build a compressed explosive...
Fitz,"To ignite the seal, the outside pressure will..."
Fitz,"Yes, yes, yes, yes! This really hurts my arm."
Simmons,"Okay. Well, now we know that, there's a whole new set of problems, but where do we start?"
Quinn,"And finally, welcome to our cybernetics subsection, where we design, manufacture, and, with this, install our most advanced system. Ladies and gentlemen, this prototype can replace the severed limb of a soldier in minutes with one 10 times stronger, fully networked to the soldier's biometrics and to his optical targeting system."
Jacobs,"If you want me to open up Uncle Sam's checkbook, I'm gonna need specifics."
Quinn,"Specifics. Specifically, I'd like to build dozens of these machines, increase the scale of our surgery wing, crank out 100 soldiers a day."
Jacobs,To join our special ops units.
