character,line
Whitehall,I don't think I need to remind you that the clock is ticking.
Officer,"We are almost finished loading. Herr Reinhardt, I-I fear Schmidt..."
Whitehall,"Oh, there's no reason left to fear the Red Skull. He's dead. However, his vision is not. The work Hydra has done will live on. The Obelisk?"
Officer,They are bringing it out now.
Whitehall,"Carefully, I hope."
Officer,I don't understand. I thought this stockpile held only artifacts.
Whitehall,"Not everything we dug out of the ground was an antique, my friend. Some of it was quite advanced."
Officer,Is this the reason these men...?
Whitehall,Hmm? Ja. The Red Skull said it may hold the answer... the answer to death itself.
Dugan,I'll give them an “A” for effort.
Jim,"Guten tag, boys. All right, nice and calm. No sudden moves, or we'll tie a blasting cap to your... Hey, Dugan, what's the German word for “nuts?”"
Dugan,"I don't know, Jim. But tie a blasting cap to them, I'll bet we'll hear it."
Carter,"Put it down. Down. These assets are now under the protection of the Strategic scientific reserve. They'll be relocated and hidden out of sight, indefinitely... as will you."
Whitehall,"Cut off one head, two more shall grow in its place."
Carter,Then I guess we'll keep cutting them off.
Dugan,"Get him out of here. All right, boys, let's pack it up. Agent Carter, what the hell is all this stuff?"
Carter,"Dangerous. Right now, we need to contain everything and get it out of enemy territory. Mr. Stark plans to go through it tonight. And that, we must never touch. This is the last Hydra site we know of. They're finally beaten."
Dugan,You don't sound thrilled.
Carter,"Well, these things can't simply be boxed up. Someone needs to establish a permanent unit during peacetime."
Jim,To keep dangerous technology contained?
Carter,"And watch over people like Stark who are toying with it. Until then, all we can do is box it up, lock it up, and dedicate ourselves to making sure it never sees the light of day."
Skye,We've got ears on them. The package is in the open.
May,Don't engage until the deal's done.
Skye,Copy that.
May,"Trip, we got eyes?"
Triplett,Now we do.
Browning,That's what I'm selling. I'm sure you'd like to see some credentials.
Hartley,"Agent Browning, for ex-S.H.I.E.L.D., you seem awfully indifferent to who we are."
Browning,"What you are is the highest bidder. Whether you're in it for profit or for Hydra, it doesn't concern me, not anymore."
Hartley,That's what we want to hear.
May,What are they buying from him?
Triplett,"Intel, not hardware."
Hunter,"The mystery I'd like to solve is, why should we be paying you so much? This looks like a box. Sorry... a picture of a box... a picture of a box you don't have."
