character,line
Hunter,"Hey, Idaho. Idaho, can you hear me? Come on! Damn it! Come on!"
Hunter,Creel's on foot. But he won't be for long.
May,Hartley and Idaho?
Hunter,Dead. That's no use. It's jammed.
May,We have to get you out of here!
Hunter,"Look, my leg is pinned. Don't worry about me. There's no time."
May,Soldiers are coming.
Hunter,Creel has the damn thing that burned Harley! You need to get him! Go!
May,Good luck.
Soldier,Hands on your head! On your knees!
Coulson,What the hell was Hunter thinking?
May,He was trying to save Hartley!
Coulson,And you're absolutely sure?
May,"They're gone. It was bad, Coulson."
Coulson,"Two agents down, another captured. This shouldn't have happened. We got a hit. 911 just picked up a stolen-vehicle call up the road from you. Older model red-and-white pickup."
May,That's got to be Creel.
Coulson,"May, you're approaching a civilian area without backup. If you see him, do not engage. You copy? Do you copy? May, that doesn't sound covert."
May,I've got him. Closing in.
Coulson,"No, drop back. Do not engage. I repeat... do not engage."
May,He's not looking. I have a shot.
Coulson,Negative!
May,"We can't just let him go, Coulson."
Coulson,"Creel isn't working alone, And I want to know who he answers to. Drop back into surveillance mode now. That's an order, Agent May!"
May,"Yes, sir."
Skye,I still can't raise Hunter or Hartley on the comms.
Triplett,Not surprised. Radio silence on the op is protocol.
Skye,"Still, Hartley was in pretty bad shape when we left. Or you'd think we'd have heard something by now."
Triplett,No need to think the worst till it shakes your hand and says hello.
Skye,Is that another one of your grandma's sayings?
Triplett,Fortune cookie. I had some kung pao chicken the other night.
Skye,Maybe Coulson's heard from them.
Coulson,"I need to get a complete inventory by the time Agent Koenig returns... food, fuel, and ammo... understood? You got the quinjet. Well done."
Skye,Any word about Hartley?
Coulson,"Not now. Let Mack know the jet's here. I want him reverse-engineering that cloaking hardware right away. Sooner he does, sooner we get the bus operational again."
Triplett,Roger that.
Coulson,Something else?
Skye,"The item that messed up Hartley's arm, it had those weird symbols on it, the ones you've had me researching."
Coulson,The same symbols? You sure?
Skye,Yes. They came up out of the object. It reminded me of Braille. It was like Hartley triggered something by touching it. What the hell is that thing?
Coulson,I have no idea. But good work.
Skye,"“Good work?” How about, “holy crap, Skye. We got to get on that”? After a month of combing the planet for these things, we finally got a clue..."
Coulson,"Right now, we have more important problems... a five-alarm fire otherwise known as Lance Hunter."
Skye,Is he...
Coulson,"Captured. But if he talks, our entire operation's compromised. We'll have to burn the base and evacuate. I know. And we just re-tiled the bathrooms."
Hunter,"Oh, just as I was dropping off to sleep. Thank you very much. Uh... Excuse me, gents. Can I get a glass of... water?"
Talbot,"Mr. Hunter, I don't believe we've had the pleasure! Brigadier General Glenn Talbot. Looks like you need a lift, soldier."
Mack,"So, this is cloaking hardware."
Triplett,Uh-huh.
Mack,Let's take a peek under the hood.
Skye,Fitz would be crushed if he saw this. He's been working on cloaking since before Simmons took off.
Triplett,Still can't believe she abandoned him like that.
Skye,"She abandoned all of us. But Fitz has been clinging to his work like a lifeline, and..."
Triplett,Maybe we shouldn't tell him.
Mack,Coulson wants a retro version of this for the bus. He said that no one knows the avionics on this thing like Fitz.
Triplett,Think he can handle it?
Mack,I don't know. Why don't you ask him?
Skye,"Hey, Fitz."
Triplett,"Hey, what's up, man?"
Skye,How are you?
Fitz,"So that's the, um... that's the..."
Mack,"Cloaking, in all its glory. You know, you weren't that far off. Check out the transmitter coil."
Fitz,"Yeah, to negate the... the resonant... the... the... the resonant...? No, um... the, uh..."
Skye,I-It's okay. Just take your time.
Mack,"Uh, what he's trying to say is there's an audio component to cloaking that inverts sound waves, too."
Triplett,Like noise-canceling headphones?
Mack,"Yeah, same concept. Okay. You think you can give me a hand with this?"
Fitz,"Um, u-under the circumstances, uh... well, the trick is you would... n... the trick ... the trick would be in the meta-materials. Uh, oh! Yeah, but you'd have to alter the, um... Uh..."
Skye,"Fitz, it..."
Fitz,"Yeah, could everyone just stop talking for one second? No, sorry. Gonna have to go."
