character,line
Whitehall,"First time I drank this, I had just enlisted. It was bland, immature. But I had a hunch. I bought a case. Mm. Mmm. $10 seemed so expensive back then. And now one bottle costs over $2,000. Goes to show you patience is most definitely a virtue... something we've both benefited from. I believe in second chances. I want us to work together. I want you to become a valued member of our organization. Surrender... and you will find meaning. Surrender... and you will find release. Take a deep breath. Calm your mind. You know what's best. What's best is you comply. Compliance will be rewarded. Are you ready to comply, Agent 33?"
Whitehall,"I expected it would be a long night. Why I decided to treat myself. Mm. Mr. Bakshi, let's go again. Where do we start? At the beginning? Like the song says, a very good place to start. You and I both know the Faustus method takes time. And I've got plenty."
Simmons,"Morning, Theo."
Theo,That smile. A breath of sunshine in an otherwise dreary morning.
Simmons,"Oh, you're too sweet. And you mix your metaphors. Have a good day."
Turgeon,"Ms. Simmons, you're here early."
Simmons,"Yes. You see, those samples you gave me are quite fasc..."
Turgeon,I'll read all about it once you finish your report. Have it on my desk as soon as possible.
Skye,I imagined they were all Ward.
May,Imagine they're all targets. Don't get cocky. This is step one. It's all about control...
Skye,Control. I know.
May,"... over your mind, your body."
Skye,Don't forget your mind.
May,"In the field, you need to maintain control. Whatever the situation, hostages, bombs about to go off..."
Skye,"So, what you're saying is what I just did was puny and sad."
May,61 beats per minute. Consistent the whole time. Not that puny.
Skye,Speaking of not puny...
May,"Yeah, I want you to get used to this. It's a sniper rifle."
Hunter,"Huh. Pardon me. Uh, just one quick question. You went to S.H.I.E.L.D. academy, right?"
May,"You didn't. If you did, you would have known better than to shoot us."
Hunter,"Apology number 470... I am very sorry, Agent May."
May,Don't be sorry. Just wait.
Mack,"Uh, we just have a wager. Uh, so, did you...?"
Skye,"Go to the academy? Yeah, no."
Mack,"All right, well, have fun with the inventory. And remember, Koenig likes them neat. Oh, and, uh, none of those euro sevens with the lines through them. Drives him crazy."
Hunter,Coulson said you were a field agent with a badge and all.
Skye,"More like a work-study thing. Badge, I had for like a day before S.H.I.E.L.D..."
Hunter,"You know, Hartley... she loved her blade, hated guns. Idaho... if on a job someone ended up dead, he'd go to church, light a candle. Said it'd balance the karma. See, I knew them, what they'd do, not do. So, us being workmates and all..."
Skye,You're wondering if I've ever taken anyone out.
Hunter,Have you?
Skye,Not that I know of.
May,Hey. Don't you have inventory?
Hunter,"I suppose now I do. Good afternoon, ladies."
May,"Practice. I want you to get used to the recoil. And for the record, experience doesn't make it any easier to cross someone off."
May,You're alone. Should I assume?
Coulson,That the entire trip was a waste of precious jet fuel? Yep. Assume that.
May,At least tell me that Agent 33 retired.
Coulson,Nope. They got to her first. It's gone from being a land grab to a talent grab. And I'm getting damn tired of losing our best and brightest to Hydra.
Turgeon,"Ms. Simmons, I need everything you have on the samples you're working on."
Simmons,I'm not done. I'm testing a second set of dn...
Turgeon,Right. Just whatever you have.
Simmons,What I have is more questions than answers.
