character,line
Priest,"Your grace, thank you for coming. Our parishioners are still trying to understand this tragedy, and..."
Bishop,Show it to me.
Priest,"O-Of course. This way, please. Here. It dates back to Spain, the early 1500s. It was the only item in our entire church that was spared."
Bishop,"It's a miracle... one which might help us rebuild. Experts will have to verify it, of course."
Priest,"Your grace, shouldn't it be enough simply to believe in the miracle? Does it have to be proven?"
Bishop,"Faith is enough for us, but the rest of the world... they'll need something more tangible. Why? Do you have some reservation?"
Priest,There is one more thing.
Woman,"I should really be getting ready for the party. Besides, I thought you said you wanted time in the ocean."
Hunter,"I've seen it... fish, waves... whatever. I found something far more captivating."
Skye,"The rabbit's in the hutch. I'm on my way. I think we'll make it. Hunter did a good job, uh, distracting Gabriel Soto's executive assistant."
Triplett,"Oh, I bet he did. Damn. Tickets cost $25,000?"
Skye,Each. That's why I'm going for the five-finger discount. Mack? You're on.
Mack,Copy that. We're pulling up now.
Coulson,Thank you.
Mack,"Sir, notice the car? 1962 Rolls... restored it myself."
Coulson,I noticed. Still not letting you work on Lola.
Mack,"In time, sir. In time."
Coulson,"This is fun, right? Isn't this fun? Look ... cufflinks."
May,I will pay you $500 right now for a pair of flats.
Mack,"Good luck, sir."
Man,"Identification, please."
Coulson,Of course.
May,"Charles, you've got mine, right?"
Coulson,Yes.
May,I like making him carry my things... gives him purpose.
Coulson,"Plus, that way I know she can't take off without me."
May,"Oh, well, you never know when a better offer might come along."
Man,Enjoy the party.
Coulson,Thank you. Darling?
Coulson,"Good work on the cover, Skye. We're in."
Skye,Okay. Remember... Soto has the painting in a sublevel storage room until it comes out later tonight for the guests.
May,How heavy is the security?
Skye,"Still assessing. Let's assume “very.” Keep in mind we've got diplomats here, state officials. These are not friends of S.H.I.E.L.D."
Hunter,"Bridget said Soto's sending out the painting for verification first thing in the morning. She, uh, whispered it in my ear, if you know what I mean."
Coulson,"Yes, everybody on the planet knows what you mean, Hunter. Let's focus."
Hunter,"Right, so upshot is tonight's our one chance to steal this thing."
Skye,"Director, are you sure you don't want me there? I can help you and May get around any security measures soto has in..."
Coulson,"No, keeping it to two agents allows us to minimize detection in a small space. I hope you don't need me to explain covert operations again."
Skye,"No, sir."
Coulson,"Good. This writing was in Garrett's lab, the Obelisk, and now a 500-year-old piece of art. It's important. Getting that painting could mean answers for us."
Skye,"Yes, sir. We will... Wait. What was that?"
Coulson,Yeah. That's May.
Skye,I-is she okay? Is everything okay?
Coulson,Yes. She's laughing. I think the worst of it's over now.
May,Excuse me. My face hurts.
Coulson,Come on. We got a cover to maintain and some details to go over. Going radio silent. We'll resume contact shortly.
Skye,Did they just turn off their comms?
Coulson,"Well, hey, look at that. you still remember the steps... impressive. My 10:00... security chief standing watch."
May,"Dance elective at the academy. Hmm. Of course, I dropped it two weeks later. Dome camera... 3:00. I count seven uniforms. Walkie, sidearm, baton. I just wanted to graduate so I could get actual field assignments."
May,What?
Coulson,"You weren't exactly thrilled when we got assigned that retrieval op in Sausalito... that coffee shop, our first mission?"
May,That's because the commander sent us in with no exit plan. I was in the bay for five hours.
Coulson,I fished you out... eventually. Come on. We used to have fun like this in our youth. You know you enjoyed it.
May,"Yes. Then life happened. Nostalgia's fine, but I'd rather deal with reality. You planning to talk to me about your hand?"
Coulson,What about it?
May,You think I didn't see it tremoring the whole flight out? Your symptoms are getting worse.
Coulson,Did the rest of the team see it?
May,"No. They're good. Skye's asking the usual too many questions, but they think it's a standard op... don't know it's personal."
Coulson,Okay.
May,"Phil, if I think this mission is too much for you, I'll pull the plug."
Coulson,"Yes, fine. I understand. But that's not why I turned off the comms. I know you don't want to talk about this, but we need to make a plan in case I go the way of Garrett."
May,You're right. I don't want to talk about this.
Coulson,We both know how this could end.
May,Phil.
Coulson,"I know it's uncomfortable, but it's also necessary."
May,"No, Phil. Look. Talbot."
Coulson,There goes our cover.
Coulson,"Well, hey, there, general. Fancy meeting you here."
Talbot,"Hey, yourself. Good to see you."
Coulson,I'm glad to hear that. Isn't everything nicer now that we've put all our differences behind us?
Talbot,Absolutely.
Coulson,How many of those have you had?
Talbot,One too many. Don't tell.
Coulson,"It'll be our secret, as long as you keep mine."
Talbot,"Well, that doesn't sound like a fair trade."
Coulson,"Look, I appreciate you not blowing my cover... yet. Let's just say, hypothetically, you don't. This mission will benefit both of us."
Talbot,Benefit us hypothetically.
Coulson,"Your division has benefited plenty from my assistance, actually... your career, too."
Talbot,Sure.
Coulson,"So, I'm gonna keep moving forward with my operation. I hope I don't have to worry about interference."
Talbot,I won't interfere... unless I feel I need to.
Hunter,Nice work out there. Do we get to keep the scooter?
Skye,"Nice work yourself, though it didn't look like you were suffering too much."
Triplett,And I was babysitting an empty plane. How is this fair?
Hunter,"It's weird... women just like me, always have. Never understood it. Must be a magnetism thing, I guess. Who can explain it, eh?"
Skye,"If it makes you feel any better, I don't get it, either."
Hunter,"You hear that? If I wanted someone to take jabs at me, I'd still be married."
Mack,Mm. Not this story again. Can we not?
Skye,"Oh, no, I think we can."
Hunter,"I first met her on a spring night. She was on the pier facing the outer banks, the moonlight glinting off her face."
Mack,Mm-hmm.
Hunter,"She resembled a goddess. Of course, that was her cruel trick..."
Coulson,"Hey, guys?"
Triplett,Best timing ever.
Skye,"Oh, decided to come back online, did we?"
Coulson,Talbot's here.
Skye,"Talbot, Talbot?"
Hunter,What the hell's he doing there?
Coulson,"No idea. All that matters is our cover's at risk, so I'm calling an audible. We're not gonna wait till later to get the painting. We're gonna get it now."
May,I'll take point.
May,"Well, I just think it's so admirable what you're doing for that poor church that burned down."
Man,"I should be thanking you for your generous patronage. You know, Santa Maria de las Flores was my second home."
Man,Though I'm really surprised that you and I have never met before. I would have remembered you.
May,"Well, I bet letting people see the miracle painting in person is bringing out all kinds of donors that you haven't met before. But just remember, I'm here for the cause... well, the cause and the company."
Man,I like to hear that.
Skye,She just said more words than I've heard her say in a year.
May,"I just have to say, philanthropy is my passion."
Triplett,"All right, Agent May."
Fitz,That's very alarming.
May,I'm all about giving.
May,"I must get a picture of us together. Charles, come here. Honey, can you take a picture of me and Mr. Soto? It'll be such a nice memento of the evening."
Coulson,"Oh, yes, that would be nice."
Man,He's your husband?
May,"We're modern. Charles, please?"
Coulson,"Hang on, Heidi. Just trying to find the flash."
May,"Honestly, this happens every time. How hard could it be? They sell these phones to children."
Coulson,Okay.
Man,Excuse me. I should go see about my other guests.
May,"Oh, no, no, no, please. Uno momento."
Coulson,"Yes, yes, yes. One moment, and... There we go."
May,"Well, it was just..."
Coulson,Wasn't it just?
May,Hmm?
Coulson,"Mr. Soto, thank you so much. Lovely party. Goodbye. Come on, dear. We're blown."
May,Why?
Coulson,No idea. I think Talbot's still pissed ‘cause we kidnapped him that time.
May,We need to do this now.
Coulson,"Oh, yeah."
May,I could have handled him.
Coulson,I did.
May,They're gonna be onto us soon.
Coulson,I know. Almost there.
Coulson,I really like that dress.
Skye,Sublevel storage room straight ahead... painting's there. Great.
Coulson,This isn't the op we anticipated. Everything's gonna be a little more fast and dirty than we planned.
Skye,Only makes it more interesting.
Coulson,See? The exuberance of youth.
Skye,"Guys, wait. You're about to hit..."
Coulson,Laser grids. Why is it always laser grids?
May,Guy's not kidding around.
Coulson,Mnh. Alright. I got this.
May,They already know we're here.
Coulson,"Oh, yeah."
Coulson,There's no painting here.
May,"Could be a mistake. Another room, maybe?"
Skye,"No, it's not a mistake. A record of appropriation just popped up on the church's books."
Coulson,Don't tell me... the U.S. Government.
Skye,"Talbot took possession of the painting from the church this morning... “related to an ongoing government investigation,” It says."
Coulson,Why is he even on this? How does he know about that painting? We need to...
May,We need to go!
Talbot,"Yes, I've got it. There was one problem, though... S.H.I.E.L.D.'s here. Look. Recognize them?"
Whitehall,Fascinating.
Talbot,They weren't any trouble. You want me to come in?
Whitehall,No. I have a new plan.
May,I assume this all makes you happy.
Coulson,Why would this make me happy?
May,"We failed in our mission. We're outnumbered, trapped, hoping not to get killed. Feels like the old days to me."
Coulson,Yeah. I guess Talbot took this round.
May,I'm not giving up yet.
Coulson,"No. You always have my back. Speaking of, when we get out of this, we're having a real conversation about a contingency plan. You can't avoid it anymore."
May,We're clear.
Talbot,"Agent Coulson, Agent May, you seem like you're in a hurry."
Coulson,"The caterers ran out of coconut shrimp, no reason to stay."
Talbot,"You see, I was worried you left because I got my hands on the miracle painting and you didn't. Come on, Coulson. It's obvious we were there for the same thing. Now, I've been thinking..."
May,I'm sure.
Talbot,"I know there's writing on the back of that painting. The government wouldn't have sent me down here if we didn't. Phil, you're the only one that can help me figure out what that writing is. It's what you do. So why don't we help each other?"
Coulson,Why would I help you?
Talbot,You came all the way down here. I got to believe you want to know what that writing means just as badly as we do.
May,Yeah. Why do I have a feeling there's a catch?
Talbot,"There's no catch. You'll have to examine it in a secure military facility where I can keep an eye on you, but that's just... regulation."
Coulson,Okay. You got a deal.
Talbot,Excellent.
Coulson,"Just let me check in with my team. I need to give them their orders. You know, they'll get nervous if I just disappear."
Talbot,What do you need... about an hour?
Coulson,That ought to do it.
Talbot,I'm downtown at the hotel La Ona. I'll see you there.
Coulson,I look forward to it.
May,Change of heart... doesn't add up.
Coulson,No. He's working us. I just need to know why.
May,I'll handle it.
Coulson,May.
May,"Hey, this is the part I do. It will make up for all the dancing."
Coulson,You liked it.
May,"No, I didn't."
Coulson,Little bit?
May,Little bit.
Coulson,Check in as soon as you know something. And if something goes wrong...
May,I'll handle it.
Triplett,Don't remember Coulson asking you to do extra research on this thing.
Skye,I'm being industrious.
Triplett,Or are you digging into a top-secret mission to find out about the parts they're not telling us?
Skye,"I'm a good, helpful soldier."
Hunter,"Well, I happen to appreciate your instinct to be thorough. I myself prefer a pint and a good nap, but, then, I'm the lazy type."
Skye,“Lazy” is not the first word that comes to mind.
Hunter,"Dangerous? I understand. But truly, it should be “lazy.” I just hide it well."
Skye,Think that's what drove away the ex-wife?
Mack,"See, now you're bringing it back up."
Hunter,"Ha ha, and no. It didn't work out because interspecies relationships are hard. I was a human, whereas she was a demonic hell-beast."
Mack,He doesn't like her.
Triplett,You don't say.
Hunter,She's pure evil.
Skye,"Hey, at least you got away from your ex. The guy I had a crush on is now the psycho living in our basement."
Mack,"You know, I wish I could relate, but all my exes are awesome."
Hunter,Is that right? I seem to remember an entire year where you had to pretend you liked quinoa.
Mack,Yeah. That was a dark time.
Simmons,"Fitz, go join them. They're bonding. You'll be left out."
May,What have you done with Talbot?
Talbot,I'm right here.
Bakshi,"If Coulson sent her, it would seem he doesn't fully trust General Talbot."
Bakshi,We need to send in someone Agent Coulson does trust.
May's voice,Yeah. Why do I have a feeling there's a catch? Yeah. Why do I have a feeling there's a catch?
Bakshi,Just get Coulson back here. I'll take it from that point. This should help you neutralize Coulson's team.
Coulson,"May, you all right?"
Coulson,Copy that. See you when I see you.
Bakshi,Got his location. Go.
Simmons,Do you really think running away is the answer?
Fitz,I'm not running away. I wanted to be alone.
Simmons,Nonsense. You hate being alone.
Fitz,As evidenced by you.
Simmons,You're avoiding something.
Fitz,"Talking... they're just talking, And I'm having trouble with that lately."
Simmons,You're doing fine talking to me.
Fitz,"Yes, but I think you're ignoring a rather significant elephant in the room."
Simmons,"You're not afraid to talk. You're afraid you'll have nothing to say. Just tell them what you're thinking, how you're feeling."
Fitz,"Yeah, ‘cause that's worked out so well for me in the past. Besides... do we even have anything in common with that lot? Not anymore. Not even a... part of..."
Simmons,The team?
Fitz,Mm-hmm.
Simmons,"Of course you are. O-or you could be, if you'd just engage with them instead of hiding out here in the garage."
Fitz,"Yeah, well, it's not supposed to be a garage. It's supposed to be our lab, our place. But they changed it... didn't even ask me, just did it."
Simmons,The new lab is beautiful. It's bigger. It's got mo...
Fitz,"Yes, but it's not ours, and they didn't ask me because they don't care what I have to say."
Simmons,Fitz...
Fitz,Even Ward's more valuable than me. And he's perfectly able to speak in complete sentences. Should have heard the excuses he had for what he did to us.
Simmons,"Listen. You may be stumbling and stuttering on the outside, but you have to let them see who you really are underneath all that."
Fitz,Upstairs.
Coulson,I don't know what he was doing there. I don't know how he...
Skye,"May, we're just figuring out whether or not we should..."
Coulson,"So, Talbot was being honest?"
Coulson,Wow. Maybe we are getting through to him.
Coulson,Great. Let's move.
Bakshi,"Welcome back, Agent May. I have a few questions for you. For example, why your sudden interest in religious artwork?"
May,Everybody has a hobby.
Bakshi,You and your small band of S.H.I.E.L.D. compatriots... there can't be many of you left. Who's running your operation? Where are you based?
May,Currently? About five feet from kicking your ass.
