character,line
Robbins,"Burning man, two years ago, we were stuck in the desert... on a glow-in-the-dark bus. Is that it?"
Derik,What's burning man?
Robbins,Oh. Are you sure you're not from Iowa? Because you just sounded like it.
Derik,"Baltimore, born and raised."
Robbins,"This is gonna drive me nuts. I mean, it's crazy, right? We see each other from across the bar, and... we just wave at each other like we're long-lost friends. I know I know you. I just can't figure out how."
Derik,"To remembering. So, you're an artist."
Robbins,"Mm, yeah, I do some painting. And I teach community art classes. Is that how I know you? Are you an artist?"
Derik,I do some carving now and then.
Robbins,"Well, maybe the reason we think we know each other is because it was our destiny to meet tonight."
Derik,"Look... I haven't been entirely honest with you. We have met before, and I've traveled a long way to be with you."
Robbins,Okay. Maybe we should just slow this down.
Derik,No. We share so much... so many memories... so much pain.
Robbins,How... how... how do you know about that?
Derik,I'll help you remember.
Coulson,Damn it. How long were you standing there?
Skye,"Long enough. May gave us specific instructions... you go on a date with the crazy wall, I have to chaperone."
Coulson,I didn't want to wake you.
Skye,Do I look like I've been sleeping?
Coulson,What's keeping you up?
Skye,"It's all connected... everything. Ward has information about my father, who just happens to have the alien buzzkill device, which is somehow connected to the writing, that is related to the G.H. serum that is in our blood... like we're pieces to a puzzle."
Coulson,Except we don't know what the puzzle is or how the pieces even fit.
Skye,"It's a hacker's worst nightmare, everlasting gobstopper of firewalls."
Coulson,It wants us to know. I can feel it.
Skye,"Then it... should tell us, because I have been trying to match the writing to constellation maps, navigational charts, genome diagrams. And if it's a map, it's a map to nowhere."
Coulson,"I need you to stick with it. The writing's coming more and more frequently. Used to be two, three times a month. Then once a week. Now it's every day, every night. I can't turn it off."
Skye,How do you function? When do you sleep?
Coulson,That's why we need answers.
Skye,And what if we don't find them?
Coulson,Anything else?
Skye,When does May get back?
Coulson,Not until we find Ward.
Morse,This is Morse. I have agents positioned at multiple locations. We have been sitting here for an hour.
May,"He has 11 hotboxes within 200 miles of his last known position. Odds are, he'll show up at one of them."
Morse,Why isn't there a nationwide manhunt? He escaped from federal custody.
May,Senator Ward is covering it up. No one's looking but us.
Triplett,Triplett here. I've got eyes on the prize. I've got a clear shot and a trigger finger that needs some love.
May,No. Stand by and wait for your orders.
Triplett,"Director, say the word. I can end this."
Coulson,The senator wants him alive.
May,What do you want?
Coulson,Bring him in... by any means necessary.
Triplett,Copy that.
Triplett,"Damn. I don't know how, but he knows we're on him. He's got a dead man's switch and enough C-4 to take down the block."
Man,Bus 741 to Atlanta now boarding.
Triplett,He's on the move.
Coulson,"Do not engage. He's not bluffing. Keep an eye in the sky, May. Have Agents Hunter and Morse in position at the next stop. If we can't bring him in, at least we can see where he's going. We found Ward. What?"
Skye,"One of my sources, this guy micro... he's kind of a crime-scene junkie... he came across something. The writing, but not exactly how we wanted to see it."
Coulson,When were these taken?
Skye,Last night. Whoever did this is still out there.
Coulson,This is the victim?
Skye,Janice Robbins. Lives... lived in upstate New York.
Coulson,She's a S.H.I.E.L.D. agent.
Skye,"No, she's an art teacher from Iowa. I have her full bio."
Coulson,I'm not wrong. I've seen her. We should check it out.
Skye,You know we're breaking about 14 laws right now.
Coulson,One of the perks of being outlaws.
Skye,This had to happen on my shift? You couldn't wait till May got back?
Coulson,May's got her hands full with Ward. And we're the only ones who know what we're looking for.
Skye,What are we looking for?
Coulson,Answers.
Skye,"You're right. This place just screams S.H.I.E.L.D. agent. You two don't have a single thing in common, unless you have some Enya albums you've been hiding."
Coulson,No. Nothing in common at all.
Skye,I take that back.
Coulson,"There's a lot of overlap. We were definitely working on the same design, but she has some pieces I was missing."
Skye,How does the carving we found in Miami fit into this?
Coulson,Whoever did it was on our wavelength. There's just a few pieces missing. It's almost there.
Skye,"You were right. She's a S.H.I.E.L.D. agent. Agent Rebecca Stevens, level 6. Stationed at the Triskelion."
Coulson,That's probably where I saw her.
Skye,"Not recently, you didn't. According to this, she died five years ago from cancer. How is that possible?"
Coulson,We won't know until we perform an autopsy.
Skye,Don't you need a body for that?
Skye,How'd you two manage to acquire a body?
Fitz,“Corpsey diem.” Seize the dead.
Mack,"Huh. Like I told my man here, you want something in life, you got to grab it and walk out like you own it."
Simmons,"Is that all it takes? Really? Because I always thought if you wanted something in life, you had to work hard and earn it. Give me some room, please. Does she have any family?"
Skye,"No one. No relatives, no kids."
Coulson,She didn't deserve this.
Skye,Is anything coming back to you?
Coulson,She was level 6. It should all be in my head. But it's not.
Simmons,"We're going to need blood and tissue samples, full CBC, and multi-element analysis. Would anyone like to leave before we get started?"
Coulson,We'll stay out of your way.
Simmons,I'll let you know when I finish.
