character,line
Whitehall,"Beautiful, is it not? Your group was digging in the ground at night. How you found it is a mystery. Do tell us."
Man,We've heard the same stories as you.
Whitehall,"Well, we've both searched so long for a thing we barely understand. You can hold it, if you like. Please."
Whitehall,"Works quickly on this one. So, gender's not a factor, nor race... no pattern emerges. Fascinating. Put him with the others, then bring the next subject. Please, have a seat. Do not be afraid. Feel free to pick it up, examine it. Please."
Whitehall,Discovery requires experimentation. Remarkable. What makes you so special? I think it wise we prepare her for surgery. We must examine exactly what makes her tick.
Soldier,"Herr Dr. Reinhardt, Red Skull has fallen. He's dead. The allies approach."
Whitehall,"The world has lost a great mind. Put her in a cage. We'll unravel this mystery later, yes? Discovery requires experimentation, and this experiment will take time."
Whitehall,"With all of modern science and millions of dollars at your disposal, these are your results? I've had this information for decades. Bring him in."
Whitehall,"It's time to prove your claim, that you're an expert on this Diviner."
Cal,"I could have saved you weeks of work. Instead, you kept scratching and pawing at it like a monkey, expecting new results... the very definition of insanity."
Whitehall,Mr. Bakshi's disappearance has everyone on edge. These men will remain in case your temper returns.
Cal,"Not necessary, I assure you. Cool as a cucumber. Smart to play it safe. Tell me what you do know, sir, and I'll fill in the blanks."
Whitehall,I know that a special few can touch it without suffering. But I have yet to figure out how this weapon can be...
Cal,"Weapon? That's so small-minded. Uh, for someone with such a big mind. It's a key. It can kill, sure, but only to protect itself from those it doesn't divine... hence the catchy name... to be worthy."
Whitehall,"I'm interested in science, doctor, not folklore."
Cal,"Worthy of unlocking its true power. Oh, I got your attention. There's a place, and if one of those special people you speak of takes this Diviner to that special place, it won't just kill. It will do something... scientifically speaking... much, much cooler."
May,I'm unclear on how I'm stuck running the base and you're off to Hawaii.
Coulson,Don't get too jealous. I doubt I'll even see the tarmac. There's plenty of work to be done. Ward's till out there. Have you gotten a response from his brother?
May,"He has his own men on the manhunt. We're politically toxic, and he demanded that we stay away from the case."
Coulson,They'll never find him. I'll signal a few assets to be on alert. How's Agent Morse handling Bakshi?
May,"He wouldn't speak for the first eight hours, but she's working him. I'll send you any developments. Aloha."
Skye,Didn't want to crack him yourself?
Coulson,Bobbi's as good as they come. My job now is to keep an eye on the big picture.
Skye,And you found something to chase.
Coulson,"Fury. I've been thinking a lot about what made him such a good director. His communication skills... flawed. But he could always see five steps ahead, which, for a one-eyed man, is impressive."
Skye,He knew his enemies.
Coulson,"And for better or worse, he could think like them. Whitehall has a weapon that's unpredictable, but he's not. I don't want to be in a footrace to stop him. I want to be waiting at the finish line."
Skye,Which is the city.
Coulson,That's where I believe the Obelisk will lead HYDRA.
Bakshi,We grow stronger every day while S.H.I.E.L.D. clings desperately to a world it no longer understands. We will rip it from your hands.
Morse,"I've read the HYDRA pamphlet. Didn't your mother ever teach you, if you're gonna talk, say something."
Bakshi,I could go back to being silent.
Morse,"Well, might as well if you have no thoughts of your own. I don't understand how you can work for someone so..."
Bakshi,Call him evil all you want.
Morse,Nope. I was gonna say... boring.
Mack,She's chipping away at him.
Hunter,It's nice to watch someone else suffer for a change.
Mack,You talk to anybody about what happened last week?
Hunter,"A lot happens every week, mate."
Mack,"Uh, with the director. You didn't see what I saw. The guy was violent."
Hunter,Seems all right to me.
