character,line
Skye,Hello?! Coulson! Coulson! Where'd everybody go?! Where'd everybody go? Coulson! That sound... What is that? Coulson. What are you doing? We have a mission to prep for.
Coulson,"This is the mission. It opens. So weird, right?"
Skye,N-No!
May,"Sacrifices have to be made. Poison tree, poison fruit."
Coulson,"I know. Bye-bye, angel eyes."
Skye,No. Wait. Wait! Don't leave her! Coulson. May! Wait! Coulson!
Coulson,"Skye, wake up. Sorry I startled you. You okay?"
Skye,Hi. Yeah. I just dozed off.
Coulson,Grab your things. We're back.
Mack,"Look out! There we go. Coming through, coming through. Watch out, watch out. Coming through, coming through. Hey, hey, take it easy with that. I made that for Coulson."
Fitz,"Wow. Hey, you know, if you're looking for vacation time, bribery will get you nowhere, ‘cause I've tried."
Mack,"No, I'm hoping he'll let me work on the real thing."
Fitz,Brilliant. And so how do you get it to fly?
Mack,It doesn't. Aww.
Fitz,What? Something wrong?
Mack,Storm's coming.
Fitz,"No, weather's fine, actually. There's not a cloud in the sky. I checked."
Mack,"No, never mind. Were you looking for me?"
Fitz,"Yeah. Actually, um, the... Actually, I need to go to the plane."
Mack,"What, you need help with the holographic towers?"
Fitz,"No, no, no, no, no."
Mack,The descender rig? What?
Fitz,"No, Simmons. Have to... I have to give her a case, and then..."
Mack,"You know at some point you're gonna have to talk to her, right?"
Fitz,Good luck with the car.
Mack,Hey...
Simmons,"You're very lucky, Trip. If they hadn't used that clotting agent on your wounds... Well, let's just say I'm glad they did. I recommend a week of solid bed rest."
Triplett,Bed rest? Where's that in the S.H.I.E.L.D. handbook?
Simmons,"Whoa, stop it! You're going to rupture your sutures."
Triplett,"I won't be high-fiving anybody for awhile, but I'm okay, Jemma. There was a doctor in the house, remember?"
Simmons,"So, what was he like?"
Triplett,"Skye's dad? Yes. That man was out of his damn mi... Hey. Hi, Skye."
Skye,"Hey, yourself. Mission prep in five, cargo hold."
Simmons,Right. Roger that.
Skye,Talking about my dad?
Simmons,I'm sorry. It must be so...
Skye,Messed up?
Simmons,"I was going to use the off-color version of “messed up,” but it felt inappropriate."
Skye,"Oh, it's appropriate. My dad, Ward, the Obelisk, the city... it's all messed up. And... I just... I can't shake this vibe that something really bad is about to happen."
Triplett,"You mean like someone getting shot? Yeah, I got that covered already, so you can lose that vibe. We're good."
Simmons,"That's right. Yeah. Nothing but positive thoughts from here on out. That's not wood, is it?"
Coulson,"Here's what we know. HYDRA's on the move. They have the Obelisk and an expert who knows how to use it. We can't let that happen, obviously."
Hunter,Use it how?
Coulson,"Based on our latest intel, there's something very powerful inside it... a weapon."
Mack,"Are we talking chemical, biological, energy-based?"
Fitz,Could be anything. It's alien.
