character,line
Gordon,Aah! Aah!
Jiaying,Poor thing. How long since he passed through the mist?
Yat-Sen,"14 hours since terrigenesis. He's very emotional, Jiaying."
Jiaying,"I can see. Leave us. Gordon? Gordon, it's me."
Gordon,Jiaying? Help. I can't ... I can't see.
Jiaying,Shh.
Gordon,What's happened to me?
Jiaying,"It's all right. Take a breath, Gordon."
Gordon,"Help me, please."
Jiaying,"That's why I'm here. Can you follow my voice? Take my hand. It's okay. Come on. Aah! It's okay. I'm right here. Come on. Almost. It's gonna be okay, beautiful. I'll show you the way. Go ahead. Let it out. It's okay to cry, Gordon."
Gordon,I'm trying. But ... But I can't.
Yat-Sen,"We prepared for this his whole life, readying him for whatever may come."
Jiaying,"Every cell within him has changed, in his body and his mind. It's terrifying. But he's the ideal age... old enough to understand, young enough to adapt. He'll be fine."
Yat-Sen,"It's a blessing you age so slowly, Jiaying, able to counsel so many generations through the change."
Jiaying,"I won't live forever, Yat-Sen."
Yat-Sen,"Well, even with the years of preparation, without your warmth to guide them through their transformations, these poor souls..."
Jiaying,They would be lost.
Coulson,"I haven't been able to sleep, either."
Skye,"I keep thinking Trip is gonna come see me, make fun of me for being stuck in quarantine, call me a goldfish or a hamster or something. And every time I wake up... I remember all over again. I just can't believe he's not coming back. He should not have been down there."
Coulson,You both went in for a good reason. To prevent HYDRA from starting a cataclysm.
Skye,He was trying to save me.
Coulson,"He may have saved all of us. The Obelisk triggered a massive earthquake. Imagine how much worse it could have been if he hadn't destroyed it. He died a hero. Once medical clears you, we'll get you out of there. You'll just be stuck underground, like the rest of us."
Skye,How's everyone doing?
Coulson,"Just trying to keep busy. Everyone deals with it in their own way. When you sign up for this kind of life, you accept that loss will be part of it, but you never get used to losing one of your own, especially when it's... a good man like Trip. It happens too much. And over time, it makes it harder to let people in. Sometimes, just makes you want to pack up and run."
Skye,Is that what you want to do... run?
Coulson,Sometimes. You?
Skye,Couldn't even if I tried. How long did it take for Mack to get out of quarantine?
Coulson,"He cleared pretty quickly. Whatever took over his system is gone, but he's pretty shaken up."
Skye,And Simmons... is she back?
Coulson,"Not yet. She has a team documenting whatever they can in the tunnels, cleaning up, but it's slow going with no electricity."
Simmons,Be careful with that. This area is finished.
Coulson,"She'll assess the structural integrity of the place and, if possible, blow one of the vertical shafts under the ocean floor, flood the city with water."
Skye,And drown it for good.
Coulson,"Hopefully, the bedrock wasn't too badly damaged by the quake. The temple collapsed on itself. It's a miracle you're still alive."
Skye,Did you find Raina's body yet?
Coulson,"There's a lot of rubble to dig through, but not yet. Whatever gas came out of that Obelisk hit you, too. That's why we're being extra cautious. It's hard to make sense of all this."
Skye,"What? No, it... No, it isn't. We lost. We failed."
Coulson,"Skye, don't say that."
Skye,"It wasn't because of HYDRA. It was because of me. Don't blame yourself. If I didn't go down there, you could have blown the place!"
Coulson,That was one battle. This is a war.
Skye,And Ward and my father... The rotten core...
Coulson,Skye.
Skye,"... at the center of everything! We did not fail! Trip prevented a disaster, and Whitehall's dead. We cut off the head. And while HYDRA scrambles for a new one, I will crush them! I'm gonna make somebody pay... whoever the hell it is."
List,"Thank you, Mr. Bloom, for hosting. I regret that our biannual gathering has turned into a vigil."
Bloom,Daniel Whitehall has joined our founder in the afterlife.
Baroness,How unfortunate. I admired the man's commitment.
Banker,I was never fond of him.
Sheikh,We must not speak ill of the dead.
Bloom,Why? What's he going to do about it?
List,What this means is that there is a vacancy at a management position in this region of the world.
Sheikh,"And who would you like to see fill it, Dr. List?"
List,"Baron von Strucker thought that Sunil Bakshi was well-groomed to serve in that capacity, so why is he not present?"
Bloom,He's disappeared. We think he may have been captured by S.H.I.E.L.D.
Banker,"Then in all likelihood, he's dead, too, if he did his duty."
List,"You underestimate S.H.I.E.L.D., constantly, it would seem. Von Strucker would like this mistake to stop happening, so I'm going to make it simple... S.H.I.E.L.D. will take this victory as a chance to move against us."
Bloom,Come aboveground.
List,"Whomever can remove S.H.I.E.L.D. from the landscape permanently will win Whitehall's position. Does that sound fair? Meanwhile, I intend to find out if Whitehall's obsession with arcane artifacts was fruitless or if, indeed, it did produce something that we at HYDRA can use for our future."
Man,Aaah!
Man,"These are the last sections, ma'am."
Simmons,"Same conclusion... cavities are carved from lava rock. Therefore, these walls are not load-bearing. Alien stone lining to create electromagnetic flux field... at least, I imagine. I can't measure the bloody thing without electronic equipment. I could spend a year down here answering these questions. Photograph it, mark it off, and let's flood this cursed place."
Man,"Yes, ma'am. Aah!"
Morse,"Hey. Quarantine survival kit. Got a deck of cards for solitaire, bag of homemade trail mix if you want to eat healthy, a couple candy bars if not, headphones, a few trashy magazines. Cactus cooler. I keep a stash. I mean, you can only get it in California... it's the best. Anyway... I've been in quarantine before, and I know it can drive you absolutely nuts."
Skye,Thanks. I was beginning to feel like a leper.
Morse,"Are you kidding? You managed to be taken hostage by three known murderers, you gunned Ward down, then were blasted by an alien chemical weapon and walked out unscathed. Leper? I think you're a rock star."
Mack,"Staring off into space there, turbo."
Fitz,"Uh, i-it's Skye's bio-meter watch. It was damaged in the cave-in."
Mack,Records her heart rate?
Fitz,"And skin temp... lots of data. If I can fix it, I might be able to get a better, uh, like a... a snapshot of what happened down there. Can't make any sense of it just now, anyway. The... data in my brain is jumbled today."
Mack,"I'll get my small electronics kit. You know, you can start tinkering. You know, working with my hands always cleared my head."
Fitz,"How is it... your head, since..."
Mack,I told you. It's not gonna help to give you a play-by-play.
Fitz,I've never known you to be afraid to talk about anything.
Mack,"Yeah, well, you didn't feel it. And I can't describe it, so..."
Fitz,"Well, it's not good to keep things to yourself, Mack. I know what you're going through."
Mack,"Really? You know what it's like to lose control, to be trapped inside your own body, unable to tell it what to do, to watch yourself hurt the people that you care about?!"
Fitz,Yeah.
Mack,"I'm sorry, buddy."
Fitz,It's okay.
Mack,"I'm a little on edge. I guess I... I need to keep myself busy. Hey, can you request access to the schematics of the base? I want to double-check the ventilation systems and make sure the quarantine is fully isolated. I don't want anyone else falling prey to this alien crap."
Coulson,How many victims were there?
Simmons,"Two dead, three in critical condition."
May,How did Raina do this? She had no weapon.
Simmons,She was covered in thorns. It's hard to comprehend. I shot her a few times.
May,Good.
Simmons,"But none a fatal hit, it seems. I did manage to gather some tissue from the ground... blood and such."
Coulson,How long till you can blow the shaft on the ocean floor?
Simmons,"We're preparing the charges now. That place will be underwater and sealed up for good. Sir, as much as I'd like to join the manhunt for Raina, I'd much rather come back to H.Q., see... everyone, to study Raina's tissue and check on Skye."
May,Whatever transformed Raina...
Coulson,"She was exposed, as well. We have enough boots on the ground in Puerto Rico to hunt down Raina. Come home, Jemma. Gather everyone. We're going after HYDRA now."
