character,line
Lady Sif,Kava. I must find Kava.
Tiago,Sorry. I don't know who that is. Do you guys?
Bruno,Hey. A pretty lady like you shouldn't be out here all alone. I can help you find Kava. I can help you with anything else that you need.
Tiago,Lady! Who the hell are you?!
Lady Sif,I do not know.
May,"Not bad. But once I'm pinned, you should try for a finishing blow."
Skye,You want full “Mortal Kombat?”
May,"I want you to stop holding back, Skye."
Skye,I didn't want to hurt you. I didn't want to try to hurt you. I feel like I'm constantly on the verge of... I don't know.
May,"Look... we lost Trip, and it hurts like hell, but you can't shut those feelings out. Can't sustain that."
Skye,"Well, what's my option? I just lose it right here?"
May,"We've talked about this. Control. Embrace your emotions, your nerves. Use them... on your terms."
Skye,I don't know. What I'm feeling is pretty... dark. I'm afraid I'm gonna go postal and tear your head off.
May,Go for it. I promise you won't.
Fitz,Maybe Skye needs a break.
May,Training is not a group activity.
Fitz,"Yeah. I just came down to... have ... Uh, see what... i-it's about."
May,"I'll tell you what, Fitz... come back in an hour. I'd be happy to show you what it's all about."
Skye,"I'm fine, Fitz. Really. It would be pretty funny to see you and Fitz go at it... Okay. Guess we're back on."
May,And not holding back.
Morse,Water.
Hunter,So... Coulson calls me into his office the other day.
Morse,Hmm?
Hunter,I thought he was gonna read me the riot act... S.H.I.E.L.D.'s rules about fraternizing with fellow operatives.
Morse,They're strict.
Hunter,But... he made me an offer. Wants to make my position here permanent. He's shorthanded now.
Morse,You thinking about it?
Hunter,"Well, wasn't thinking of leaving anytime soon. And I wouldn't mind taking on some more responsibility."
Morse,Responsibility? Did you hear the words that just came out of your mouth?
Hunter,"Yeah. That sounded a bit strange, didn't it?"
Morse,Yeah. Who is that guy?
Hunter,"I don't know. But I do not trust him. Anyhow, can't hurt. Plus, this is fun."
Morse,Oh. Fun was never a problem for us.
Hunter,"No, you're right. That part was always easy."
Morse,Till things go South.
Hunter,"Yeah, then you turn into a bit of a nightmare. I remember it well. You tell me. It seems the thing that always came between us was your dedication to S.H.I.E.L.D. Now we're on the same team. It's simpler."
Mack,The last Stark copper jackets.
Coulson,I'll make sure hill puts them on the list. Anything else?
Mack,"Sir, I can handle inventory myself. And I hope this isn't about my reaction after..."
Coulson,"No, I told you... we're fine. After Puerto Rico, we need to take stock. What happened out there was..."
Mack,"Yeah, I don't like thinking about that."
Coulson,"I don't blame you, but I have been thinking about it, and I realized I've been wasting your talents."
Mack,Sir?
Coulson,"Look, I know you love it under the hood of a car, but... I could really use you out in the field. You're a force to be reckoned with, Mack. Believe me."
Mack,"Okay, but violence isn't really my thing. You know, that alien crap made me into something I'm not."
Coulson,I know. But have you seen yourself? You're a little bit of a beast all the time.
May,A blue-dot operative in Portugal phoned in. You should hear what he has to say.
Coulson,Looks like you're starting now.
May,"Oh, you'll want everyone on the bus for this."
Coulson,Thank you for watching her.
Carvalho,"I hear from the prime minister's office I'm to hold this crazy lady here for you, I hold this crazy lady."
Coulson,How did you subdue her and get her to wait?
Carvalho,No subduing. She stayed willingly once I told her I'd found “Kava” and he was on his way to meet her.
Coulson,Oh. But I'm not Kava.
Carvalho,I'm glad I'm not the one who has to tell her that. Pick up her sword from booking before you go.
Lady Sif,So you are not Kava.
Coulson,No. But I'm a friend. “Son of Coul?” See? We've worked together before.
Lady Sif,I apologize. I do not remember.
Coulson,You have no memory of who you are?
Lady Sif,"I-I know I am from Asgard. But I do not remember my home there. You tell me my name is Lady Sif, but... why I left Asgard, what brought me here to Midgard... why I wear these hides instead of armor... a mystery."
Coulson,One I'll help you solve. I'm sure a clue will turn up somewhere.
May,Twitter. Skye found it.
Lady Sif,That's me. I don't remember this. I'm a decent fighter.
May,This guy can hold his own against you. Impressive.
Coulson,"Last time you were here, you came to collect a rogue Asgardian. That would explain his strength."
May,"Regardless, she traveled across the universe to find him. He's dangerous."
Coulson,"Make that more than dangerous. We know you were after him. Question is, what's he after?"
Vin-Tak,"Take me to your supplies, powering elements... fuel! Do not try and fight me. Someone on your world has changed. I am here to hunt them down."
Nurse,What do you... What do you want from me?
