character,line
Rhonda,You like fried chicken? Ours is the best in the county.
Rhonda,"Of course. And what about you, handsome?"
Ward,Think I'll try the pumpkin pancakes.
Rhonda,Ooh. Good choice. How about I grab you some pecan syrup while your friend makes up her mind?
Ward,Hmm.
Ward,Did you not hear what she said about the pecan syrup?
Ward,"Hey, I tried being the meat-and-potatoes guy."
Ward,"Says the girl who saved my ass back in Puerto Rico, nursed me back to health."
Ward,Then I guess we're both lucky you found me. Looks like we're a go. I was really looking forward to those pancakes.
Ward,"Do as she says, and nobody gets hurt. Don't worry, Rhonda. Everything's gonna be just fine. Even left you a tip."
Selwyn,"Please, just take it. There's over $200 in there."
Selwyn,Why?
Simmons,"Well, the bruising has started to fade, though I'm afraid these stress fractures will require a bit more time to heal."
Skye,Great. Tried to go zen to keep my powers in check only to find myself... aah... back on the D.L.
Fitz,The “down low?”
Skye,The “disabled list.”
Fitz,"Oh. Oh, yeah. That makes more sense."
Skye,"Yeah, and now I'm all..."
Fitz,"You know, it could just be growing pains... from the new powers."
Skye,"It's okay, Fitz. You don't have to put a positive spin on this."
Fitz,"I'm not doing that. I would never patronize the... Well, the... things change. That's what I'm saying. So maybe if you can learn to control this, then... you could have avengers-level powers, something like Captain America, even."
Simmons,"I think it best we keep in mind the unstable nature of Skye's power. If there is an Avenger equivalent, right now I'm afraid it's the Hulk."
Fitz,"Well, Hulk saved the world, last I checked."
Simmons,"You're absolutely right. But given the choice, I believe Bruce Banner would not hesitate to cure himself once and for all."
Fitz,"Well, then... I guess we should be thankful that nobody's given him the choice."
Simmons,"Oh, Fitz..."
Fitz,"Don't “oh, Fitz” me. I'm be..."
Fitz,"I'm sorry, Skye."
Simmons,This really isn't about you.
Skye,I'm pretty sure it is. I'll go back to the cage.
Coulson,"Andrew's recommending Skye be removed from S.H.I.E.L.D., effective immediately."
May,I agree with his recommendation.
Coulson,I've got to admit... I'm surprised to hear you say that.
May,I can agree with my ex. Skye's too dangerous to be out there right now.
Coulson,You just brought her into the field.
May,I had no other choice. You were in danger. I made a call. And Skye's injuries were something... neither of us saw coming. What won't we see next time?
Coulson,Hard to say.
May,"Which is why you need to remove Skye from the equation. I know it's difficult, Phil. S.H.I.E.L.D.'s always wrestled with how to handle people who are enhanced. And add Skye's alien DNA to the mix, it's a whole new category we have to deal with."
Coulson,"This isn't about categories on the index, May. We're talking about Skye."
May,"And as her S.O., I am telling you, I have no idea how to handle her."
Coulson,You'll find a way. You always do.
May,Not always.
Coulson,This isn't Bahrain. Okay? We know who we're dealing with here.
May,"Don't fool yourself. Skye's changed. Maybe not on the surface, but inside. She doesn't know herself anymore."
Selwyn,I want you to blink twice for me. Did the facial-scan diagnostic appear?
Selwyn,"Now close your eyes for two seconds, and the change should take effect. Hmm. That reminds me of my Berkeley days. Well, the effect would be far more convincing if you were to replicate the face of another woman. And don't forget... I stabilized your vocal processor. Admittedly, it's not quite as precise as my original nanomask. But regardless, I think you're going to find it extremely useful for any on-the-go S.H.I.E.L.D. or Hydra operations? I see you figured out how to reset the mask. Just remember the program's memory can only store up to three facial scans at a time."
Ward,And you're sure there's no way to remove the mask?
Selwyn,"There's nothing I can do. But if you want your old face, just turn the machine off."
Selwyn,"Please, I know this is difficult. But look at the bright side, now you can be anyone you want. Maybe you can find an old photo from before the accident. Use that for the facial scan. Let the mask do the rest."
Ward,"Not sure where I'd find one. To be honest, I haven't even seen her face."
Selwyn,"Oh. I see. Well, then I guess it's fair to say we all hide our true selves, don't we?"
Ward,Or we just... wait for the right time to reveal the truth.
Hunter,So this is what all the fuss is about... another S.H.I.E.L.D.?
Mack,Lower your voice. It'll all get worked out momentarily.
Hunter,"Lower my voice? You must be joking. So, where now? To see the wizard?"
Mack,"Eh, something like that."
Hunter,Priceless. I guess one boss wasn't enough for you and Bobbi.
Gonzales,Seems the road trip hasn't dampened your friend's spirits.
Mack,"Gonzalez. It's good to see you, sir."
Gonzales,"It's been too long, Mack."
Mack,Yeah.
Gonzales,It's good to have you back on board. You must be Lance Hunter.
Hunter,And you must be crazy.
Gonzales,"I assure you, none of us wanted this."
Hunter,I think I preferred you acting alone instead of taking orders from the clown academy.
Gonzales,"This is not about blindly following orders, Mr. Hunter. This is about leaders being held accountable."
Weaver,"To the men and women they serve, as well as those that govern alongside them."
Hunter,"Thanks for the democracy lesson, Lady Thomas Jefferson. But if it's all the same, spare me the sales pitch."
Calderon,That's great. We should throw him in the brig.
Gonzales,"Let's not be hasty, Tomás. We at least owe him an explanation. We founded S.H.I.E.L.D., the real S.H.I.E.L.D., on the belief that leadership should operate with transparency and not from the shadows."
Weaver,Nick Fury simply kept too many secrets.
