character,line
Reporter,"Today, world leaders are scrambling for answers after S.H.I.E.L.D. was crippled by a series of devastating attacks. No one seems to be sure how long the terrorist group known as Hydra has been operating within S.H.I.E.L.D.'s ranks. But today, They made their presence known when they destroyed S.H.I.E.L.D. headquarters, the Triskelion."
Tim,"I can't feel my arm, Mack. Can't feel it."
Mack,"Tim, I'm gonna need you to trust me now, buddy. It's gonna be okay."
Reporter,"Once affiliated with the Nazi party, Hy..."
Tim,It's me. I-I'm chief.
Mack,No! No! No! He's lying to protect me. I'm the one you're looking for.
Mack,Tim! No! No!
Morse,Got to get you a gun one of these days.
Hartley,Save my bullets for the real fight.
Susanna,You all right?
Case,Yeah.
Mack,What is that thing?
Morse,"My phone. Needed a distraction. We used all of our other gadgets getting into the ship. Hydra's everywhere, Mack."
Hartley,Hey. This isn't over yet. Time to get moving.
Mack,What's the plan? What are you even doing here?
Hartley,Fury left us orders.
Mack,To do what?
Morse,To save S.H.I.E.L.D.
Mack,"So, I got to say, this is quite an honor. I know how much Lola means to you."
Coulson,"I figured you earned a peek under the hood, but not without supervision."
Mack,Of course not. Wouldn't have it any other way.
Morse,Sir? No sign of Hunter. He must have taken off right after Mack saw him.
Coulson,Guess you were right. Permanence isn't his thing.
Morse,"I believe any reservations that he has are about me, not S.H.I.E.L.D. Honestly, I let things get out of hand between the two of us. I take full..."
Coulson,Don't. Hunter's not your responsibility. He's my agent. That's why I put out feelers of my own. We'll see soon enough where he stands.
Morse,"Well, let me know if there's anything I can do to help."
Coulson,"The path we've chosen... doesn't leave a lot of room for trust, does it?"
Skye,"It's a little weird here. I'm settling in. I've played a couple dozen games of solitaire. It's a lonely game, that solitaire."
Simmons,"Well, May will head there soon, so don't give up on solitaire just yet."
Skye,And who do I have to thank for the little Debbie snack cakes?
Simmons,That was Coulson's idea. But I did pick you out some nice gluten-free biscuits.
Skye,"Ah. Yeah, I'll... I'll... I... I'll look for those."
Simmons,Have you tried on the gloves yet?
Skye,"I have not, but I... I will."
Simmons,"Well, when you're feeling up to it, it might be worth giving them a go. They're obviously just a prototype, but they're laced with a microthread I designed, which should accelerate your healing and dampen the vibrations. I just want you to be safe, Skye. You know that, right?"
Skye,"I do. It means a lot, Jemma. Thank you."
Simmons,"Okay, then. Call me if you need anything."
Skye,I will. Bye.
Fitz,How's your science experiment going?
Simmons,"I told you, Leo, I'm only trying to help."
Fitz,"Whatever, Jemma."
Coulson,"It's not the first time you've taken a look under Lola's hood, is it? That toy car you gave me It's a perfect replica. Well, almost perfect."
Mack,"It doesn't fly yet, sir, but I promise you I'm working on it."
Coulson,"That was unfortunate, but that's not what I'm talking about."
Mack,"I'm sorry, sir. I'm not following."
Coulson,"Yes, you are. I know Lola like the back of my hand, so it wasn't too hard to find once I went looking. I still haven't figured out what that component you put in there does, but I'm having Fitz take a look now. You could save everyone a lot of trouble by just telling me what it is you're after. You went through rigorous testing when you joined my team. Help me remember. What did you say when I asked if you were loyal to S.H.I.E.L.D.?"
Mack,"I said I was because I am, and that's the truth, sir."
Coulson,"Look... you've always been brutally honest with me, and I value that. So I'm giving you a chance here. Just tell me who you're working for."
Mack,I work for S.H.I.E.L.D.
Coulson,"So you want to do this the other way? Okay, then. I've lost too many friends to Hydra."
Mack,So have I.
Coulson,"You're not in this alone. I know that much. Are you working with Hunter? Or is he just a pawn in this, too? Oh, God. Get May on the line, now."
May,I told Coulson there was no way. I hate being wrong.
Morse,"Please, okay? There's no need for the gun. I can explain."
May,Can't wait.
Morse,I work for S.H.I.E.L.D. I do. I swear. But you don't.
May,Try again.
Morse,"What Coulson's doing here, this isn't S.H.I.E.L.D... not the real S.H.I.E.L.D., anyway."
May,The last person who betrayed me... I broke his larynx. Hand that over.
Morse,"May, it doesn't have to be like this."
Morse,I didn't want this.
Coulson,"Damn it. You three, find him. The rest of you, follow me."
May,It's us. Found Fitz.
Coulson,Talk to me.
May,It's Bobbi. She set off some kind of E.M.P. She's gone.
Coulson,"Mack, too."
Fitz,He embedded a scanner into little Lola's engine. It was programmed to find anything with vibranium.
May,That's how Bobbi knew where to look. She has Fury's toolbox.
Coulson,Go. Find her.
Fitz,We can't let them escape.
Coulson,We won't.
Fitz,I'll make my way to the server room and initiate a manual lockdown.
May,They know all of our protocols. We handed Mack the schematics of our base.
Coulson,They don't know everything about this place... not like we do.
May,"She said she was working for S.H.I.E.L.D., Phil, the real S.H.I.E.L.D."
Coulson,What the hell does that mean?
Morse,"We're running out of time, Mack. I need to find him."
Mack,Conference room is up ahead. If he's not there...
Morse,"Commander Gonzales, wait. We're not Hydra."
Gonzales,I've heard that before.
Morse,"I'm Agent Bobbi Morse. We're here under Fury's orders, protocol A-S-T-A-0-6."
Gonzales,Thank God. It's been a bastard of a day.
Morse,"Sir, our mission is to get you off the ship."
Gonzales,"That man there had an ax. Now I have it. Still, left quite a mark."
Gonzales,Agent Morse.
Morse,Coulson and May knew something was up. I had to go to plan “B.”
Calderon,What about Mack?
Morse,"Unclear, but I have the toolbox."
Gonzales,Good work.
Morse,Any word on Hunter?
Gonzales,We're still trying to track the evac pod. No luck yet.
Calderon,Have you found the girl's location?
Morse,"No, but if Coulson knew something was up, he probably took Skye somewhere far away from here."
Simmons,Hello. This is Jemma Simmons. Please leave a message.
Skye,"Hey, Jemma. It's me. Um, can you call me back? I... I put the gloves on, but, uh, are they supposed to make you feel woozy? Um, maybe that's just a side effect. Also, are they supposed to be this tight? I'm not complaining. I'm just wondering. Anyway, call me back when you can. Okay, bye."
Skye,Whoa.
Skye,"Uh, Fitz, why did you make me watch “Paranormal Activity?”"
Gordon,"Hello, Skye. I'm Gordon. May I come in?"
Gordon,"So, What is the plan with that?"
Skye,You... You can see?
Gordon,"Not the way you do, but I can see that you are afraid. You don't need to be. Not with me."
Skye,Who are you?
Gordon,"I'm like you. And I've come here as a friend. Can't imagine how it must have felt to go through your transformation without any understanding of what to expect. I had years to prepare. And still, I was horrified by what I became. Granted, I was younger. May I sit? This couch is very uncomfortable. I wish you wouldn't stare."
Skye,Uh...
Gordon,"Th-that was a joke. I'm not very good at them. I don't mind that you're curious, honestly. And, yes, I used to have eyes. They were blue. This... This was the obvious change for me, but what happens inside can be just as profound. You see, the mist changes everyone differently. The real difference between the two of us is what happened after we went through the mist."
Skye,What do you mean?
Gordon,"I knew from an early age how special I was. Had a mentor, a guide of sorts. And the first thing she did after I transformed was embrace me. Tell me, Skye, what was the first thing that S.H.I.E.L.D. did to you?"
Simmons,Bobbi! Thank God it's you. I couldn't find anyone.
Morse,"Me, neither. But we'll be safer now that we're together."
Simmons,"Right. Good. So, what's next?"
Coulson,Found my three agents.
May,Let me guess... unconscious?
Coulson,"Mack took them out, then disabled the bus. Any luck on the Quinjet?"
May,Engine line's shot.
Coulson,Looks like they don't want to be followed.
May,They're not killing anyone.
Coulson,Is this you Looking at the bright side?
May,Hydra leaves bodies behind.
Coulson,"Honestly, I don't give a damn who they're working for. If they took Fury's toolbox, I bet that's not the only thing they're after."
