character,line
Raina,What are ... Were you watching me?
Jiaying,I didn't mean to startle you. I heard you calling out.
Raina,I was asleep.
Jiaying,Yes. And dreaming. Do you want to tell me about it? Lincoln said you'd been having nightmares.
Raina,"Lincoln. He was actually in this dream, being held somewhere, being hurt. It felt... real."
Jiaying,Excuse me.
Cal,"Where's my wife?! Ahh! Didn't expect to see me back here so soon, did you, my love? Not after such a well-planned banishing!"
Skye,Where's Lincoln?
Cal,You took me from my home!
Gordon,"All right, that's enough!"
Jiaying,"Cal, this isn't your home."
Cal,I know that now.
Skye,"Hey! Lincoln is still out there. Gordon, can you please?"
Jiaying,What happened?
Skye,There was an attack.
Cal,Can we please get back to what matters here? You tried to take me away from our daughter. It's unacceptable!
Jiaying,"Go calm down, Cal. You and I can discuss this later. There are worse options."
Jiaying,Are you okay?
Skye,I'm fine. But Coulson was there.
Gordon,It was HYDRA. I tried stopping them. I barely got away. They took Lincoln.
Coulson,Robert. It's good to see you.
Gonzales,Is it?
Coulson,"Okay. It's good to see my bus, but, hey, you look well, too."
Gonzales,"Why turn yourself in now, Phil?"
Coulson,Strucker and List have been running experiments on enhanced people. They've set up a base in the Arctic. I have a man on the inside who fed us their location.
Gonzales,I can't trust you.
Coulson,"Then trust the mission. Robert, don't let this be about you and me. The one thing we still have, both of us, is stopping HYDRA. Don't we?"
Gonzales,What's your proof?
Coulson,Firsthand. List took Mr. Peterson.
Gonzales,"Deathlok, the thing HYDRA created."
Coulson,"Mike Peterson, an ally. He's been working for me."
Gonzales,This is not helping your case.
Coulson,"We have a chance to hit HYDRA, hard. They're operating on powered people. We can shut that down and save lives."
Gonzales,"Perhaps, but I'm gonna ask again. Why should I trust you?"
Coulson,"Because we all have our secrets. You have one sitting in the cargo hold of your ship, but I'm still willing to work with you."
Gonzales,How do you know that?
Coulson,"Because it's in this box, which I will open for you if you trust me."
Skye,I don't understand. Why was Lincoln there?
Jiaying,"Because of me. I asked him to go and protect you, to keep you safe. It was a mistake. I should never have let you go at all."
Skye,It was the right thing to do. We have to make sure that the Cal that we put out into the world is the same Cal that I've seen here. T-the safe and user-friendly Cal.
Jiaying,You were trying to make it easy on him. You were being compassionate.
Skye,How do we get Lincoln back?
Jiaying,We don't. It's too much of a risk.
Skye,You don... You don't understand. They will torture him. They will kill him.
Jiaying,I know exactly what HYDRA is capable of doing. I've carried the memory of what they did for decades.
Skye,I'm sorry.
Jiaying,"And I wish I could save Lincoln from that, but I suspect somehow HYDRA is tracking Gordon's movements. Anyone I send will be at risk, too. And Lincoln wouldn't want me to. These people are important to him. He wouldn't want them to risk their lives. We can't rescue Lincoln, not now. I'm sorry."
Lincoln,What the hell?
Mike,Welcome back.
Lincoln,Who's there?
Mike,We didn't get to formally meet. My name's Mike. I think we got knocked out together.
Lincoln,You're the guy with the parts. You know where we are?
Mike,No. At least they haven't killed us yet. But there are bodies out there.
Lincoln,"Oh, great. You got all that hardware. Use one of those weapons and get us out of here."
Mike,Right. Because I didn't think of that.
Lincoln,At least your sarcasm still works.
Mike,They disabled the arm. It's dead. What about that teleporting guy? He coming to help us out?
Lincoln,I hope not. I think they're tracking him. He'd put all my people at risk.
Mike,Yeah. My people are just as outmatched. Only they're stupid enough to try it.
Lincoln,"So if we want out of here, we got to do it ourselves. I'm Lincoln."
List,"Thank you, doctor. Hail HYDRA. Well, Strucker's most pleased with our progress. And he's very anxious to see the subjects with his own eyes."
Bakshi,"They are an interesting contrast, these two. This one, the one they call Deathlok. His modifications are mechanical, bestowed by science, by man."
List,And the other?
Bakshi,"His oddities are intrinsic, somehow bestowed upon him by nature."
List,"Yes. But knowing the difference is not the same thing as re-creating it. And to that end, I hope to..."
Bakshi,"To isolate the genetic component, yes. A comparison between the two could be invaluable. Dr. Whitehall believed discovery requires experimentation."
List,I do miss him.
Bakshi,"As do I. But the world moves on, and we form new allegiances."
List,"I'm very glad to hear that, especially as we proceed with the experimentation."
Mike,Here we go.
Gonzales,That's your plan?
Coulson,"I take it from your expression, you're not dazzled."
Gonzales,Why send a small infiltration unit? Why not a full-on assault? Blow the base to particles.
Coulson,I'd rather not sacrifice the prisoners. Rescue is ideal. We don't even know how many people HYDRA's holding.
Gonzales,I'm not sure I'm willing to put my people at risk.
Coulson,You don't have to. I've already got my own people picked out.
Fitz,How you feeling?
Hunter,Nauseous.
Fitz,Mm. You want me to get...
Hunter,"Oh, no, not from getting shot. That's nothing. It's those two. I think they actually, like each other."
Fitz,"Just, um, just focus on your wound. It'll be less unsettling."
Ward,You want to take the stick? I could teach you. Come on. I think you'd like to fly.
Kara,"No. No. If I fly, I'm taking us to Mykonos or Kauai."
Ward,"So, you don't like our plan?"
Kara,"Grant, S.H.I.E.L.D. makes me nervous. Didn't you already fulfill your promise to Coulson?"
Ward,But not my promise to you. There's still one more thing I need from him before this is over.
Hunter,Yeah. Green light! Go!
Gonzales,Agent May.
May,Sir. Welcome back.
Ward,Nice to be back.
Gonzales,You'll be accompanied by guards at all times.
May,Each of whom will shoot you without hesitation. Remember that.
Ward,"May's actually pretty friendly, once you get to know her. Gentlemen."
May,"You finally come back, and you bring Grant Ward onto the base. I hope this plan of yours works."
Coulson,You and me both.
Coulson,This video feed was streamed from Deathlok's eye less than an hour ago.
Gonzales,What happened?
Coulson,It appears HYDRA removed his eye.
Morse,"Well, we've got a problem. Without Deathlok's feed, we don't have eyes on the ground."
Ward,"Not true. I have a man working on the inside, Sunil Bakshi."
Morse,I know Bakshi. He's a HYDRA agent.
Ward,Not anymore. Now he works for me.
May,Says the HYDRA agent.
