character,line
Billy Koenig,Sam.
Sam Koenig,Billy.
Billy Koenig,"Uh, American flight 220 gets in three minutes early."
Sam Koenig,Copy that. And what was with you rage-quitting “C.O.D.” last night?
Billy Koenig,What's up... What's up with you and all the spawn kills?
Sam Koenig,"It's called “black ops” for a reason, Billy."
Billy Koenig,And ... And crunching pretzels in my ear the whole time.
Sam Koenig,"How was your flight, sir?"
Coulson,Another middle seat. But I remembered to bring you this.
Sam Koenig,"Oh. Sweet. Thank you, sir. Hope they never go out of business. So, Simmons is adjusting nicely to HYDRA."
Coulson,"She's tougher than she looks. Skye's doing well in her training with May, And Trip's on board full-time."
Sam Koenig,"Well, what about the new recruits? Billy says that Hartley and Hunter keep drinking all of his beer."
Coulson,Not surprised to hear that. Any update on Agent Gonzales?
Sam Koenig,"Unfortunately, no. There's a pretty good chance that HYDRA took him out."
Coulson,Keep looking.
Sam Koenig,"And, uh... Fitz? Any progress?"
Coulson,Some.
Sam Koenig,Does May still think you're on a recruiting trip to London?
Coulson,"She does, which is why I don't have a lot of time here."
Sam Koenig,"Okay. Well, sir, first, you are going to need..."
Coulson,"A lanyard. Yes, I do."
Sam Koenig,"Blue and gray. Subtle, masculine, gels nicely with the new triangular design."
Coulson,"What are we calling this, anyway?"
Sam Koenig,"The Theta Protocol, sir."
Coulson,“Theta Protocol.” I need you to write that down for me.
Sam Koenig,"I gotta tell you, it's not easy to keep something as big like Helicarrier in secret."
Coulson,Cards on the table.
Gonzales,"Obviously, you and Fury have been keeping busy."
Coulson,"What can I say? I'm a company man. [i]With the fall of SHIELD, Fury felt we needed a failsafe, something completely off the books, a “break in case of emergency” type of thing."
Weaver,Seems like you broke it wide open.
Morse,And saved the day in the process.
Coulson,"What's transpired over the last week is a lot to take in. I know. When I found out that this ship had survived HYDRA's attack and still had that classified cargo onboard, that you placed spies on my base, that I couldn't keep my own people safe. I felt like I'd failed as director. And the truth is, I did. A coup will make you think about things like that. I tried to do it all alone. That was a mistake. Even Fury had a World Council watching over him, providing guidance."
Gonzales,What are you suggesting?
Coulson,"One SHIELD, where I operate as director, under your advisement. This way, we'll have a cool underground base and a boat."
Gonzales,"It's hard to argue with a man who prevented Ultron from killing thousands of people. But there are plenty more battles to be won, and one closer to home that I fear the Helicarrier won't solve."
Fitz,She's been in there every day. You think she'll stay when he wakes up?
Simmons,"She says she wants to take him home, whatever that means. She won't say much else about it, not to me, anyway. You can go ahead and take that off now, Agent Palamas. Thanks. Hmm. Your brain scans look rather normal, considering."
Kara,What does that mean?
Simmons,"Well, you'll still have some memory gaps, obviously, but any part of the HYDRA indoctrination that was affecting your actions is gone. Your mind's your own again."
Kara,"Thank you, both of you. Honestly, I think knowing Bakshi's gone has helped more than anything. You know as well as I do what a monster he was. You were undercover at HYDRA with Agent Morse, weren't you?"
Simmons,"Well, sort of. I didn't know she was there at the time. She had very dark hair. But she did save my life when it came..."
Skye,"Hi. It's okay. I'm here. You're safe now. Added bonus, you're not naked with needles poking out of your skin."
Lincoln,"Skye, why are we... No."
Skye,"Oh. Uh... uh, it's okay. You can trust them. They're my friends. They helped save you."
Lincoln,You never should have come for me.
Skye,I had to. Jiaying wouldn't allow it if I...
Lincoln,There's a reason for that. The only thing that's kept us safe all these years is that we were a secret. Now SHIELD knows we exist. And they won't stop till they find Afterlife.
Michael,Blue light? Really?
Raina,"Spilling out of your son, from every pore. He'll go through the mist when he comes of age, Michael, and he'll be beautiful."
Michael,Thank you.
Gordon,You're looking very well.
Raina,"You were right. It is a gift, all of it. I just needed to embrace it, embrace my life here, my purpose to help my people."
Gordon,Your vision of the devastation of Sokovia has proved your value to all of us. Have you had any more visions?
Raina,"All the time now. I'm starting to feel at peace, less fraught with fear and pain. Though sometimes, it's hard to tell what's a vision and what's a dream."
Gordon,"Well, maybe I can help."
Raina,"Last night, I saw something beautifully peculiar. It's hard to describe. It was a giant stone, but not a stone. And then, suddenly it was like an ocean, waves crashing against the shore."
Gordon,"Hold on. This stone, were there deep cavities carved into it?"
Raina,How did you know?
Jiaying,This could mean the end of us. I don't understand.
Raina,Have you come across this before?
Jiaying,"Only through stories passed down by our ancestors. It's Kree, dangerous, intended to destroy our people."
Raina,But didn't they make us?
Jiaying,"Then they decided we were a mistake. Gordon, do you think you could locate it, confirm it exists?"
Gordon,"If it's Kree, I suppose I could find a connection to tether. But it'll only put me in the vicinity."
Raina,"Maybe I could help. If I see the place, I'll know it."
Gordon,It will be easier if we're together.
Jiaying,Go. Find it.
Raina,This is it. It's here.
Gordon,Does any of this look familiar?
Raina,No. I remember a red door.
Morse,Thought you'd be happier. Or at least content. Things are getting back to the way they were.
May,"You really believe that? Or do you hope that if you forgive Coulson, Hunter will do the same for you?"
Jiaying,You said Raina's manipulative. But is she dangerous?
Cal,That depends on how you define “dangerous.”
Jiaying,She convinced Gordon and Skye to go after Lincoln even though they knew it wasn't safe.
Cal,"Daisy's strong. She gets that from you. But if she's not okay, I will personally rip out Raina's little, tainted rat heart! Or not. W-Whatever you want."
Jiaying,Who was she when you first met her?
Cal,"She had nothing. No family, no home. Somehow, she convinced this café owner to bring her old pastries, persuaded a tailor to give her leftover fabric so she could make dresses."
Jiaying,Resourceful.
Cal,"Selfish. Soon, she demanded the warm, fresh pastries, not the stale ones. If they were willing to give her cotton, why not silk? I've never seen her not want something."
Jiaying,What is it you think she wants now?
Raina,I've envied you because Jiaying needs you. You bring people in and out of Afterlife. I'm just an annoyance.
Gordon,"Oh, that's not true. Your gift is incredible. I've never seen anything like it."
