character,line
Man,Did you see what he did?! Whoa!
Man,Hey!
Joey,Sorry. I... I'm sorry.
Joey,"I'm sorry. I don't know what's happening to me. I'm just trying to get to the hospital! Please! Whoa, whoa, whoa, whoa!"
Man,Hands in the air! Now!
Banks,"We have the alien threat surrounded. 5th, between pike and union. He's in our sights, ma'am."
Price,Contain the subject. Use lethal force if necessary.
Joey,Lethal force? I'm not trying to do this! I need help!
Man,"Stay right there, damn it! Hands up! Okay, okay. Now turn around, hands on the hood, real slow."
Joey,"I'll do whatever you say, but please don't hurt me. Honestly, I... I don't know what... what's... what's... happening to me."
Man,"Hey, wait a minute! Freeze! Get down on the ground!"
Man,Get him!
Man,Where'd he go? Radio for backup.
Man,Hey! He's in the alley!
Daisy,"Hey. What's your name? Guy, what's your name?"
Joey,Joey.
Daisy,"Joey. Okay, my name's Daisy, I'm with S.H.I.E.L.D., and we're here for your protection."
Mack,There's more on the way. First unit's down or wetting themselves. That S.U.V. got the point across.
Daisy,"Joey, Joey. J... Joey! Stay with me, okay?! I know you're scared and your world's being turned upside down. But believe it or not, I've been through this, okay? I can help."
Mack,We'll get you out of here.
Joey,"It's you who made the car, the people, and the thing..."
Hunter,"You're gonna want to stand well clear of that, mate."
Mack,Didn't I tell you?
Daisy,"I know it's a lot to take in. But right now, you have very few options and zero time, so, please, just go with it."
Hunter,"We'll be right there with you. It's not like this day can get any crazier, right?"
Joey,Right? I take that back!
Man,Chemical hazard. Mask on. They were right here. What the hell happened? They're gone.
Mack,"How are you holding up in there, buddy?"
Joey,Fine. I guess. I hope this is going somewhere other than higher.
Mack,Rest easy. We're almost there.
Banks,"We had him pinned down, but the target has escaped."
Price,He didn't escape. He was extracted.
Banks,"We'll secure the area, clean up, contain the situation."
Price,"Manage it without making any more noise. There were helicopters this time, for God's sake. It is getting harder for this to go unnoticed."
Mack,We'll leave you to it.
Joey,Who are you? W-what is this? What is S.H.I.E.L.D.? Did you do this to me?
Daisy,"We try to protect people like you from the world or from yourself, unless we have to defend the world against you."
Joey,People like me? What is happening to me?
Daisy,You've experienced what's called a bio-morphic event. Short version... your DNA changed.
Joey,And the long version?
Daisy,"Is... long, but right now, you need to understand that you will survive this."
Joey,"Okay. Okay, s-so you guys can cure me."
Daisy,"I'm sorry. We just learn to live with it. It may feel like your life has ended, but it's just got more interesting."
