character,line
Banks,He's moving north! Use lethal force if necessary!
Man,Hurry up! Let's go! Down this trail! Move it! Move it!
Banks,There.
Man,We'll lose him!
Banks,Stop! Fall back! Unit two can try and head him off. But get her on the phone. Tell her we lost him. It's time to bring everyone else in on this.
Coulson,"Simmons didn't have to go through quarantine, which is good, all things considered."
Mack,What exactly are these things that we're considering?
Morse,Everything that comes with being on another planet for months.
Fitz,"Different atmosphere, different levels of oxygenation, different microgravity. Every system in her body's out of whack. Cardiovascular, inner ear, respiratory all got used to being not here."
Morse,"Labs indicate oxidative stress, vitamin D deficiency, upper-respiratory irritation."
Coulson,"Any mention of life, intelligent or otherwise?"
Morse,"Some flora, no fauna."
Fitz,She said she was being hunted.
Mack,Wait. What? What does that mean? Hunted by what?
Fitz,She didn't say. I don't know if she even knows.
Coulson,My god. Imagine her having to go through all that alone for that long.
Morse,"Well, thanks to this guy, not anymore."
Coulson,Monitor her physical health. I've got a call in to Dr. Garner. Her mental health is just as important. But don't push her. She'll open up when she's ready.
Daisy,"Lincoln's in trouble. The ATCU issued a nationwide BOLO. FBI, homeland security, local police, all notified. Sent ‘em Lincoln's résumé and head shot."
Coulson,Sounds like the ATCU's getting desperate.
Daisy,What are they gonna do when they find him? I'm guessing it won't be awesome. He needs help.
Mack,"Look, we went to Lincoln more than once. He didn't want our help."
Daisy,"It doesn't mean he deserves to be hunted like a fugitive, not to mention there's a giant with a grudge looking to kill him."
Coulson,"Which is why we need to bring him in, now."
Daisy,"That would be the plan if we knew where to find him, but he's not messaging me back, and I... What?"
Mack,You want to tell her?
Daisy,Great. Tell me what? What do neither of you want to tell me?
Coulson,We know how to find him.
Daisy,"Lincoln, it's me."
Lincoln,Daisy? How the hell did you get this number?
Daisy,That's not important. What's important right now is that you get somewhere safe.
Lincoln,I just bought this phone.
Daisy,"Yes, I know. 35 minutes ago at a liquor store at 71st and Binford."
Lincoln,You know where I am?
Daisy,"Yes, and I convinced them to let me talk to you before..."
Lincoln,I can't believe you would do this.
Daisy,"Just... Lincoln, just hear me out, okay? The ATCU has released your picture to law enforcement. It's everywhere, calling for your arrest. We're gonna come get you. Lincoln?"
Mack,You're not walking out of here till my partner has said her piece.
Coulson,He must have blown his tracker.
Daisy,"Yeah, because he's creeped out that you put a tracker in him."
Mack,"Yeah, and if she didn't give him a heads-up, we could have used it to bring him in."
Daisy,"He's already scared, paranoid. Ambushing him out of nowhere would have made things way worse."
Mack,"And he would have been able to express those feelings to us here, secure in our location."
Coulson,"All right, all right. Everybody, just relax. We'll figure this out."
Hunter,He should be in here. We did a couple of jobs together a while back. He's tight with HYDRA in the U.K. And continued his association when he relocated here to the U.S. There he is.
May,You lead.
Hunter,Spud.
Spud,"Why, here's Richy! As I live and breathe!"
Hunter,Working the bum fluff.
Hunter,"Oh, G... Gina, Spud. Spud, Gina."
May,Hey.
Spud,"Whoo. Classy for the likes of you, eh?"
May,Business associates.
Spud,Mm. Come here. Oh! First round's on me.
Hunter,"Oh, nice one."
Spud,Hey!
May,"Uh, so, Richy tells us you're the guy to go to if we need to unload..."
Spud,Hold your horses.
Hunter,"That's not how it's done. First we drink, then we talk business."
Spud,Oi! Three pints.
May,"Right, ‘cause you guys aren't hard enough to understand as it is."
Hunter,It was abysmal. We'd been in the van for donkeys me and this joker. Fifty keys of black market cogmium steel in the back. Then on the radio...
Spud,Wind your neck in.
Hunter,"... that song “Love Bites” comes on. You know that song? Yeah, so that comes on, and this one, this geezer's blubbing, all snot..."
Spud,Sod off. My fiancé had just scarpered. Left me in the dust. I was gutted.
Hunter,"At ten hours, every time it comes on, he's a quivering shambles."
Spud,"You played it on a loop, you muppet."
Hunter,"Yeah, you're right. I did, didn't I?Man, classic road trip."
May,"All right. He's a muppet. But if we don't start talking shop soon, he's gonna pass out, so..."
Spud,Have something to unload?
May,"Weapons. Next gen, high potential damage."
Hunter,We need buyers with deep pockets and bad intentions.
May,"A finder's fee for you, of course."
Spud,I know people. But they have massive trust issues.
Hunter,What do they want? A letter of recommendation?
Spud,Me vouching won't be enough.
Hunter,"Well, what is? Do I buy my way in?"
Spud,"No. You fight your way in. If you are the last man standing, you'll get a meeting."
Hunter,Sounds like a laugh.
Reporter,The suspect is considered dangerous. And is wanted by both federal authorities and the ATCU.
Coulson,This went from bad to really really bad.
Mack,They've gone public.
Reporter,"If you do see this man, do not engage."
Man,Hey! You're him.
Lincoln,I don't know what you're talking about.
Man,I saw you. I know what you are.
Lincoln,You have no idea.
Coulson,"Daisy, I need you to monitor all law enforcement near Lincoln's last known location."
Daisy,"How about we take a team, go look for ourselves?"
Mack,"No, the ATCU's on a witch hunt for powered people."
