character,line
Lori,I can't tell. I can't tell just by looking at it. Can you?
Shane,Nobody can. It's chicken.
Lori,I think I'm gonna have to cut into it. There's nothing worse than dry chicken.
Shane,Yep. I got you. Here.
Lori,Are you expecting someone?
Shane,"No. No way. Alisha, what are you doing here? Hey."
Alisha,"Sorry to drop by like this, but it's important. The Terrigen got out."
Shane,When we saw Lincoln in the news and all that stuff about a government task force.
Lori,We knew it was bad. We just didn't know how bad.
Alisha,"The world sees us as a threat. We need to stick together, those of us who've been here since before the Outbreak."
Lori,"Wait, are you the one who sent us that weird e-mail the other day?"
Alisha,What e-mail?
Shane,"The one about finding the rest of our people, bringing them back together."
Alisha,No. Can you show it to me?
Coulson,"Alisha, talk to me. What's happening?"
Alisha,She's dead. He killed her. It's here.
Coulson,"Daisy, Mack, move in now! Something's attacking! Alisha's down!"
Mack,"Sir, we've got three dead. We're gonna need backup. Looks like the killer's on the... Daisy, wait! Daisy! Damn it."
Coulson,"Alisha! Alisha, can you hear me?!"
Alisha,He's here. He's here to kill us. And you can't stop him.
Morse,"I assure you, we're looking for the suspects right now. Please just go back into your apartments and lock your doors."
Coulson,Thank you for your cooperation. Detective.
Morse,Think they bought it? Don't know.
Fitz,The old lady's a trickster. Had her hand on one of those 911 Red-Alert necklaces.
Coulson,We don't have much time before the official authorities get here. Gather whatever you can find before we lose the scene.
Morse,I thought this was just supposed to be a recruiting mission.
Coulson,It was. I don't know where this attack came from.
Morse,Is Alisha gonna be okay?
Coulson,"She felt it happen, went into shock. Med team's evac-ing her to containment now. Before the attack, she said something about the couple getting an e-mail. Fitz?"
Fitz,Laptop. On it.
Morse,What about Daisy and Mack? They could use backup out there.
Coulson,"I know you really want to get back into action, Agent Morse, but the answer's “no.” You're still rehabbing. You haven't passed the physical."
Morse,"Understood, sir."
Coulson,"Daisy, what's your location? Daisy, do you copy?"
Daisy,"You're cutting in and out, sir. We've trailed the killer to the industrial park a half a mile South of you. Backup would be nice."
Coulson,On its way. Hold tight.
Daisy,Copy that.
Mack,"How did I let you talk me into this? I had a garage, workbench full of new tools, my own espresso machine."
Daisy,We got to figure out how this thing is finding Inhumans and why it's killing them.
Mack,I know why.
Daisy,Yeah? Why?
Mack,"Instinct. It's like a great white shark, built to eat, sleep..."
Daisy,And kill.
Mack,"I was gonna say “make little baby sharks,” but then Jaws was probably 20 years before you were born, so..."
Daisy,Do we have movement?
Mack,I don't know. I can't see a damn thing.
Daisy,"Well, do you want me to take point?"
Mack,I'm going. I'm going.
Morse,Hmm. Found something. Could be from our monster.
Fitz,"Oh, blue. Not clear."
Morse,What?
Fitz,"I said, “blue. Not clear.” How many times am I... Okay, look, Simmons and I have created a system. “B” is for “blue” is for “biological sample.”"
Morse,"Right, another system. How could I forget? Just saying... where I come from, blue is for recycle."
Fitz,"Well, that is insane. “R” I could understand. “R” is for “red” is..."
Morse,"Regardless, we could use Simmons' eyes on these samples. Think she'd be up for that?"
Fitz,"Uh, I don't know."
Morse,Heard you guys had dinner.
Fitz,Mm-hmm.
Morse,She open up to you at all about what happened to her?
Fitz,Not really. Why? Did she say something to you?
Fitz,Helicopters.
Morse,We need to move.
Mack,"Oh, it's got to be long gone. I mean, something that big can't just slip away without... Damn it. I had to jinx it, didn't I?"
Daisy,Sounds like something's trying to get out.
Mack,Or in. Come on.
Daisy,Three... two...
Daisy,Get down!
Mack,Get down! Put it down!
Daisy,Lower your weapons!
Price,"Stand down! Everybody, stand down! S.H.I.E.L.D.'s not the enemy, and you definitely don't want to piss off the young Agent Johnson here. We've got about 19 Agent Johnsons on our side, though none that can take down a building. Rosalind Price, by the way."
Daisy,Coulson?
Coulson,It's okay. The ATCU is here to help.
Mack,"Really? ‘Cause, the other day, they wanted Daisy's head for their trophy case."
Coulson,Agent Mackenzie.
Price,"Bit of an exaggeration. But that was then, and this is now. And right now, we're here to contain a threat, same as you. Fan out!"
Daisy,"I get that you cut a deal with them, but for the record..."
Coulson,It's a means to an end.
Daisy,Ours or theirs?
Price,"Bag everything, computers, clothes, phones, anything they've touched."
Coulson,Where are you taking the victims?
Price,"That's classified. Oh. It's not fun when it's you, right? Can't believe I just said that to the Director of S.H.I.E.L.D."
Coulson,"You know, I'm really not feeling the spirit of cooperation here."
Price,"Yeah, we had an agreement. You were supposed to share intel."
Coulson,"And I did, ‘cause, look, you're here."
Price,"How did you find them, Coulson? And why wasn't I informed?"
Coulson,You were informed as soon as we engaged the hostile.
Price,I'm talking about before you got here. This is the first time I've encountered a couple like this.
Coulson,How so?
Price,This wasn't the usual response call to deal with somebody who just turned. Look around. No cocoons.
Coulson,Maybe it didn't happen here.
Price,"Shane and Lori Hanson. They lived here for the last 18 months, and yet never visited an emergency room, never missed time at work, didn't socialize with co-workers, had zero presence online."
Coulson,So they were introverts.
Price,"They were already enhanced before the outbreak. So I will ask you again, in the spirit of cooperation... how did you find them, Coulson?"
Coulson,They were friends of a friend.
Price,You mean Daisy's friends.
Coulson,"Look, we can do this all day, but there's an enhanced person out there killing people, and I'd really like to catch him. Are you gonna help or not?"
Price,"I like when you get all tough. All right, we'll take it from here. I'll call if I find anything."
Coulson,"You're welcome, by the way."
Price,"Oh, don't take it personally, Phil. I'm sure you have other evildoers out there to catch."
Ward,Nice haul. New recruit brought you these?
Kebo,Yeah. Same bloke who brought these took out spud last week. He's a tough bastard.
Ward,I like that he didn't come empty-handed.
Kebo,"Might be helpful on the next job, whatever that is."
Ward,"Sorry, Kebo. That's level 7."
Kebo,Level 7? Right.
Ward,"I'm messing with you. It was a S.H.I.E.L.D. thing. One of their ridiculous codes of bureaucracy, though I will say there are a few things that S.H.I.E.L.D. got right. Things they valued. And I don't mean money or power or resources. Now, take this job, for instance. It's all about accountability, patience, an attention to detail that requires a personal touch. Those kinds of things mattered at S.H.I.E.L.D. Almost a shame we're gonna bring it all down."
May,"So, what's the job?"
Hunter,Don't know.
May,When's it going down?
Hunter,Don't know.
May,Any idea where?
Hunter,Not yet.
May,You do realize the point of intelligence gathering is to gather intelligence?
Hunter,"The point is, I'm moving up the food chain. And that lunatic Kebo is finally bringing me in on a job."
May,Or luring you into a trap. We have to be smart about this.
Hunter,"It's not complicated, really. Just point, shoot, repeat as necessary."
May,You don't have enough intel. It's sloppy.
Hunter,"If it's a chance to find Ward, it's worth it."
May,What happens if you walk into a roomful of Hydra enforcers with guns pointed at your head?
Hunter,"That's what you're here for. To help. Try to keep up, love."
May,"This isn't funny, Hunter. What if there are innocent lives at risk?"
Hunter,"There's always lives at risk! You were there, when Bobbi was bleeding out in my arms. Ward did that. If I have a shot at finding him, I'm taking it. I have to, before Bobbi gets back in the field."
May,"Look, I want Ward as bad as you do. But I don't think his life is worth yours or Bobbi's."
Hunter,"Well, on that, we can agree."
May,"Once you get the time and place, call me."
Hunter,"Yes, mum."
Morse,The DNA results came in. They confirm the killer is an Inhuman. He's killing his own kind.
Daisy,"I don't get it. If he knows what it's like, what we go through, I just... I refuse to believe Mack's “great white shark” theory. He's not some mindless wrecking machine."
Coulson,Agreed. The killer's tracking its prey. The question is how.
Morse,"Alisha knew these people. They were friends of hers before the outbreak. Maybe the killer was, too."
Daisy,"It's possible, but before Alisha was attacked, the couple mentioned that they got some weird e-mail, right? Well, that e-mail had a nasty virus attached to it. It chewed up the operating system like a blender. I was able to un-mangle it, and it looks like the virus was planted to track their location."
Coulson,Do we know of any other Inhumans who got this e-mail?
Daisy,"Joey Gutierrez didn't. I checked. But the others, I don't know. It's not like we have a ton of candidates to work with."
Coulson,Reach out to the ATCU. Let them know what you found.
Daisy,"Taking this team spirit thing a little far, aren't we?"
Morse,Fitz and I grabbed that laptop before they got there. Why would we share this intel?
Coulson,"We know the ATCU has found Inhumans in the past, confiscated all their belongings. Let's see if they've come across this virus before."
Daisy,"If we share with them, what do we get in return?"
Coulson,What do you want?
Daisy,"I don't know. Let's start with how many Inhumans they've come across, where they take them."
Morse,"Daisy has a good point, sir. We don't know nearly enough about them."
Coulson,"I agree, but if you want answers, then you gotta play ball. Share the intel, trace the virus to its source."
Simmons,"It was bitter, not sweet at all. I'd imagined the taste of a fresh strawberry for months, but like most things since being back, it just wasn't what I'd remembered."
Andrew,"Most things aren't. Memories have a funny way of changing on you when you're not looking. How about you? You feel any different since you've been back? Besides your taste buds, I mean. Any trouble sleeping or anxiety?"
Andrew,"Shock, rage, depression?"
Simmons,"I know you're looking for signs of PTSD. But I assure you, I'm fine."
Andrew,"You've been through something pretty extreme. There will be after-effects, and that's okay. It's okay to struggle, to feel uncomfortable in your own skin."
Simmons,"I'm not one of your Inhuman patients, Dr. Garner."
Andrew,"No. No, you're not. But survivor stories have always fascinated me. How they got through it. The Chilean miners relied on routine, work, exercise, rest, gave each other jobs."
Simmons,They had each other.
Andrew,"Well, not all of them. One hiker was stranded on mount hood for six nights in the snow. Said her faith saved her. That and the thought of all the loose ends she left behind, the people she cared about. She never gave up hope."
Simmons,I did.
Andrew,Do you remember a specific moment when that happened?
Simmons,"Honestly, I'd rather look forward than back. I have a very interesting new project that I'm trying to focus on."
Andrew,"Okay. You don't have to talk about it. Just know you got a lot of friends here who care a lot about you. You're safe now, Jemma. It's over."
Simmons,You're wrong.
Coulson,"She puts up a good front, but I'm worried about her."
Andrew,You should be. The woman was stranded alone on a barren alien world for months. She's dealing with a lot of emotions and won't open up about any of them.
Coulson,"I know you can't discuss specifics, but is she making any progress?"
Andrew,"Nah. You can't rush her. No field work. I mean it, Phil. And when I give you a recommendation, I want you to respect it this time."
Coulson,"Hey, what are you talking about?"
Andrew,"I'm talking about the Inhuman you have in containment. You know, the one I never even met, let alone cleared for a mission?"
Coulson,Alisha came to us. She was worried about her friends.
Andrew,And how many more like her are you hiding?
Coulson,That's not what we're doing.
Andrew,These people have problems! I'm not just gonna turn a blind eye and rubber-stamp them for your new team.
Coulson,And I'm not asking you to. This was a simple recruitment mission. Alisha wanted to go. Nobody saw that attack coming.
Andrew,"You trying to justify that to me, or to yourself?"
Coulson,May?
May,Coulson. Andrew. Am I interrupting something?
Coulson,I can't believe Hunter reached out to you like that. I specifically told everyone to give you space while you were on leave.
May,Man's on a mission. He's desperate.
Coulson,"How desperate? His latest bad idea, walking into a Hydra stronghold alone for a shot at finding Ward."
Coulson,I admire his courage. Sounds like suicide.
May,Ward knows Hunter's face. If there's a chance they run into each other on this job...
Coulson,Hunter needs backup.
May,More than I can provide.
Coulson,"That's saying a lot. Most of our resources are focused on focused on a manhunt right now, or a monster hunt. But if this leads to Ward, that would be huge. When is Hunter going in?"
May,"I'm waiting on specifics. But I know Hunter's been operating primarily on the Eastern seaboard. He's in too deep, Phil. It's affected his judgment. What?"
Coulson,It's like you never left.
May,But I did.
Coulson,"Look, I'm sorry Andrew's here. I didn't mean to make it more awkward."
May,It's fine. We're all professionals.
Coulson,"Yeah, but we're also friends. If the reason you haven't come back is because we're working with him..."
May,It's not.
Coulson,"I told you, I can find someone else to consult."
May,Don't. Andrew's really good at what he does. You need him.
