character,line
Fitz,Dinner.
Simmons,"Fast approaching, yes, and we'll eat it, I'm sure."
Fitz,"Yeah, no, no, no. But me and you... maybe we could eat somewhere else, somewhere... nice."
Fitz,"Good. Uh, well, y... uh, you should come find me when you're finished here, and... and I'll... I'll start working on options to run by you... for that."
Simmons,Ugh. What idiot ... Oh! Aah!
Simmons,Aah! Fitz! Help! No.
Simmons,"Where the hell am I? No... It's not possible. Everything will be fine. Proper protocol for agents lost in the field, remain in position, wait for extraction. This is Dr. Jemma Simmons, updating the file on the Monolith Fitz and I have been studying. I now know that it is an alternating matter-transportation device. A portal. Quite remarkable, really. I've been transported to an unknown planet in a different solar system. Air is breathable, oxygenated. Gravity seems to be slightly stronger, or I'm very tired. I think it's the gravity. The terrain is barren, desert-like. Although conditions seem favorable for terrestrial organisms, there's no immediate sign of life nor any noticeable vegetation or water. It will open again. Fitz will find a way. After all, we're going for dinner."
Simmons,"What is it you always say? If you can't solve a problem, sleep on it. Goodnight, Fitz."
Simmons,How long are the nights on this planet? There has to be a sunrise eventually.
Simmons,"Where is the sun?! What did you do to it?! I want the sun! I want... I want to go home. The average person can survive up to three weeks without food, but only 100 hours without water. I'm sorry, Fitz. I can't wait here any longer. But if you do show up while I'm away, you'll know where to find me."
Simmons,"Is it going to be an expensive place? Have you already picked it? Should I wear a dress, or would that be weird? Oh, please, don't pull out the chair for me. Or do, if that's what you want."
Simmons,What if we run out of things to talk about? For the first time ever. Of course that's when it would happen. Ugh. That would be terrible.
Simmons,Just... get... to the top. Water...
Simmons,"Fitz. Oh, Fitz. Hmm. Oh."
Simmons,Ugh.
Simmons,"It's been three weeks, Fitz. If I don't find something, if I don't eat, I won't make it. Unfortunately, the only source of food, also thinks I'm food."
Simmons,You want me?! Here I am! It's dinnertime! Come and get it! Ohh!
Simmons,"You're dinner, biatch! Whoo!"
