character,line
Man,Agent May? He's alive.
Woman,Possible pneumo on the right. Let's get him on the monitor.
Mam,He's dry. I'm starting him on another liter of fluid.
May,"Andrew, what happened?"
Andrew,"I went into the store. I... I had a headache. I needed something. One of my students was there. Was, uh..."
Strucker,"Hey, professor.  Where you been?"
Andrew,"Transfer student. He only started a few weeks ago. Had two men with him. You know, my experience is limited, but I'd say they were professionals."
Coulson,It was HYDRA.
Andrew,Don't know why they'd be after me.
May,I do.
Coulson,"May, this isn't your fault."
May,How'd you survive?
Andrew,"Phil. He had a S.H.I.E.L.D. agent tailing me. The man saved my life. He gave me time to find cover, and he must've caught Alex off guard because nothing went exactly as planned. The kid had a lighter. I barely made it to the door. The blast must've thrown me clear. The next thing I remember, you were there, picking me up. I'm lucky. Can't see how anyone would've survived that. Now, I know Alex is trouble, but I'm not sorry he's gone. Ward would've made him finish the job. What if Ward..."
May,He won't.
Coulson,You're safe now. We got you. We'll let the doctor work on you. You need to get some rest.
May,Where the hell do you think you're going?
Hunter,"Uh, I think I'm going to see Andrew."
Hunter,I just want to make sure he's all right.
May,You're the reason he's not.
Hunter,Ward was gonna hurt him no mat... I made the most logical choice.
May,Logical? You wanted revenge.
Coulson,"Hey, hey, hey!"
Hunter,Coulson's orders were to end him. I had one shot. I took it.
Coulson,And you missed. You're off that assignment.
May,Good. Then put me on it. Let me go after him.
Coulson,Are you back?
May,"Yeah, I'm back."
Ward,S.H.I.E.L.D. sent a man to assassinate me. He came into my house and tried to kill me. ‘Cause you let him in. You were sloppy.
Kebo,I followed your protocol. He killed a man to get close to you. He wanted you dead that much.
Ward,They all want me dead that much! Now we have a dangling thread.
Kebo,Von Strucker. You shouldn't have sent a boy to do a man's job.
Ward,"Not really sure you'd have blended in as an undergrad watching Garner. Has Von Strucker called in? So, he's either captured, killed, or he's running."
Kebo,And only one of those options works for us. The kid knows too much.
Ward,"So go and find him before S.H.I.E.L.D. does. And if he's still alive, take care of him."
Coulson,Hey. How you holding up?
Daisy,"I'm pissed. I got manhandled by Lash, and it messed up our chance to see the ATCU facility. But, good news, I have a theory."
Coulson,I like theories.
Daisy,Lash was tracking us. He knew where our truck was. He... He needed inside info for that.
Coulson,You think he's got access to ATCU information?
Daisy,"No, I... I think he's in the ATCU. We know that he can transform himself into a regular-sized guy and back. What if he's hiding out as one of them?"
Coulson,That's a scary thought. I've got Rosalind giving me a tour of her operation today. Let me see what I find there.
