character,line
May,Did you just spoil a perfect moment by capturing it?
Andrew,"You looked too good, sun hitting you like that. Ha!"
May,"You know, this time tomorrow, we'll be home."
Andrew,Look who's spoiling the moment now.
May,What would you say if I didn't go back to S.H.I.E.L.D.?
Andrew,You're serious?
May,"At least, not right away."
Andrew,"So, is this the island talking, or are you... I mean..."
May,There are a lot of reasons why this won't work. Why we won't work.
Andrew,Somehow I forgot how direct you are.
May,I don't want to be one of those reasons.
Andrew,"And you won't be. Listen, we're older now and wiser. And I don't plan on losing you a second time. So what do you say? Wanna to go steady?"
May,Weren't we just talking about how we're older?
Andrew,"Yes. All right, then. To new beginnings."
May,To new beginnings.
Andrew,"I don't know when Melinda's coming back, Phil. We only got home a couple of days ago. Wanted to thank you for sending over Jiaying's things from Afterlife."
Coulson,"Hopefully, it'll help shed some light on our new Inhuman situation."
Andrew,"I'll keep you posted if I find anything interesting. And, Phil, I wouldn't wait for Melinda to call you."
Coulson,Good advice. Thanks.
Andrew,All right.
Andrew,"Oh, god!"
Daisy,We're not monsters. You can't just lock us up in some ice prison because you don't know what else to do.
Coulson,"No one's talking prison. And, technically, it's a gel matrix."
Daisy,They're putting people in stasis!
Coulson,"Think of it as a medically induced coma, a way to hit the pause button until we find a better solution."
Daisy,“A better solution.” What does that mean?
Coulson,"The ATCU's looking for a cure. I'm not suggesting that's for everyone, because it's not, but some people might want to..."
Daisy,We are not a disease.
Coulson,I didn't say that you were.
Daisy,You can't just expect people to go through that kind of change and immediately have a handle on it. Do you remember how scared I was at first?
Coulson,"Yes. I also remember you ICEd yourself so that you wouldn't hurt any of us. You've got to admit, things are getting out of hand."
Daisy,I know.
Coulson,People are changing in uncontrolled environments.
Daisy,"I know, but everyone deserves a chance to be who they are."
Andrew,"That's where you're wrong. You're being seduced by your own experience. Just because you learned how to control your powers doesn't mean everyone else will. I mean, what if a person's hurting themselves or those around them? What ... What if they can't stop?"
Coulson,"Take Lash. If putting a bullet in that monster's head doesn't do the trick, then what?"
Daisy,That's not fair. That's one guy. Most Inhumans fall somewhere between me and him.
Coulson,And that's the message I'm hoping the president and his advisors will hear when I meet with them today.
Daisy,The President of the United States?
Coulson,"It's off the books, but the global community's coming together to discuss the future of enhanced people. We're meeting at Norad in Colorado."
Daisy,But S.H.I.E.L.D. isn't supposed to exist.
Coulson,That's why I'm going in as a consultant for the ATCU.
Daisy,So Rosalind Price...
Coulson,"Arranged it, yes. We're taking Zephyr One, picking her up on the way."
Daisy,Are you sure this is a good idea?
Coulson,We can't afford to miss it. That's why I want you to talk to Rosalind before the meeting. Win her over to your side of things.
Andrew,"Could be a real start toward legitimizing S.H.I.E.L.D. But it might help if you can present a successful Inhuman case, one that's not an extreme on either side."
Daisy,Joey Gutierrez is due for reassessment.
Andrew,"I'd be more than happy to check in on him, see how he's progressing."
Daisy,Couldn't hurt.
Coulson,I agree.
Andrew,I can send you my report while you're in the air.
Daisy,Thank you for your help on this.
Andrew,It's what I'm here for.
Mack,No. I just don't know why you're calling me. All right. Give me your location. I'll meet you there.
Simmons,Dr. Garner.
Andrew,"Hey. Looks like you're heading to the lab. That's a good sign, right?"
Simmons,I'm trying. We're trying. Sometimes it just feels like it would've been best if I hadn't told Fitz everything.
Andrew,"You did the right thing in telling the truth, Jemma. Secrets can eat you up from the inside."
Simmons,You busy?
Fitz,"Uh, no. No."
Simmons,Sorry I haven't been in here more.
Fitz,There's... There's no need to explain. What's that?
Simmons,"It's my phone. I had it with me. Uh, I took pictures, made some recordings to document my time there. It's quite damaged, but I kept it on me as a remembrance. I was hoping you could..."
Fitz,Recover the data.
Simmons,It's probably pointless.
Fitz,"Yeah, no. Maybe not."
Simmons,Just thought if you saw it for...
Fitz,"Myself, yeah."
Simmons,I always felt better having you as my second pair of eyes.
Fitz,"Well, couldn't hurt to try. I'll get right on it."
Simmons,"Thank you, Fitz."
Strucker,But I didn't know he'd change into that thing.
Morse,"You worried about Andrew? Or pissed that the Strucker kid went comatose before he could talk? Well, everyone at H.Q. says that Andrew's fine. And as far as HYDRA, we'll get ‘em. I hope you stick around. HYDRA's not the only thing we're facing these days. Between the Inhumans, this monster we're hunting, and the ATCU on our ass, we need all the help that we can get."
May,Monster?
Morse,"Yeah. Big ugly thing, likes to kill other Inhumans."
May,You've been tracking him?
Morse,"Trying. Transforms into a man, which makes him impossible to find."
Daisy,"May! Hi. Oh, my god. It's good to see you."
May,I-I gotta go.
Daisy,Go where?
May,"I, uh, need to talk to Andrew."
Daisy,He's doing a psych eval on one of the new Inhuman recruits.
May,I checked the containment room. He's not...
Daisy,"No, he's at a training facility off-site."
May,Where?
Joey,I can actually create things now.
Andrew,And how does that make you feel?
Joey,"Excited, you know. I have so much more control now."
Joey,Dr. Garner?
Andrew,Control. Yes. That's important.
Joey,Daisy thinks I could be a real asset to S.H.I.E.L.D. But she said my fate is in your hands.
Andrew,"Yes, Joey. It is."
Hunter,Don't put your shirt on for my benefit. Heard about your HYDRA pool party. And here I was worried about you. Never liked Kebo much myself. Funny name. Locked me in a trunk. You all right?
Morse,Of course.
Hunter,Good. ‘Cause taking out some of Ward's key players Brings us one step closer to finding the bastard.
Hunter,"Coulson's busy with Daisy, so now is as good a time as any."
Morse,"Hunter, it's just... it's not a good idea."
Hunter,"Is this about Andrew? 'Cause I thought we were past all that, now that he's all right, I mean. Okay. Did things get slightly out of control? Yes. But nothing I couldn't handle, obviously. And everything I did was to protect you. Bob, will you stop for one second?"
Morse,I don't want either of us to go after Ward.
Hunter,"You... You're joking, right? Since when? Whatever it is, lay it on me."
Morse,I think you've been reckless and stupid.
