character,line
Malick,"The octopus is one of the great symbols of HYDRA. Supremely intelligent, highly adaptable, and they are ruthless killers. A nearly perfect predator. Same can be said of you."
Ward,"Well, it's a terrifying symbol, but not my idea of dinner. Then again, I am adaptable. I hope you can be, too."
Malick,"Well, that depends on your request."
Ward,You're one of the last heads of HYDRA's old guard.
Malick,Thanks in no small part to you.
Ward,You should be thanking me. I trimmed the fat from your ranks.
Malick,"You weren't just trimming the fat going after the Von Strucker boy. You were digging. And I know what you were hoping to find. You're chasing rumors, ghosts. The Von Strucker family vault does not exist."
Ward,"Truthfully, I'd believe you if you hadn't sacrificed the only heir to it. And you control the vault now, right? That vault is said to have HYDRA's greatest power. Why don't you and I put it to good use?"
Malick,"HYDRA is a complicated organization, and I don't have time to give you a history lesson. I do have some long-standing plans that are finally coming together, and your simple vendetta doesn't currently fit in with them."
Ward,I will find that vault.
Malick,You're a smart predator. But you don't live on top of the food chain.
Ward,Okay.
Ward,"Well fought. So, Malick wanted me slaughtered, which means I'm on the right track. See, I know where the vault is. Just don't know how to get in. Which creates a once-in-a-lifetime opportunity for anyone who has accompanied him there."
Man,We're not helping you.
Ward,"Well, then. Who's on the bottom of the food chain now?"
Coulson,That's the compound we used to tranquilize Andrew. Those tanks should be enough to keep him sedated if need be. Tell me we're doing the right thing.
Price,"We are. He'll be put in stasis, held in human form, before that thing can completely take him over."
Coulson,And the cure you're working on?
Price,We're throwing everything we can at it.
Coulson,"He was one of the good ones, is."
Price,I know he was a friend. You're doing all you can. We'll keep you up to speed on everything we do.
Coulson,"Maybe you should come to the base in the next day or so, talk me through it."
Mack,Anyone gonna talk to her?
Coulson,She'll talk when she's ready.
Fitz,"Hey, stop. Stop. Stop. Okay, just go before you drop another priceless manuscript. Why don't you go deface a Picasso or something?"
Simmons,"Fitz, what are you doing?"
Fitz,They're all idiots.
Simmons,Be nice.
Fitz,Sorry. Well-meaning idiots. It's been a rough day.
Simmons,You brought in all these books?
Fitz,"Every volume on symbolic anthropology and iconography I could find. Hopefully it matches, um... this. It's the ram's head symbol. I think Will's distant star Pathfinder program hid it in the logo."
Simmons,About 200 years after the group studying the Monolith chiseled it into the floor of the castle.
Fitz,"Yeah. No coincidence there. If we get lucky, tracing its origin could give us some sort of insight into how to save..."
Simmons,Sorry. Just feel so bad for May. I don't know how you get over that.
Lincoln,She's been giving me the hate stare since I got here. I had to sleep with one eye open last night.
Daisy,But you slept.
Lincoln,"Yeah, for the first time in a long time. I've been running long enough to appreciate it, secret underground base no one knows about, even if you all live on top of each other like keebler elves."
Daisy,"It's one roof, but it's big. Lots of space. Not that you need to keep your space."
Lincoln,I know. Uh... I'm sorry I moved in. I hope it's not weird.
Daisy,Weird?
Lincoln,We kissed. That happened. Do we need to talk about it?
Daisy,Nope. We do not need to. Why don't we just see what happens?
Lincoln,Will that happen again?
Daisy,"Planning takes the fun out of it. Plus, you know, you'll have tougher decisions to face, right? You can't just stay here. Coulson only lets people in the base who have a role in his game plan."
Coulson,I feel like you're gonna tell me I didn't make little league all-stars.
Mack,"It's Rosalind, sir. I know you two have grown closer, and I'm concerned that maybe you might, uh... um, maybe you two..."
Coulson,You can say it.
Mack,Are you sleeping together?
Coulson,That's none of your business.
Mack,"I'm sorry to press, sir, but I need to know. Do you have feelings for her, or are you playing an angle?"
Coulson,"Again, not your business. But you really think I'm that guy?"
Mack,"If not, then it is my business, because now you're bringing her, the head of the ATCU, into our hidden base."
Coulson,"Easy, Mack. I like Roz. Whether she can be trusted, yet to be determined."
Mack,How is that not a deal breaker?
Coulson,"Because the only spies without trust issues are either young or dead. I hope I can trust Roz. I want to. That's why I'm bringing her here face-to-face, so I can look her in the eye and find out. Meanwhile, the rest of you will have to go behind her back."
Coulson,"Today, we're launching Operation Spotlight. The objective? To peer into every shadowy corner of the ATCU. The last few days have been hard. What happened with Dr. Garner is tragic, but it has also created a rare moment of opportunity for us. The ATCU brought Dr. Garner's containment module into their research facility. S.H.I.E.L.D. is going to use that as a way to gain access. Going in on the ground will be Bobbi and Hunter. Quarterbacking from Zephyr One will be Daisy and Mack. Handling extraction, May and..."
May,Him.
Coulson,"Okay. I guess the new guy will gain a firsthand look of our operations with Agent May. Let me be clear. I want to know everything, what's inside the facility, how close they are to this cure they've been working on, which Inhumans they're holding and where they came from, and finally, what it is the ATCU actually wants with them. Questions?"
Daisy,Yeah. Why now?
Coulson,Because I think the head of the ATCU finally trusts me. I'd like that feeling to be mutual. Let's get to work.
Coulson,That answer your concerns?
Mack,Just raises all new ones.
Ward,"You've kept quiet. I admire that. These babies burn up to 2,600 degrees. I was a bit of a pyro when I was a kid. Got me into some real trouble. But damn if I don't love the sound of that gas igniting. You have to incorporate what you love into your work. You see, the trick is, you want them to know it's gonna hurt. Build anticipation. But you have to let them imagine a better world. You could walk into Strucker's vault with me. You just have to show me how. We can go in there together, share what we find."
Man,You can torch us all you want! There's nothing to tell! He uses different people when he travels to Zepkow. And even they don't know where the vault's buried.
Ward,Zepkow. Germany. I lied. Strucker has many vaults. I know them all. Just didn't know Zepkow was the one I needed. Be proud. You stayed quiet. You would have fit in good with my men.
Coulson,Ms. Price. Welcome to S.H.I.E.L.D.
Price,"Not exactly running things out of your mom's basement, are we? Did you give it a slick code name?"
Coulson,"Classified. But to me, it's home."
Price,That's cute. Almost as cute as flying me in circles for six hours on a plane. I don't know if I'm in Albuquerque or Albania.
Coulson,Imagine the possibilities. And be flattered. I waived our usual blindfold protocol.
Price,"Oh, they'll say you're going soft, director. Then again, completely disabled my phone for the entire flight. Couldn't even check my fantasy-football scores."
Coulson,"Such cruelty. I can reactivate the phone, but we'll need to sweep for wireless sniffers first."
Price,"Two words I never want to hear again. Go for it, cowboy."
Coulson,"You left your intelligence-gathering phone at your apartment, didn't you?"
Price,"I almost didn't, but I thought it might be rude."
Coulson,Please. We expect nothing less.
Mack,Incoming data upload from Rosalind's phone.
Daisy,Okay. Let's wake up the ATCU I.T. A.S.A.P.
Wilson,"Oh, yeah. That's my favorite episode. I mean, Darlene was set up perfectly... every word she said. Whoa. Whoa, whoa, whoa. Did you see that? What was that?"
Lincoln,Did you just hack the ATCU?
Daisy,"No, but the containment module broadcasts some pretty intense encrypted homing signals. You put it inside a corporate office, and it'll wig the I.T. department out real good."
Mack,"FBI cyber investigative task force. How may I help you, Mr., uh, Wilson? What exactly is going on over there? Well, multiple agency servers have been attacked in the last few minutes, and the traffic traces back to your IPs. We've already, uh, dispatched a rapid-response unit to your location. Please, just cooperate fully. Should be fine. I can assure you, they're our absolute best."
