character,line
Price,"Two all-Americans from D.J.'s extra bacon, double cheese."
Coulson,"Is it me, or is every burger that's named “the all-American” just really awful for you?"
Price,"Oh, don't be a hater, Phil."
Coulson,Half Moon pub. Isn't that where we had our first drink?
Price,I go there a lot.
Coulson,Of course you do.
Price,"Yeah, it's not like it's a memento or anything."
Coulson,Just matches. Got it.
Price,"You know, Banks thinks I'm crazy to keep seeing you like this. Oh."
Coulson,Huh. You told Banks about us?
Price,"Yeah, I tell Banks everything."
Coulson,Hmm. I didn't realize you two were so chummy.
Price,"Well, there's a lot you don't know about me, even after sneaking two of your agents into my workplace."
Coulson,"Just to say it, technically, I was right to do that. You are working for HYDRA. And also... I'm sorry."
Price,Any sensible girl would swipe left in this moment.
Coulson,"Honestly, don't know what that means."
Price,You're such a luddite.
Coulson,"You know I have a flying car, right?"
Price,"Uh, yeah. It's from the ‘60s."
Coulson,I'm glad we're finally having burgers.
Price,"Me, too. So, your team find anything new about Malick?"
Coulson,Nothing we didn't already know. D.C. power player with his hand in almost every government organization.
Price,"Yeah, including mine."
Coulson,Where he somehow managed to remove every Inhuman you had in custody. Thank you.
Price,"Wait, you think Malick's mobilizing?"
Coulson,Only question is why.
Price,Not sure. That's what I intend to find out.
Coulson,You're going back into the ATCU? I can't protect you on the inside.
Price,"Thanks, Lancelot, but I'll be just fine. The ATCU, it's my turf. And as far as Malick's concerned, I'm just clocking in another day at work."
Coulson,Still a dangerous play.
Price,"Well, then that's a risk I have to take. I mean, look, it's my people that Malick's been using as lab rats, and I'm the idiot who's been working under HYDRA this entire time."
Coulson,“Idiot” is a little harsh. So what's the plan once you're in?
Price,"Just another day. But I scheduled a meeting with Malick, and that way..."
Coulson,"Roz? Rosalind? No, no! Oh, no. Stay with my voice. Stay with me, Roz. Listen, stay with the sound of my voice! Look at me, right here! Roz! Roz! I need you to breathe! Please, Roz! Look at me! Breathe! Roz! Breathe. Please breathe. Please breathe. Please, just stay with me. Please stay with me."
Ward,"Now you know how it feels, Coulson, to watch someone you care for bleed out right in front of you."
Coulson,Ward?
Ward,"Got to admit, it still sounds funny when you don't say “agent” first."
Coulson,What did you do?
Ward,It seems I just eliminated a leak at the ATCU.
Coulson,You murdered Rosalind to keep her from digging into Malick?
Ward,"Come on, Coulson. You really think Rosalind was gonna stop Malick from opening another portal? He's opened one before. I'm sure he'll do it again. No. This is personal. S.H.I.E.L.D. keeps sending its best agents to kill me. Thought I'd stop that from happening again by taking out the guy who keeps sending them."
Coulson,Want to take me out? Come and get me. We'll settle this right now.
Ward,"I have people who take care of that sort of thing for me now. No, I just wanted to hear the panic in your voice before you died."
Coulson,This isn't over.
Man,He's outside!
Mack,Get down!
Coulson,"Go, go, go!"
Mack,What about Ms. Price?
Coulson,Just drive.
May,Let him go.
Morse,Coulson said anything once you got him out of there?
Mack,He just told me to get the interrogation room ready.
May,"I'm so sorry, Phil. Whatever you need, just ask."
Coulson,We start at the beginning. How does Ward think? Is there any weakness we haven't exploited yet?
May,You really think there's something we've missed?
Coulson,"There's only one way to find out. I want each of the original team members to tell me everything they remember about Ward, down to the smallest detail, no matter how uncomfortable."
May,Okay.
Coulson,"When you two were sleeping together, did he ever confess any personal details?"
May,We didn't do much talking.
Coulson,How was your relationship with Ward after he saved your life?
Simmons,I was grateful.
Coulson,Just grateful?
Fitz,"Once, I caught him alone in my bunk, like some sort of creeper."
Coulson,Was he stealing?
