character,line
Ward,Is something wrong? Fitz. Go ahead and scout that ridge.
Man,Yes sir.
Ward,We have less than six hours to find the next portal and go home.
Fitz,"Why don't you shut the hell up so I can concentrate? This program's a work in progress, designed from Simmons' limited data and hypothetical calculations. See? Our exit location is determined by the position of the..."
Ward,Just figure it out.
Fitz,Aah!
Ward,"Let me be clear, if I don't make it back, Simmons will be killed, slowly, horribly. It'd all be your fault. Is that what you want?"
Fitz,"What do you want? Why are we here? Find some ancient, mythical creature. Wake up, Ward. This is a snark hunt, and the only reason Malick sent you is because you're expendable."
Man,"Sir, over here!"
Ward,Move. Move!
Fitz,Is that...
Ward,Hail HYDRA.
Mack,One of you wanna tell me what Coulson was thinking jumping out of the Quinjet like that?
Hunter,"I'd say he wasn't so much thinking as feeling, feeling that Ward needs to die."
Mack,And you didn't try to stop him.
Hunter,"Full disclosure I was planning on jumping, as well. Again, less thinking than feeling."
Morse,Coulson went there to get our people.
Mack,"Our people, what are you talking about?"
Hunter,"We believe that Ward took Fitz or Simmons through the portal with him. Hopefully, Coulson can find them and bring them back safely."
Morse,All we have to do is take control of the castle and open the portal so they can return.
Mack,"So, just take the ultra-fortified Hydra castle and open the alien portal. That's it? You know, you're wired different than most folks."
Morse,I'm not saying it'll be easy.
Hunter,I wouldn't mind hearing it's gonna be easy.
Morse,It'll be easy.
Hunter,Doesn't work if I know you're lying.
Daisy,"Mack, or, director, you guys should get up here. This is HYDRA's compound outside the castle. And these two trucks were just unloaded."
Lincoln,What are they bringing in now? More weapons?
Morse,Inhumans. They're stockpiling Inhumans.
Daisy,That's how I read it. Looks like 10 or 12 of those gel-matrix containers.
May,"Andrew. He's probably down there, as well."
Joey,"Okay. So, are we rescuing Inhumans or saving Coulson or attacking Hydra or is there some kind of combo? Sorry. New guy just trying to understand how this whole S.H.I.E.L.D. thing works."
Hunter,"This is how S.H.I.E.L.D. works. You make a plan, plan turns to rubbish, we make a new plan. Oh, just to be crystal clear, this is the part where the plan turns to rubbish."
Lincoln,"Whatever the new plan, we need to make sure those Inhumans are safe."
Morse,And find Fitz and Simmons.
Daisy,And we get Coulson back through the portal.
Mack,"Would everyone just shut up a second? Even cloaked, Hydra's missiles will find us if we get too close. And I will not be the one who has to tell Coulson we got his fancy new plane blown up. Now, the only way to take the castle and secure the portal is on the Q.T. That means no gunfire and no backup. We leave all tactical support up here. Is that clear? Two infiltration teams. One to search the compound for Fitz or Simmons and one to secure the portal. We'll take care of everyone, including the Inhumans, but first things first. Go. Satellite's at your disposal. Find us a back door, tremors."
Giyera,The cargo's here. All Inhuman systems are stable and online. The team is ready to revive them.
Malick,"Patience, Mr. Giyera. They're not our toys to play with. They're presents for our friend once Grant Ward brings it back. Every general needs an army. So, how long do we have once the portal reopens?"
Giyera,73 seconds.
Simmons,"He's wrong. Your team's calculations are off at 61. 12 seconds might not seem like much, but on that planet, it can be the difference between life and death."
Malick,Thank you.
Simmons,I'm not doing it for you. Don't want you all mucking up Fitz's return.
Malick,Did you notice the Hebrew word “Maveth” carved around the castle?
Simmons,Death.
Malick,"That's right. Well, death is the only thing returning through that portal. Fitz was just... an offering to show him the door."
Daisy,"The original machinery used to open the portal was hydroelectric, but the nearest river is almost a half a mile away, which got me wondering how they powered it."
May,Aqueducts.
Daisy,"Yep. So they brought the water along there and then up through the portal chamber. Now, that looks like an overflow drain deep in the woods, so we should be able to slip into the compound without anyone seeing a thing."
Mack,"I'll exit here with Bobbi and Hunter. Hopefully, we can barricade ourselves long enough to open the portal and get Coulson back. May, you and Daisy take Lincoln and Joey, And you come out here, on the Southeast side. Let's find our people and get out."
Fitz,"Hey, here's a great idea. Why don't we go to an alien world and summon a hell beast? Yeah, that's a brilliant idea. What could possibly go wrong with that? How are you supposed to find it?"
