character,line
May,This can't be easy.
Coulson,It's fine.
May,"Can I ask, why here?"
Coulson,"I want him to see where it happened. Besides, I wasn't about to give him the location of our base. And apparently, he didn't want to invite us to his house."
Man,All clear.
Coulson,Mr. President.
President,Director Coulson. Thank you for meeting me. Long overdue. Rosalind spoke highly of you. She believed that I should be working with S.H.I.E.L.D. I did always value her judgment. I'll miss her.
Coulson,I assume we're not here to share memories of a fallen friend.
President,"This... this problem... Rosalind said you called them Inhumans? Heads of state calling, not sure what's happening. Watchdog agencies hurling accusations. Fox News won't shut up. I don't need to tell you how delicate the situation is, but we have to do something."
Coulson,"With all due respect, Mr. President, we are doing something."
Daisy,You're doing good.
Joey,"I'm not great at projecting authority. It's nice to talk Spanish, though. Reminds me of home."
Daisy,Do you miss it?
Joey,Especially Sundays. Mom cooks on Sundays. And you? You have people?
Daisy,Sort of. Not really.
Ramon,"Colonel Ramon. I speak English, if it makes this easier."
Daisy,It does. Thank you.
Ramon,This way to my office.
Daisy,We're following up a report. Your officers were attacked by a powered assailant?
Ramon,"Yes. We're already overwhelmed by the guns, drugs, and kidnappings, and now these things. Are they really aliens?"
Daisy,"It's a little bit more complicated than that. But like everyone else, there are good ones and bad ones."
Ramon,"But when they are bad, we are powerless to stop them. That convoy was loaded with weapons that were supposed to help us fight whatever this is. And now weapons are gone."
Daisy,"But we're here. We've got a team on the ground, and we're here to help."
President,"I don't know how it is that your agency still exists, nor do I want to know, but I appreciate your help."
Coulson,Does that mean you're reauthorizing S.H.I.E.L.D.?
President,The public has a short memory but not that short. The image of Helicarriers crashing down on the nation's capital is hard to forget.
Coulson,Then why is this meeting happening if S.H.I.E.L.D. doesn't exist?
President,"Because I need you to keep doing what you're doing. Privately. Publicly, the ATCU will still be the face of my administration's response to advanced threats. I'll appoint a new head to the agency, one who understands they answer to you."
Coulson,So we're your black-ops response.
President,Isn't black ops where you feel most comfortable?
Coulson,"I certainly prefer it to bureaucracy. Okay, then. We'll keep doing what we do, and you'll keep pretending we don't exist."
President,Exactly.
Coulson,One last thing. Gideon Malick.
President,I can't help you.
Coulson,He ordered this hit. He's HYDRA.
President,"Even if you can prove any of that, Gideon Malick has a stake in almost every country's economy. He advises world leaders, he served on the World Council, he spent a lifetime and a fortune building influence. I can't pull that thread."
Coulson,But you can let him walk free? Rosalind bled to death right here.
President,"Malick may have blood on his hands, but my hands are tied. Yours are not."
Coulson,Is there any intel you're willing to give?
President,"Never spent enough time with the man to get in his head. Listen, I'm aware of your sacrifices. I thank you for your service. I'll be in touch when I've named a new head to the ATCU."
Man,We're on the move.
May,Sorry he didn't give you an angle to go at Malick.
Coulson,"Actually, he may have."
Mack,I've seen this before. Protests in Beirut.
Hunter,"Urban rioting 101. Child's play compared to the real issue. Powers, wrong hands, again."
Mack,This could be something.
Hunter,"An entire armory's worth of military might nicked from a police van, right under the nose of the police in less than four minutes. The two of us, trained, experienced. We can pull this off. But all it takes is one tainted fish taco, and pff. Unfair advantage, really."
Mack,Transmission starting now.
Hunter,No offense intended.
Lincoln,"Yeah, no, it's great, being hunted, feared. It's a blast."
Simmons,"Metal scraping on an urban street. A million and one possibilities. Fitz? I hate to bother you, but is there something I'm not seeing?"
Fitz,"No. You're right. It's, um, inconclusive."
Mack,Copy that.
Morse,"So, as far as the police on the scene believe, whoever attacked them was invisible."
Mack,"Well, we've seen weirder."
Hunter,Invisibility. Imagine the possibilities.
Morse,What are you imagining?
Hunter,Nothing fun.
Morse,Get used to it. We can't put the Terrigen genie back in the bottle. Powers are the new normal.
Mack,I think you're just jealous.
Hunter,Damn right I am. Tell me you didn't try one of those little fish-oil pills. I had my fingers crossed for x-ray vision. I was just curious. I wasn't the only one.
Morse,"I mean, I-I thought about it. I didn't actually do it. Rehab was a bitch."
Mack,"Man, you two deserve each other. Let's fan out, cover more ground."
Mack,Pretty nifty magic trick you did there.
Mack,"You'd think three years' high school Spanish... All right, all right. Don't do anything stupid. We're just here to..."
Daisy,How do you lose someone as big as Mack?
Hunter,I don't know. Same way one loses a truckload of weapons.
Morse,Good thing a grocery store down the street is security-conscious. Here we go.
Daisy,Who's he looking at?
Hunter,W-what did we just watch?
Daisy,"How accelerated, exactly?"
Simmons,"Approximately 6 meters in a thirtieth of a second that one frame of video is exposed. So, very."
Daisy,"Well, catching her won't be easy."
Simmons,"I'll reconfigure the containment module, if we can even get her in there."
Daisy,Thanks.
Lincoln,"So, you do that remotely?"
Simmons,Exactly. The poly-tectic material then adapts to the powers we're dealing with. A necessity since Inhuman powers are so random.
Lincoln,Not true.
Simmons,I'm sorry?
Lincoln,Powers aren't random. We were taught that each is given to fill an evolutionary need at the time.
Simmons,Are you being serious?
Lincoln,"To create equilibrium within the species. Yin yang and all that. At least, that's what we were taught."
Simmons,Huh. An actual intelligent design.
Fitz,"Oh. Uh, sir, I think you're gonna be pretty..."
Coulson,Stop what you're doing. Come with me. What do you think of Mr. Campbell?
Fitz,"Lincoln? Smart. Obviously most helpful in helping us, Jemma, Understand Inhuman biology. And it's been good for keeping her busy, focusing on something else. Things still feel different, though. But how could they not after what I did to Will?"
Coulson,You did what you had to do. We both did. Sometimes there's no choice but the hard choice. That's the job. Now set up the machine.
Fitz,"Sir, you're not really think..."
Coulson,It's not for me. There's one person who might have information about Gideon Malick. I need to get into his head.
Mack,Been waiting for you to come back.
Mack,So you snap back to the same spot like a yo-yo. Good to know. How about you let me... Aah! Damn it! I'm starting to hate you.
Simmons,"Von Strucker's in a persistent vegetative state. Significant portions of his brain are damaged. Sir, I'm not sure what you want to do is even possible."
Coulson,Let's find out. It's worth a shot if it gets us closer to Malick.
Giyera,"We were alerted to a police report, Bogota, Colombia. I've dispatched a team."
Malick,"We need to replace our losses. Dr. Garner did a lot of damage, and our guest needs Inhumans. You have doubts."
Giyera,"He can barely stand, doesn't speak."
Malick,"Because he spent hundreds of years clinging to life, trying to survive on the few men we were able to sacrifice every few decades. But I'm not a fool. Keep your eyes open. I don't want my faith to be misplaced."
Man,"Sir, he's asking for you."
Malick,He spoke?
Malick,How can I help you? What do you need?
Hive,I'm hungry.
Mack,Chair's an upgrade. Least there's that.
Mack,"Yeah, again, I don't know what you're saying."
Mack,"Policía? Yeah. You stole pistolas from the policia and sold the pistolas to your amigos, criminals."
Mack,"Yeah, you. Whoosh, whoosh. Criminal."
Mack,Dios? You think God did this?
Elena,Sí. Dios.
Mack,You think it was a gift from Dios or pescado?
Elena,Pescado?
Mack,"Yeah, fish. I know my way around a menu."
Mack,I think you're talking about Terrigenesis.
Elena,Terrigenesis?
Mack,"Yeah. You're an alien. My partner's one, too. You'll see her soon enough."
Daisy,Thank God.
Morse,"Hey, you."
Hunter,Her?
Mack,Don't make me crush you.
Lincoln,"So, this recovers lost memories?"
Simmons,But it's a dangerous procedure on a healthy subject.
Fitz,And Werner's anything but.
Lincoln,Anoxic brain trauma. Prefrontal cortex is barely active.
Simmons,"But memories are backed up in other areas, as well, traces and images tucked throughout the brain."
Fitz,Just need to dig them out.
Coulson,You have a problem with this? Because I do. I've been in this thing twice. Getting my arm cut off was pleasant by comparison. But they're telling me Gideon Malick is untouchable. I won't accept that. We good to go?
Simmons,"Yes, sir."
Coulson,"Werner, I need your help. Concentrate on Gideon Malick."
Strucker,"Just kill me. Just kill me. Just kill me. Just kill me. Just kill me! Just kill me! No, just kill me! Just kill me!"
Daisy,"She'll wake up soon, and when she does, I want you to run point on intake."
Joey,What do we know about her? Other than the kidnapping and the gun-running.
Mack,"She works a clerical job at a museum. At night, art classes."
Hunter,Artist turned gun-runner. Kind of sexy.
Morse,No record.
Mack,It doesn't add up.
Hunter,She got powers. That's how it adds up. Andrew was a lovely head shrinker before he turned into a not-so-lovely Inhuman serial killer.
Mack,Point made.
Daisy,Fair enough.
Morse,"Mack, is this the accomplice that you mentioned?"
Mack,"Yeah. Yeah, that's him."
Morse,Her cousin. Lives by her. Also no record.
Joey,Why are they taking those weapons?
Morse,Hunter and I will go track them down.
Daisy,You're up.
Daisy,She's feisty.
Mack,"Yeah, she's not happy to be locked in there. I guess the shoe's on the other foot."
Daisy,You're enjoying this.
Mack,Mm. Maybe a little.
Giyera,You trying to regain strength? You were hurt pretty bad.
Hive,"The body was dead. I was dying. They have advanced, but they haven't changed."
Giyera,“They?”
Hive,"Humans. But you're not human anymore, are you? You don't believe I am what they say. Once I'm strong enough, you will."
Stucker,Just kill me! Just kill me! Just kill me! Just kill me! Just kill me!
May,This isn't working.
Simmons,He's stuck in a memory of trauma. We can't snap him out of it.
Strucker,Just kill me!
Coulson,I know what that's like.
Strucker,Just kill me! Just kill me!
Coulson,What about him?
Strucker,Just kill me.
Coulson,Neurons communicate using electrical impulses. You could stimulate other areas of his brain.
Simmons,Targeted electroshock.
Lincoln,Hell no. I'm not doing that.
Simmons,"Well, at the very least, it could jolt him out of this loop."
Lincoln,Or fry his cerebrum.
Coulson,He's suffering. You could help snap him out of it.
Strucker,Just kill me. Just kill me. Just kill me. Just kill me. Just kill me. Just kill me.
Simmons,It's working.
Coulson,Tell me about Gideon Malick.
Malick,I'll handle everything.
Strucker,He sold me out. You sold me out.
Coulson,"Before he sold you out, you reached him. How?"
Strucker,You sold me out!
