character,line
Hive,Grant Ward. I wish we could have met under different circumstances.
Malick,He was a good soldier. He dedicated his life to HYDRA.
Hive,"Thank you for arranging that. He was strong, resilient, a perfect host."
Malick,"I made some moves this week to ensure we have all the inhumans we need when the time comes. In fact, I just acquired one you might find useful. Bring him in."
Malick,See if you can get through to him.
Hive,I want to see his eyes.
Lucio,What are you?
Hive,What are we?
Talbot,"Don't leave like this, Carla. It's not my fault. I just couldn't say no to the President."
Carla,"Yes, you could have. You just didn't want to. You're always choosing career over family, Glenn."
Talbot,That's not true.
Carla,And now we're finally paying the price.
Talbot,"I'm gonna fix this, Carla."
Coulson,Everything okay?
Talbot,"What the hell are you doing here? Are you spying on me? You know, my personal life is none of your damn business."
Coulson,"You're right. But the ATCU is, which you now run. And since you refuse to talk to me or return my calls, I didn't really have a choice."
Talbot,I've been busy.
Coulson,"You know I'm technically your boss now, right? But I'd prefer to be partners."
Talbot,"You are not now, nor will you ever be, my boss. And we will never be partners. I didn't ask to get put in front of this sideshow circus. If I find out you had anything to do with it..."
Coulson,"It was the president's idea, as was the symposium in Taiwan that we're supposed to be getting ready for. We need to be prepared."
Talbot,"Somehow, I have a feeling your idea of being prepared and my idea of being prepared are two wildly different things."
Fitz,"Watch where you're aiming that! You're not seriously gonna take that with you, are you?"
Hunter,Best to be overprepared than caught with your guns down.
Fitz,It's a diplomatic conference.
Hunter,"Yeah. Throw inhumans into the mix, and you have to expect the unexpected. Speedy powers, melty powers, eyeball death rays."
Fitz,"Well, that's why we've got Daisy and Lincoln with us."
Hunter,"Oh, yeah. Good old shake'n bake. What's in the case?"
Fitz,"It's the director's new toy, something we've been working on."
Hunter,"Does it kill, stun, or disintegrate?"
Fitz,It makes gloves.
Morse,"Hey, Fitz."
Daisy,Are you coming with us?
Fitz,My work's done. I'm just gonna put this in the Director's Cabin.
Morse,"So, what do you know about this conference?"
Daisy,"I know it's small, secret, just a few countries. They're calling it “a symposium on the alien contagion.” No wonder everyone is afraid of us when they use words like that. And you know, we're only part alien, and it's not a disease, it's an awakening."
Morse,Interesting word choice.
Daisy,"I mean, for me. Terrigenesis made me who I was supposed to be. I was given a gift, and I use it to stop bad people from doing bad things."
Morse,"Unfortunately, some of those bad people were also inhumans."
Daisy,"Yeah, well, you know who else does bad things are humans, but you don't see any symposiums on the human contagion."
Morse,"Humans, we know. Inhumans are brand-new territory. People fear what they don't understand. Any word from Lincoln? How's his field op with May going?"
Daisy,"Just a trial run. But having been there myself, I'd say... he's miserable."
May,You're too obvious. Blend in.
Lincoln,I've been blending in half my life. Pretty sure I can handle this. Where are you?
May,"Watching your every move. Stay focused. Field work isn't always about rushing in and using your powers. Look for anything out of the ordinary, people with their hands in their pockets, long coats, clothes that don't match the weather."
Lincoln,Wait. I think I see something suspicious.
May,What is it? What do you see?
Lincoln,No one would ever intentionally cut their hair like that.
May,Not funny. We're here to protect the Director. Try and remember that.
Talbot,"This symposium is gonna be a colossal waste of time. Sitting around a conference table, singing “Kumbaya” is not going to accomplish a damn thing."
Coulson,I'm less interested in the symposium than I am with the intel we can gather there. We need to know if any of these countries are harboring inhumans.
Talbot,"So it's a sneaky, little spy mission."
Coulson,"S.H.I.E.L.D., remember? That's how we roll."
Lincoln,"May, I've got one. No joke."
Coulson,My gut tells me Malick will have a presence there. Someone in his pocket trying to influence the delegates while getting information on any inhumans.
Talbot,Sounds like you.
Coulson,"Yeah. But we're the good guys. I know it's none of my business, but I hope you and Carla work things out for your son. George, right? What is he, 11 now?"
Talbot,He's 12.
Coulson,A good age.
Talbot,Yeah.
Coulson,"Good night, General."
Talbot,Director.
May,"Coulson, 12 o'clock. Get out of there now!"
Coulson,Creel. Get in.
Talbot,Hey! Coulson!
Coulson,"May, they got Carl Creel. I need backup."
May,"Lincoln, forget what I said. Rush in and use your powers."
Lincoln,I'm on it.
Lincoln,"Hey, michelin man. Let's finish this."
May,Lincoln!
May,"Lincoln, enough!"
Coulson,Stand down. That's an order!
Talbot,What the hell do you think you're doing?!
Coulson,It's Creel. He was trying to assassinate you.
Talbot,Assassinate me? He's here to protect me.
Fitz,"His absorbing powers don't seem so impressive now, not with all the inhumans around."
Simmons,"Mr. Creel, I'd like to ask you a few questions, if you don't mind. Do you know how you got your powers?"
Creel,An experiment.
Simmons,Something went wrong.
Creel,Something went right.
Simmons,You're the only human who survived contact with a terrigen obelisk. What was that like?
Creel,It hurt.
Simmons,"Well, by all accounts, you should be dead. Only inhumans can touch them and survive. Do you know how that was possible?"
Creel,Beats me.
Fitz,I still have a sample of his DNA.
Simmons,"Yeah, perhaps we should reopen our study, now we know more about the inhumans. Do you know how long we'll be keeping him here?"
Fitz,I don't know. There's still a lot of bad blood.
Hunter,"He killed my friends, Izzy and Idaho. I watched them die."
Talbot,He was brainwashed by HYDRA. He didn't know what he was doing. It took us months to undo their dirty work. He's a good kid.
Morse,He's a murderer.
May,And he had a criminal record long before HYDRA got their hands on him.
Talbot,He's from the streets. He made some mistakes. He's reformed.
Coulson,"I believe everyone deserves a second chance, but taking him with us on a covert mission doesn't seem like the place to test it."
Talbot,"It's a crazy world out there, full of powered people. I finally have one of my own. I don't leave home without him."
Coulson,What are you saying?
Talbot,"He doesn't go, I don't go."
Daisy,Fine. We'll go without you. We don't need him.
Coulson,"Actually, we do. If the acting head of our own ATCU doesn't show up, it sends a bad message. Not to mention it will embarrass the president and destroy any hope of an international coalition."
Hunter,What are you saying?
Coulson,He goes.
Hunter,You can't be serious.
Coulson,This debate is over. I'm taking a big leap of faith. You better be right.
Talbot,I trust him with my life.
Daisy,"If he steps out of line in any way, Lincoln and I will take him down so hard, he'll never get up."
Coulson,"Agent May, will you escort General Talbot down to see Creel?"
Talbot,Excuse me.
Daisy,I'm not kidding. I will hurt him.
Coulson,You're not on this op.
Daisy,What do you mean? I should be there.
Coulson,"I agree, but there are two rules for the symposium. The first is, no aliens. The delegates want to be able to speak freely without fear of offending anyone."
Daisy,"Yeah, well, it's too late for that."
Morse,And what's the second rule?
Coulson,No weapons.
Hunter,And what are we supposed to do if someone else decides not to play by those rules?
Coulson,"That's why having Creel there might not be such a bad idea. He's not inhuman, so he'll pass any DNA screenings they may have, and if he is truly reformed, could be an asset."
Hunter,You can't take the bad out of a bad man.
Malick,"May I have a word? Your body isn't improving. Maybe a new host, one not so damaged."
Hive,I know you're not offering yourself. The host must be dead.
Malick,"Oh, no. I'm afraid this old body wouldn't be the right choice. Perhaps Giyera, an inhuman."
Hive,I cannot inhabit inhumans. We cannot feed on our own kind.
Malick,"Well, I'm sure I could find a volunteer."
Hive,Grant Ward will serve my needs until we're ready.
Malick,"Very well, then. Uh... I can assure you there won't be any more setbacks."
Hive,Good. We like to hear that.
May,Briefing's about to start. Hunter.
Hunter,"I'm tempted to throw him off the plane right now. We made a deal with the devil once before, and we all know how that worked out."
May,Mission's more important.
Hunter,Aren't you tired of saying that? ‘Cause I'm tired of hearing it. Certainly didn't apply when your husband's life was on the line. Stating the obvious. I'm just here to make sure my friends don't die. He has a habit of killing them.
May,You're here for Bobbi. Nothing more. She's the only reason why you call yourself an Agent and why you couldn't care less about the mission.
Hunter,Are you saying you'd rather have that guy covering you than me?
May,"Honestly, not so sure."
Hunter,"Well, that's no way to treat a friend who's just trying to watch your back."
May,We're not friends.
Hunter,"I'll carry on watching your back, regardless."
Coulson,"There will be five other delegates at the symposium with General Talbot. They have information that we need and that Malick would like to get his hands on. Malick's obsession with inhumans continues, so it's likely that one of these delegates is his inside man."
Morse,Or woman.
Coulson,"Our mission, collect intel on any foreign inhumans and uncover the insider so that we can track them back to Malick. The symposium kicks off with a reception held by our Taiwanese hosts. All of the delegates will be in attendance, along with their attachés, a small number of invited guests, General Talbot, and myself."
Talbot,I don't care what they call it. It's a dress. You must be loving this.
Coulson,"You're the president's official representative. It's a customary way to honor them for hosting this symposium, and you look very dignified."
Talbot,It's all loosey-goosey under there.
Coulson,"I will be attending as Dr. Sean Lundwall, a CDC expert in alien biology. General Talbot, as acting head of the ATCU, will attend as himself."
Petrov,General Talbot? I recognize your face. Anton Petrov. Please thank your president for organizing this. I think we will all find it very valuable.
Talbot,This is Dr. Lundwall from the CDC.
Petrov,"Oh, uh, so sorry. Uh, I very much look forward to your presentation. We have so much to learn about these creatures. Excuse me, gentlemen."
Talbot,That's our guy.
Coulson,Because he called them “creatures?” Could be a mistranslation.
Talbot,"Because he's Russian, and he's probably in cahoots with that sushiyaki."
Coulson,Yakimura?
Talbot,Yeah.
Coulson,Talbot and I will find out what we can at the reception. The rest is up to you once the symposium starts. I've acquired a list of the delegates rooms. Those rooms are only accessible with a full palm print.
Hunter,"So, how are we supposed to get in? Do you want us to cut their hands off?"
Coulson,"We won't need to cut off any hands, but I will need to shake a few."
Coulson,Ms. Chen. Dr. Sean Lundwall. It's a beautiful place. Thank you for hosting.
Chen,It's our pleasure.
Hunter,Fits like a glove.
Chen,"General Talbot. I must say, I'm quite honored that you're wearing a traditional long gown."
Talbot,"Well, the honor's all mine. I don't put on a dress for just anyone."
Coulson,I don't think we've met.
King,"Ellen King. Have you found a cure for them, Doctor?"
Coulson,A cure needs a disease.
King,Interesting. I'm sure you'll enlighten us all later. Excuse us.
Talbot,"I think it's Chen. She's too nice. Never trust nice. Although, did you see the scar on down under's face? Maybe she tangled with one of the inhumans, got her all hotheaded, you know?"
Coulson,Congratulations. You've just narrowed it down to everyone.
Malick,Don't leave his side until I return. I'm concerned about the way he looks. You call me if anything changes.
Giyera,"Yes, sir. Hail Hydra."
Hive,"Despite what he just said, I'm gonna need you both to leave my side."
Giyera,What do you need?
Hive,"Humans, five of them. Alive."
Lincoln,I'm not gonna fight you.
Daisy,It's not fighting. It's training.
Lincoln,"We finally found a night off together, and this is what you want to do? We could be lounging or binge-watching some show or..."
Daisy,"I need to blow off some steam, and you need to get ready for your agent assessment at the cocoon."
Lincoln,"Yeah, can't wait. More time apart."
Daisy,I like it when you miss me. No powers. Okay? Just you and me.
Daisy,You're getting better. Is this how you've been spending your free time?
Lincoln,What free time?
Daisy,I think you're starting to like spending time in the field... that rush of adrenaline.
Lincoln,Not so sure the field is my thing.
Daisy,What's your thing?
Lincoln,Don't know. Maybe it's you.
Simmons,"Oh. So sorry. Um, there's something going on with Creel's DNA sample. I could really use a doctor who understands inhuman biology."
Daisy,"Well, I happen to have one of those right here. Go do your thing."
Lincoln,We're gonna pick this up right where we left off.
Talbot,"Have a seat, please. I trust you've all had a chance to recover, freshen up from that reception. I got to say, it's nice to finally put a series of faces to all your unpronounceable names. Uh, okay, well, on behalf of President Ellis, I'd like to thank you all for gathering here. As I'm sure you're all aware, there have been rumors, reports, and sightings of a new breed of alien living among us. Now, it's our hope that, by working together, we can come to a consensus about how to deal with them."
Coulson,We can start by not calling them aliens. They prefer the term “inhumans.”
King,"What kind of a name is that? Is it meant to intimidate us, mock us?"
Coulson,"Not at all. They're just trying to find their place in the world, but they're more human than anything else, and I think it's important that we see them that way."
May,King sounds a little hostile. I'm in. Haruto Yakimura's room.
Coulson,"It's not a virus or a disease. It can't be spread. It's a genetic anomaly that affects a very, very small percentage of the population, but they're as human as we are, just... with a little something extra."
Yakimura,"Unfortunately, this something extra could destroy us all."
Coulson,"That depends on whether we make them our friends or our enemies. We should think of them as an opportunity, an opportunity for compassion."
