character,line
Duval,"Incroyable. How you are alive, sitting here, is a miracle to me. You're lucky that your government intervened, that Interpol was brought in at all. For something as serious at this? Three highly decorated members of the Russian government, murdered in cold blood, on Russian soil, by former S.H.I.E.L.D. agents. In another time, we would have found you three feet below the ice, if we found you at all. You must have something to say for yourself."
Morse,"I'd like a cheeseburger, medium, with cheddar cheese, ketchup, mayo, lettuce, and tomato. And some curly fries. Crispy."
Duval,"Ms. Morse. I'm your only ally here. There's no one else to help you, nowhere to run. So tell me, what were you doing in Siberia?"
Morse,Malick's convoy heading our way.
Hunter,"Oh, really should stretch before running."
Morse,"Hey, where's the de... I thought I had it."
Hunter,"Ah, being cooped up in a jet isn't exactly conducive to blood flow."
Morse,Where's the target designator?
Hunter,"Oh, hold on. I got it. Here you go."
Morse,"Bird to Zephyr, painting target. Do you copy?"
Fitz,"Copy that, Bird. Target's lit. We're tracking now. Okay, it looks like Malick's convoy's heading for this decommissioned power plant about 30 kilometers away."
Mack,"Dead in the middle of Nowhereville, Siberia."
Daisy,"Yeah, if Malick and his Russian patsy want to build some Inhuman sanctuary, why not build it someplace nice and sunny?"
Coulson,Same reason they don't put a prison camp in Malibu. “Not in my backyard.”
Daisy,"That's what the sanctuary really is gonna be, isn't it? A prison camp."
Coulson,We'll see what Bobbi and Hunter find when they get there.
Fitz,"Zephyr to Bird, we have Malick's convoy, can guide you to them, but you're gonna need some transport. Will that be a problem?"
Morse,"No, I think we're good."
Hunter,Chop-chop.
Duval,"I have to say, I have never encountered someone like you."
Hunter,"Oh, why, thank you."
Duval,Someone who has the ability to spout absolute nonsense with such ease.
Hunter,"It's not nonsense. It's the truth. Bobbi and I were on holiday, picking mushrooms."
Duval,In the woods of Siberia in the dead of Winter.
Hunter,Do you know a better place to find the jumbo chaga mushroom? Because I certainly do not.
Duval,"You were caught with a weapon, standing over a dead man."
Hunter,An unfortunate circumstance.
Duval,Who ordered the assassination?
Hunter,Assassination? Are you joking?
Duval,You broke in to a top-secret Russian facility.
Hunter,"We were accosted in the woods by some ham-fisted, dare I say, drunken soldiers, who dragged us into this entire mess. All we did was try to get out of it. We're the victims here, mate. You want to know the key to a good mushroom soup? Dried porcinis."
Hunter,"Quite pretty, in its own way."
Morse,"Zephyr, we're in sight, but no visuals on the target. Can we get thermals?"
Fitz,"Yep. We've got eyes on you, Bird, but we can't see inside the plant. Internal lining must be blocking thermal or ground-penetrating radar. They're hiding something."
Hunter,"Malick's SUV is inside, parked in the loading-bay area, along with several military vehicles. Must be their base of operations during construction."
Fitz,They've wiped out almost 30 square kilometers of forest just to make room for this place. You wonder why the planet's dying.
Hunter,"Got that right, mate. You and Jemma watch that documentary I mentioned?"
Fitz,"Oh, yes! The one about the Amazon? It..."
Coulson,"And you'll talk about it later. We need eyes and ears down there. Malick told me point-blank he's putting together an Inhuman army, so he's either here to add more soldiers or to set up shop."
Morse,"Copy that. If we're gonna infiltrate, a surveillance package would help, sir."
Hunter,And guns. Don't forget those.
Coulson,I'll send a backup team your way.
Hunter,"If we can get to Malick, have we got the green light?"
Coulson,"You want to assassinate a former member of the World Council on Russian soil, knowing that if we get caught or our actions are tied to the U.S. government in any way, that it'll be considered an act of war."
Hunter,"So, you're saying...?"
Fitz,P-Pretty sure that's gonna be a no.
Coulson,It's a big no. Find out what Malick's up to and get back to me. And keep a low profile.
Morse,Copy. Over and out.
Hunter,"Hi. Kind of nice, isn't it? The two of us, alone in the woods."
Morse,"No. Not here, not now. Though I love the way you think."
Hunter,"Get your mind out of the gutter, woman. I was just trying to recall the last time we went away together on a proper vacation."
Morse,"Well, let's see. Rio, Caesar Park Hotel."
Hunter,On a mission. Stakeout.
Morse,San Diego.
Hunter,Visiting your mum doesn't count.
Morse,Florence?
Hunter,That wasn't me. The word you're looking for is “never.”
Morse,"No, not never. You're exaggerating."
Hunter,Fine. I'm exaggerating.
Morse,"This is the job. We have to make certain sacrifices, like free time."
Hunter,"Where do you draw the line? The sacrifices we've made, the compromises we've made."
Morse,Where's this coming from?
Hunter,"Carl Creel killed two of our friends, and we go on a mission with him."
Morse,"To be fair, Talbot brought him in."
Hunter,"And Coulson approved it. Like we made peace with Ward last year to go on a mission, and he almost killed you."
Morse,Ward's dead.
Hunter,"And here we are, chasing a man who may be the last head of HYDRA, and our orders are to surveil him? Why? So he can come back to haunt us later? There's a pattern emerging, and it always ends badly. Oh, forget it. I just need a break."
Morse,Are you talking about a vacation or something else?
Hunter,Hold on. We've got movement.
Morse,What's that tech wrapped around his head? It's got to be an Inhuman.
Hunter,They're holding him prisoner.
Morse,Coulson needs to see this.
Hunter,"Well, that's one way to infiltrate the premises."
Morse,"Please, don't shoot. Oh, my gosh. We are so sorry."
Hunter,We were just looking for the main road. Out for a spot of mushroom picking. Y-Y-You see? Mush-rooms?
Morse,"My... My phone battery died, and we got lost. Do you guys have a map?"
Morse,He was just doing his job.
Hunter,So was Stalin.
