character,line
Ruben,"Sure that's the right move, Alfie?"
Mack,"Ah, you know what's not the right move? Calling me Alfie. Mom gets to. You don't. If you're gonna ride this thing like a damn maniac, I wouldn't have to come home and repair it for you."
Ruben,You wish you rode like me.
Mack,"Yeah, please. You got nothing to ride without that intake valve I brought you. I could always take it back."
Ruben,"Okay. Well, your Ironhead's in great shape, and you're never home to ride it anyway. Maybe I ought to..."
Mack,"Never ride my bike ever? Yeah, I love that idea."
Ruben,"I mean, I thought you were gonna finally ride it when we drove to Baja. Baja."
Mack,"Oh, this again. Look, I told you, I got buried in work. All right, I'm sorry, but, uh... we'll find a time."
Ruben,"Oh, I understand. Being an insurance-company drone is super interesting. Why not bury yourself in that work?"
Mack,Funny. I was wishing I was back at work right now.
Ruben,Seems like a pretty sweet gig if it gets you a hook-up on an impossible-to-find intake valve.
Mack,"Yeah, honestly, job hasn't been great lately. Management's out of control, new people keep coming in every day, no experience. And the two friends I was closest to, they just got, uh... transferred for good."
Ruben,"Work buddies, come and go. Now, family, they're the ones you can't get rid of. Even if they set up a roadside stand and tried selling you off to strangers."
Mack,You were an awkward kid.
Ruben,I'm sorry about your work.
Mack,I'm sorry about your layoff. But it's just a temporary setback.
Mack,"Why is this still here? When Mom and Dad left you the house, they had to leave this, too?"
Ruben,"Dad wouldn't let Mom take it. I put it up on eBay. Turns out, not as valuable as Mom thinks."
Mack,"Okay, uh, so here's the plan. Uh, lunch, beers, finish up the bike. Good?"
Ruben,Good. I picked up a couple steaks.
Mack,"No, you didn't. You gonna do your...?"
Ruben,Mm-hmm.
Ruben,"Aw, yeah."
Mack,"You could take a run at that, you know, cooking. You're good. No, I'm serious. Not as good as I am with engines, but..."
Ruben,"Oh, that was almost a compliment. So close."
Reporter,Breaking news...
Ruben,"I've thought about it, but..."
Reporter,We have a shocking video that was sent to our station minutes ago.
Watchdog,"This facility s controlled by the ATCU. The government is keeping secrets, things we don't know until cities fall out of the sky. The Avengers, more like them every day, protected, hidden. Not anymore! We want this information released..."
Ruben,Whoa.
Watchdog,"A list of who they are, where they are. Or you will have war on your hands. We are the Watchdogs. You will obey. Let's go!"
Mack,This is...
Ruben,Awesome. Right?
Coulson,"I need an agent in South Bend, and you're the closest one to the scene."
Mack,"Right. It's just, I'm here with my brother, and I was hoping this week off would be more of a..."
Coulson,"Thing is, Mack, I'm actually down a couple of agents right now."
Mack,"I know, sir."
Coulson,"My resources are limited. Local P.D.'s already on the scene, and you know the Feds are on a plane."
Mack,"Yes, but..."
Coulson,"They'll pick the site clean, and we'll have nothing. They hit the ATCU, Mack. It's serious. I'm sorry about family time, but we all make sacrifices. Figure it out."
Mack,"Hey, uh... So, it looks like I have to take off for a couple of hours. There was an accident on U.S. 41. I got to go assess it."
Ruben,Now?
Mack,Yeah. It's complicated.
Ruben,"But this is simple. Lunch, beers, bike? Remember?"
Mack,We'll get to it. I promise.
Daisy,Were there casualties?
Coulson,"The building had a staff. When you get to South Bend, rendezvous with Mack at the ATCU site. Report back what you got."
Daisy,"I've been following the Watchdogs online for a while now. Some pretty nasty hate speech, but up until now, it's all been rhetoric."
Coulson,"There's a bark/bite joke I could make here, but I don't find these guys all that funny."
Daisy,"No, they've had a menacing presence ever since New York. Got even less funny after Sokovia."
Fitz,Not exactly embracing the new changes in the world.
Coulson,Now they're not happy just being the comments section.
Daisy,Something's changed. They're taking action.
Coulson,We need to shut them down before more people get hurt. We've got enough on our plate trying to track down Malick.
Daisy,Hey!
Lincoln,Hey.
Daisy,How'd the S.H.I.E.L.D. assessment go?
Lincoln,"Fine, I think. I guess we won't know for sure till Coulson gets the evaluation report."
Coulson,I got it.
Daisy,"Well, should we bring Lincoln with us? With Bobbi and Hunter gone, we can use all the help."
Coulson,"Lincoln's gonna sit this one out. You and Fitz go ahead. Meet up with Mack, then report back to me."
Daisy,Okay. I will do that.
Mack,"We get it, Watchdogs, you did this."
Daisy,Yeah. Did you ride that here?
Mack,Uh-huh.
Daisy,Wow. You really are on vacation.
Mack,"Yeah. Vacation. All right, here's what we know so far. This facility was a storage site for the ATCU."
Daisy,"But somehow, the Watchdogs found out."
Fitz,"Hey! Hey. Uh, the residue from the bombs, it's got nitramene in it."
Daisy,"I don't know what that is, but your tone of voice makes it sound bad."
Fitz,"Uh, Howard Stark developed it after World War II. It causes implosions."
Mack,Mm. That's weird.
