character,line
Edwin,"Starting fires now, huh?"
Charles,"No, no. Don't... Don't want trouble. Just needed, um... art supplies."
Edwin,"It's Charlie, right?"
Charles,"Well, Charles."
Edwin,"Look, I can't have you sleeping back here anymore. It's not good for business. I'm about to open."
Charles,"Okay. Uh, but, um, I could help out if you want. Sweep up or, you know, any... anything else you need."
Edwin,"I just need you to clear out. The sun will up in a few minutes. There's a shelter over on 9th. Look, grab yourself some breakfast on the way."
Charles,"No, no, no, no. No, I-I don't want any trouble."
Edwin,"You seem like a nice guy. I-I just need to keep the customers I got. Now, take it. Daisy, help. Save me, please. So sorry... We're running out of time, Daisy. This is where I die."
Dispatcher,"I'm sorry, sir. Please calm down. I'm having a hard time understanding you."
Edwin,There's someone coming here to kill me. Hydra.
Dispatcher,"Sir, we're sending two cars to your location."
Edwin,"No, there's no time for that. I need Daisy Johnson."
Dispatcher,Who?
Daisy,"S.H.I.E.L.D. monitors emergency dispatch? All the time, all over the world. It's how we're first on the scene. Who was the caller?"
Coulson,"Man identified himself as Edwin Abbott. Owns a local grocery store in Dyker Heights. No affiliation with S.H.I.E.L.D. or any intelligence agency, for that matter. Just a guy."
May,You don't know him?
Daisy,"Never seen him, never heard of him."
Coulson,Prepare the Quinjet for disconnect.
Agent,"Yes, sir."
Lincoln,He knew your name.
Daisy,And mentioned Hydra. Can't be good.
May,May even be a trap.
Coulson,We'll need ground tactical at the ready.
Daisy,"You're coming? Good. With Mack on bed rest, we could use the extra muscle."
Coulson,"Well, he's the only one with extra muscles, but I'll come anyway. We don't know what we're walking into."
Officer,"Slow down, and tell me again."
Edwin,I already told you. I'm not crazy. This is happening. There. There she is.
Officer,"And who are you, now?"
Daisy,"Daisy Johnson, ATCU. Um, Edwin, right? How did you know my name, Edwin, when you called 911?"
Officer,Because I heard you say it just now.
Daisy,Uh... what are you saying?
Edwin,"I-I saw this. You saw what? This moment, talking to you, the... the cops, all of it."
Daisy,I'm... I'm sorry. I'm not following.
