character,line
Man,"Gideon, your father was a true believer. He'll be sorely missed."
Young Gideon,Nathaniel and I will do everything we can to continue our father's work.
Man,I'd expect nothing less from the Malick boys.
Young Nathaniel,"Gideon, they're saying it's time."
Young Gideon,"I already told them no, Nate."
Young Nathaniel,We have to go see him.
Young Gideon,Like hell we do.
Young Nathaniel,We can't just ignore Daniel Whitehall.
Young Gideon,He's an old man in a prison cell.
Young Nathaniel,Who is still very powerful. And if he wants us to show...
Young Gideon,"I don't give a damn what he wants! Dad never believed in Whitehall's HYDRA, and we're not gonna start now. We're staying right here."
Young Nathaniel,"They're not asking, Gideon."
Man,Sir? We're home.
Stephanie,You've been holding out on me.
Malick,We need to talk.
Stephanie,"You didn't tell me he was a looker. I don't know what I expected, but tall and handsome were certainly not at the top of the list."
Malick,Wait. Who... Who... Who are you talking about?
Stephanie,Our guest.
Malick,A-Are you saying that he's here? Why?
Stephanie,I thought you'd be happy.
Malick,Just answer the question.
Stephanie,He showed up earlier and asked me to gather the inner circle. They're on their way now.
Malick,So they're coming here today.
Hive,Gideon. So glad you could join us.
Malick,I'm honored that you would visit our home. To what do we owe this pleasure?
Hive,I felt it was time.
Malick,Time for what?
Hive,To reveal my true self.
May,You said you killed him.
Coulson,I did.
May,"Well, you didn't kill him hard enough. Want to tell me what we're looking at?"
Coulson,The lab is working on that question. I'm sorry about Andrew. If you need any...
May,I don't want to talk about that any more than you want to talk about this. You don't have a lot of kills like that under your belt.
Coulson,I've done my fair share.
May,Not that you enjoyed. I would've made the same choice. We do what we have to do.
Coulson,I know the company line. Just feel like we're only fixing problems that we created.
May,"Yeah. Plus side, maybe I'll get a chance to kill him, too."
Mack,You got to be kidding me. Ward? What a pain in the ass. What? Leaving him for dead on another planet isn't enough to get rid of that guy?
Daisy,You're looking better.
Mack,Yeah? ‘Cause you're not.
Daisy,"Well, we don't think he's a guy anymore."
Simmons,"We think Ward's body was possessed, for lack of a better word, by It, the creature."
Fitz,From the other planet.
Mack,And he burned them or something?
Simmons,"Honestly, right now..."
Fitz,"We have no idea. When I was there, It knew everything that Will did, even after he was gone."
Daisy,"Which means whatever this thing is has Ward's memories, so why hasn't It come after us?"
Fitz,Maybe It's not interested in us.
Mack,Can't believe I'm hearing this.
Simmons,"Well, we know It destroyed an entire civilization over there. Who knows what It has planned here?"
Mack,"Tremors, you saw the future, right? You see anything else? Anything that might help us out?"
Anderson,"Director Coulson would like to see you in his office, all of you."
Coulson,"Malick has given new meaning to the term “hostile takeover.” What he did at Transia Corp was brutal, even for him. They must have something he needs."
May,If we can figure out what it is.
Mack,It'll lead us to Ward.
Coulson,This is not Ward.
Daisy,Sure is creepy like Ward.
Fitz,Ward's dead. I saw it happen.
Coulson,"There's a lot of overlap between the two companies, but only Transia has a subsidiary dabbling in the agrochemical field."
Daisy,GT Agrochemical. Does what?
Simmons,"GMOs, pesticides, ruining the global food supply."
Coulson,"Minutes after the takeover, a paramilitary force took control of that branch, started moving equipment out."
May,Zephyr is wheels up in 20. The Quinjet will peel off mid-flight.
Fitz,We're splitting up?
Coulson,Lincoln and Daisy have a stop to make in the Badlands.
Lincoln,"There, uh, there was this Inhuman in Afterlife. He might have answers about whatever is possessing Ward. It's a long story. I'll explain on the way."
Coulson,"We're in the dark, but right now, Ward and this thing, they're not afraid to take what they want or kill who they want. So what's our advantage?"
Mack,They're not afraid.
Stephanie,"Dad, what's going on?"
Malick,"I've seen something. There was an Inhuman, and when I touched him, I saw a vision of the future."
Stephanie,Really? What did you see?
Malick,My death. I felt so much pain. I was torn apart from the inside.
Stephanie,You have to tell our guest. He can help save you.
Malick,"No, honey, no. I felt every cell in my body was being destroyed. My killer, it was him."
Young Gideon,Why are we here? Our dad's body is barely cold.
Whitehall,"I felt it was vital we spoke before you upcoming stone ceremony. Your first, yes?"
Young Gideon,There better be a point to this.
Whitehall,"You boys are of age now. It's time you choose a path forward in HYDRA. And with your father gone, I believe you should choose mine."
Young Gideon,"And why would we do that, old man?"
Young Nathaniel,"Gideon, don't."
Whitehall,"I'm a man of science, not religion. Your family's ancient traditions are nonsense."
Young Gideon,You don't know anything about us or our beliefs.
Whitehall,No? A ceremony where grown men draw stones from a bag and one unlucky participant draws a white stone and is sacrificed to a liquid rock.
Young Nathaniel,To be chosen as the Traveler is a great honor.
Whitehall,An archaic blood sacrifice.
Young Gideon,You're a coward. He was 10 times the man you are.
Whitehall,"Make no mistake. Your rituals are foolish. But your father, he was no fool. Answer me this. How do you suppose he survived all those ceremonies? From what I heard, he was quite gifted with a certain parlor trick. Why leave to fate what you can decide for yourself?"
Young Gideon,Nice try. We're done here.
Whitehall,"There's a book in your father's study, Paradise Lost. Take a look. I believe you'll find it most illuminating."
Young Gideon,"Let's go. Nathaniel, let's go."
Stephanie,"Dad. Dad, are you listening to me? He's not going to hurt you."
Malick,I felt it. I think he's gonna do it tonight in front of the others.
Stephanie,You brought him back. You more than anyone are the reason why he's even here at all.
Malick,"Look, I know, and I'm as shocked as you are. But he sent Giyera away, and now he's gathering the inner circle behind my back."
Stephanie,He must have a good reason.
Malick,"Oh, he thinks he no longer needs me. And it makes sense for him to kill me as a show of power to the others."
Stephanie,"Dad, you've always been a faithful follower. Why would he ever hurt you? When Mom died, I wouldn't get out of bed for a week. Remember? And you told me to man up."
Malick,Stephanie...
Stephanie,"Malicks don't wait around. They roll up their sleeves, and they get the job done. Whatever this is, you can fix it. You remind him how important you are. I'll have a Scotch waiting when you're done."
Lincoln,Daisy. Where'd you go?
Daisy,Trying to understand how we've been searching the globe for months and you never bothered to mention another Afterlife Inhuman.
Lincoln,"Potential Inhuman. He was never given powers. And until we saw Ward's corpse walking around, I was pretty sure he was crazytown. I wasn't trying to keep anything from you."
Daisy,So don't. He's in South Dakota?
Lincoln,"Off the grid. His name's James. He's a demolitions expert. Australian. Former mercenary. Few weeks after I got there, Jiaying caught him breaking into her private archives and banished him."
Daisy,What was he doing in there?
Lincoln,"Stealing, mostly. He made a big scene, ranting about the second coming of some ancient Inhuman who could raise the dead."
Daisy,"Well, something tells me he won't be jumping at the chance to help us."
Lincoln,"He was pretty bitter, not getting powers. We'll need to be careful and keep our eyes open."
Coulson,You're saying these organisms ate these people?
Fitz,"Well, most of them. In a remarkably short space of time."
Simmons,Will believed that one of the other astronauts was burned alive. Maybe it was actually this.
Fitz,"There was a graveyard of bones on that planet, right?"
Coulson,And It controls these organisms?
Fitz,That's one theory. We do know that they eat living flesh.
Simmons,What if It also uses them to reanimate dead flesh? Sorry. It's just... I still can't believe this thing is here on Earth.
Mack,"Sir, we're nearing the agrochem facility, and you were right to head there first. Some of the boxes weren't carried out. They floated."
Coulson,Giyera.
Malick,I always loved this place. My brother and I used to play here as kids.
Hive,"Gideon, your daughter impresses me. She's a true believer."
Malick,"Well, I tried to raise her right, same as my dad raised me."
Hive,She'll play a key role in this.
Malick,"Well, I'm happy to hear it. How fortunate it was for all of us that I was able to find you and bring you home."
Hive,"Trivial thing, daylight, till you spend a few centuries in the dark."
Malick,"How much do you remember of those years, of your many hosts? Do their memories live on in you?"
Hive,Why? Is there something you'd like to ask them? It'll all be made clear tonight.
Coulson,Giyera is Malick's right hand. He's a trained killer.
Fitz,"And torturer, don't forget."
Coulson,Which is why we need to make sure he doesn't get away.
Simmons,It won't be easy. He can control anything in his line of sight.
Fitz,Non-biological objects.
Simmons,"Yes, non-biological objects and the like, but he can't make you hurt yourself. Though he did turn poor Mr. Banks' gun on him."
Fitz,So I built handprint locks into the grips. The firing pin won't engage without the designated hand on the trigger.
Mack,"Great. So instead of shooting us, he'll just bludgeon us to death."
Coulson,"Before the ATCU, Giyera spent years in special ops. He's dangerous without powers."
May,Here. Tell me about this room.
Daisy,"I hope you know how to deal with this guy, because I'm thinking, crazytown was a pretty spot-on assessment."
Lincoln,"We'll be okay, but we shouldn't use our powers. He's cranky enough as it is."
James,"Lincoln, you S.O.B. Take your little boy-band hipster scruff and piss off."
Daisy,What a sweetheart.
Lincoln,Same as he ever was. Come on.
James,"Fair warning, pretty boy. You take one more step, you're gonna regret it."
Lincoln,"James, we only want to talk."
Daisy,What is that?
Lincoln,Don't move.
Daisy,Wha...
Lincoln,You're standing on a land mine.
James,I did say “one more step.”
Daisy,Seriously? What kind of lunatic puts land mines in their front yard?!
Lincoln,James! We're not here to fight.
James,"Oh, that's rich, coming from you. I've been waiting a long time for this day, for Jiaying to send out one of her little lapdogs to come after me. To be honest, I thought it'd be that no-eyed bootlicker, Gordon. Kind of shocked that she trusted you, with anything, really."
Daisy,Wow. You really undersold Mr. Personality.
Lincoln,Can you hold it down?
Daisy,Or I'll blow off my leg. Okay.
James,"What are you doing? Ah. Whoo-hoo-hoo-hoo! Look at you. Girl power. Nice move. Well, I hope you got the message."
Daisy,Okay.
Lincoln,"Daisy, wait."
James,Damn it. Damn it.
Young Gideon,"I can't sleep, either. I'm trying not to be nervous about the ceremony tomorrow, but..."
Young Nathaniel,I had to know.
Young Gideon,What are you talking about?
Young Nathaniel,“Paradise Lost.” Whitehall was right.
Young Gideon,Whitehall's a blowhard. He was trying to mess with us.
Young Nathaniel,"Dad, he would swap in this stone during the ceremonies and feel for the notch to make sure he never drew it from the bag."
Young Gideon,He would never do that.
Young Nathaniel,"But he did! It's all right here, Gideon. Dad was afraid to be the Traveler. He was a coward and a cheater. Everything he said to us was a lie."
Young Gideon,"Maybe Dad wasn't who we thought he was, but our family has upheld this faith for centuries. And that is not gonna end with us. We'll be better men."
Young Nathaniel,How?
Young Gideon,We do the ceremony the right way and let fate decide.
Young Nathaniel,Together to the end.
Young Gideon,Together to the end.
Stephanie,"Dad, you okay? The others are anxious to know why they're here, and I don't know if I can keep the secret much longer."
Malick,"Once we begin, there's no turning back. Whatever happens."
Stephanie,"If you were me, I know exactly what you'd say right now. “It's time to man up.”"
Malick,"My friends, it's time to begin. I know you're wondering why we're here. It's been a long time, but today, we're not here for a ceremony, but a celebration. We've devoted our lives to bringing the HYDRA God back from exile, and I know some in this room have doubted that he'd ever return. You doubted me. Well..."
Hive,They were wrong. My exile's over.
Vogel,What is this? You're Grant Ward.
Hive,"Yes, I am. But this body is only a vessel, one of many who gave their life so that I could survive. As promised, all of the Travelers, the brave men who sacrificed for me, have finally returned. Thanks to the Malick family. You'll all get what you deserve. And for those of you still having doubts, see and believe."
Man,"The area's clear, Director. Scanning the building for Giyera."
May,"Most of the lab equipment's been taken away. Files, too."
Coulson,What hasn't been taken away has been destroyed.
Mack,Nope. Nothing sinister about that.
Daisy,"No quick moves, tough guy."
James,"Hand it over, unless you want to wrestle for it. I can see you're not afraid of a little scrape."
Lincoln,We only need information about that ancient Inhuman you used to talk about and anything you stole before being thrown out of Af...
James,"I'm sorry. I just can't get over the irony of this whole situation. Jiaying elected to give you powers? Oh, Lincoln. Man, you're a mess."
Lincoln,You don't know what you're talking...
James,"Makes me wonder what you've been giving her, huh? Something a little extra on the side after hours? What? Well, the woman's crazy, but she's not bad for a senior citizen."
Lincoln,We're not here on her behalf. We're with S.H.I.E.L.D.
James,"S.H.I.E.L.D.?mEven I know the band broke up, brother. Why don't you leave me out of whatever little plan you and Jiaying..."
Daisy,"Jiaying's dead, and Afterlife is a pile of ashes. Well."
James,hallelujah!
Daisy,You see? We're on the same side. So why don't you tell us what you found?
James,"Why? I don't really do things out of the kindness of my own heart. Haven't really understood that behavior, to be honest."
Lincoln,"Yeah, that's why I brought a little incentive. I know all you've ever wanted is to be like us, so I thought I'd put that offer on the table."
James,You should've opened with that.
Mack,Looks like the data was uploaded off-site before it was wiped.
Coulson,Work with Fitz. See if you can trace where it was sent. And gather what's left of these experiments for Simmons. Maybe she can figure out what the hell they were working on here.
Man,"Sir, Giyera's coming your way."
Coulson,Copy that.
May,"Not so fun when we take away your toys, is it?"
May,So we're doing this the hard way?
Giyera,"I don't usually like getting my hands dirty, but for you, I'll make an exception."
May,Don't bother.
Fitz,Giyera uploaded his data to a set of servers in Schoonebeek. It's on the Dutch-German border. It's an abandoned oil field.
Coulson,"So HYDRA's in the oil business now? It's like they're not even trying to avoid the bad-guy clichés. Get the coordinates to the cockpit. Damn it. Get out of there right now! Go, go, go, go, go!"
Mack,We'll get him to talk.
Coulson,"Maybe. If not, let's hope Daisy and Lincoln come back with something useful."
James,"Well, most of what I stole was junk, but this was interesting. I give you the alien thingumajig and you give me the crystal."
Daisy,That's Kree.
James,"Looks like you're the muscles and the brains, huh? He's just the haircut."
Lincoln,What does it do?
James,"Well, if I could figure that out, I would be doing that instead of this. But from what I can gather, it was snatched up by this ancient that you're badgering me about, after the Kree were killed or driven out or whatever."
Daisy,When the Inhumans revolted against them.
James,That was your man that led the charge. They called him Alveus. It was Latin or something.
Lincoln,One of the first Inhumans.
James,"Original blend. Powerful. Designed by the Kree to command the Inhuman army for them. That idea really bit him in the ass, didn't it?"
Daisy,Powerful how?
James,"I'm not sure, but the archive said the Inhumans started to fear him, and they had to band together with regular humans to banish him. Look, those records, they say that all of us at Afterlife descended from the first group of Inhumans. That was our history. She had no right to keep it from us."
Daisy,She was probably scared someone would try to bring him back.
James,"Maybe. Wait. You guys aren't trying to bring him back, are ya?"
Lincoln,Of course not.
Daisy,Never.
James,"Good. Well, this priceless artifact is yours. If you want it, just give me the damn crystal."
James,You lying son of a bitch.
Lincoln,"See, Jiaying was right about some things. Not everyone deserves powers."
James,"And you do? Now that you got electricity running through your veins, you might actually kill someone."
Lincoln,Let's get out of here.
James,"Oh, boyfriend of the year didn't tell you how his last relationship ended. He nearly murdered the poor girl. But I can see by your face that you're familiar with that side of him."
Lincoln,"Daisy, come on."
James,"You may think you can change him, sweetheart, but you're wrong. Men like him don't change!"
Stephanie,"Let me pour you that Scotch. Neat, two fingers?"
Malick,"To you, for reminding me what it means to be a Malick."
Stephanie,I learned from the best.
Malick,What do you got there?
Stephanie,Our guest seems to have taken a liking to me. Got me a gift. Token of appreciation for standing by his side. I told him it was my pleasure...
Malick,It's very thoughtful.
Stephanie,I know that look.
Malick,It's been a long day. I may turn in.
Stephanie,You're not still questioning him.
Malick,No. Not anymore.
Stephanie,"Goodnight, Dad. Love you."
Malick,"Love you, too."
Stephanie,See you in the morning.
Simmons,"The Sturnus vulgaris, or European Starling, one of America's scariest invasive species."
Coulson,They're just birds.
Simmons,"Birds can be scary. Imagine a flock of a million coming to peck your eyes out with their tiny, little beaks."
Coulson,So they were studying birds and bugs?
Simmons,"And all sorts of other invasive species. Yeah, they were genetically engineering plants and animals to resist them. This was their most cutting-edge division."
Coulson,"Why would It burn the evidence, then?"
Simmons,"Well, either he wanted to use it and was covering his tracks or he was afraid of it."
Coulson,Keep looking. Maybe we find a chink in his armor. How close are you to figuring out what he is?
Simmons,"Well, I have a theory, at least. These experiments have me thinking. The organisms we found on the bones, I don't think he's controlling them. I think he is them. He's a parasite."
Coulson,A parasite that retains the memories of the body he took over.
Simmons,Sounds even worse when you say it like that.
Fitz,"Is there something wrong, sir?"
Coulson,You were there. You saw.
Fitz,“We do what we have to do.” That's your words.
Coulson,Yeah. And that's what I've been telling myself.
Fitz,And now you don't believe that that's true?
Coulson,"It was true for you. You were left no choice on that planet. You did the right thing, but I crossed the line. Ward deserved to be punished, but no one deserves to have the life s..."
Fitz,"No, he did deserve it. He did deserve to have his chest caved in, no question."
Coulson,That's not the point. It was payback. That's not what we do here.
Fitz,"Well, what was the alternative? I mean, letting him live, letting him win?"
Coulson,"Don't you see? When I killed him, he did. I knew it would come back to haunt me, I just didn't think it would actually come back to haunt me."
Mack,"You're gonna tell us everything you know, about Malick, about your plans, about that thing your brought back through the portal."
Giyera,"I should thank you. Without S.H.I.E.L.D., he never would've made it home."
