character,line
Daisy,"If there's some sort of secret afterburner you haven't kicked in yet, now would be the time."
Lincoln,They're going as fast as they can. We'll get there.
Daisy,"Coulson's team vanished halfway around the world, and we still have two pickups to make. Fly faster."
Joey,You have to come up and see the roof. The city glows off the bay.
Kevin,I would really like that.
Elena,Hello. It's good to see you again. You look well. Hello. It's...
Joey,Only maybe not tonight.
Kevin,Really?
Joey,I'm sorry. Something's come up.
Daisy,"Satellite scans show massive hidden doors, a hangar buried under the oil fields about 300 feet."
Elena,"What is, uh, HYDRA?"
Daisy,"Kidnapping Inhumans, global terrorism, all-around bad dudes."
Joey,How'd they take the plane?
Daisy,Don't know.
Joey,What's the base's layout?
Lincoln,Don't know.
Elena,How many soldiers?
Daisy,"We don't have much, but these are friends who've put their lives on the lines for each of us, right? But we do have a way in, service wells that can get us within 50 feet of the base."
Joey,And what about the other 50 feet?
Daisy,I'll take care of that.
Joey,"Okay. Uh, when do we land?"
Daisy,"For one reason or another, each of us has been given a gift. Let's put ‘em to good use."
Giyera,"I'm glad you've arrived. They had our location, so I took the plane."
Hive,What about the agents? Did any survive?
Giyera,"I was outnumbered, so I got off as quickly as I could, sent in a team. Lucio will have them under control soon."
Simmons,Come on! Come on! Coulson!
Coulson,Look for anything in here that will mess with those guys.
Simmons,May's bleeding pretty badly. We need to stop it now.
Mack,The hatch won't hold for long.
Coulson,"Fitz, find me something that will keep these guys at bay."
Joey,"Well, I guess we can call this area clear."
Daisy,"Split up. Lincoln and I go solo. You guys take the elevator. Find our team, and report back."
Daisy,"I got eyes on the Zephyr. Entrance is on the north side, sub-level 5. Crash on that location."
Lincoln,I've got Malick.
Simmons,Catalyst. Careful.
Fitz,Here's a cloth. May needs compression.
Simmons,On it. The door.
Mack,Here. This seal gonna hold?
Fitz,"Hope so. It's chlorine gas. If not, we'll all go blind."
Mack,What?
Daisy,"Guys, I'm coming to you."
Elena,Joey!
Daisy,I said I'd come to you. You okay?
Joey,"Yeah. Go, go, go."
Joey,Lincoln! Lincoln!
Coulson,Shoot anything that comes through that door.
Elena,Hello?
Mack,What the hell?
Elena,Mack. It's good to see you again. You look well.
Mack,I'm doing real good now.
Coulson,What took you so long?
Daisy,Sorry. Had to get the band back together. Got anyone who can fly this thing?
Simmons,May! You can't even walk!
May,But I can still fly.
Giyera,We lost them again and achieved nothing.
Hive,Not true. Now we have one on the inside.
Elena,"Elevator door open. He comes out. Bullets. Boom, boom, boom! And soldiers... “Aaah!” This man!"
Joey,"Hey, I stopped the bullets, but you dropped ‘em down."
Daisy,"You guys all did so good. We were asked for a miracle, and we came through. You're a hell of a team. You okay?"
Elena,"Oh. I didn't feel it. You run fast, things happen, huh?"
Daisy,You sure you're all right?
Elena,Yeah.
Lincoln,Hey. Thanks for having my back when I went down. You saved me. Daisy's right. It was a good day.
Daisy,"No, when you grab the head of HYDRA, it's a great day."
Joey,You think he'll give us anything?
Daisy,"Well, Coulson's questioning him now. Soon, you'll get cleared to go home, but if he talks, we might be on another mission."
Coulson,"You had Rosalind Price killed. I haven't decided what to do about that in the long run, but right now, I need to know. What is that thing parading around as Grant Ward?"
Malick,You ever ride Arabians?
Coulson,I'm not really the equestrian type.
Malick,"Magnificent horses, hard to control. Stephanie rode Arabians, my daughter. We were riding once in the Tetons, and there was this rockslide up ahead, and her horse bucked, threw her right off. And my heart stopped. But she got up and, calmed that horse in a way that made me more proud than anything I'd ever done. And that was the day I told her about HYDRA. Brought her into the fold."
Coulson,"Where's Stephanie now, Gideon?"
Malick,I was foolish. I thought that I could bring back the HYDRA and guide it the same way Stephanie commanded that horse. I taught her to have faith in it as a god. And she did.
Coulson,If you ever want to see her again...
Malick,He killed her! It cares nothing for us.
Coulson,Doesn't sound like a god.
Malick,"Oh, no, Mr. Coulson. It is a god, it's just not ours."
Daisy,What are you doing?
Lincoln,Just checking it out. You really think it belonged to that Alveus guy? It's so old.
Daisy,"I don't know, but we better check it in along with the Terrigen."
Lincoln,You're still upset I took that crystal to James' shack.
Daisy,"Yes, I am. You should have told me."
Lincoln,"I thought, if you didn't know, you couldn't be blamed."
Daisy,And if something went wrong?
Lincoln,I know. I'm sorry. Can't be easy having your boyfriend on the team.
Daisy,Not when you take advantage of that relationship.
Lincoln,I thought you'd understand the move.
Daisy,It was a good play. Just tell me next time.
Lincoln,You should check in on Joey. I think killing Lucio has him pretty shaken.
Daisy,I completely missed it.
Lincoln,"They did good today, but there's a lot to get used to at S.H.I.E.L.D."
Elena,"I have a new name, too. They all call me “Yo-Yo.” Your fault."
Elena,"I will get my revenge. And your Spanish is much better, not just “pescado.”"
Mack,"Yeah. It's a new S.H.I.E.L.D. requirement. I know you think S.H.I.E.L.D. is dangerous, but, really, our mission is to protect. (in Spanish) We do our best not to kill. Doesn't kill. Doesn't kill. Doesn't kill."
Elena,And these?
Mack,"Those kill. You do your best, but... some days are tougher than others."
Elena,"It's okay, Mack. I trust you."
Simmons,What on earth are you doing?
Fitz,"Well, you're the doctor. Is he dead or not? His body temperature is 98 degrees."
Simmons,Dead-ish. There's some sort of metabolic activity. Fascinating.
Fitz,"No, not fascinating. Quarantine."
Simmons,Quarantine.
Simmons,Excuse us. Nothing to worry about.
Malick,There is a reckoning coming. You put your faith in the Inhumans like I did. It is a deadly mistake. They will all worship him.
Coulson,"He's not a god. As far as we know, he was a slave to the Kree."
Malick,What better beginning for a god?
Coulson,"They called him “Alveus.” Do you know that word? It's Latin. It means “Hive,” which is fitting, because he's a parasite. Swarms, eats, moves from corpse to corpse."
Malick,"Well, that's one way to see it. You're not really a religious man, are you?"
Coulson,I have faith in my team.
Malick,That's what he'll destroy first.
Coulson,You said they'll worship him. What did you mean?
Malick,"I'm saying that those that were loyal to me now serve him. He infected them, became a part of them, and they instantly joined the hive."
Coulson,Mind control? You're the head of HYDRA. Why would I ever believe you?
Malick,"You don't have to believe. You'll see soon enough. You sent four Inhumans into his lair, and now they're in your base. How many of them do you think he turned? If you trust any of them, stop now."
Mack,Everything okay?
Coulson,I need you to quietly lock down the base.
Fitz,Malick has no proof.
Coulson,I have to take this threat seriously.
Fitz,"Well, then, let's get ahead of it. We can talk to them, scan them."
Simmons,We have no way to test for this.
Mack,"If any of them are sick, they could be very dangerous. They need to be in containment now."
Coulson,"Then what? Simmons said it, there's no test. Are we gonna question them? What do we ask? “Are you infected? No? Great. Thanks.” None of this works if they know we know. I need more."
Simmons,Lucio's body had some abnormal readings. Maybe we could start there.
Fitz,That could help us confirm whether Malick's full of it.
Coulson,"Get me proof. If this is real, any one of them could have been turned or all of them. I need a test and then a cure."
Mack,That's a hell of a gamble.
Coulson,"It's our best shot. We keep everyone contained to the base. If anyone's infected, they came for a reason. We monitor them, let them show their hand."
Fitz,"They saved our lives, and now we can't trust the lot of them."
Daisy,S-Sorry. I came when I saw the base was on lockdown. What's up?
Coulson,It's a security precaution while Malick's in custody.
Daisy,Right. Did we get any info on Zombie-Ward?
Coulson,"Not yet, but I'm confident we will."
Daisy,"Good. If we get intel, let me know. I'd like my team to get another shot at him. Um, but, you should know Joey crossed off Lucio. I'm not sure he was ready for that already to be back in the field after it."
Coulson,That's hard. I'll check in on him.
Daisy,Thanks.
Coulson,Get me answers.
Elena,What do you mean? I'm not leave?
Daisy,This is common. It's just a security thing since Malick's here.
Elena,"Security? (in Spanish) More like paranoid. (in English) I want to do something, or I go home."
Lincoln,Have they cracked him yet?
Daisy,"He's cooperating, but we have to be patient. We'll get our chance."
Lincoln,Have you talked to Joey yet?
Daisy,I've tried. I can't find him anywhere.
Lincoln,Time for your pain meds.
May,I don't want that.
Lincoln,"Trust me, in an hour, you will."
May,Those knock me out.
Daisy,"May, he's trying to help you. Just give me a minute with her. Meet me in my room?"
Lincoln,Yeah.
Daisy,"How are you doing, really?"
May,"I'm in a lot of pain, and I hate this hospital gown."
Daisy,Mm. You think?
May,You did good today. You led them well.
Daisy,Does it ever get any easier?
May,Only harder. Why?
Daisy,I think Coulson's having me lie to them about the base lockdown. They can feel it.
May,"Sometimes, that's the job."
Daisy,Doesn't feel right.
May,"If he's withholding, I'm sure it's for the right reasons."
Coulson,"I got to ask, you wanted all of this. What did you think would happen?"
Malick,You don't understand what it's like to be brought up in faith.
Coulson,"We were “C and E” Catholics. Sure, it's no death cult."
Malick,"Then you know we all have our sins. I believed that I could resurrect a god. But instead, I freed the Devil."
Coulson,"Only technically. I mean, all the ancient Satanic creation myths, they were based on him, which you knew."
