character,line
Mack,How's it coming?
Lincoln,Just needs a quick reboot.
Mack,Thank you.
May,Tests come back?
Mack,Daisy's the only one infected.
May,So Joey and Elena...
Mack,Touched down at the Cocoon. But Lincoln...
May,Refused to leave. I know.
Mack,How's he holding up?
May,No one comes to me with their feelings.
Mack,"Yeah, that makes sense. What about the base?"
May,"Still working on fortifying it. In the meantime, all vital data's been transferred to Zephyr One."
Mack,And we're easy prey. Daisy could lead that giant maggot here any second.
May,I thought he was a parasite.
Mack,"Yeah, but aren't maggots..."
May,I don't really...
Mack,Me either.
May,My take? That thing could care less about S.H.I.E.L.D.
Mack,You think this because...?
May,"No one's digging any graves. We both know Daisy's strength, what she could've done."
Mack,"Yeah, she took the Terrigen and that ancient Kree whatever it is."
May,And then she left.
Mack,"Yeah, but not before she busted the hydraulics on the hangar doors. We lost our exit."
May,Because she doesn't want us to follow her.
Mack,Daisy's my partner. I should've known. I should've seen...
May,Don't. We've all taken enough beatings as it is.
Mack,I noticed Coulson wasn't in the med bay. He shouldn't be up and around.
May,He's readying the Zephyr.
Mack,"You saw the bone sticking out of his leg, right? I mean, he should be..."
May,Resting? I told him that. Didn't sit well. He said he needs everyone in the air.
Mack,"The hangar doors are still jammed. We managed to pry them open halfway, but until I get a new feed pump, we're grounded."
May,Not necessarily. Coulson has another way. But it's risky and irresponsible.
Mack,"Then, why are you smiling?"
Coulson,"Daisy's still one of us. What she did here was not of her own free will. Hive infected her. She's his hostage. We need to remember that. But this alien creature messed with the wrong team. It thinks if it breaks our legs, we'll stop fighting, but it doesn't know how damn stubborn we are, especially when it comes to protecting our own. Hive is building an Inhuman army, but we're not gonna let that happen. So strap in. Because you might feel a little sick after this."
Hive,You came here often. I see why.
Daisy,"I was a different person the last time I was here. That's how you know about this place, right? ‘Cause I told my S.O.?"
Hive,You used to drive your van up here to sleep.
Daisy,You don't just have his face. You have his memories.
Hive,"He was fond of you, Grant Ward."
Daisy,And I'm glad he's dead.
Hive,"He is, too. In a way. Grant was a thirsty soul. And he suffered for it."
Daisy,"You're so different from him. Just being around you, I can feel it. It's like this emptiness I've always had is gone."
Coulson,You're saying Daisy's addicted to this thing?
Fitz,It's the closest scientific explanation that we've got.
Lincoln,She said she was happier than she's ever been. Wanted me to experience the same thing.
Simmons,"Most parasites have one goal, attack and weaken its host. But Hive does the opposite. Its parasites swarm the brain's pleasure center, releasing so much dopamine that..."
Fitz,"Infected Inhumans not only feel bulletproof, they actually are."
Simmons,"Well, at least when it comes to a dendrotoxin. We took tissue samples from Lucio and..."
Coulson,So ICERs don't work on them.
Simmons,I'm afraid not.
Coulson,"Okay. Then, how do we disinfect Daisy?"
Simmons,"Well, meet Dr. Holden Radcliffe, a fellow Scotsman. He was lead researcher on parasitic organisms at the agrochemical lab we raided. Based on his expertise, we believe he's our key to finding a cure for Daisy."
Coulson,That facility and everyone in it were wiped clean. How did Radcliffe escape?
Fitz,"He didn't have to, ‘cause he wasn't actually there."
Simmons,He was asked to step down a month before for conducting irregular experiments.
Lincoln,“Irregular” meaning...?
Fitz,He's a rumored transhumanist.
Coulson,A what?
Simmons,People who believe in using science and technology to transcend our biological limitations. Their goal is...
Lincoln,Become more than human. Timely.
Fitz,"Digital immortality, superintelligence..."
Coulson,"Okay, I'm glad everyone knows what it is. So, where is Dr. Radcliffe?"
Simmons,"We think Romania, but his exact whereabouts are unknown."
Coulson,"Okay. That's enough to go on. You two are taking point. I'll send Mack with you to run back-end, whatever you need. Just find Dr. Radcliffe and get us a cure."
Fitz,You're awfully quiet.
Mack,"Just got a lot on my mind. I'll see you in the Quinjet, buddy."
Fitz,"Yeah. Uh, Jemma, uh, I know it's not a good time, but can we speak about what happened between us last night, professionally speaking, I mean."
Simmons,"Of course, Dr. Fitz. We are colleagues, after all."
Fitz,"That we are, Dr. Simmons, and, uh that we are. It's that working relationship which I would like to keep intact."
Simmons,"Yes, we wouldn't want anything to interfere with it."
Fitz,"Exactly. Um, so, that's why, as... as... as things progress with our, um... We should consider all variables as we move forward, because things are bound to get complicated."
Simmons,You mean once we have sex?
May,Simmons.
Fitz,I'll see you in the Quinjet.
May,Here. Remember your training.
Simmons,But we're just going to have a chat with a scientist. And how would I ever know if I need to...
May,If it makes sense here.
Simmons,Sorry. I'm not sure where you're pointing.
May,Your gut.
Hive,You think they'll come after you?
Daisy,"I don't know. Coulson, he's..."
Hive,A driven man. Especially when it comes to you.
Daisy,He thinks I need protecting.
Hive,"It's a shame he doesn't know how strong you are, Skye. But your home is with me now."
Daisy,It's... It's actually Daisy. My name is Daisy.
Hive,Grant knew you as...
Daisy,"Yeah, I changed it. Or I guess you could say I found it. It was the name they always intended for me."
Hive,Who?
