character,line
Hive,"It was in that moment my world had changed forever. The Kree Reapers brought me back to their ship and began the experiment. I didn't know it then, but the Reapers were using their own Kree blood to transform my DNA. Once they changed what I was, the Reapers took the final step, fulfilling the promise of what I would become."
Daisy,So that's how you became an Inhuman.
Hive,"Myself and many others. Put through the Kree experiment thousands of years ago. These first Inhumans, they were your ancestors. Your ancestors started HYDRA. You fought to bring me back, yet are the only faithful to evade being captured after Gideon Malick's spineless betrayal. Well, the time has come for your reward."
Man,"Thank you, but what does that have to do with your story?"
Hive,Isn't it obvious? We've been working hard to re-create the Kree experiment. And you're next.
Lincoln,Any word on Daisy?
May,Nope.
Lincoln,You tried reaching out to any old contacts?
May,Uh-huh.
Lincoln,Maybe if...
May,We're handling it.
Lincoln,"I just want to help. If I'm locked down on the base, at least let me do something."
May,The last time you helped wasn't helpful.
Lincoln,Alisha had answers. I was just trying to make her talk.
May,You threatened to torture her. How'd that work out?
Lincoln,I'm not going to apologize for trying to save someone I care about.
May,We all care about Daisy.
Lincoln,"Oh, it's not the same."
May,No. The rest of us have known her a lot longer. You really want to help? Stop trying.
Simmons,This is hopeless.
Fitz,"Just hold on, Simmons. The antitoxin appears to be fighting the Hive parasites."
Simmons,"Yes, but first, it would probably destroy the host's immune system, and who even knows how it will react with Inhuman DNA?"
Fitz,"Well, I'll admit that it's not ideal, but what other choice do we have? You didn't see Daisy. She acted like we were still best of pals, all while threatening to murder me."
Simmons,"No, you're right. I didn't see that. I was much too busy listening to the disgusting face of Grant Ward act like my dead boyfriend."
Fitz,That's true. That does sound worse.
Simmons,"Right. If this was a competition, I would win. I had to shoot him three times just to shut him up."
Fitz,Bet that felt good.
Simmons,"Yeah, it did, though it would have felt better had he actually died, instead of just sort of oozing."
Fitz,What if Hive can't be killed? What then? This antitoxin might be the best chance we have to free Daisy of his hold on her.
Simmons,"Yes, or it could put her into cardiac arrest or seizures."
Fitz,"Okay, but, then, we find a way to test it."
Simmons,"And who's going to volunteer for that? We need an Inhuman, and those who aren't in hiding are already under Hive's sway and would kill us for trying."
Lincoln,I'll do it. You can test it out on me.
Mack,Footage is from some mechanic's garage in south Wyoming.
Coulson,What's in south Wyoming?
Mack,"Not much, by the looks of it. Says it was an old mining town that went through a natural-gas boom. But with the influx of dirty wells, it drove out almost all the locals. And the ones that remained were recently bought out by a shell corporation."
Coulson,Owned by Malick.
Mack,Yeah. And now the town's crawling with military. It seems the personal guard that we encountered in Malick's hidden bunker...
Coulson,"They got out with Hive, relocated."
Mack,Won't be easy to grab Daisy.
Coulson,"You realize this is a trap, right?"
Mack,Why? W-W... Because we have a lead?
Coulson,Because Daisy's a highly trained spy. No S.H.I.E.L.D. agent would get caught on camera that easily. She's trying to draw us out.
Mack,Daisy warned Fitz not to have S.H.I.E.L.D. follow. Why would she want to lure us in now? It doesn't add up.
Coulson,"None of this adds up. There's an ancient Inhuman controlling one of my best agents, the same agent who helped reprogram the facial-recognition software that she just got flagged on. What? Suddenly, Daisy doesn't know how it works?"
Mack,"No, I don't... I don't... it's... I th... I think she wants us to rescue her."
Coulson,Mack.
Mack,"Look, just hear me out. Daisy's too strong to give up control without a fight. I think there's a part of her that's still resisting Hive."
Coulson,That's just not the reality. It's you projecting.
Mack,"Look, Fitz said Daisy wasn't a zombie. She's still herself, only with Hive's agenda. That means she's still in there."
Coulson,"I wish that was true, Mack, believe me, but we cannot be driven by our emotions on this. That's how Ward ended up dead, which is how we ended up in this mess."
Mack,Sir...
Coulson,We don't have time to debate this. You and I need to get on the same page.
Mack,Understood.
Coulson,"Good. ‘Cause I'm sending a team in there, and I want you and May to lead it."
Mack,"So, then, we are saving Daisy."
Coulson,"This isn't a rescue mission, Agent Mackenzie, it's a targeted strike. We're gonna kill Hive."
Hive,"This town represents the worst of humanity, allowing the greed of a few to destroy the needs of many. Their water was poisoned, which drove them out. The great failing was their unwillingness to band together."
Daisy,Sometimes it's hard to join forces. You need a good leader.
Hive,Like Coulson?
Daisy,He was the reason why I joined S.H.I.E.L.D.
Hive,"S.H.I.E.L.D. is no better than those Kree Reapers, both making soldiers for their never-ending wars."
Daisy,"My friends at S.H.I.E.L.D. wanted to stop wars, not start them."
Hive,By building giant battleships floating in the sky? The only reason S.H.I.E.L.D. exists is to fight wars.
Daisy,"But isn't that why we exist? I mean, that's what the Kree Reapers were hoping to make, right? Soldiers."
Hive,Which is not what I became.
Daisy,"Sometimes, the world's greatest miracles happen by accident."
Hive,The world I was born into was primitive. It has evolved at a remarkable pace while I was away.
Daisy,"So, what happened back then, to get you kicked off of Earth?"
Hive,"People saw the connection I had with other Inhumans, and that made them afraid. That fear bred paranoia, which led to civil war."
Daisy,"Not much has changed, really."
Hive,"Only now we have the ability to re-create the Kree experiment. Are the patients ready, Dr. Radcliffe?"
Radcliffe,"Yes, not that you did us any favors with your alien-abduction story. Took a good hour to assure them there'd be no probes of any sort."
Hive,"Well, your method is much more elegant."
Radcliffe,"Not to mention more efficient, now that I've added the Terrigen Crystals to the prokaryotic compound. W..."
Daisy,"You can change their DNA and turn them Inhuman, all at the same time?"
Radcliffe,"Ah, the old one-two punch. That particular bit of ingenuity was my idea. So... to the moment at hand."
Hive,"The world fears our kind of power because not everyone has it. Only billionaires can build iron suits. Only the military can make super soldiers, which can only lead to a war of its own, whereas I plan to apply a more, uh, collectivist philosophy."
Radcliffe,"Does, uh, does that mean we can get started?"
Hive,Yes.
Radcliffe,Right. Great.
Man,"Oh, God, please, make it stop!"
May,How many others we got?
Mack,"Four volunteers from operations, aware of the danger and all pretty gung-ho."
May,Don't know if that'll be enough to take out Hive.
Mack,"Maybe not. But lucky for us, Coulson had Fitz open up the Cupboard."
O'Brien,Whoa! I got dibs on that.
Piper,"Oh, sorry, O'Brien. Coulson promised it to me when I signed up. It's in my contract."
Mack,"Eyes up front, everyone. Hive is unlike anything we've ever faced, which is why each of you will be outfitted with the best S.H.I.E.L.D. has to offer. Full Kevlar Tac, heat-sensitive infrared, and enough Splinter Bombs to turn a small army into pixie dust. The rest of the gear is up for grabs."
O'Brien,What's the Calvary packing?
May,"If I need a gun, I'll take one."
Mack,No. You'll be taking this one. We can't leave anything to chance.
May,You seem extra motivated.
Mack,Daisy was my partner. This is on me.
May,Why is everyone making this about themselves?
Mack,"Because I should have seen it, May, but between her Inhuman love connection and me licking my wounds after Bobbi and Hunter left, I took my eyes off the ball. A good partner would've seen that she was turned."
May,None of us saw it. And you need to get your head straight. This mission isn't about Daisy.
Mack,Agreed. It's about me making things right.
Coulson,Wouldn't you have to be infected with Hive's parasites to test the antitoxin?
Lincoln,"Not necessarily. Simmons gives me the drug first, takes my tissue sample, then infects that with Hive's parasites."
Simmons,This antitoxin will destroy your immune system. It could kill you.
Lincoln,"You're not the only doctor here. From what I can tell, the risks aren't as high as what you're saying."
Simmons,Don't pretend that's really your medical opinion.
Lincoln,"I'm not pretending, you're being overly cautious."
Simmons,"Yeah, and you're being a lovesick fool trying to make a grand gesture."
Coulson,"Fitz, any thoughts?"
Fitz,Uh... I agree with Simmons that the antitoxin could be dangerous but I also think there's a chance it could work.
Simmons,"If Lincoln dies, do you really want to be responsible?"
Fitz,"No, of course I don't, but this could save Daisy."
Simmons,Daisy would never want someone acting so recklessly to save her.
Fitz,"Well, then, I'm glad it's not up to her."
Coulson,"I'm sorry, Agent Campbell."
Lincoln,Come on. Y-You got to reconsider.
Coulson,"My decision's final. Fitz-Simmons, start looking at other options. We'll go from there."
James,"One Martian Multi-ball, three Bumper Blasters, and a 3-Way Rocket Combo. Boom! Good luck beating that score."
Daisy,"Better keep your hat on, Dundee, ‘cause somebody don't play when it comes to pinball."
James,Mmm. Ah! This beer is bloody wonderful.
Daisy,I thought Aussies hated American beer.
James,Only when we got to pay for it. It is good to be back in the real world again.
Daisy,"Yeah, what made you go all Ted Kaczynski in that trailer, anyway?"
James,"Don't know, really. Just never found people to be my cup of tea. They didn't like me. I didn't like them, so I thought I'd do everyone a favor and move as far away as humanly possible."
Daisy,That sounds pretty lonely.
James,Yeah. Never really figured on that part.
Daisy,"Aww. You're a little baby bird, all fixed up and back in the wild."
James,"I'm not keen on infantilizing, but I would be willing to let it slide for a proper dance."
Daisy,Oh. Okay.
James,Whoo!
Daisy,"Okay. Let's don't get your rhinestones in a bunch, cowboy. Let's just keep it to pinball."
James,Please tell me you're not pining over Stinkin' Lincoln.
Daisy,"You know, James, just because you don't care about anyone else doesn't mean the rest of us don't."
James,Sorry. I didn't mean to offend. It's just... you were S.H.I.E.L.D. So those people you care about are the same ones that are trying to stop what we're doing here.
Daisy,It's not their fault. They don't know any better.
James,Doesn't matter if they know any better or not. They're on the opposite side. I can't see any way it doesn't end badly for them.
Daisy,There might be one way.
James,"Oh, yeah? And what's that?"
Daisy,We make them understand.
Radcliffe,The genetic makeup of Inhumans is incredibly complex. We were bound to run into complications.
Hive,You assured me this would work.
Radcliffe,"Yes, and it would have i-if I'd been provided with the right ingredients."
Hive,Are you implying the mistake was mine?
Radcliffe,"No. No, no. Well, yes, but it wasn't an intentional mistake. You see, the thing is, I need DNA from a living Kree to complete the genome sequence. The DNA you gave me, your blood... it's from a dead host, a handsome but dead host. It's no good. I mean, it's great for you, but it, for this, it's no good."
Hive,"If this were true, why are you just telling me this now?"
Radcliffe,"Ohh, I wasn't sure. I was swept up in the moment! I wanted to change the world! And besides, you're very frightening."
Hive,"Well, you are right to be scared. I don't need you. I can just kill you and inhabit your body, take your mind, your memories."
Radcliffe,"Yeah, that's a really bad idea. You should ask my therapist. My childhood was a total mess. The swim team were not nice to me. Plus, I can make this work."
Hive,Why should I believe you?
Radcliffe,"Because I want it to work. This is game-changing stuff, kick-starting mankind into a new gear. Everything I've done leading up to this, it just pales. I promise, you won't regret this. I'm your guy. Yeah, I've been meaning to... been meaning to ask about those. What are they for, exactly?"
Hive,"If you were scared before, you should be terrified now."
Anderson,Our intelligence suggests there's at least 40 enemy combatants on the ground.
Coulson,And what about Hive?
Anderson,"We've still yet to verify his location, sir."
