character,line
Reporter,"Still no word on the whereabouts of Steve Rogers after his public feud with Tony Stark and the Avengers over the controversial Sokovia Accords. Ratified by 117 countries, the Accords place the Avengers under U.N. authority and provide a framework for the registration and monitoring of all Enhanced Individuals."
May,We knew this was gonna happen sooner or later.
Coulson,"Cap, Agent Carter, they were my heroes growing up. Both of them were there at the beginning of S.H.I.E.L.D. Now we may be there when it ends."
May,The last thing we need right now is the government hamstringing us with the Accords. We need to stop Hive by any means necessary.
Coulson,I'll deal with the government. You do whatever it takes to end this.
May,All options on the table?
Coulson,"Desperate times, desperate measures. You might want to go out the back. He's coming in."
Coulson,"General Talbot, right on time."
Talbot,What in the Knievel happened to you?
Coulson,Little fender bender. No big deal.
Talbot,You sure you should be in the driver's seat? I thought we agreed on full disclosure.
Coulson,You want to see my X-rays? I'll put them in a nice frame for you.
Talbot,I'm talking about this gin joint out in the middle of no man's land. You promised me you'd show me the base without any three-hour fly-arounds this time.
Coulson,We need to talk first.
Talbot,I'll talk. You listen. I'm here because the president sent me. The Sokovia Accords are law of the land now. He's concerned you may have some undocumented Enhanced assets working for you.
Coulson,And why would they think that?
Talbot,"‘Cause he's not a moron. Come on, Phil. It's time for S.H.I.E.L.D. to come in from the cold, relegitimize."
Coulson,In exchange for revealing and registering any Inhumans we may have? Not gonna happen.
Talbot,Why are you so pigheaded? It's good enough for the Avengers.
Coulson,Not all of them. And the Avengers operate in the spotlight. We work in the shadows.
Talbot,"What's going on in those shadows, Phil? That's what I want to know. You better start opening some doors, or I promise ya, I'm gonna start kicking them down."
Coulson,All right. Let's go for a ride.
Talbot,No blindfold?
Coulson,"No blindfold, but you might want to buckle up."
Talbot,What?
Daisy,"You're getting better, Fitz, but I designed the anti-subversion code, so it's only a matter of time until... I'm in. Huh. Interesting. They still have got you locked up. Was somebody being a bad boy?"
Hive,You like the bad boys.
Daisy,"We have a history. I thought we had a future once, but I gave him his chance and he refused, so now I just feel sorry for him. Ah, damn it, Fitz."
Hive,"Your friends are very persistent. They keep fighting us, forcing us to move, wasting valuable time. If it happens again, there'll be no absolution."
Daisy,"It won't. Fitz is on the losing end of this. We'll get back into the system, and we'll know every move they make."
Radcliffe,How's our patient?
Daisy,I'm fine except for the bright light shining in my eye.
Radcliffe,"I think that's enough for one day. Don't want to kill the golden goose. Just take it easy. You just drink this and get some rest. No, that."
Daisy,I think you're the one who needs rest.
