character,line
Daisy,Please... take me back.
Hive,Interesting. Your name. Something pretty. Not pretty like the sky. A flower. Daisy.
Daisy,Please.
Daisy,What? What is it?
Hive,I can't.
Daisy,What? Why not? What did S.H.I.E.L.D. do to you?
Hive,It's not what S.H.I.E.L.D. did to me. It's what that creature stole from you. He made you impervious.
Daisy,Please. Just... No.
Hive,"Sorry, Daisy."
Mack,"Once the hangar doors are open, his monster patrol will storm the base. Any idea how many Hive has infected?"
Coulson,"Everyone in Quadrant D, along with agents O'Brien and Marshall."
Mack,That's something like 20 agents?
Coulson,It's 28.
Elena,Was that Daisy?
Hive,"Perhaps this was always... No more talking, then."
Simmons,Daisy's in trouble.
Fitz,"Sir, there's been a malfunction in Daisy's containment module."
Mack,Did you check the feed from the plane?
Fitz,"Yeah, it's gone dark after the earthquake."
Coulson,So either the Primitives found their way down to her or...
May,She found a way up.
Coulson,Take a look. Report back A.S.A.P.
May,Fitz.
Coulson,What the hell are your Primitives capable of?
Radcliffe,"Well, it's hard to say, really. I mean, these creatures are in their infancy."
Mack,"You did create them, didn't you?"
Radcliffe,"It was either that or be eaten. I never would've created something so unsophisticated. I mean, the crudeness of these creatures is really quite heartbreaking."
Coulson,"We'll discuss the consequences of your science fair later. Right now, we need to know exactly what we're up against."
Radcliffe,"The Primitives possess adrenaline-induced peak-human strength but rather poor eyesight. They're connected to Hive in the same way that Daisy was, but they don't exhibit any original thoughts of their own."
Simmons,They have memories?
Radcliffe,"They possess memories of previous talents, weapon skills and the like."
Mack,We have 28 ex-S.H.I.E.L.D. agents that know this base inside out. How long before they find their way through the hangar doors?
Radcliffe,Several hours at least.
Lincoln,They may not have to.
Mack,They're in the vents.
Coulson,"Lock down the armory. Simmons, secure what you can in the lab and then rendezvous in my office. Lincoln and I will protect the nerve center."
Radcliffe,So I'll just stay here?
Fitz,Daisy took the module into the plane.
May,To stop Hive.
Fitz,You think that she can do it?
May,Get us some rope in case she can't.
Hive,You know killing me won't make the pain go away. Or will it? I can't remember.
Daisy,I don't want you to die. I want you to suffer.
Hive,It seems you're the one who's suffering. I'm sorry you won't feel our connection. Pieces solving a puzzle.
Hive,But we must continue without you. Bones don't hold me up. I'm held up by all the parts working as one.
James,"Glad we found you, boss. We got communication coordinates from S.H.I.E.L.D. agents. How did we manage to... Right. That's how."
Giyera,Absolution. I'll load the warhead in.
James,"So, she, uh, back on the team?"
Hive,I believe her presence guarantees they won't try to blow us out of the sky before we reach altitude.
James,What about the rest of these friendly faces?
Hive,All but a few will stay behind to destroy the last of S.H.I.E.L.D.
Radcliffe,"When in doubt, follow the leader."
Lincoln,Then try to keep up.
Mack,The armory's up ahead. I'll secure the weapons rack while...
Mack,"No. No. Yo-Yo, what'd you do? What'd you do?"
Hive,I can fly this.
James,You have experience with this thing? It looks a little sophisticated.
Hive,"Between Will Daniels and Grant Ward, I have enough."
Mack,Help me get her into the workshop.
Coulson,They're right behind us.
Radcliffe,Close the door! Close the door!
Coulson,What the hell happened?
Mack,The Primitives got to the armory first. Yo-Yo took a bullet in the gut for me.
Lincoln,"Sir, where's everyone else?"
James,Did we just stop midair?
Hive,"I've transitioned the aircraft into vertical flight. We're ascending. Straight up to 100,000 feet. Calculations are, uh, helping me collect my thoughts. We'll set the timer to blow the warhead at the optimal elevation."
Giyera,"Dispersing the formula into the stratosphere. And by dawn, it will descend onto most of Europe."
James,Hang on. Hang on. We're still riding this bloody space elevator. How are we supposed to connect to all our new brothers and sisters if we're blowing ourselves to bits?
Hive,"We'll drop in the containment module to safety before it detonates. Unless you want to stay behind, make sure nothing goes wrong."
Mack,"Look. It's really bad. She's bleeding out. I can't see. Hey, Electric Company, can you light things up?"
Coulson,I got it.
Radcliffe,"Oh, that's not good. She's bleeding way too fast."
Lincoln,Her metabolism must've increased to compensate for her Inhuman speed.
Mack,Can you fix it?
Lincoln,If we can get her an injection of Acebutolol from the lab.
Mack,"We can't get to the lab ‘cause this idiot turned good agents into kill zombies, so come up with something else."
Radcliffe,"I'd been kidnapped, repeatedly threatened."
Mack,"Yeah, well, Daisy said you were more than happy to play mad scientist."
Lincoln,"I need tools, medicine."
Radcliffe,"Well, the alternative was death."
Coulson,"Stop! We can either argue or we can save her, not both. We're trapped in this room, so we need to stop the bleeding with something in here."
Mack,You gonna be okay.
Radcliffe,"I didn't say it was a good idea, but it may be our best."
Mack,It could kill her.
Coulson,We can do better.
Radcliffe,Not in the time we have.
Lincoln,Hold this.
Elena,No. Mack.
Simmons,The heat.
Coulson,There are a lot of agents still out there.
Lincoln,At least Yo-Yo's stabilized.
Mack,Hey. Don't do that to me. Don't take a bullet in the gut for me.
Elena,I try and catch them. Too slow.
Radcliffe,"This is very impressive. Is this the young Scotsman's work? Huh. Of course. Huh. Know if has a working model yet? Are you serious? Oh, this is stunning. Must be looking for another way in."
Daisy,What are you doing here?
May,"Grabbing you, taking back the Zephyr."
Daisy,"No, Fitz, don't open that."
Fitz,What?
Daisy,I should be in here. I'm a liability.
Fitz,"Okay, well, I think there's some weapons in the back."
Lincoln,"Guys, she's burning up. Could be a sign of infection, which means we'll need antibiotics."
Mack,And it's hot as hell in here. I'm sweating like a horse.
Coulson,It is. I thought the power was off.
Mack,"Uh, the heating system's old school. It doesn't need electricity. What? They crank up the heat? Why would they do that?"
Coulson,Trying to flush us out? Why else?
Radcliffe,"She's blinding them. Simmons. Genius, you say? She must've figured it out. Their eyes were damaged, clouded over. I suspected they could see somehow, but it must be..."
Coulson,Infrared.
Radcliffe,"Must be infrared. Clever girl. Crank the heating up to 110 degrees Fahrenheit, and we're free to move around as we please."
Mack,So you want us to go out there on a hunch and hope those things don't rip us apart?
Radcliffe,It's not a hunch. It's science. It's a science hunch.
Coulson,Doctor.
Coulson,"Well, we better follow him. He has no idea where he's going."
Daisy,"It's like he scraped me out of my own skull. Even when I tried killing him, he beat me. My powers are nothing compared to Hive."
May,I don't give a damn about your powers. They're not what made you an agent. I did.
Daisy,"May, you... you have no idea what I did. I have nothing left."
