character,line
Man,"It's coming! Get ready! Go, man, go!"
Man,Help. He... He got me. He'll kill us all.
Daisy,Get back!
Mack,You need to sacrifice everything if you want to survive.
Coulson,Hmm. That's funny. ‘Cause I thought I would just...
Mack,"Mm. Yeah, that's one way to go. Want a beer?"
Coulson,"It's 6:00 in the morning. What, are you Hemingway?"
Mack,"No, is that real? When did we cross the North Pole?"
Coulson,An hour ago.
Mack,"Oh, my gosh. It's hard to keep track in this thing. We shouldn't have to stay on clock when we're moving through time zones. I mean, what is that... three continents in two days?"
Coulson,If you count Berlin. We were only there three hours.
Mack,"Yeah, we knew that Inhuman call was a hoax as soon as we stepped foot in the apartment, saw that bong."
Coulson,I could smell it from the hallway.
Mack,Jokers. Hungry for attention.
Coulson,"And potato chips. If the munchies was a superpower, they'd be signing the Sokovia Accords as we speak."
Mack,You should let me work on Lola.
Coulson,I warned you. Everything in Lola is custom.
Mack,"Yeah, yeah, everything is custom. But it would be something to do. There's only so many times a guy can win cash off you, sir."
Coulson,You got to stop calling me that.
Davis,We're being called back to H.Q.
Coulson,They say why?
Mack,We're not due for a restock for another 10 days.
Davis,No idea. They said it's classified.
Mack,"Oh, everything is nowadays. All right, we'll need full inventory. Medical, provisions, fuel cells, and make sure you tell the crew they'll need to call ahead if they want off our next deployment."
Davis,Agent Thompson...
Coulson,Wonder what that's about.
Mack,"Oh, I don't know. It'll be good to see Fitz and Simmons."
Coulson,And May.
Mack,Yeah... I think you look forward to that more than I do.
May,Hyah!
May,What was his mistake? You know I'm not gonna talk.
Agent,He didn't anticipate your back kick. Opened himself up.
Piper,His mistake was he tapped out.
May,Piper.
Piper,"Okay, people! What, you never seen the biggest plane ever built before?! Next pairing, on the mat!"
May,How long has it been?
Coulson,Six weeks in the air. Only the Quinjet touched down.
May,Is that a record for Zephyr One?
Coulson,It is. It was supposed to be even longer. You know who called us in?
May,I do.
Coulson,You? Okay. Now I know something's up.
May,"I got word from contacts in law enforcement, Los Angeles. Two civilians were violently killed."
Mack,"Mysterious burns, heads bashed in, spine pulled out of his... Wow."
May,"Many conflicting accounts, but all agree, it was odd."
Coulson,Odd? Isn't that our wheelhouse?
Mack,"He's right. Why call us in? We could be headed to the scene right now to confirm the presence of an enhanced person, if there is one."
Coulson,"If it checks out, we bag and tag. We handle these on the fly."
May,Didn't exactly want to send this out on the wire.
Coulson,"May, you're not sharing again. Now would be a really good time to share."
May,The police also have another victim in custody. Critical condition.
May,"Under sedation, he mentioned seeing a girl, saying it was the one from the news. Quake."
Mack,Which you didn't want to send over the wire.
Mack,You were pulled off Daisy's case.
Coulson,The Director thinks she slipped through our fingers too many times.
May,The Director thinks you let her.
Mack,"No, we pursued her. She was a ghost."
May,"Well, in his infinite wisdom, he says you're now forbidden to."
Mack,But you're telling us this because...?
Coulson,In case we want to do something about it.
May,"Look, I can bury this until the official police report comes through."
Coulson,"That'll buy us a few hours lead time. Get to L.A., sniff around."
Mack,Yeah. We have an active Inhuman asset in Los Angeles that's due for a check-in soon enough.
Coulson,"It'll justify our presence there, but as soon as the report's filed, they'll pull us out."
Mack,And the armed forces will be sent in after her.
May,With orders to kill.
Coulson,To kill?
May,If she's responsible for these bodies.
Coulson,That's not Daisy's M.O.
May,"The world knows her as Quake, and Quake is an outlaw who takes down banks and bridges."
Coulson,"Oh, come on. We both know she's tracking these fanatics..."
Mack,She's hunting violent radicals.
Coulson,"... the Watchdogs, trying to take down their funding, their... their escape routes."
May,"Regardless, you should fuel up and get back up in the air ASAP."
Mack,Find her before the military does something bad.
May,Or Daisy does something worse.
Guard,Hey. You can't be here. Stop right there.
Daisy,"How are we feeling today? I've been tracking weapon sales, and I know you were hired to steal one. You even jacked a big rig to help carry it out."
Man,We were just paid for a smash-and-grab job.
Daisy,Who was that hunting you?
Guard,Open the door!
Man,"He nailed me, but we almost got away."
Daisy,Who was it?
Man,Did he kill my friends?
Daisy,All but one. But you're gonna have to give me a little bit more if I'm gonna find him alive.
Man,"Save him, please, before he gets burned, too."
Daisy,You'll see your buddy again once you heal up. Just tell me what's...
Man,"No. No. It's too late for me. They say when the Rider burns you, he burns your soul. And a soul can never heal."
Guard,Stop right there!
Simmons,"Hello? Hello? I hear my voice echo, but it sounds strange in my head. The detail is amazing. However, I am 3 feet off the ground."
Fitz,"Wait. What? Hold on. Damn it. Uh, well, I did adjust the Y axis earlier for some reason. What does that look like now?"
Simmons,"Better. The CPU seems to be handling the high poly count. Textures are impeccable. We should build a place to get away, a meadow or a cottage somewhere. I wish it were ever this quiet."
Fitz,Direct-current stimulation. Creates the other senses like touch and taste but also takes feedback. So I've just mapped your brain's response...
Simmons,Response to the environment. Of course. Dr. Radcliffe came up with the architecture?
Fitz,"Yeah. Yeah, he calls it The Framework. But all the transcranial apparatus, that's all me."
Simmons,"No. Of course, you're brilliant, too. Of course."
Fitz,"‘Cause soon you won't even need the eyewear or the earwear, ‘cause it'll all be inside your head."
Simmons,So May's strike team will be able to train virtually instead of May constantly breaking their ribs.
Nathanson,"Hey, hey. Authorized personnel only, pal. No pass, no entry."
Mack,Who the hell are you?
Simmons,"Leave them be, Nathanson. They have more reason to be here than you do."
Mack,Wow. A lot of new faces.
Simmons,Good to see yours.
Fitz,Six weeks. That's a record.
Coulson,Heard you got a promotion.
Fitz,"Oh, yeah, and a title."
Simmons,"Yeah, Special Advisor to the Director in Science and Technology."
Mack,They keeping you busy?
Simmons,"With busywork, mostly."
Fitz,"Yeah, and random state-of-the-art lie-detector tests."
Coulson,So that's the cost of being in the Director's inner circle.
Simmons,"Yeah, he's paranoid about what happened the last time S.H.I.E.L.D. was government-run. Calls it his Widespread Infiltration Monitoring Program."
Fitz,"Or “WIMP.” Hey, uh, you should join us 'cause we're gonna go to Radcliffe's and watch the Aberdeen-Inverness Caley Thistle League cup final. They're... Those are football teams."
Mack,"I'm not sure they are, Turbo."
Coulson,"Unfortunately, we have to be wheels-up in 10 minutes, so..."
Fitz,"Okay. All right. Well, strictly business, then."
Mack,"Aw, yeah. New toys?"
Fitz,The exploding pen that you asked for. I can't imagine a use for it.
Mack,You never wanted one?
Fitz,"And for you, Direct... uh, Agent Coulson... with new bells and whistles. And the directions will be there when you boot it up."
Fitz,"What's, uh... What's the assignment?"
Coulson,It's classified.
Fitz,Right. Everything is these days.
Simmons,"Fitz, sadly, um..."
Fitz,"Yeah, you can't make the match, either."
Simmons,I have to finish my reports.
Fitz,"Yeah, no, I get it. That's okay. Just a shame we hardly get to see each other. Any of us."
Simmons,"Yes, well... At least it's better than the friends we'll never see again."
Man,"We just stole a box. I don't even know what was inside of it. We... We loaded it onto an 18-wheeler, we parked it in a warehouse, and we just left it."
Robbie,Left it for who?
Man,The Chinatown Crew. They set the job up and were willing to pay big.
Robbie,Lies. Aryan Brotherhood working with the Chinese?
Man,I swear! I swear that's all I know.
Robbie,Where's this warehouse?
Man,"I-I can't tell you that, man. My people are gonna be mowed down in the payback ... the ones you didn't already kill."
Robbie,"If you don't tell me, you'll have to tell him."
Coulson,This guy's missing. The rest are dead.
Mack,Aryan Brotherhood. They're not my kind of brothers.
Coulson,"They've been know to work for cash. Burglary, assault, sort of the value meal of hired guns. They're suspected in the recent theft of this big rig. Probably prepping for a larger score."
Mack,"Big, yellow, hard to hide. So, what, are we looking for this thing?"
Coulson,"And if Daisy's chasing the same angle, maybe we get to the finish line first."
Mack,I'll greet her when she arrives.
Davis,Agent Coulson?
Coulson,Davis.
Davis,Preparing for decent. Inhuman asset will be waiting on the tarmac.
Mack,What?
Elena,"How's your wife, Davis?"
Davis,Getting bigger every day.
Elena,Oh. Don't tell her that.
Davis,More beautiful every day.
Elena,There you go.
Elena,Mack.
Mack,Yo-Yo. Just have a few questions.
Elena,I'm all yours.
Mack,"Uh, so, I see you went to Colombia for a week."
Elena,Mm-hmm.
Mack,"Mm. And, uh, tickets to Miami coming up."
Elena,Yes. Do you watch me sleep or shower or...?
Mack,Just procedure.
Elena,You don't have to use a satellite to get to know me better. Just ask me to dinner again.
Mack,You know the rules about fraternizing with assets in the field.
Elena,"Oh, we haven't fraternized anything yet. And I thought you were breaking the rules, coming to do my checkup early just to see me. Or are you here because, uh, there's been a lot of little earthquakes lately?"
Mack,"Daisy could be in the area. But officially, that's not the mission. Doesn't matter. We'll never find her. She's always one step ahead."
Elena,What is the official mission? Can I help?
Mack,"Here's where I have to remind you that Sokovia Accords, which you signed..."
Elena,"Oh, all right."
Mack,... require approval by the United Nations subcommittee before an enhanced indiv...
Elena,"Rules, rules, rules. Blah, blah, blah. S.H.I.E.L.D. moves too slow now, Turtleman. I prefer to move fast."
Mack,Uh...
Coulson,"Mack, they found the truck."
Elena,"Good to see you, too, Coulson! Well, if you're in Miami, look me up. Just because we can't work together doesn't mean we can't live a little."
Radcliffe,"Hey, just in time. They've just taken to the pitch. Where's Jemma? Is she not coming?"
Fitz,"Yeah, she wanted to. Same story."
Radcliffe,"All work and no play, huh? That's a bit disappointing. Still, make yourself comfortable. I'm just, uh, finishing cleaning up."
Fitz,"Yeah, should be pretty lopsided, don't you think? Their keeper's absolutely crap... Oh, my gosh! I'm so sorry. I'm so sorry. I had no idea there was somebody here."
AIDA,Hello.
Radcliffe,You... You weren't meant to see that.
AIDA,Hello. I'm glad to final... Hello. I'm glad to final...
Radcliffe,"Fitz, meet AIDA."
AIDA,Hello. I'm glad to final...
Radcliffe,"She's, uh, crashed."
AIDA,Hello. I'm glad to final... Hello. I'm glad to final...
AIDA,Hello. I'm glad to final... Hello. I'm glad to final... Hello. I'm glad to final... Hello. I'm glad to final...
