character,line
Boy,Dad! Dad!
Man,"Hey. Buddy, what are you doing up?"
Boy,There was a ghost in there.
Man,There was? Friendly or not friendly?
Boy,Not friendly.
Man,Yeah? Well... it seems like he's gone now.
Boy,She. It was a girl.
Man,"Okay. Still, bed."
Boy,"Dad, don't!"
Bauer,What are you doing in my house?
Man,"Oh, my God! Who the hell are you?"
Bauer,"Joseph! Joe, come here! Hurry!"
Man,There's no Joe. We lived here for years. This is our house.
Boy,"Dad, I'm scared."
Man,No. No. No. No!
Ignacio,"Jefe, no way, no. The ball touched the ground. You could see it."
Canelo,"No, no, no, no, no, no. Listen, Robbie will settle this. Hey, Reyes, did you see the game last night?"
Robbie,"Oh, missed it. I was out."
Canelo,"Out? Oh, I know your code, man."
Robbie,"Oh, you do, huh?"
Canelo,Sure. I was young once. Did you at least get her name?
Ignacio,Oh-ho.
Robbie,"Nah, it wasn't like that."
Ignacio,"Oh, man. We wait this long for a team to come into town, and you don't even watch."
Robbie,"If it ain't silver and black, I don't really give a damn."
Ignacio,Silver and black...
Fitz,"As we have discussed, it appears to be a simple empty box."
Simmons,"Yes, one lined with a rare alloy and emitting energy readings off the charts that drove six men insane, but yeah. Simple empty box."
Fitz,Right. Well... Y-You joked about how it would be less of a puzzle if Schrodinger's cat were in there. Hilarious.
Simmons,Thanks very much.
Fitz,But did get me thinking. What if there is something in there in an unobservable quantum state?
Simmons,Out of phase with visible light?
Fitz,"Exactly. So, by using light outside of the visible spectrum and reversing the phase, we get this. Cue Jemma gasping."
Simmons,"Oh, my Lord. It's beautiful."
Fitz,It's indescribable. Scientifically. I've never seen technology like this. Feel like a Dark Ages blacksmith looking at a Tesla.
Simmons,"Alien? Crystal-like structure, wrapping on itself, or a containment field, maybe, but containing what?"
Mack,"I think I know. A family turned up at the local ER this morning. And the father... well, he had the same signs of dementia as our gangster friends over there."
Fitz,Near Los Angeles?
Mack,"Yeah. Now, he said that, uh, there was a ghost in the house and it walked through him."
Simmons,"So he's suffering from the hallucinations, as well."
