character,line
Magician,Now you see it. Now you don't.
Leticia,How did you do that?
Magician,I was born with a gift.
Maria,"Well, can you magically turn Elena's clothes into a pretty dress?"
Elena,How long have you known me?
Maria,I know. 10 years.
Elena,When have you seen me wearing a dress?
Maria,I know. Never. I just thought L.A. would liven up your fashion sense. You do know you have to wear a bridesmaid's dress at the wedding.
Elena,"I know, I know."
Maria,... somebody sexy?
Elena,He's just a friend I work with.
Maria,The kind of friend you'll be bringing to the wedding?
Elena,"No, Maria, not that kind of friend."
Maria,Then I'll invite him.
Elena,Maria. Maria.
Mack,Yo-Yo?
Elena,Maria.
Mack,I can't hear you.
Maria,“Yo-Yo?”
Mack,"Where are you right now? Yo-Yo, are you..."
Darryl,"It's a blackout. How cool is that, huh?"
Leticia,This is really bad. No more blended drinks. You guys.
Man,"Do we have your attention now? The blackout in Miami was just the first. We will continue to attack you, city by city, hour by hour until our voices are heard. We are the Inhuman Resistance, and we will no longer allow our kind to be treated as freaks and criminals. Unless the governments of the world end Registration and allow us to live in peace, we will use our powers to fight you."
Mace,"Damn it. Is this some lone nutjob, or are the Inhumans really organizing?"
Anderson,"We have no real information, sir."
Fitz,"The broadcast was untraceable. It's quite sophisticated, really, which rules out both lone and nutjob."
Mace,"And the blackout, was it caused by an Inhuman's power or sabotage?"
Mack,There's only one Inhuman capable of short-circuiting an entire city.
Fitz,Lincoln Campbell. He was one of the good guys.
Mace,"I know, and we owe him a great debt. There's no one else with his powers?"
Mack,Could be one we haven't found.
Fitz,"Yeah, but it's most likely an EMP device."
Mace,So the threat was credible? They could black out more cities?
Fitz,"Yeah, if there's more than one EMP device, it's more than credible."
Burrows,This is a PR nightmare. We're only a month away from reintroducing S.H.I.E.L.D. to the public.
Mack,"People's lives could be at stake, and you're worried about bad publicity? Who the hell are you, anyway?"
Mace,"That's Burrows from Public Relations. It's his job to worry about bad publicity. So let's just... take a beat, calm down. A team divided is a team defeated. Right? Right?"
Mack,"We have an Inhuman asset in Miami, Elena Rodriguez. I lost contact with her an hour ago. Now, if this thing escalates..."
Mace,"Then we have to de-escalate it, pronto. I want you two and Phil in the air and on the way to Miami within the hour."
Mack,"Well, you need to be the one to give him that order. He wasn't too happy with the last one."
Simmons,"Please, I need to speak to someone about Agent May..."
Coulson,"Come on, May. Fight this."
Simmons,"... and, actually, I have a remote feed from your facility. I'm looking at her vitals right now, and she is clearly not stabilizing! Her heart rate is erratic. Her... Her blood pressure is continuing to rise. Adrenaline's spiking. Who is in charge over there? Does anyone know what the hell the... Hello? Hello?! They hung up. They're clueless. Not that I have a solution without actually getting inside her brain."
Coulson,Where is she? Who the hell's treating her?
Simmons,"I'm so sorry, but it's classified. Without the Director's permission, I can't..."
Mace,She's in upstate New York. Agent May is at one of the best CDC facilities in the country.
Coulson,Why keep that from me? I could be there now.
Mace,"And would be. I know how much you like to make unauthorized trips, but I needed you here in case of a crisis, and now there's a cris..."
Simmons,Hold him down! Hold him down! It's okay.
Man,Heart rate's erratic. He's gone.
Mace,What just happened?
Simmons,"Exactly what's going to happen to May within the next 24 hours. The CDC's at a dead end. Unless we take some kind of drastic measure, we'll lose her."
Mace,Do you have something in mind?
Simmons,"It's a long shot, but yes. Maybe there might be someone who..."
Mace,Whatever you need. Make it happen.
Simmons,Nathanson!
Coulson,I'm going with her.
Mace,"Negative. You're going to Miami. You're the best agent I have to deal with the Inhumans. If this blackout is legitimate and there are more to come, we could have a huge international problem on our hands. It's the call you'd make if you were in my shoes."
Maria,"My poor fiancé's out there somewhere, and I have no way to reach him. How does a blackout kill your phone?"
Elena,It was probably an EMP.
Darryl,"Word from downstairs is that we're under attack. Inhumans caused the blackout, and people are starting to riot. We got to go."
Elena,"No, no, no. We're safer up here."
Man,"No, we're trapped up here. We got to get someplace with power."
Maria,I'm going. I need to find Sammy. We can't let her go alone.
Leticia,30 flights of stairs in heels? Really?
Elena,That's why I don't wear them.
Daisy,"Where are we going? Look, I know you're doing this whole mysterious-silent thing, but if we're gonna work together on this, you've got to fill me in. You know someone that worked at that Momentum facility?"
Robbie,My uncle. I'm going to go see him.
Daisy,Uncle? Uncle Elias Morrow? Doing time at South Ridge Penitentiary? I like to vet my vengeance demons before I hop in a car with them.
Robbie,He's a good man. He did a bad thing.
Daisy,"Attempted manslaughter. Yeah, I'd say so. What'd he do at that lab?"
Robbie,"He was an electrical engineer. His work was way above my head, but I think it's time we figure it out."
Man,"Suspect at large. We now have two confirmed blackouts, Miami and London. The Inhumans claiming responsibility threatened to black out a major city every hour if their demands are not..."
Robbie,You hear that?
Daisy,I don't believe it.
Robbie,Hope they don't hit L.A.
Daisy,You afraid of the dark?
Robbie,"No, my little brother rides the metro. He's gonna be stuck in a bad part of town. You know what happens to people during a blackout. They think they can get away with whatever they want."
Daisy,That nothing can stop them.
Robbie,So we're gonna have our hands full if it hap... If it happens here.
Radcliffe,Plug the F1 EEG cables and the ISO-GND cables into the mini-M.E.G. and initiate the CBR sequence. Quickly. AIDA!
AIDA,I'm searching the encyclopedia for the acronym references.
Radcliffe,"Right. Take the red cables and the green cables. Put them into the back of the black box and push all the little buttons! Sorry if I'm being a snappy cat. I've just been caught a little bit unprepared, that's all. They say Agent May is very ill. And it doesn't look good."
AIDA,Define “snappy cat.”
Radcliffe,It's... not worth defining. You should probably never use that. I should probably never use that.
AIDA,Done.
Radcliffe,"Unfortunately, that means I'm gonna have to put you to sleep."
AIDA,I understand.
Radcliffe,You've been so helpful. I really hate to do this but you're not quite ready for what's coming. S.H.I.E.L.D. are on their way. I'll do all I can to help. I hope I can. Perhaps then we won't have to hide you away.
AIDA,They're here.
May,Stay away from me!
Simmons,Hold her down.
May,No! I know what you are! Get away from me!
Simmons,Hold her down.
May,Let go of me! Get away!
Radcliffe,"Have you determined whether it's chemical, biological?"
Simmons,"We've eliminated every probable cause, unless you want to consider Mack's theory."
Radcliffe,Which is?
Simmons,She was touched by a ghost.
Radcliffe,A ghost?
Simmons,"Well, it was definitely something of an incorporeal nature. When you eliminate the improbable..."
Radcliffe,Then we've got to consider the impossible.
Simmons,"I'm thinking if we use the transcranial head apparatus you recently developed, maybe we could find some sort of..."
Radcliffe,"Well, with both our big brains examining hers, I'm sure we'll find a solution. Any idea how much time we have?"
Simmons,"Based on the other cases we've observed, I'd say... less than six hours until certain death."
