character,line
Simmons,"It checks all our boxes. Hardwood floors, breakfast nook, bay window, cozy and charming."
Fitz,"Yeah, well, “cozy” means small and “charming” means old. Where did you find this place?"
Simmons,"An e-mail offer. Honestly, it was almost too good to be true. This is the one, Fitz. I can feel it."
Fitz,"And it's, uh, it's definitely within our price range?"
Simmons,Can one really put a dollar amount on the perfect home?
Fitz,"Yes, one can, and we did."
Simmons,"And it'll be well worth it, I promise. Shame you can't be here. My one day not working, and you're in the thick of it."
Fitz,"Yeah, I'm heading to Radcliffe's."
Simmons,It seems you're spending all your time there lately.
Fitz,"Does it? Eh, I guess so. Trying to figure out a less deadly way to cure our ghost victims. Take lots of pictures."
Simmons,You've got it. Plenty of pictures. And good luck. I'll see you tonight. Love you.
Fitz,"Yeah, I love you, too."
Simmons,Hello? I'm here about the apartment. Is anybody here? Daisy?
Daisy,Sorry. I had nowhere else to turn.
Man,"Eli, you've got a visitor."
Eli,Who the hell are you?
Coulson,"Agent Phil Coulson. I'm with the Strategic Homeland Intervention, Enforcement and Logistics Division."
Eli,S.H.I.E.L.D.? Still a thing?
Coulson,"We're making a comeback. I'm here about an incident that occurred at Momentum Alternative Energy Lab when you worked there. Is there anything you can tell me? There's not much information out there. Think tank working on undisclosed projects, and then there's an accident."
Morrow,“Accident.”
Coulson,Are you saying it was something else?
Morrow,I'm not saying anything.
Coulson,"I'm sure it wasn't easy growing up where you did, but you were 1 in 10 from your high school to graduate from college and the only one to go on and get a PhD. You worked hard to provide for your sister and her kids, so I think you're a decent guy. Sure, some petty theft as a kid, but no history of violence. But then one bad situation turned into a manslaughter charge. I don't expect you to open up to a suit with a badge..."
Morrow,Suits like you is why I'm in here.
Coulson,"But there's a chance, if you help me, that I can help you get out of here."
AIDA,"Let me get that for you, Agent May. Apologies. That must have been annoying."
May,"Incredibly. Oh, speaking of which..."
Radcliffe,"You seem to be feeling better, Agent May. No doubt in part to the care AIDA has given to you. AIDA's my assistant. She's been tending to you since... since the procedure."
May,Procedure?
AIDA,Dr. Radcliffe stopped your heart for seven minutes in order to reboot your central nervous system.
May,You did what?
Radcliffe,"Well, in order to quell the hyperactivity in your reticular activating system, we had to... very carefully, gently... kill you. Just a little bit."
May,I died.
Radcliffe,"Yes, and came back."
May,Killed by Radcliffe.
Radcliffe,"All in a good cause. And hopefully, we've learned a great deal that will help us cure others who have been similarly affected."
May,By killing them?
Radcliffe,"No, no. Well, hopefully not. Agent Fitz and I are working on a chemical solve for this... ghost virus. But to do so, we need to run a few more tests."
May,You're saying I can't leave.
Radcliffe,Soon. We're close. But Aida will be on hand to help with further testing and to take care of your needs.
AIDA,"You can trust me with your life, Agent May."
Simmons,Whoever took this bullet out did an awful job.
Daisy,I don't get an “A” for effort?
Simmons,You haven't been to a proper doctor?
Daisy,You're hard to get an appointment with.
Simmons,I knew this place was too good to be true. You've been tracking my search history.
Daisy,"Yeah, well, you were always a sucker for a breakfast nook. But don't worry... The place is yours. And it's rent-controlled now, so..."
Simmons,You really should not have...
Daisy,"Yeah, yeah. You also searched for double-vanity sinks. Things with Fitz must be going well."
Simmons,"Yeah. Though moving in together will put it to the test, I'm sure."
Daisy,It'll be great. I'm really happy for you.
Simmons,"Are you now? Oh, self-medicating. Those bone-restoration pills you've been stealing don't relieve pain. Are you using your arm gauntlets? They don't work perfectly, but we specifically designed them so that they..."
Daisy,"They're not exactly incognito. Stop mothering me, please."
Simmons,There. Now you can get back to Lone Rangering or whatever it is you've been doing.
Daisy,Not yet. I didn't come to you just for the Band-Aids. I thought I'd kill two birds with one stone.
Simmons,Am I the bird or the stone? These are...
Daisy,Inhuman asset numbers and GPS coordinates.
Simmons,Why do you have these?
Daisy,Snagged them from a group of Watchdogs on my way here. Got a bullet for my trouble. They're hacking into S.H.I.E.L.D. servers. That's how they find their victims.
Simmons,Impossible. S.H.I.E.L.D. servers are more secure now than they've ever been. They're held offline in protected government facilities to...
Daisy,"Keep out people like me? Yeah, well, they're getting in somehow. And... I need you to do the same for me."
Simmons,You want me to help you hack my own organization?
Daisy,"Simmons, they're targeting Inhumans. They are murdering us."
Simmons,"There are protocols, Daisy. I take mandatory lie-detection tests. I can't just voluntarily aid a wanted vigilante."
Daisy,What if it wasn't voluntary?
Simmons,"I've missed you, too."
Coulson,"It's hard to lose people you care about. Believe me, I know. Somewhere along the way, something went wrong, and colleagues of yours, friends of yours, died."
Morrow,I'd like to keep the past where it is.
Coulson,"Well, unfortunately, your past has come back to haunt you. Because your colleagues... Turns out they didn't die that day."
Morrow,What the hell are you talking about?
Coulson,"They're alive, and they've gained abilities. Abilities they're using to hurt people."
Morrow,"That doesn't make any sense. Well, that's usually when I enter the picture. I'm hoping you can help me understand."
Morrow,"Look, this is, uh... I don't want to get involved. I have to move on with my life."
Coulson,"Any detail, even if it seems small, could lead us to something. I can't talk to the only other person related to this case because you put them in a coma. You're all I've got. Just point me in a direction."
Morrow,There's a direction for you.
Mack,Stonewalled?
Coulson,"Is it all over my face? It was a first attempt. I didn't think he'd be the trusting type. Besides, it's not easy to find out your colleagues are back from the dead."
Mack,"Yeah, I can imagine. No way."
Coulson,What?
Mack,"It's him, the matchstick guy."
Coulson,From Momentum Lab?
Mack,"Yeah, get in the car. I'm driving."
Coulson,"Oh, hell no."
Coulson,"What do you weigh, 210, 220?"
Mack,It's not the extra weight. It's your driving. You should've let me take the wheel!
Coulson,My car. I drive. You wouldn't fit behind the wheel anyway.
Coulson,Duck!
Mack,"No, no, no, no, no!"
Coulson,"Oh, you're gonna have to do better than that."
Mack,Can't be a standard Magnum under the hood. That's got to be at least a 426 Hemi.
Coulson,Maybe admire his car after we catch him. What do you think?
Mack,"Yeah, we'll never catch him. I told you, you should've let me fix the flight functionality in this thing."
Coulson,Don't worry. It's not gonna be a problem this time.
Coulson,"I get his car now, right? Isn't that how this works?"
Daisy,Okay. Let's go over it one more time.
Simmons,Is that necessary?
Daisy,"Yes, because we cannot afford to slip up. Okay. So, in that high-security building is one of the Inhuman registration information servers."
Simmons,"I'm aware of how my own agency operates, thank you."
Daisy,"Every day at the same time, Agent Elizabeth Albee brings a drive with updated information to this location."
Simmons,I'm to steal her I.D. badge...
Daisy,So I can clone it and put a fake identity on top of it. And then you're gonna take this flash drive...
Simmons,Insert it into the server...
Daisy,"And it'll give me remote access. Oh, there she is. Right on time. Okay, so we'll need to... Simmons. Simmons! What the hell is she doing?"
Simmons,Nailed it.
Daisy,What do you mean you nailed it? What did you even do?
Simmons,I simply told Agent Albee that there was new information on the flash drive and she's going to deliver it with the rest. That should give us access.
Daisy,And how did you get her to agree to that?
Simmons,"Well, technically, as S.H.I.E.L.D.'s Special Advisor in Science and Technology, she works for me. I'm the boss."
Fitz,There must be a way to synthesize the necessary neurotransmitters to regulate thalamocortical activity.
Radcliffe,"Or block reception altogether. You know, a way to trick the brain out of fear and the resultant physical strain on the body."
Fitz,"What I wouldn't have given for that in primary school. I used to get so nervous, my eyes would all bug out, and I'd lose my breath. AIDA, sh-she's out. Why... Why... Why would she be out?"
Radcliffe,"Oh, you're right. Your eyes do bug out when you get nervous."
Fitz,Why are you not nervous?
Radcliffe,Because I let her out.
Fitz,Are you mad?
Radcliffe,"No, I'm just a scientist."
Fitz,This is... This is a huge risk. You can't... You can't just parade her about. No one's supposed to know about her.
Radcliffe,"I know it's a risk, but it's a risk we have to take. You have improved her social cues dramatically. We are on the cusp. This is the ultimate Turing Test. I mean, who better to put AIDA through her paces than the most discerning, formidable agent that S.H.I.E.L.D. has to offer? Fitz, art and science have their meeting in method."
Fitz,"Oh, do... do not go quoting bloody Bulwer-Lytton at me."
May,Fitz.
AIDA,"Hello, Fitz. Always nice to see you."
Fitz,"Hello. Um, how... what is... what is... how is everything going in here?"
May,Still waiting for them to finish the test so I can get the hell out of here.
Radcliffe,Just assessing any last glitches before we send May on her way.
Fitz,Good.
