character,line
Joseph,"Well, Lucy, this has to be it."
Lucy,"Mildew and cobwebs. You know, this reminds me of Outer Mongolia."
Joseph,"You got to admit, the yurt was kind of romantic."
Lucy,And we were so sure it was there. So... what are the odds that it's here?
Joseph,In the family home of the guy who killed the last person who had it? We've never been this close.
Lucy,"Well, we've said that before. What if we spent all these years doing the science instead of looking for shortcuts? If we did the actual work... Whoa. This is weird."
Joseph,Here.
Lucy,Is it ...
Joseph,Okay. Here.
Lucy,Wait. What the...? Are you seeing what I'm seeing?
Joseph,I didn't think it would be in German.
Lucy,"No, I'm reading English. Wait. Are you not seeing what I'm seeing? Joe, German is your first language."
Joseph,"Y-Yes, but this is not possible."
Lucy,"Unless... What if, in some way, it is reading us?"
Coulson,"Dr. Bauer, stay with us!"
Joseph,Get away! Get away from me! Get away! I see what you are.
Coulson,"Focus, Dr. Bauer. We need your help."
Joseph,You... You're demons. You're demons. You've come to take me away. You've come to take me away.
Coulson,"She was here, your wife, Lucy."
Mack,"Dr. Bauer, please. We don't want anyone else getting hurt."
Joseph,It was a mistake. We never should have taken it. We should've left it buried.
Coulson,The book? We need to know where it is.
Joseph,You can't have it. Get away from me. Get away!
Nurse,Patient is coding! Stand back please!
Joseph,Get away! Get away!
Coulson,"Dr. Bauer, please, where is the book?"
Nurse,"Sir please, I need you to stay back."
Joseph,I buried it back where I found it!
Joseph,You're too late. She knows.
Lucy,"No. No. No. No, no, no, no, no! N-o-o-o-o!"
Mack,"If this thing is that dangerous, then why not tell him? He's the Director of S.H.I.E.L.D."
Coulson,We don't know if we can trust him.
May,So why the hell is he here?
Coulson,"Without him, we wouldn't know the Darkhold had resurfaced. But the fewer people who know about it, the better. Fury had no problem opening up Pandora's Box from time to time, but even he was afraid of this thing. It's powerful, it's deadly, and now probably in the hands of a pissed-off mad-scientist ghost. So, thoughts, feelings? This is a safe space."
Mack,We need another crack at Eli Morrow. He's the one that knows this book. He'll know what Lucy Bauer wants with it and where she's going next.
Robbie,My uncle is not gonna talk to you.
Mack,"Well, then this time, we won't give him a choice."
Coulson,"Let's inform S.H.I.E.L.D. we're taking an asset into protective custody as part of a routine investigation. May, want to go to prison? Could be Taco Tuesday."
May,I'll call the warden and find out.
Mack,"Lucy leaves a lot of crazy in her wake. If we're gonna track her down, we're gonna need that antidote. Fitz said that they were close."
Coulson,I don't want it close. I want it here.
Robbie,"Wait. If we're going to get my uncle, I'm going with you."
Coulson,"No, you're not."
Mack,"If your uncle can lead us to Lucy, then maybe we'll let you out to bust some ghosts, but until then, your ass stays on the plane."
Robbie,I don't take orders.
Coulson,Then this will be a new experience.
Robbie,You can't keep me here.
Coulson,"Maybe not. But you take this plane down, you'll be burning up the only people in the world trying to help you."
Coulson,He's growing on me. You?
Robbie,I need to get off this plane now.
Daisy,That should put you in... rural Utah. And you think you're pissed off now.
Robbie,"This is no joke. All right? I should be down there, getting answers, my way."
Daisy,"Oh, yeah? How you gonna do that? Cracking skulls?"
Robbie,It's worked so far.
Daisy,Really?
Robbie,"I've been careful. I've never been caught, not even a parking ticket. Then you show up, and you bring S.H.I.E.L.D. with you."
Daisy,Careful? Really? You've been murdering people while possessed and on fire.
Robbie,You don't know what you're talking about.
Daisy,"I know you're settling scores, hoping that thing will go away. How's that going for you? Look, Robbie, I get that this is personal for you. But if you want answers, you need to trust S.H.I.E.L.D."
Robbie,You don't even trust them. Why else are you up here hiding from them?
Daisy,I keep my distance because it's what's best... for everyone.
Robbie,I'm starting to see why.
Fitz,"We can learn a lot when someone dies, as was the case when you and Radcliffe killed Agent May. Actually, that was less of a killing and more of a-a full system reboot, which is brilliant. And her brain scan allowed us to create an antidote. Bold strokes. Well-played."
Agent,Excuse me? Thank you.
Fitz,"I think we're gonna need bold strokes, ‘cause, apparently, that thing that Lucy Bauer's after, Coulson is saying it's pretty serious. Something called the Darkh..."
Simmons,"All right, stop. Not another word."
Fitz,At least you finally said one to me.
Simmons,"I have my lie-detection today, and I do not want another secret. Along with Daisy, Robbie Reyes, and your pet project AIDA."
Fitz,"Oh, come on. How many times have I got to say it? The polygraph is the reason I didn't say anything."
Simmons,Forget the polygraph. This isn't about the polygraph!
Fitz,What was I supposed to do?
Simmons,"We're supposed to share everything! We share a bed, but this whole time, you were lying there, keeping things from me."
Fitz,"Oh, come on. I wanted to tell you, of course. I... and... and I-I knew that you'd think she was fascinating..."
Simmons,"It. It's fascinating. And now it is going to get me sacked. Did you know there are over 212 micro-expressions that can betray a lie? One eye dart to the left, and I'm finished. Unlike some people, I'm terrible at keeping secrets."
Fitz,"So... it is about the polygraph. All right, well, okay. Well, look, I'll just stay here, and I'll help you practice. We could do the... the penny in the shoe thing and the thumbtack under the tongue."
Simmons,"It's the other way around. And no, just go. Coulson needs you. I'll work it out. I am not getting fired today."
Fitz,"Hey, no eye dart to the left. I 100% bought that. All right, I'll see you later, then."
Simmons,Who am I kidding? They'll skip right over the firing part and throw me behind bloody bars.
May,"You know, I ask for field work, you give me paperwork."
Coulson,What's wrong with taking it easy? Come on. You had a near-death experience.
May,It was a death experience. I'm over it.
Coulson,"Well, I'm really not over mine. I thought you'd want to talk about it. You know, what it felt like."
May,Didn't feel like a trip to Tahiti.
Coulson,"Which means it was something else. See, I died, but anything I would've seen or felt was wiped away. I don't remember anything, but you do."
May,"What do you want to know, Phil?"
Coulson,What did you see?
May,Seriously?
Coulson,Yeah.
May,No. W...
Warden,"Agents, follow me."
Warden,"So, we're transferring into S.H.I.E.L.D. custody one Elias Morrow."
Coulson,Everything should be in order. Agent May called ahead just to cut down on paperwork. She really hates paperwork. Don't you?
May,Yeah.
Warden,We'll get this taken care of. One last thing.
May,Coulson!
Warden,"You can't fool me, you demons!"
Warden,Aah!
Officer,Demons everywhere!
Coulson,"Incoming! I'm gonna state the obvious. Dr. Bauer's here, and we need to get to Eli Morrow before she does."
May,Our ICERs are in lockup.
Coulson,"Mack, do you read me? The prison's compromised."
Mack,"Let me guess, Lucy Bauer?"
Coulson,Lucy and the whole “Peanuts” gang.
Mack,So... she has friends. We'll have to assume they're targeting Eli Morrow.
Robbie,Targeting?
Daisy,"Well, he put her husband in a coma, right?"
Mack,"Coulson and May are barricaded in the Warden's office, here, on the west side. And Eli Morrow is located in the east wing, here, in cellblock E. We'll split into two teams. Daisy, you lead a team to extract Coulson and May. I'll lead a team to grab Eli."
Robbie,I'm going. This is my family. You have no reason to keep me out of this.
Mack,Because you only kill people that deserve it.
Robbie,Exactly.
Mack,"Well, down there, everyone deserves it, so you stay put."
Daisy,"No, we need an advantage down there. It's him. We can't even touch these things. He can kill them."
Robbie,You said if you needed some ghosts busted...
Mack,"Okay. But you don't leave my sight. And just so we're clear, this is an ICERs-only op. Anyone could have the psychosis, so they can't be held responsible for their actions. Now, S.H.I.E.L.D. is marshaling forces to control the perimeter, but that's hours away. Right now, we're the only ones going in, and we'll be outnumbered."
Daisy,Works for me.
Mack,Fitz's Quinjet is five minutes out. That means we leave in six. Gear up.
Mack,You sure you're up for this?
Daisy,Let's find out.
Mack,"Yeah, new and improved gauntlets, but Simmons said if you quake..."
Daisy,"I could shatter every bone in my body and be crippled for life? Yeah, yeah, yeah."
Mack,Daisy...
Daisy,"I'm not gonna risk it. Besides, I didn't always have powers, and... I did all right."
Fitz,"Cases of sanity, as ordered."
Mack,"Hey, I'm gonna need you up here quarterbacking us on comms."
Fitz,“Quarterbacking?”
Mack,"Yeah, it means that you, uh... you call the plays."
Fitz,"Oh. Well, see, I was under the impression it was the coaches who called the plays."
Mack,Well...
Fitz,And that's why American footballers need those little radio things in their ears to tell them what to do for the few minutes that they're on the field.
Mack,"Yeah. Got it, Coach."
Davis,"So, these work like EpiPens?"
Fitz,"Almost, but more efficient. To counteract the psychosis, the serum needs to be delivered directly into the brain stem, so... the injector needs to be placed at the base of the skull."
Mack,"Oh-ho-ho, no. Now, you know I don't like needles."
Fitz,"Well, I mean, it's a bee sting, really."
Mack,"Oh, hell..."
Davis,Where are the guards?
Mack,That's a good question. Keep your heads down. Not all of them will be friendly.
Davis,"Yes, sir."
Harlan,"A few more questions. Agent Simmons, are you now, or have you ever been, a member of HYDRA?"
Simmons,Absolutely.
Harlan,What?
Simmons,"On assignment, undercover. My allegiance has always been to S.H.I.E.L.D."
Harlan,"Almost done. Have you ever obtained sensitive information that you are obligated to report up the Security Spectrum or to the Director? Agent Simmons, would you like me to repeat the question?"
Simmons,"No, it's j... it's very wide-ranging."
Mace,Agent Simmons. I'm gonna need you to come with me. Now.
Man,"Hey, who are you guys?!"
Mack,"How's it looking, Coach?"
Man,Where the C.O.s at?!
Fitz,"Well, from what I can tell, Lucy and her cohorts are searching cell by cell for Eli Morrow, which means they don't know where he is."
Mack,Oh. That's good.
Fitz,"Yeah, except I have now lost them. So they're either avoiding the cameras or they've reverted to a halituous state."
Mack,Say what?
Fitz,A hali... They've gone all ghostly.
Mack,Smart.
Fitz,"Yeah. Well, they are scientists. They tend to think strategically in these situations. That's what makes us such formidable adversaries."
Mack,At least they haven't infected the prisoners.
Mack,This is not the objective.
Mack,I didn't bring you down here to settle scores.
Robbie,I'm good.
Mack,Really? ‘Cause I don't think you can control that thing inside of you. And if I have to shoot you to keep him from coming out... I will.
Daisy,"We're here to, uh... rescue you?"
May,Thought we'd meet you halfway.
Coulson,Do we have Eli Morrow?
Daisy,Not yet.
Coulson,"Then we back up Mack and Robbie. Agents, we need Warden Green and his C.O.s lucid if we're gonna retake this place. Plus, the “demon” conversation gets stale."
Davis,Copy that.
Officer,Aah!
May,Stop whining.
Fitz,"I know it's a little public, but it's the fastest route to Eli's cell. Believe me."
Daisy,Coulson.
Coulson,"I see it, too."
Daisy,"It's how they're organizing. All the new Watchdogs, they're recruiting in prison, uniting against us."
Coulson,"Come on, let's go."
May,"Hey, stop."
Man,Ah damn! Here we go.
Coulson,"Fitz, we could really use that exit."
Fitz,"If I release the door, all the doors in cellblock A open. The s-security wings, the exterior exits..."
Coulson,Just do it!
May,"Go, go!"
