character,line
Vincent,Systems online. Everyone make a final crosscheck.
Hugo,You want to check that cable again?
Eli,I just got your message. How? We're months away from a beta test.
Lucy,Joe had a breakthrough.
Eli,Where did that come from?
Joseph,I built it. It's the secret sauce that we've been missing.
Eli,You guys know anything about this?
Fredrick,"Thanks. I feel so much better knowing that if I die in a fiery explosion, my eyeballs will survive."
Lucy,Maybe we need more power. Whoa! Is everyone okay?
Fredrick,What? Is that Carbon?
Eli,That's impossible.
Joseph,Not anymore. Nothing is.
Joseph,"See, it gets absorbed into here, okay? And then it gets broken down and stored in a quantum state. It can be kept indefinitely, or it can be discharged back into the chamber and converted into matter. Think of it as a Quantum Power Cell."
Hugo,I don't know how you made the leap.
Vincent,It's beyond belief.
Joseph,"Well, before we publish, we're gonna need to replicate the cube and scale up the chamber, but if my calculations are correct, I mean, we're gonna be able to eventually create complex compounds, and then organic materials... wheat, rice. I mean, who knows? Maybe we can even end starvation."
Eli,"Hey, it doesn't add up. There was more energy at the end of the experiment than there was at the beginning."
Lucy,Yes. That's the genius of it.
Eli,"But it violates the first law of thermodynamics. I mean, how do you create matter from nothing?"
Lucy,We had help. A book. It showed us...
Eli,Book? What... What book?
Joseph,"Uh, sweetie, uh, maybe we've done enough celebrating for tonight, huh?"
Eli,"Hey, Joe, what's this book she's talking about? I mean, maybe we can we see it."
Joseph,"It's mine. You just do whatever I tell you to do, and everything's gonna work out fine."
May,"Agents down. Lucy Bauer was here, but she's long gone."
Fitz,"Wait. Hold... Uh, Agent May, can you go back and give me another look at where the cables connect to the chamber?"
May,Sure.
Fitz,"Yeah, okay, that's... that's... that's definitely different from before. Uh, there's a number of pieces missing. She must have taken them."
Coulson,"She already has the book, the power cells, my guess is she's trying to replicate the experiment and reverse the process. Un-ghost herself."
May,Is that why she took Eli Morrow?
Coulson,He's part of her original dream team. Maybe she needs him to do something she can't.
May,What? Show her face without scaring children?
Fitz,"The Momentum facilities are controlled by us now, so she needs a new place to work."
Coulson,We need to find her before someone else gets hurt.
Gabe,"Hey, Mr. Canelo, it's, uh, Gabriel Reyes. I was just wondering if Robbie showed up to work this morning. No, he... he took the Charger a few days ago. I haven't heard from him. Oh, no, I... I-I-I tried. I just..."
Daisy,Gabe? It's Daisy Johnson.
Gabe,Can I call you back?
Gabe,Where's my brother?
Daisy,I'm here to take you to him.
Gabe,How come he didn't come? Or call?
Daisy,I think it'd be better if you heard it from him.
Gabe,"Okay, if you think I'm just gonna get in some car and..."
Daisy,Who said anything about a car?
Simmons,Can't you just send Nathanson?
Mace,"Mm, it's not so much a request as an assignment. A top-secret, very classified, “for your eyes and ears only” assignment."
Simmons,"But I thought the new S.H.I.E.L.D. was transparent, limited only by your colorful spectrum of security."
Mace,"That's mostly true, uh, but this assignment isn't coming from me or anyone else within S.H.I.E.L.D. It's a favor for the United States government."
Simmons,Could you be more specific about the details of this assignment?
Mace,"Only that, as the leading scientific authority on Inhumans, your expertise has been requested by people at the very highest levels. Agent Simmons, I'm sure you can appreciate that cooperation with the U.S. government is crucial as we begin a new era here at S.H.I.E.L.D. So please, help me, help the U.S.A., help us."
Simmons,"Fine. I'll go. Just give me a few hours to pack, gather my equipment, and tie up some loose ends."
Mace,"Uh, I guess I wasn't clear. You have to leave now."
Simmons,Can you at least tell me where...
Burrows,"The Quinjet is ready, sir."
Simmons,Oh. We're going together.
Mace,"No. The Quinjet's for me. I have my own mission. Uh, but this is for you. “A team that trusts is a team...”"
Simmons,Don't.
Gabe,Robbie.
Robbie,"Hey, what's up, man? Look, uh, sorry about all the drama. I'm just glad to see you're safe."
Gabe,"Me? What about you, disappearing like that? I thought you trusted me."
Robbie,"Well, I do."
Gabe,Then why are you hiding such a big secret?
Daisy,I didn't tell him anything.
Gabe,"She doesn't have to. I can do the math. The nights you're away, the blood on your clothes. Now this?"
Robbie,I wanted to tell you... for a long time. It's just... how do you tell your brother that you're...
Gabe,A secret agent?
Daisy,"You know, he wanted to, but he couldn't. He took an oath, ‘cause, well, it's a secret."
Gabe,"Hey, I... I get it. This is... super-dope. And kind of a relief. Sometimes I'd find blood in the sink. I was afraid it was something else."
Robbie,Like what?
Gabe,Something bad.
Daisy,"Well, you can relax now that you... know the truth."
Gabe,How come you're telling me now?
Daisy,We had to bring you in for your protection.
Robbie,Tío got snatched out of prison. We were worried that the person who took him might try to grab you for leverage.
Daisy,"But the important thing is that you're safe now, and we're gonna find your Uncle Eli."
Eli,This chamber should work.
Lucy,Yes. But it's these power cells that'll save me. What's the book telling you?
Eli,Why the experiment failed before.
Lucy,It didn't fail. It was sabotaged.
Eli,"Even if Joe had completed it, there wasn't enough power. That's why we're here, isn't it?"
Lucy,"This facility can generate close to 20,000 megawatts."
Eli,"You realize that if anything goes wrong, thousands could die."
Lucy,Not my problem.
Coulson,Any updates on Lucy Bauer and Eli Morrow?
Davis,"No, sir, but there's a Quinjet approaching."
Mace,"Agent Coulson, this is Director Jeffrey Mace. You're harboring two fugitives, the Inhuman known as Quake and an enhanced individual who can control fire. I'm here to take them into custody. Prepare to be boarded."
Coulson,Jeff.
Mace,Phil.
Coulson,"As a former Director, I have a better sense than most at how precious your time is... how important it is to prioritize the critical from the trivial. Which makes me wonder why you'd wasted half a day flying here on a wild goose chase."
Mace,"Oh, it's not a wild goose chase if there are geese. Do you deny they're on board?"
Coulson,Geese? I have zero geese. We are goose-free.
Mace,Hm. Find them.
Mack,"Into the containment module... now! The new Director boarded with a Tac Team, and he wants to take you both into custody."
Daisy,What? Why?
Mack,"Why? Really? Just get in the damn box. You, too, Ironside!"
