character,line
May,What happened? I expected a crater.
Mack,"So, no explosion. The room seems stable. Was it some kind of energy weapon? This all feels wrong."
May,"No Fitz, either. I don't get it. There should be some sign of them. It's like they vanished. Coulson, Fitz, report in."
Man,"Alpha Team, do you read? We've got movement. Eli Morrow is in the South Corridor."
Mack,Eli. Let's see what he knows.
Agent,"Mr. Morrow, we're here to escort you out of here. He's armed!"
Eli,"Beautiful, no? Pure carbon."
Agent,"Sir, you have to put down the weapon."
Mack,We're into nightmare territory here. This is evil. This is...
May,It's Eli.
Mace,This is a tragedy. We have to prepare for the likelihood...
Daisy,"Whatever you're gonna say, don't. I see the way you're all looking at that screen. We don't know what happened."
Mack,Daisy.
Mace,It's okay. This is a process.
Daisy,"No, it's S.H.I.E.L.D. Impossible things happen all the time. That... That machine ghosted that Lucy woman."
Mack,"So what? Coulson and Fitz come back in five years, bloody and insane?"
Daisy,I don't know. That's my point. They could be stuck in one of those boxes or...
May,Or maybe they're gone.
Daisy,"May. I know it's crazy, but Coulson came back from the dead, Fitz pulled Simmons through space through a rock, and Robbie's head lights on fire."
Mack,Simmons.
Mace,We need to approach this with level heads.
Daisy,"No, we need to call Simmons. She can solve this, if anyone can."
Mack,And she deserves to know.
Mace,Okay.
Mack,Why did Eli turn on us? What does he want?
May,What he wanted all along. A power. I bet he hired the Chinatown Crew to steal the box in the first place.
Mack,We need to take him off the street now.
Mace,"No. Daisy's right. Simmons needs to study this tech first, see what makes Eli tick."
Mack,"He'll kill again, sir."
Mace,"Eli killed four agents with his mind. Go after him now, and you'll make it five."
Mack,Those agents died for no reason.
Mace,"And, hopefully, Simmons will give us a way to avenge them. And if we're really, really lucky, maybe she'll find hope for saving our friends. I'll call her now."
May,Mace. When you talk to her...
Mace,I know what Agent Fitz means to her.
Doctor,"Dr. Simmons, we need your help."
Simmons,Is that a Terrigenesis cocoon?
Doctor,Mm-hmm.
Simmons,In progress? Oh. It's incredibly rare to see the actual metamorphosis. It only lasts a few fleeting moments.
Doctor,Not this one. The subject's been gestating for seven months.
Simmons,Come again? How has he survived? Who is he?
Doctor,"Classified. Agent Simmons, we're not worried about who he was. We want to know what he'll become."
Mack,"I know you're not okay, but... you okay?"
May,What if Daisy was right and they're not dead?
Mack,Where's this coming from?
May,"I have a feeling, can't explain."
Mack,"I know you're hurting, but Coulson was clear. Do not open that book."
May,He didn't know what was inside it.
Mack,"He knew enough. It's Pandora's Box, and you don't know the consequences."
May,Neither do you. This might be our only shot at saving them.
Mack,"Melinda, don't you dare."
Mace,You wanted to speak?
Mack,"Yes, sir, I, uh... I think I've found a workable lead to track down Eli Morrow, from one of May's better ideas."
Mace,Then let's hear it.
Mack,"Remember the head of the Chinatown Crew that ordered the heist of these boxes, Chen?"
May,"He got infected by Lucy, went through the same thing I did."
Mace,Until his brains hemorrhaged all over the lab.
Mack,"Well, before that, he spent two years in South Ridge Penitentiary."
Mace,With Mr. Morrow.
Mack,"Exactly. The Chinatown Crew was working with Eli when he was in prison. And now that he's out, they might know his location. Now, I figure, if I find their hideouts, I find Eli, and then I can..."
Mace,Slow down. We're not gonna just go cracking heads.
Mack,It's not cracking heads.
May,Let him go. Someone should.
Mack,"Look, my job is to keep people safe."
Mace,"Mine, too. So, first we sharpen the ax, and then we chop the tree."
Mack,My ax is plenty sharp and a shotgun.
Mace,"We'll follow your leads in due time, after we study this tech. The Zephyr is wheels up in five. Agent Mackenzie, there are four fallen agents who need to be prepped for their... For their last ride home."
Mack,"Yes, sir."
Mace,"You and I will ride ahead in the Quinjet, get this cargo back to base, max speed. Dr. Radcliffe will work on them immediately."
May,Simmons approved it?
Mace,"I talked to her. It'll take her a few hours to return. So, this way, we don't waste any time."
Gabe,"They were my closest family, and I didn't know them at all. They both. I knew Robbie was disturbed, but... but I was afraid that was ‘cause of me... ‘cause I was holding him back."
Daisy,"No, you... you were what he held onto. You grounded him."
Gabe,"But I wanted him to leave. You know, figure himself out. I didn't know that was what he was up against."
Daisy,Your brother loves you more than anything.
Gabe,I just wish we had talked. You really think he's not gone?
Daisy,"I know the feeling when someone's gone, and I don't feel that now. Plus, your brother's pretty damn stubborn."
Gabe,"You have no idea. If he is out there, he's gonna go straight for Uncle Eli."
Mack,And he'd be doing the right thing.
Daisy,"Mack, what are you doing?"
Davis,"Sir, you got to stop. Director's orders. We're about to take off any minute."
Daisy,Mack! What's gotten into you?! Mack!
Fitz,Sir?!
Coulson,Yeah.
Fitz,You okay?
Coulson,Yeah. Where's Eli?
Fitz,I don't know. What happened?
Coulson,"Eli locked himself inside, triggered the device, then everything just went white."
Fitz,"Yeah, I got hit with the same blast."
Coulson,You know what it was?
Fitz,Best bet is this chamber's some kind of of particle generator. I think we got hit with the fallout when Eli blasted himself.
Coulson,I feel okay. Was it radiation?
Fitz,No. I think we got lucky.
Coulson,I'd like to find Eli and ask him myself.
May,What happened? I expected a crater.
Fitz,Thank God.
Mack,No explosion.
Coulson,"Yeah, well, I was pretty psyched about that. Eli triggered the Silo right in front of me."
Mack,The room seems stable. Was it some kind of energy weapon?
Fitz,"No, it's not a weapon, 'cause Eli used it on himself."
Mack,This all feels wrong.
Coulson,He got the knowledge from the Darkhold. We need to grab him.
Fitz,Do you think he was trying to enhance himself?
May,"No Fitz, either."
Coulson,What?
Fitz,What?
May,I don't get it.
Coulson,"May, what are you..."
May,There should be some sign of them. It's like they vanished.
Fitz,"Mack. Mack. Hey! Big man, over here! Over here! Hey!"
May,"Coulson, Fitz, report in."
Fitz,Yeah! Report! I'm reporting!
Coulson,"May, I'm right here!"
Fitz,Reporting! The blast must have altered our state somehow.
Coulson,You think? Wait. What are they doing? Do we look that stupid on comms?
Mack,Eli. Let's see what he knows.
Coulson,"We can't lose them. Fitz, come on!"
Robbie,I heard some troubling things from Lucy. You try to kill them? You were behind this the whole time!
Agent,"Mr. Morrow, we're here to escort you out of here."
Robbie,What did you do?
Agent,He's armed!
Robbie,"Tío, keep your head, man. Don't do anything stupid."
Eli,"It's beautiful, no? Pure carbon."
Agent,"Sir, you have to put down the weapon."
Robbie,"Tío, don't hurt them. Get away from him! I'm sorry. I couldn't help them."
Mack,We're into nightmare territory here.
Robbie,"You can't hear me, can you?"
Mack,This is evil. This is...
May,It's Eli.
Robbie,I couldn't stop him.
Coulson,It's not your fault.
Robbie,You can see me?
Coulson,"Yeah, Robbie. We see you."
Robbie,What did he do to us?
Coulson,I hate watching my own demise.
Robbie,"I don't think we're dead. I feel sick. My stomach hurts. And the lights are darker, right?"
Fitz,The lights. Yeah. Their voices are hard to hear. They can't penetrate wherever we are.
Coulson,What do you mean “where we are?” Do you understand what this is?
Fitz,"I think I understand why Lucy and her friends looked like ghosts now. They were out of phase with our reality. It's like the... the invisible quantum mechanics inside the boxes, moving in and out of our dimension. Lucy and her friends were stuck in between, and now we are, too."
Coulson,Trapped between dimensions?
Fitz,"Yeah, that shock wave. That wasn't turbulence... that was... that was... friction between two dimensions."
Robbie,Dude. What?
Fitz,"Okay, imagine the world is a... is a raft floating on water, and Eli punches a hole right at our feet. We're getting sucked down into... who knows what?"
May,Or maybe they're gone. May.
Coulson,"Plus, we've been pulled further than Lucy ever was. We can't affect them, or even our own environment. And wherever we are, they think we're dead."
Fitz,"Well, we may well be soon."
Mack,Simmons.
Coulson,"Thank you, finally."
Fitz,"They're gonna tell her I'm dead. I've got to phone her, let her know that I'm in another dimension. That's not gonna work. Oh, what's she gonna think?"
Coulson,"Fitz, we're gonna find our way home. Focus on that. We're gonna figure this out."
Fitz,"Yeah, okay, well, we better do it fast, 'cause whatever water we're treading, we're sinking."
May,I bet he hired the Chinatown Crew...
Robbie,The Chinatown Crew.
May,... to steal the box in the first place.
Robbie,I think they're right about that. I can help find them.
Coulson,They'll need to know we're alive first. You got any hell-demon tricks up your sleeve?
Robbie,No. He's fighting me right now.
Coulson,"Then we'll stick together, and we'll find a way to make them hear us. All of us."
Mace,I'll call her now.
May,Mace. When you talk to her...
Mace,I know what Agent Fitz means to her.
Robbie,Fitz.
Mace,Were you able to get Simmons on the line?
Burrows,"They confiscated her phone. But I do have Senator Nadeer on the line, sir."
Robbie,"Yo, Fitz, you're a doctor, right?"
Fitz,"Uh, not exactly. Hold on."
Mace,They wouldn't let us talk to her?
Fitz,They're dealing with the Senator that hates Inhumans. How the hell did Simmons get mixed up with all this?
Mace,"Senator, thank you for taking my call. Yes, we have a crisis brewing, and I know we had an arrangement, but, uh, I need Simmons to return immediately. Ellen, you have generously kept this situation quiet, and I thank you, but we're past that now. I need Simmons back. Lives are on the line. Wait. What do you mean? Where is she?"
Fitz,What situation? What have you done?
Mace,She hung up. Tell me you put a tracker on Simmons or something.
Burrows,We didn't know we'd need one.
Mace,Damn it.
Robbie,Cold.
Mace,Keep working Nadeer's people.
Fitz,"Yeah. Yeah, it's cold and heartless. I swear, if I get out of here, I'm gonna knock him stupid."
Robbie,No. I'm cold.
Fitz,What?
Robbie,I'm freezing.
Fitz,What happened?
Robbie,I don't know. I need sunlight.
Burrows,"Dr. Radcliffe, how are you?"
Robbie,"Warmth, anything. I'm dying here."
Fitz,"Okay, okay. Okay, let's get you warm."
Coulson,"May, I need you to hear me. I'm not gone! May, help! Ahh."
May,"You're not allowed to be gone, not yet."
Coulson,"No, I haven't gone anywhere."
May,"You're not dead. After the Glasgow Assignment, we promised that we would open that bottle of Haig if we ever had a worse job. We've had 10 by now."
Coulson,I think Fury would rather have had us die than give up that bottle.
May,What the hell are we waiting for?
Coulson,"Hey. I'm here. May, I'm right here. You can do this. Hear me, please. Yes. It's me, May. I'm right here. The Darkhold. No. No, no, no. That's not how we solve this. May. No."
Mack,"I know you're not okay, but... you okay?"
May,What if Daisy was right and they're not dead?
Coulson,"Mack, do not let her open that book."
Mack,Where's this coming from?
May,"I have a feeling, can't explain."
Mack,"I know you're hurting, but Coulson was clear. Do not open that book."
Coulson,Thank you. Someone listens.
May,He didn't know what was inside it.
Mack,"He knew enough. It's Pandora's Box, and you don't know the consequences."
Coulson,Really? You're not hearing this?
May,Neither do you. This might be our only shot at saving them.
Mack,"Melinda, don't you dare."
Coulson,What happened?
Fitz,I don't know. He just doubled over. There's nothing I can do about it.
Robbie,We're being dragged down. He doesn't want to go. He won't go.
Gabe,"But I wanted him to leave. You know, figure himself out."
Robbie,No! He won't go!
Gabe,I didn't know that was what he was up against.
Coulson,Who won't go?
RObbie,It's... It's gone.
Coulson,What do you mean? Where did it go?
Gabe,He's gonna go straight for Uncle Eli.
Mack,And he'd be doing the right thing.
Daisy,"Mack, what are you doing?"
Davis,"Sir, you got to stop. Director's orders. We're about to take off any minute."
Daisy,"Mack, what's gotten into you? Mack!"
Coulson,Did what I think just happened just happen?
Robbie,He's going after the Chinatown Crew.
Daisy,"Tell May what happened. And if we ever get the chance, never tell your brother about this next part."
Robbie,"Oh, no, we're way past that."
Coulson,Wait. What are you thinking? Don't go.
