character,line
Peng,Out of my way. I need to see him.
Man,How many are there? How many?!
Peng,"Eli. Eli, we got a problem. Cops, S.H.I.E.L.D., they're everywhere, man."
Eli,Keep them busy. That's why I pay you.
Peng,"You guys been paid yet? I haven't been paid. You want us to go to war with S.H.I.E.L.D.? I don't know, man."
Eli,"You're right. A hard day's work deserves a hard day's pay. Hope you take diamonds. They're unrefined, but they're priceless once properly cut. Speaking of which, you may have to cut the rest out of his lungs. If S.H.I.E.L.D. wants to see what I'm creating, I'll show them. I'll show them all."
Reporter,"We're live in downtown L.A., where several city streets have been blocked off due to what authorities are calling a potential threat. The details are scarce, but when S.H.I.E.L.D. arrives on the scene, it suggests the threat may be an Inhuman one. Joining us on the phone right now is the director of S.H.I.E.L.D. himself, Jeffrey Mace. Director Mace, can you clear up some of the rumors about what's happening here right now?"
Mace,"Of course, and thanks for taking my call. The situation is that there is an escaped fugitive on the loose, and S.H.I.E.L.D. is assisting LAPD with the hunt."
Reporter,Is the fugitive you're referring to Quake? There have been reports of seismic activity in the area.
Mace,"No, I can assure you the threat is not Quake, and it is not Inhuman."
Reporter,Then why the evacuation? Why is S.H.I.E.L.D. involved?
Mace,"You know, it's still an active scene, so I'm afraid I can't comment. But, uh, once the situation resolves, we'll hold a full press conference. Hey, thanks for your time. It's like a circus out there. And that picture of me on the banner..."
Burrows,Agreed ... not your best side. I'll schedule a reshoot for this week.
Mace,Burrows. Give us the room. How many people do we think Morrow has in there?
May,A small army. Leftovers from a Chinatown gang and some ex-cons he recruited while he was in prison.
Coulson,We need to move in.
Mace,Press is everywhere on this. We can't afford to be seen working with Daisy or Reyes. He's a vigilante killer.
Coulson,"It's a little more complicated than that, but yes. He's also nearly unstoppable, and he's on our side."
Mace,And what happens when he's not?
Coulson,"Then we deal with him. But right now, the reality is this ... Eli Morrow just wiped out an entire S.H.I.E.L.D. Tac Team with a few shards of carbon that he created out of thin air."
May,And that's just what we've seen. What else is he capable of?
Coulson,"We need the big guns on this one, and Yo-Yo, Daisy, and Reyes are the biggest guns we have."
Mace,"What about the science team? And I'm talking about AIDA, specifically. I mean, she did, after all, bring you and Agent Fitz back from... well, wherever the hell you were. If a similar technology is in play, she could have a solve. What? You disagree?"
Coulson,"I don't, actually."
Mace,But...?
Coulson,All cards on the table? AIDA's an android.
Mace,She's... W-What did you just say?
Coulson,An android.
May,"Had me fooled, too."
Mace,"But that's... Okay. I mean, forget about the fact that I was mildly attracted to her. That totally goes against the Sokovia Accords. Doesn't anyone remember Ultron? Was this Radcliffe's doing?"
Coulson,"Sir, we really don't have much time. The point is, a good Director needs to know what assets he has at his disposal, and in this case, I think AIDA could be an asset... a risky one, but... it's your call."
Mace,"Agent May, go to Dr. Radcliffe's lab and get AIDA. I want her on this mission. We'll dismantle her afterwards."
Coulson,What about my assault team?
Mace,"You got the green light. But, Coulson, keep Daisy out of sight."
May,Bold move telling him about AIDA.
Coulson,It was a strategic play.
May,Felt like poking the bear?
Coulson,"More like feeding the bear. I'm hoping if give him something, maybe he'll give me something."
May,Like Senator Nadeer.
Coulson,"I want to know what his deal is with her. She hates Inhumans, hates S.H.I.E.L.D., yet he sends Simmons off to examine a new Inhuman for her. I don't like it."
May,"Tough, isn't it, not to be the keeper of all the secrets?"
Coulson,It's not about that. I just want to know whose side he's on.
May,"The only side he's ever been on, his own."
Coulson,You're right. Mace is a political animal. There's got to be something in it for him.
May,"Good luck figuring that out. Meanwhile, I'll be playing chauffeur to a robot."
Coulson,Sorry. Didn't think you'd get stuck on a milk run to Radcliffe's. We're gonna miss you in the field.
May,I'll catch up. Can't let you have all the fun.
Coulson,"When this is over, it's time we are cracking that bottle."
May,You don't have to twist my arm.
Coulson,I wouldn't dare. You might whip my ass.
Fitz,Just finished a scan of the building. I'm uploading signatures now.
Coulson,Copy that.
Robbie,"Yo, I'm not wearing a mask, man."
Mack,"It's not a mask, it's a balaclava."
Robbie,Thought that was a dessert.
Mack,"What? No, ma... Never mind. Director just wants you to keep a low profile. There's a lot of media out here."
Robbie,I don't answer to him.
Mack,"No, you don't. Guy you answer to is a lot more unforgiving."
Robbie,"Yeah, well, you know a little something about that now, don't you?"
Mack,"Well, hopefully, when all this is over, he won't be anybody's boss anymore."
Robbie,"Amen to that, brother."
Coulson,All good?
Mack,"Yeah. Robbie's on his way to Daisy, and, uh, Yo-Yo's already with her."
Coulson,"Agent Simmons, the gang's all here and in position."
Simmons,"Copy that, Agent Coulson. Fitz, do we have thermals off the satellite?"
Fitz,Morrow's men retreated inside a few minutes ago.
Simmons,All of them?
Fitz,Yeah. Strange.
Simmons,"Zephyr to Assault Team, be aware that all Morrow's men have pulled back. You need to be ready for anything."
Fitz,Shards of carbon out of thin air. It's not possible. You can't create something out of nothing.
Simmons,First law of thermodynamics.
Fitz,"Exactly. Even in the realm of quantum vacuum fluctuations, there are still laws. So how's he doing it?"
Simmons,Maybe it's magic.
Fitz,I do not like magic. Or clowns. Or clowns with knives in the dark.
Simmons,Reading another earthquake. 1-4.
Daisy,"For the record, it wasn't me."
Fitz,"Yeah, well, all the same, Daisy, I'd like to look at the new gauntlets after the mission, check that they're calibrated correctly."
Daisy,"They are, trust me. The effect on my bones is a tenth of what it was."
Elena,Here comes Burning Man.
Daisy,Any life on your side?
Robbie,No. You sure Eli's in there?
Coulson,"Let's find out. Assault Team, you have a go."
Daisy,Copy. Breaching now.
Robbie,Looks all clear to me which means it isn't.
Elena,"I hear something, water running."
Daisy,Can you do a little recon up ahead?
Elena,"Well, that depends. If “recon” means “look around,” sure."
Daisy,Yo-Yo!
Robbie,"You like playin' with fire, Eli? Let's play."
Radcliffe,"Director... Sir, i-if I may explain, I wasn't trying to fool anyone."
Mace,"But you did. AIDA fooled everyone. She's quite amazing, Doctor, totally lifelike."
Radcliffe,"Well, the LMD program was designed to save lives, the lives of... of... of agents in the field, of the Director."
Mace,"Oh, I understand the allure. An android like AIDA could be used as a soldier, a spy, a decoy."
Radcliffe,"Or a chef, if you like. Sir... I realize how this must look. Genius scientist with a questionable past forgetting to ask for the proper clearances, et cetera, et cetera. But I assure you all of my data is yours. I'm an open book."
Mace,"Mm. Book. Right. That arch-gateway thing that saved the team on their last mission... AIDA designed and built it, yes?"
Radcliffe,Which proves how valuable she can be.
Mace,Mm. Is this what showed her how to build it?
Radcliffe,"The book... helped, yes."
Mace,I want to know more about it.
Radcliffe,"Well, all I know is it's a very powerful piece of technology. It's like a... like a tablet that can read your mind, very intimidating, frankly, which is why we had AIDA read it. It's a good job we did. Otherwise, Agents Coulson and Fitz would have been lost in the dimensional vacuum of space-time."
Mace,"So the book intimidates you, but AIDA doesn't intimidate you?"
Radcliffe,"No, not at all. Why? What are your plans for her?"
Mace,"Well, that depends."
Mace,Her next mission.
Mack,We need to get you up to the Zephyr so Simmons can check you out.
Elena,I'm fine. We have a job to do.
