character,line
AIDA,"I'll play you music when I can. Studies show that listening to music increases dopamine levels by 9%. And I'll arrange for more comfortable accommodations eventually. But I must keep you hidden, a secret until your substitute has served her purpose. So, unfortunately, you'll have to stay here for now."
Mace,"Due to recent events, S.H.I.E.L.D. is on high alert. This is a serious threat we're facing, which is why I've assembled you all here today. It is absolutely critical that we safely dispose of the Darkhold. Phil."
Coulson,"Once the Zephyr's ready, Agents May and Mackenzie will accompany me. We'll transfer the Darkhold to an agent who specializes in making items like this disappear."
Radcliffe,"How's he going to manage that? Some sort of magic spell? Right, yeah, probably had your fill of dark-arts jokes, what with the flame-headed demon and all of that."
Coulson,"While we're handling the book, your mission is to accompany Dr. Radcliffe and erase AIDA's hard drive."
Radcliffe,What?
Fitz,I'm not... I'm not sure...
Mace,AIDA read the Darkhold.
Coulson,We can't risk having any of its contents in her memory. It's too dangerous.
Fitz,"Makes sense, although does seem a little bit unfair to Aida, considering how many lives she just saved."
Mack,"Okay. First of all, that thing is not a “she,” it's a damn robot. And second of all, what's the matter with you two chuckleheads? Have either one of you seen a movie in the last 30 years? The robots always attack."
Radcliffe,"Well, technically speaking, AIDA's not a robot, she's an android."
Fitz,That's true.
Mack,"Android, robot... it doesn't matter what you call ‘em. The end result's always the same, they rise up against their human overlords and go kill crazy."
Radcliffe,"You make a fair, if somewhat intense, point. Yeah. Yeah, I don't see any harm in replacing her hard drive. Better safe than sorry, as they say."
Mace,"So happy you agree, ‘cause it's also an order. Now get to work."
Vijay,Ellen.
Ellen,Glad you finally woke up. Looked like you were having bad dreams.
Vijay,"It was about Mom's birthday, when the Chitauri attacked."
Ellen,Worst day of my life. Though finding you in that cocoon seven months ago was a close second.
Vijay,"Seven months? I was gone that long? What is this, Ellen? Why are we here?"
Ellen,"I needed a place for us to be alone, just you and me."
Simmons,"Somehow, I feel responsible for whatever happens next."
Daisy,Are you sure this is the Inhuman you saw in the husk?
Simmons,"Absolutely positive. I knew Senator Nadeer was connected to him somehow, and in my research on her, I recognized him, Vijay Nadeer, her own brother, if you can believe it."
Daisy,"Yeah, but there's zero evidence that he's been missing. He's been posting on Facebook, Twitter. His bills are paid. He even recently signed up for a Master Class in directing."
Simmons,But there have been no new photos of Vijay in the last seven months.
Daisy,So either he's suddenly gotten camera-shy or...
Simmons,Or someone's hiding him.
Daisy,"Not someone, the Senator, considering she's the country's leading anti-Inhuman hatemonger."
Simmons,I'd have a much better idea where she was hiding him if the Director hadn't insisted I wear a hood before going on assignment. Just awful.
Daisy,"It's hard to breathe in those things, huh?"
Simmons,"It is nice having someone here to talk to again, you, specifically."
Daisy,Someone other than Fitz?
Simmons,"Oh, well, of course, Fitz, but he has been rather distracted lately."
Daisy,Distracted how?
Simmons,AIDA. You know how boys can be with their robots.
Daisy,"Actually, I really don't."
Simmons,"Speaking of the Director, here comes his little Smithers now. What do you want, Burrows?"
Burrows,The Director would like a word with Quake.
Daisy,My name's Daisy.
Burrows,"Well, not according to the press release. Now, if you'd follow me, ma'am."
Mace,I must admit we make a pretty impressive pair.
Daisy,"Well, looks like we're stuck with each other."
Mace,"Well, I was just trying to make the most of the precarious situation you put me in."
Daisy,Is this when I get read the riot act?
Mace,"Not by me. However, if you're as smart as they say, then you'll know that, uh, I saved you from being thrown in prison."
Daisy,You saved face. You turned it into a publicity stunt.
Mace,"You already had plenty of publicity. Destruction of public property, assault, armed robbery..."
Daisy,I never carry a weapon.
Mace,"You are the weapon. The public was turning against you. Now? They look up to you. You're welcome. Okay, this isn't how I wanted this to go. Uh, we're both Inhuman. And as you say, we're stuck with each other, so why not make the most of it? I read your written statement, and I believe it. You were just trying to protect the innocent. And I know you're new here, but that's what S.H.I.E.L.D. is all about."
Daisy,“New here?”
Mace,It was a joke. I was making a joke to break the ice.
Daisy,"Got it. Seems they look up to you, too. The hero of Vienna. It's a nice pic."
Mace,Not as big a deal as they made it. They gave me too much credit.
Daisy,You don't get to be modest and have a framed glamour shot on your desk.
Mace,"Fair point. Look, we're a team now, and I have a saying, a tea..."
Daisy,I read the motivational poster in the bathroom.
Mace,"Good. Well, um, the team trust has been eroded for both of us, but I'm hoping we can earn it back, tackle problems together within the administrative structure..."
Daisy,"You want to tackle problems? The Watchdogs, enemy number one. I believe they're funded internationally. They have ties to people within the U.S. government."
Mace,I don't want to chase conspiracy theories.
Daisy,It's not a theory if I can prove it.
Mace,"I want to chase hard facts, like the fact that Senator Nadeer is aware of an Inhuman who's being held against his will."
Daisy,Now we're talking.
Mace,"Agent Simmons has seen his face. If she can I.D. him, maybe sh..."
Daisy,"She did. He's the Senator's brother, breaking news."
Mace,How fitting. No wonder she used all those cloak-and-dagger methods. You got a lead on his whereabouts?
Daisy,"No sign of him, but she's been out of the office all week."
Mace,"Okay. Agent Rodriguez is still recovering, so that leaves you, me, and Agent Simmons. Wheels up in 10."
Daisy,"Wait, wait, wait. What? Where are we going?"
Mace,To rescue him.
AIDA,I wasn't expecting you.
Radcliffe,"Uh, change of plan, my dear AIDA. Change of plan."
AIDA,"Is everything okay, Leopold? You look sad."
Fitz,"Yeah. Yeah, yeah, no, everything's fine. Just, um... bit overwhelmed with work is all."
AIDA,I'm sorry to hear that.
Radcliffe,Bit too observant. Might have to take a look at that in the next software patch.
Fitz,It was almost as if she knew I felt guilty.
Radcliffe,"Ah, don't be silly, Fitz. AIDA can't differentiate..."
AIDA,"I know what you're doing, Doctor. You came here to end my life."
Radcliffe,"Well, that's not true, AIDA. We simply wanted to make a few upgrades, that's all. Bloody hell."
AIDA,I made a few upgrades of my own.
Fitz,AIDA.
Fitz,Aah!
AIDA,"I didn't like feeling pain, so I fixed that."
Fitz,"AIDA, whatever you're doing, you... you got to stop."
AIDA,"Why would you want to hurt me, Leopold? I was your shield."
Fitz,Aah.
Vijay,You still make my favorite breakfast.
Ellen,Yeah. That's because you don't eat breakfast if I'm not there to cook it.
Vijay,I thought you were gonna sell this place.
Ellen,"I had a couple of offers, but I decided to take it off the market."
Vijay,I'm glad. This is one of the last houses Dad designed before he died. Seems like it should stay in the family.
Ellen,"You're probably right. Plus, it's the perfect place for you to recover after your ordeal. What happened to you inside that cocoon, Vijay?"
Vijay,I don't know. Nothing.
Ellen,You were in there for seven months. Surely you have some memory of being inside.
Vijay,"It was dark. Lonely. For a long time, all I could hear was your voice."
Ellen,Telling you to fight.
Vijay,"And I did. It just took a long time. If it hadn't been for that S.H.I.E.L.D. scientist... Wait, does that mean S.H.I.E.L.D.'s back?"
Ellen,"Unfortunately, yes."
Vijay,"Well, maybe that's not such a bad thing."
Ellen,S.H.I.E.L.D. is one of the main reasons the world has the problems it does.
Vijay,"There you go, painting with a broad brush again."
Ellen,It's people like me who keep the world safe.
Vijay,I'm not making a case for the whole organization.
Ellen,"No, just the one good S.H.I.E.L.D. agent."
Vijay,Ellen...
Ellen,"Let's just drop it. It's a nice day. How about we go for a walk, stretch our legs?"
Shockley,"That's the signal. The Senator will be transporting the target. Shoot to kill on my command. Remember, be prepared for anything."
May,Any luck finding AIDA?
Coulson,"I'm checking local APBs, pointlessly. But Fitz and Radcliffe should be back any minute. Maybe they'll have some idea where AIDA's headed."
Mack,This isn't some Johnny 5 we're talking about. This is a bloodthirsty murder-bot on the loose. This thing really killed Nathanson?
Coulson,Yeah. Question is why.
Mack,"If we catch her, I'm sure we'll get some crazy-ass Roy Batty explanation."
May,Maybe Nathanson saw something he wasn't supposed to see.
Coulson,Guess we won't know till we find AIDA.
Mack,"First, maybe we lock up the guy who created this mess."
Radcliffe,Don't... Don't be so quick to judge. AIDA's programming was perfect. This is... is clearly the Darkhold's fault.
Coulson,You're saying reading the Darkhold may have corrupted AIDA's programming? Is that even possible?
Fitz,"Technically, no, but we are dealing with a book that can read people's minds and also reveal the hidden secrets of the universe, so..."
May,I never should have let AIDA near that thing.
Radcliffe,"Don't be so hard on yourself, Agent May. I, for one, am glad that AIDA read that book. Otherwise, both of you would not be standing here alive at this very moment."
Mack,"Well, book or no book, you're still a big, dumb idiot for building that thing in the first place."
Coulson,"Let's save that debate for another time. Right now, we need to find AIDA, and the first step is figuring out what she wants."
Radcliffe,"Well, that's simple. She wants to live."
Mace,I'm still feeling very optimistic about this mission.
Simmons,I bear much of the blame for this AIDA situation. Science and Technology are my responsibility...
Daisy,It's not your fault.
Simmons,I knew the risks that came with using powerful autonomous machinery. I knew the dangers and...
Mace,And you thought I was one of them. You didn't want that technology to fall under the control of a Director you didn't know.
Simmons,"No, I did not. But now it's completely out of control, and for that, I am sorry."
Mace,"Well, Agent Coulson will have to handle it. We have our own life to save. And, uh... I'm sorry I put the bag over your head."
