character,line
Mace,"No, a true hero's not in it for the glory. Some seek out justice in the face of danger even if it means living life in the shadows. But I'm proud to announce that Daisy Johnson, one of S.H.I.E.L.D.'s most dedicated agents, can finally step into the spotlight and get the recognition she deserves.During her time undercover, she risked her life to protect everyday citizens. When Watchdogs targeted the Edison Bridge, Agent Johnson held off the collapse until everyone was evacuated. Now, she fled to protect her cover, but today, we finally get to say, thank you. Right now, I would like to invite Sunbury's own Michelle Caldwell up to tell the story in her own words."
Caldwell,"Thank you, Director Mace. It's hard to remember details from that night, but three things stand out clearly, fire, falling, and Agent Johnson saving my life. I was heading home on the Edison Bridge..."
Mack,Looks like Director Mace is enjoying this more than Daisy.
Coulson,Know who's more excited about it than either of them?
Mack,"General Talbot bails us out one time, then acts like we owe him a damn parade."
Coulson,"Yeah, he did what he had to do. Though it didn't reduce his ego any."
Mack,"Burrows isn't helping, either. If he gets any further up Talbot's ass, he'll need a snorkel."
Coulson,And there they go again with the world's most conspicuous briefcase.
Mack,What do you think's in there?
Coulson,"Could be anything. Nuclear codes, hush money, Girl Scout Cookies."
Mack,What's up?
Coulson,We're supposed to have an agent on that roof.
Caldwell,"My son still has his mother, thanks to Agent Johnson. Thank you. Thank you so much."
Daisy,Oh. Yeah. Okay. Sniper! Get down!
Mace,Stand clear!
Daisy,I've got eyes on the shooter.
Burrows,"Sir, wait! You're on the clock."
Talbot,"Coulson, we're initiating Contingency Plan Foxhole. Get the Director out of here, pronto."
Coulson,"Already on it. Sir, we need to get you to a safe house."
Mack,We have a Quinjet standing by.
Mace,"Lead the way. Burrows, with me."
Simmons,What is that doing out?
Crawford,"Um, Agent Fitz asked us to keep it out for a few tests."
Simmons,"The only test anyone should be running is how best to destroy it. That thing killed Nathanson. Could've killed us all. I'll talk to Agent Fitz, make sure he hasn't forgotten that. And in the meantime, don't go near it. What now?"
May,How did the shooter get close enough?
Simmons,What's going on?
Talbot,There was an assassination attempt on Director Mace.
Simmons,What? Is he...
May,"He's fine. Coulson and Mack are following protocol, taking him to a safe house. What do we know about this guy Daisy grabbed? Who's he working for?"
Talbot,Would you stop hounding me with questions? Get in there and ask him yourself. I need you in the interrogation room. I don't trust Little Miss Richter Scale to handle it herself.
May,"I take orders from the Director, not you."
Simmons,May's right. Maybe we should check with Director Mace.
Talbot,"Well, he's not gonna get here in time, so I'm taking the reins. And here's how it's gonna go down. You, get Lee Harvey whatever to talk. You, find out if Burrows was on the Quinjet."
Simmons,Excuse me?
Talbot,"And you. Hey! With the hair. Get me a coffee. And don't forget the French vanilla creamer this time. Agent May, with the possible exception of my mother, you are the single most intimidating woman I have ever met. We need answers. You can get them."
May,Fine.
Radcliffe,"She was designed for this very purpose. AIDA was meant to save lives, prevent assassination attempts."
Fitz,But instead we just had a funeral for Agent Nathanson.
Radcliffe,"Yeah. A painful loss, we all agree. But look, I can figure out what went wrong. Let me examine her! I'll pinpoint the problem."
Fitz,Radcliffe.
Radcliffe,"We can sort it, restart the program."
Fitz,I don't think that's the best idea just now. ♪ Tempers are running high after... the incident. I think you should steer clear of HQ for a few days.
Radcliffe,Who's this coming from? The Director? Agent Coulson?
Fitz,"Yep and yep. Along with everybody else. But it'll blow over. And in the meantime, I'll still pop ‘round for football matches."
Radcliffe,"Well, if you think it's best. All right. This is not good. Not good at all. AIDA! Get me two... No, four aspirin."
AIDA,"If you have a headache, I could get the acupuncture needles."
Radcliffe,"No, the pills are fine. We have a problem with Agent May."
AIDA,She's in a better place now.
Radcliffe,"No, the... the May LMD. Apparently, I am unwelcome at S.H.I.E.L.D. headquarters, so she's all on her own. This is unprecedented technology at play here. I need to keep an eye on her. The slightest miscalculation could reveal her true nature."
AIDA,"I have confidence in you, Doctor."
Radcliffe,"Of course you do. But if she draws suspicion, this is all for naught."
Daisy,"Yuri Zaikin. Russian national. Ex-KGB. Ex-Hydra. S.H.I.E.L.D. thought you died in the battle over the Fridge. Well, it's too bad you didn't. You killed a S.H.I.E.L.D. agent, tried to kill the Director with exploding bullets. They don't sell those at Walmart, yet. Who's your supplier? You just don't shut up, do you? You've got an angle here?"
May,"When they don't talk, usually means they have someone to protect."
Daisy,So he's just a lackey.
May,Probably why there wasn't an extraction plan.
Daisy,Send in the dumb guy they can afford to lose.
May,No wonder he failed.
Zaikin,We didn't fail. Phase One only ever had a 13% chance of success.
Mack,"Doesn't make any sense. We had agents all over the place, not to mention two Inhumans. Who would send a sniper in there and think they could get away with it?"
Mace,"Smart money's on the Watchdogs. Though Senator Nadeer may have pointed them in my direction. She's on the Intelligence Committee, so she had access to my event schedule."
Coulson,"Nadeer has motive, but she's too smart to tie herself to the assassination of an American hero. And Mack's right. Their plan was sloppy."
Burrows,"The silver lining, the Director looked like a total hero, throwing that podium. I bet every network is covering it."
Mack,There is no silver lining for that dead agent's family.
Mace,"Agent Mackenzie has a point. McCafferty, can we get H.Q. on the line?"
McCafferty,"Working on it, sir. There's some interference."
Burrows,"I'm having the same problem. If I could just get a couple of bars, see if we're trending..."
McCafferty,We've lost the port engine!
Coulson,Everybody hold on!
Coulson,Everyone okay?
Mack,Still breathing.
Mace,I'm fine.
