character,line
Coulson,Sorry. Didn't think you'd get stuck on a milk run to Radcliffe's. We're gonna miss you in the field.
May,I'll catch up. Can't let you have all the fun.
Coulson,"When this is over, it's time. We are cracking that bottle."
May,You don't have to twist my arm.
Coulson,I wouldn't dare. You might whip my ass.
Radcliffe,"Agent May. Director Mace, he... he knows that AIDA is... what AIDA is?"
May,Yeah. He knows.
Radcliffe,I wish I'd been there to explain. H-How did he take it?
May,"He wants to use her on this, but concerned."
Radcliffe,“Concerned.” That's not a happy word. Did... Did he say if...
May,"He wants to talk, has questions."
Radcliffe,"I don't like those words, either. I hear you're on your way to personally escort AIDA. Why?"
May,"Well, no one knows what she can do. And she saw the Darkhold."
Radcliffe,"Well, I could help with that. Once I've studied it, I-I'd be able to determine..."
May,"No. No. No one's touching it. When this is over, I'm destroying the book myself."
Radcliffe,"Because it's dangerous, yeah. I-I-I understand. You still need access to my apartment. Maybe I could, uh..."
May,"No, that's never been a problem for me."
Radcliffe,"Right, right, right. Well, I'll reach out to AIDA, anyway, tell her to expect you. Be ready to help solve the current problem."
May,Sure.
Radcliffe,Okay.
Radcliffe,"AIDA, I want you to access your information cache. Locate the Sunset Protocol."
AIDA,"I have it, Doctor."
Radcliffe,Activate it.
AIDA,"Hello, Agent May. I've been expecting you. Dr. Radcliffe gave me specific instructions. Happy to help. Allow me to retrieve the neural-assessment gauge."
May,What's a neural-assessment gauge? Ohh.
AIDA,"I apologize, Agent May."
May,Unh!
AIDA,"Let's get you up to speed, shall we?"
May,What's a neural-assessment gauge?
AIDA,Right this way.
Man,"Hope you liked your facial, Melinda. It's time for your massage. Ready?"
May,I don't remember coming here.
Man,"You dozed off. Obviously, you're very relaxed. That's good."
May,"Yeah, I don't think I have time for this. Thanks."
Man,"Hope you liked your massage, Melinda. It's time for your facial."
May,"Look, I-I don't think I want this. I don't want to be here."
Man,"Hope you liked your facial, Melinda."
Radcliffe,"AIDA, no!"
May,I knew it wasn't real.
Radcliffe,"The syringe, AIDA. You have to sedate her."
May,You bastard.
Radcliffe,We may have misjudged what it takes to keep Agent May comfortable.
Radcliffe,"Heart rate normal, vitals stable. Seems to be working."
AIDA,"You found the solution, Doctor."
Radcliffe,"Mm. Well, for now, yes. Just not a permanent fix. However, as long as our May replacement at the S.H.I.E.L.D. base does her job, it doesn't have to be."
AIDA,"Question, why does it matter if the original May is dead or alive?"
Radcliffe,AIDA?
AIDA,It doesn't make logical sense. We have cerebral replication. We have physical replication. No one in S.H.I.E.L.D. knows she's been replaced. What empirical difference is there?
Radcliffe,"Well, for one thing, the Framework is in beta testing. We need May alive for calibration..."
AIDA,"Yes, but I..."
Radcliffe,"But, also, we're not killers. Nathanson was a drastic overadjustment."
AIDA,But isn't it preferable to sacrifice one life to save millions?
Radcliffe,"Yes, as a last resort, AIDA. But I hope that May won't give us any kind of problem at all, and we don't have to face sacrificing her. Our May Life Model Decoy should get us the Darkhold eventually. And if something goes wrong, then we have our safety net."
AIDA,You're referring to the other android now in operation.
Radcliffe,Yes. Our second LMD.
Coulson,We have to show the world who she really is.
Talbot,And it's well past time. Daisy now represents S.H.I.E.L.D. Everything has to be aboveboard.
Simmons,But marching into the Capitol Building so Daisy can sign the Sokovia Accords? Senator Nadeer will be there. It seems risky.
Mace,"We're all aware of the dangers, some of us more than others."
Daisy,"I'm fine with it, Jemma."
Simmons,"Are you? It doesn't seem like you. And, Coulson, you're letting her. That... It doesn't seem like you, either."
Coulson,"With Nadeer and her staff in the meeting, we have an opportunity."
Talbot,What opportunity? I wasn't briefed on any opportunity.
Coulson,"While Nadeer's in with Daisy, Yo-Yo and I will get into her office and plant surveillance."
Daisy,"We can finally keep an eye on her, figure out her next move."
Talbot,"What? No. No. No, there'll be no planting, no eyeing, no Yo-Yo-ing. S.H.I.E.L.D. is now legitimate. We have to remain above reproach."
Coulson,"You mean like juicing our Director so he can pretend to be Inhuman? Look, you are reacting to the situation we had. You put Jeffrey in place, I understand, but we're S.H.I.E.L.D. We have to be proactive."
Talbot,"This is politics, Phil, which means politicians. They are a festering cesspool of toxic-waste fires. You swim in those waters, you could get pulled under."
Coulson,"You and the Director can handle it. We'll handle the rest. May, you with us?"
May,Always.
Radcliffe,"Hmm. She's stabilized now. As I said, no reason to even consider harming Agent May."
AIDA,"Very good, Doctor."
AIDA,"Oh, dear. Not again."
Elena,I'm happy Turtleman came out to play this morning. You. You're Turtleman. It's not a nickname for your...
Mack,"Okay, I get it. I get it."
Elena,We could find a nickname for it...
Mack,"No, I'm good."
Elena,Me too. I enjoy you.
Mack,Yeah?
Elena,"Mm-hmm. I mean, sure, you're an engineer, and you're smart, and your insides are great. But this outside, these arms, they don't even seem real."
Mack,Oh. You're not so bad yourself.
Elena,Not bad?
Mack,Mnh.
Elena,I'm a knockout. And I'm thirsty. Want some water?
Mack,"No, I'm good."
Elena,"Oh, is it time for the mission already?"
Mack,"Uh, no, it's a change of plans. I... I'm not gonna be on this one. I was just covering the communications here, anyway. I, uh, I got to do something else."
Elena,Is that the text you just got?
Mack,"Yeah. It's just a change of plans. It's, uh... Look. I'm sorry. I know it's bad timing, but you guys are gonna be fine. Okay? I'm gonna catch up with you when you get back."
Elena,Okay.
Mack,Okay?
May,Fitz.
Fitz,May. You need something?
May,"Answers about AIDA. Security report on the incident, need to close it out."
Fitz,Okay. What do you need to know?
May,How much was AIDA aware of what she was going to do before she did it? Could she have stopped it?
Fitz,"This isn't about a security report, is it? It's about you. About ordering AIDA to read the Darkhold. Trust me, I was trying to get her to do the same thing, and I'm asking the same questions that you are. I think you did what you had to do in the moment. It was a hard choice."
May,Not when it comes to saving you and Coulson.
Fitz,No. That's just how you're built.
May,Aah! Aah.
Radcliffe,AIDA? I need to go out for a bit. There's a situation to which I must attend.
AIDA,Shall I drive you?
Radcliffe,No. Shouldn't take long.
AIDA,"Doctor, if Agent May does become a problem..."
Radcliffe,"Oh, I don't see that happening."
Coulson,"Gentlemen, Agent Mackenzie requested personal time, so he's not with us on this."
Talbot,"Mack or no Mack, I'm urging you to reconsider the second part of this mission."
Coulson,Which part is the second part again?
Talbot,The stupid part.
Coulson,Ah. Nadeer's office.
Talbot,"If she discovers you've launched an unauthorized investigation into her, it's gonna trigger an investigation into you. There are always consequences."
Coulson,"It's dangerous, but she is dangerous. And this is our chance to get ahead of it proactively."
Mace,"Gentlemen, I'm sure we..."
Talbot,"Keep calling me reactive, Phil. Half the time, I'm reacting to the steaming pile of fart-pebbles you hand me."
Coulson,"And the other half, you're not giving me the full story. We're like the odd couple here."
Mace,"Gentlemen, we have a mission."
Talbot,"At the very least, we need a contingency plan. If she comes after you, she's gonna want S.H.I.E.L.D. records, S.H.I.E.L.D. assets. Let me take them to a military facility for protection."
Coulson,That makes no sense. Our people are trained to protect those assets.
Talbot,Until she deposes all of you.
Mace,"General, the assets belong here. And for the record, Nadeer tried to kill several people, including me. Coulson is right. We need to get ahead of her."
Talbot,"Yeah, but you have to say that, don't you? Excuse me."
May,Aah.
AIDA,Perhaps you are gonna be a problem after all.
May,Hyah!
AIDA,"I like you, Agent May. I don't wish for you to suffer. I promise to make this quick and painless."
May,Thanks. I'm not worried.
Mace,"How're you holding up? It's okay to be nervous, you know."
Daisy,Me? Nah. I don't get nervous anymore.
Mace,"Okay. Well, I'm just saying, if you are..."
Daisy,"I mean, it's not my comfort zone, but I'm good. I'll just tell the truth. I'm good at that. You?"
Mace,"You don't talk much about your childhood, do you? The foster homes, bouncing around. I imagine a lot of the time, it felt like you had to perform to convince people to like you."
Daisy,Only the places I wanted to stay. Why are you asking?
Mace,"Because if you enter every room thinking you got to do a song and dance, eventually everything becomes a performance. And believe me, I know how it feels putting on an act full-time."
Daisy,"Yeah. You do, don't you?"
Mace,"Anyway, I know it's not an act with you. Coulson's been saying since day one that you're the real deal, and I've learned to trust his read on people, so..."
Daisy,"He believed in me before I believed in myself. You too, you know. It's why he wants you with us still. He... He keeps saying you were trying to do the right thing."
Mace,"Oh, you've talked about it, huh?"
Daisy,"Sure. And listen, with me, sometimes it's... Sometimes I think it's an act."
Mace,You got this.
Nadeer,"Jeffrey, I'm surprised to see you."
Mace,"Yeah, I'm sure you are."
Daisy,"Surprised to see him not dead, you mean?"
Talbot,"There'll be plenty of time to ask questions after we've started, Ellen."
Nadeer,I expect a lot of questions will be answered in this meeting. Have fun.
Daisy,Great. What does that even mean?
Talbot,I think we're gonna find out.
Man,"All right, let's bring the meeting to order. Agent Daisy Johnson, we'd like to swear you in."
Man,"You're clear, go in."
Coulson,Thank you.
Elena,That went well.
Coulson,Fitz is an artist.
Elena,"So, Mack... personal time, huh?"
Coulson,Don't put me in the middle of this.
Elena,What middle? No middle. But you know something.
Coulson,It's not for me to say. Mack's a very private person. All I know about him is what's in his file. I spent six months on a plane with the guy. I bet I know less than you.
Elena,So maybe something's on his file.
Coulson,Maybe you should ask him.
Elena,[Speaking Spanish]
Coulson,"Well, I don't know about annoying him, but you're starting to annoy me. Isn't it better to learn things organically instead of all at once in a report?"
Elena,"No, all at once. Much better. Private person, secrets? Same thing. Must be even tougher with May. If it's better to get to know each other in tiny, slow, annoying pieces..."
Coulson,I don't think that's how I put it.
Elena,... then you two will never get together.
Coulson,Me and May? No. It's not like that.
Elena,Please. I don't need to read a file on you two to know.
Coulson,"You know, no one likes a smart-ass."
Elena,That hasn't been my experience.
Fitz,You and May ready for the op?
Simmons,"Yeah, we've got it covered. Uh, we could always use a fresh pair of eyes if you'd like to join us."
Fitz,"Yeah, no. I've got stuff to do here."
Simmons,"Okay. You know, one of the upsides of having a girlfriend is you get to talk about what's bothering you."
Fitz,"Yeah, well, doesn't really sound like an upside for the girlfriend."
Simmons,I know you're upset about AIDA. I'm in a strange position. I don't want to intrude on you while you're processing. But I also want you to know you can talk to me. Always.
Fitz,"Yeah, I know. Just, uh... You know I go all quiet when I'm processing."
Simmons,Okay.
Daisy,"No, Senator, I understand. Being a party to the Sokovia Accords would be very different from being an undercover S.H.I.E.L.D. agent."
Senator,"Well, you'll answer to a different authority, the public."
Daisy,"Believe me, I've... I've had worse bosses."
Chairperson,"Uh, next up is Senator Nadeer."
Nadeer,"Thank you, Mr. Chairperson. Agent Johnson, as an Inhuman yourself, do you feel more responsibility to help Inhumans than normal Americans?"
Daisy,"Well, first of all, Inhumans are normal. Let's be clear about that. But with regard to whom I'll help, I'm here for all Americans. But more often than not, Inhumans are left to fend for themselves with few resources."
Nadeer,So Inhumans cause more trouble.
Daisy,"No. Inhumans are more likely the victims of hate crimes, which is not fair. They are our friends, they are our co-workers, our brothers. They all deserve help, wherever they may be."
Nadeer,"Agent Johnson, let's discuss your theft of more than $7 million from three banks while you were undercover from S.H.I.E.L.D."
Daisy,Illegally acquired funds going towards illegal activity.
Nadeer,So you say. Has the U.S. government recovered those funds?
Daisy,The money has been distributed to worthy causes.
Nadeer,I see. So you took the entire justice system into your own hands.
Coulson,We're in position.
Simmons,"Place them around the room, and they'll give us geometric scans."
Simmons,"Coulson. Security officers approaching the location. Hold. Okay, they're moving past. We're good."
Daisy,I was working as a S.H.I.E.L.D. operative...
Nadeer,"Without signing the Accords, so either you committed an illegal act by robbing banks or S.H.I.E.L.D. committed an illegal act by using an unauthorized enhanced agent."
Talbot,"Mr. Chairman, this line of questioning..."
Nadeer,And S.H.I.E.L.D. is still doing it.
Coulson,Transmitting images now.
Simmons,Hold on. What the hell just happened?
Elena,What's this?
Nadeer,"Even as we speak, S.H.I.E.L.D. continues to engage in illegal activity."
Talbot,That's not true.
Nadeer,"General, moments ago, my people apprehended two S.H.I.E.L.D. operatives breaking in to my office. Seems they were trying to install surveillance equipment to spy on my staff and me."
Mace,"Uh, there... there must be some mistake here."
Nadeer,"This Inhuman, Ms. Rodriguez? She signed the Sokovia Accords, but now she's been caught red-handed in a S.H.I.E.L.D.-sanctioned operation without U.N. approval, just as S.H.I.E.L.D. did with Agent Johnson. It appears S.H.I.E.L.D. really is a criminal organization after all."
Daisy,That conversation does not look fun.
Elena,I have a feeling no conversation with that woman is ever fun.
Coulson,She knew we'd be there. Not just any Inhuman. You specifically.
Daisy,There has to be a leak.
Coulson,Yeah. There has to be.
Mace,"Well, we're all free to go."
Daisy,"Because there's a catch, right?"
Mace,"Well, maybe a slight..."
Coulson,"You're damn right there's a catch. There's gonna be a full investigation, starting with a Senate committee hearing. They may even bring charges."
Mace,"That's unlikely, so let's all just take a beat..."
Talbot,"Unlikely? They're gonna drag us in front of every subcommittee, asking us who we are and what we do."
Coulson,This was the risk in going legit.
Talbot,"No, this was the risk in going after Nadeer."
Coulson,Couldn't have known she'd be ready for us.
Talbot,Maybe if somebody had warned you first?
Daisy,Guys.
Talbot,"No, you do this all the time, Phil. I give you the benefit of my expertise, and you just ignore it."
Coulson,"You're never up front with us, General. You lied about Taiwan, you lied to us about Jeffrey..."
Talbot,They kidnapped my son! And I put Jeffrey in that position because you have too damn much baggage to hold that position yourself.
Coulson,We have very different styles. We always have.
Talbot,And your style just gave the bad guy all the ammunition she needs to go after us.
Coulson,That's not how I see it.
Talbot,Really? How do you see it?
Coulson,This move just exposed the fact that we have a leak. Someone tipped Nadeer off we were coming. You opposed the op. Did you warn her?
