character,line
Coulson,"I'd be the first to admit that I've followed my worst instincts at times. Last year. Loss will make you do that. It feels good in the moment. Gracias. But it never ends well. I've lost my temper.I 've killed. But lately, I have this voice in my head telling me not to go down that path again. It's telling me to be patient, to stay steady."
Mack,"I take it you don't mean me, sir."
Coulson,It's Agent May. She'd tell me to stay on mission.
Mack,Listen to the woman. She knows what she's talking about. Hold on. This could be her.
Coulson,"Careful. This woman disappeared from her old life. We don't know if we can trust her, but she could be..."
Mack,I know. She could lead us to May. Damn it.I don't have confirmation.
Coulson,Her face will be all the confirmation we need.
Agnes,"Buenos dias, Roberto. I 'll have the usual, please."
Roberto,"Ready to go, Agnes. How is your day?"
Agnes,"Good day so far, thanks."
Mack,I'd say that's confirmation.
Radcliffe,"My God. AIDA, it's astonishing."
AIDA,"Agent May kept finding the edges of our simulations. That's no longer a concern, given the Earth has no edges. It's round."
Radcliffe,"I understood that conceptually, we were building a world, but I-I didn't expect you would build our entire world."
AIDA,With slight improvements.
Radcliffe,"And Agent May, she's happy?"
AIDA,The clinical definition of happy is difficult to quantify. But she meets much of the criteria.
Radcliffe,"Well, then, that's a yes. Whatever price we needed to pay for the Darkhold, it was worth it. Welcome, welcome. Morning checkup?"
Ivanov,It's midnight. Does that thing have to be in here?
Radcliffe,"Of course not. Well, this place is perfect. All the power we need. And undetectable?"
Ivanov,I believe so.I 've lived here for many years.
Radcliffe,"Great! But that... that book... you really shouldn't touch that. It's... It's dangerous, powerful."
Ivanov,I'm aware. I read it while you were sleeping.
Radcliffe,"You did what?! I specifically said it was mine to examine, decipher..."
Ivanov,You said it would help me find a solution to eliminate the Inhuman problem.
Radcliffe,"I said don't touch it! Could warp the senses, corrupt the mind."
Ivanov,"Relax.I glanced at it, and it gave me a simple answer. You."
Shockley,Why do you think you're still alive?
Ivanov,"As we discussed when you first arrived, we have plans for a future together."
Radcliffe,Yes. I've already worked out the first step.
Shockley,You found an Inhuman to dangle in front of S.H.I.E.L.D.?
Radcliffe,"Well, no. Because as you're aware, they are not easy to come by. Until now. Pure Terrigen crystals. I picked up some samples last year when I was working for a previous benefactor. His goals were... well, the complete opposite of yours, so I've been working to refine the compound, grow it..."
Shockley,Superior...
Radcliffe,"The... The chemical in this pure form is harmless to humans. If you're a potential Inhuman, however it will turn you."
Ivanov,We're counting on it.
Fitz,"Oh, for the love of... What now? Oh, that's for me. Dial in that scanner. I can't have it detecting every metal clothes hanger as an LMD. Coulson's a prosthetic hand, for God sakes."
Agent,"Yes, sir."
Simmons,That's enough for now.
Mace,Agent Simmons?
Simmons,"It's not good news, I'm afraid. The serum that's been giving you your strength. It is potentially lethal."
Mace,So you're saying it's a little risky.
Simmons,"I'm saying it's Russian roulette. You've been fortunate so far, but the next injection might cause cardiac arrest. And if it doesn't, the one after is even more likely to kill you, and so on and so on until..."
Mace,"Geez. Don't sugarcoat it, Doc. And by that, I mean, please, go ahead and sugarcoat it."
Simmons,"I'm sorry. I know General Talbot was hoping to replicate what was done to Steve Rogers, but... but you'll never be Captain America."
Mace,"But, you know, I agreed not to take the serum until you completed the medical tests. I'm even in daily physical conditioning, learning to fight."
