character,line
Coulson,"Well, I'll be."
Daisy,Ohh! That hurt.
Coulson,"Yeah, it hurts. But the fact that I feel anything at all is what's blowing my mind."
Daisy,Think that's the point.
Coulson,"All right, that's enough."
Fitz,Well?
Coulson,"Unbelievable. It's like the real thing. I could even smell the sweat. But I-I felt strangely cold, though."
Fitz,"Well, I tried to make the simulation as real as possible, and since you always leave the air-con on in the base, I exaggerated it. Kind of like a silent protest."
Daisy,"That was so realistic. I mean, you know, except for the whole stopping in midair thing."
Coulson,I don't know. I think it might play out a little differently in real life.
Mack,"So, you can feel in there?"
Fitz,"Yeah, well, it's the Framework. It's an immersive sensory experience."
Simmons,"It was designed as a training exercise, a way for agents to practice sparring or jungle insertions and the like."
Fitz,"Yeah, you can still feel pain while inside. That's why I stopped the simulation before you hit the wall because..."
Mack,Painful. Got it.
Coulson,"So, May's locked up somewhere but being held in a virtual reality like this? What, to keep her placid?"
Mack,Radcliffe said she was in the Framework.
Fitz,"Yeah, but this is a contained prototype. It's got limited simulations."
Simmons,"If Radcliffe said he built a world, he must have built a separate, more powerful version."
Coulson,"But if it's separate, how will we find it?"
Fitz,"Run a search. Try and locate traces of the source code. I might be able to locate where Radcliffe is running his new version, and..."
Coulson,And that's where we'll find May.
Davis,"Sir, the GPS signal we're tracking on The Director's suit? We've locked in on the location."
Coulson,Where?
Davis,"Nome, Alaska."
Mack,Coulson.
Coulson,What the hell is this?
Daisy,It's you.
Ivanov,Doctor. Radcliffe.
AIDA,"Unless your intention is to shred the most advanced human mind of this or any century, I suggest you think twice before forcefully removing him from the Framework."
Ivanov,"And unless you would like to lose your arm, I suggest you let me go. I need to speak with him."
AIDA,Dr. Radcliffe has allowed me to communicate on his behalf.
Ivanov,I need to speak with him. Now.
Radcliffe,"AIDA, what have I told you about pulling me out of... Yeah. You interrupted a rousing discourse on pre-“Weekend” Godard versus..."
Ivanov,"You spend too much time as of late in your fantasyland, Doctor. I need you here. Present."
Radcliffe,"Well, the marvelous benefit of an autonomous system is that things get done without the need for constant managing and meddling."
Ivanov,I do not meddle. I perfect.
Radcliffe,You're a results man. I appreciate that. But I've done my part here. The hardware is in place. AIDA is on hand to ensure the transition goes smoothly.
Ivanov,I did not make an alliance with that.
Radcliffe,"AIDA is my proxy. View her as an extension of myself. Now, you will get what you want most. Please, leave me to what I want most."
AIDA,"I can assure you, everything will go according to plan."
Ivanov,"For your sake, it had better."
Coulson,This is why I don't have Facebook. Not subtle. This is a message. He wants me to find something here. But it's just a bad episode of “This is Your life.”
Daisy,Your life and his.
Coulson,Huh?
Daisy,"You see the mining facility in this picture? He owns it. Purchased by Anton Ivanov this year. It's the only thing here that ties back to him. Does it tie back to you, too?"
Coulson,Yeah.
May,"If that guy doesn't have a cat, he'd be really confused."
Coulson,"May, what the hell are you doing here? I didn't request a specialist."
May,I go where I'm assigned.
Coulson,"Yeah, well, I got this handled. I don't need you throwing off my game."
May,You have game?
Coulson,I have what some people refer to in certain parts of the world as game.
May,It's cute that you think that. Car.
Daisy,Earth to Coulson. Do you know what this means?
Coulson,It means we're going to Russia.
Ivanov,It's good to see there's still some fight left in you. But I should expect as much from S.H.I.E.L.D.'s Inhuman director.
Mace,You're the one they take orders from.
Mace,Then I'm placing you under arrest in the name of S.H.I.E.L.D.
Ivanov,"Oh. With what power? Surely, you have used the last of yours."
Mace,You want to find out?
Ivanov,I know you can do better than that. Put him back in.
Mack,"I like my video games as much as you, Turbo, but this... this is too much."
Fitz,"Yeah, well, it's not a bloody Oculus Rift. It's a training exercise."
Mack,"Yeah, well, I doubt it's helping May run a triathlon."
Simmons,Mack.
Fitz,That's not how I meant it.
Mack,"You built a “Matrix” prison, and now May's stuck in it like “Brainscan.”"
Fitz,"The Framework is a tool. That's all that it is, a tool."
Mack,Mm. Like AIDA was a tool?
Fitz,What are you trying to say? That all this is my fault?
Mack,"What I'm saying is, if you didn't build a killer robot or a virtual world, this year would've been much easier for us. Now, whether you like it or not, that's the reality."
Fitz,"I'm trying to help people, Mack."
Mack,"I know you're not a bad person, Fitz, but this gear has been used for some really bad things. You've got to think about the implications of what you create."
Fitz,Electricity is used to execute criminals. Does that mean we also shouldn't use it to power our hospitals?
Mack,"Not the same thing, and you know it."
Fitz,There's always risks involved in science. That doesn't mean that we don't pursue it anyway.
Mack,"Okay, you know, the line between scientist and mad scientist is paper thin. And right now, you're starting to sound an awful lot like..."
Fitz,Don't. Don't you even say his name.
Simmons,We've cloaked and entered Russian airspace. T-minus five minutes to the drop zone.
Mack,You're one of the smartest people I know. I really hope you figure this one out.
Mack,What was the mission you were on here?
Coulson,May and I were sent to retrieve an 0-8-4. Years and years ago.
Daisy,With May? That can't be a coincidence.
May,"So, your plan was to ask the guard to let you in?"
Coulson,You know how persuasive I can be.
May,"Can you even say, “Please open the door for me,” in Russian?"
Coulson,Almost. But I do know a few choice words I have for you right now.
May,"You can't bluff, Phil. You've got nine different tells, eyes darting all over the place."
Coulson,That's not true. I maintain eye contact at all times.
May,You should try sunglasses. Clear.
Coulson,You did this. You jinxed us. You literally willed this into existence.
May,What? They don't cover safe-cracking at the Communications Academy?
Coulson,Don't worry. I have got this 100% under... Shut up. Don't worry. I'm good with my hands.
May,Not how I remember it.
Coulson,"Okay, here it comes. It's never long before you bring that up."
May,"Well, I remember you fumbling quite a bit."
Coulson,I didn't know you that well back then. I didn't want to be presumptuous.
May,You were undercover as my husband.
Coulson,"Right, and I knew we were on camera, so I had to sell that we were, you know."
