character,line
Skye,Lincoln? Lincoln.
Ward,What? That a thing we do now? Tell me it means you're making the coffee.
Skye,"Ward. It's, uh... Sorry. You j... You startled me."
Ward,"It's not like I snuck in here. So, what's up?"
Skye,We got called in to work.
Ward,Okay. I'll get dressed. Weirdo. You know we've spent more nights out tracking Inhumans than we've had at home? Bosses can't give us a morning off?
Skye,Bosses. Mm. Who do you think's running the brief?
Ward,"Well, I don't know. You got the text. We should go there again. That was a fun trip. So, what'd they say? Skye, who texted? Skye."
Skye,Someone who knew you'd sleep in.
Ward,Pinsky. Probably another intake briefing. Don't forget this.
Man,"A kid arrested this morning, an Inhuman, of course, was grabbed feet from a public market. Just imagine what he was planning. And I have it on good authority that someone was hiding this Inhuman. I hope this subversive was strung up for treason. Unbelievable."
Ward,You're quiet. Are we okay? Or what?
Skye,"Yeah, yeah, I'm fine. I just, um... Oh, my God."
Ward,"Yeah, some mornings, the Triskelion looks so beautiful."
Ward,Come on. We're gonna be late.
Man,You can't do this!
Skye,Son of a...
Ward,Hey!
Ward,They can handle it on their own. Come on.
Ward,"What are you doing? You're on another planet this morning. Look, I get it. You put yourself out there last night, and I let you down. I'm sorry."
Skye,What are you apologizing for?
Ward,It's been a few years. It makes sense to take this step. I would love to live with you. It's just... it's not the right time.
Skye,"I asked you to move in? I, um... I mean, I did. And you're right, it's a bad idea."
Ward,"I just need some time, some space. Skye, there are things about me that you wouldn't like if you knew."
Skye,Trust me. I know.
Ward,Skye.
Skye,Ward.
Ward,It's that way.
Skye,Kill me already.
Ward,"Hey, you ever finish the Saunders report? Of course you did."
Skye,I'm gonna check my e-mail.
Ward,Why? Anyone who's e-mailing you is gonna be in the briefing.
Skye,"Yeah, that's why I want to get caught up."
Ward,Okay.
Skye,"“Died during testing?” What did they do? No, no, no, no, no. No, no, no, no. It can't be."
May,Can't be what?
Skye,May. You're here. Are you okay? Are you okay? I came looking for you.
May,Get started with the briefing.
Skye,"No, no, no, May, it's me. I... I got into the Framework."
May,I don't care what you've hacked.
Skye,"May, look at me. It's me... it's D..."
May,Do I have to get you drug-tested? Get in the briefing.
Skye,Sorry. I'll come now.
Simmons,I was murdered? Aah!
Simmons,S.H.I.E.L.D. fell. Hey! Hey! Hey!
Julia,Are you okay?
Simmons,Thank you. I need help. Please.
Julia,"Okay. Yeah. Get in, get in."
Simmons,I'm Jemma.
Julia,"I'm... I'm Julia. Uh, where can I take you? D.C.? Is o... is that okay?"
Simmons,"Yes, thank you. Anywhere but here."
Julia,Yeah.
Julia,That's a really dangerous area. What were you doing there?
Simmons,"It was dreadful. No, I'm... I'm fine. It's complicated."
Julia,"It's okay. I didn't... Whatever happened, I didn't mean to push."
Simmons,"Right. Yeah, well. Better we don't. What about you? What are you into?"
Julia,Me? I'm boring. I wait tables for now. But I make these. They're kind of cool.
Simmons,You make art? Fascinating. So incredibly lifelike.
Julia,It's nothing special. It's just side money for med school. I always dreamed of helping people.
Simmons,You have dreams. This is all so real. So many computational layers. What's wrong?
Julia,"It's a new Inhuman checkpoint. They take forever, but it's worth it."
Simmons,"They can test for Inhuman DNA, pre-Terrigenesis?"
Julia,"Don't they do that everywhere? I mean, it freaked me out the first time, but they just check I.D.s here."
Simmons,I don't have one. I must have lost it back there.
Julia,"No, no, no. You need... You need your ID. Like, you need it."
Simmons,I'm sorry. I... I don't... I don't have it.
Julia,"Jemma, they're gonna arrest us."
Simmons,"Well, okay. Well, okay, wait. Let's just... Oh, here we go."
Julia,S.H.I.E.L.D.
Juila,Y-You're one of them.
Simmons,"Wait. No, no, no. Listen."
Julia,Get out.
Simmons,"No, no, please."
Julia,You lied to me.
Simmons,"Please, please, please."
Julia,Get out! Get out! Get out!
Simmons,I just need to find my friend Daisy. Can I use your phone?
Julia,I'm sorry. I'm sorry. Please! I'm sorry! Just please close the door.
Pinsky,I warned you not to be late.
Skye,"Shut up, Pinsky."
May,"Let's start. We've got an Inhuman gene-positive detainee, possibly linked to subversive groups. The Doctor wants this fast-tracked. Don't disappoint him. Subject is Jason Rajan of Deanwood. We believe he's funneling Terrigen to subversives. Look who's perking up. You know this guy?"
May,Then get to know him. You and Ward take point. I want this intel at any cost.
Ward,"You're in a very precarious position, Mr. Rajan. Inhuman status isn't a crime. But lying about it is."
Vijay,I never lied.
Ward,"We'll see about that. Hydra cares more about what you've done than what you are. So when my partner here asks you about smuggling charges, I highly suggest you cooperate."
Skye,"Your name is Jason Rajan, born in Edison, New Jersey?"
Vijay,Yes.
Skye,Did you know that you were an Inhuman before today?
Vijay,Yes.
Skye,"And it says that you own an import business, but Hydra surveillance says one of your trucks is missing. Where is it?"
Vijay,I don't know. It was stolen.
Skye,"Was stolen, but you didn't file a police report."
Vijay,I'm an Inhuman. I was afraid to talk to the authorities.
Ward,"What was stored in the truck, Mr. Rajan?"
Vijay,I don't know. I don't deal directly with those kinds of shipments.
Ward,Bull. Where is the truck?
Skye,"Forget about the truck. This guy's never seen Terrigen before in his life. Hydra-issued citizen's card. But I know for a fact that your name isn't Jason Rajan, so I wonder, who made it?"
Ward,It's not possible.
Skye,"Exactly. Unless someone within Hydra provided it. I am trying to save your life. So tell me, is there a threat within Hydra?"
Vijay,"You never helped anyone, you bitch! Give me the Terrigen, and I'll show you a threat."
Ward,Someone in Hydra make this for you?
Skye,Your name is Vijay Nadeer. Don't deny it.
Vijay,My DNA is not a crime. I'm not a criminal.
Ward,You should know...
Skye,Ward! What...
Ward,At least we broke him.
Simmons,Not one smartphone.
Woman,"Hey, come on. Really?"
Man,It's not my fault.
Simmons,I'm great. Thank you.
Simmons,"Oh, I was just hiking. I tripped. So clumsy."
Simmons,"Well, that's not very nice. No, I fell. And I just want to get home."
Simmons,"Yeah. Okay. Oh. I must have lost it in the fall, I guess."
Simmons,Simmons. Jemma Simmons.
Simmons,"Based on what? My... My clothes? My accent? I told you, I lost my I.D."
Coulson,"This is a dangerous world. The Cambridge Incident proved that. To understand this, you have to imagine individuals over the state. It was a mess. People were divided. They had their own truths, their own media, their own agendas. There were so many untruths about Inhumans out there that some people saw them as these magical, heroic creatures, like unicorns. It was terrifying. Then, you had a weak state that allowed a refugee from Bahrain, a girl, sympathetic. Even though S.H.I.E.L.D. knew she was Inhuman, they brought her back to the States and put her into a classroom. The rest is history. But what inspires me is the way our country reacted, the way we came together. When no one would tell us the truth, Hydra stepped forward. They brought us law and order, purpose. They galvanized us for the good of the state over individual interests. They... Yeah, Burnell."
Burnell,"But, sir, isn't it true that Hydra came from Nazis?"
Coulson,That's not true. Never say that.
Burnell,"Okay, but weren't they the Nazis' science division?"
Coulson,"Anyone who's informed knows that Hydra originated centuries ago. So they couldn't be Nazis. That's just propaganda. But this is good. This shows how important it is to separate fact from innuendo. Before the incident, there were over 1,500 newspapers, some of them..."
Man,Mr. Coulson? Sorry to interrupt.
Coulson,That's alright. How can I help you?
Man,"Yeah, Chris Adler."
Coulson,Chris?
Man,We're just gonna run a few tests.
Coulson,"Wait, Chris."
Chris,"Yes, Mr. Coulson?"
Coulson,"Don't forget your bag, son."
Man,Oh. I'll take that.
Coulson,Okay. Let's get back to the lesson.
Ward,"You got quiet, Vijay."
Skye,It's probably because of his broken jaw.
May,No more games.
Vijay,You're her. I know you.
May,I doubt it.
Vijay,"All Inhumans know you. Bahrain. It's funny, ‘cause the world blames Inhumans for what happened. But it was you that got it wrong."
Skye,"May! May, don't do this. This isn't you. May, wake up! He's valuable to us."
May,Take him upstairs for testing.
Skye,"Yes, ma'am. The Doctor will get answers."
Vijay,No. Just... Not him. No! No!
Skye,Come on!
Vijay,"No! Not the Doctor, okay? I-I'll talk! All right, you're right! All right? The I.D. was real."
Skye,"Shut up, shut up, shut up. What did you mean when you were talking to Agent May? The Bahrain op was a success."
Vijay,"God, you have a sick measure of success."
Skye,"I'm sorry if she killed an Inhuman child, but if it saved everyone else..."
Vijay,"If that girl had been taken down in Bahrain, she wouldn't have gone on to kill all those people in Cambridge. Thanks to your friend back there, Hydra has a green light to exterminate Inhumans."
Skye,"Okay. Listen, I know you don't trust me, but I can help you get out of here."
Vijay,"Oh, really? You should avoid saying that under the cameras."
Skye,Ohh! Aah! Vijay! Vijay!
Agent,"We have him, Doctor."
Skye,Fitz.
Doctor,You lost control of your prisoner.
Skye,I would've caught him.
Doctor,Follow me.
Simmons,"Thank goodness. Oh. Come on, Daisy. Come on."
Simmons,"There you are, sir. I'm coming."
Simmons,Coulson.
Coulson,Yes?
Simmons,"It's so, so good to see you, sir."
Coulson,I'm sorry. Have we met? Are you...? Please don't say you were a student.
Simmons,"You don't remember me, do you? Uh, I'm Jemma. It's Jemma. Jemma Simmons, sir. It's been such a horrible day, and when I saw where you were, I hoped that you..."
Coulson,Horrible? Did something happen? Should I call someone?
Simmons,"No, please don't call anyone. I-I just need to talk to you."
Coulson,I don't understand. W-When did you say we met?
Simmons,In the real world. Before you were ever a teacher.
Coulson,"Unless you count summers lifeguarding, I've always been a teacher."
Simmons,"You see, you think that. You think that you were, but no. It's... Oh, there's no sane way to say it, so... Do you have moments where reality isn't quite right? Like y-your memories don't fit?"
Coulson,Who are you?
Simmons,"Simmons. I know I sound like a lunatic, but you have had your mind wiped and implanted with false memories."
Coulson,Okay. It's time to leave.
