character,line
Coulson,"So, we're both from the “real world,” we're S.H.I.E.L.D. agents, our bodies are being held captive, and this is all a virtual prison, built to keep us sedated. Am I missing anything?"
Skye,"No, that's about the gist of it."
Coulson,I knew I wasn't crazy. Hydra lies about everything. The news? It's all fake. Take the Cambridge Incident. It was a setup. That girl shouldn't have been at that school in the first place.
Skye,"Where we're from, she died. This never happened."
Amy,"Hey, Mr. Coulson, my homework was done, I swear, but then my dad made me..."
Coulson,"Amy, we've been over this. Until first bell, this is my time."
Amy,Right. Okay. Geez. Sorry.
Coulson,"It's okay. Hydra used Cambridge to take control, in the name of law and order to justify everything. It wasn't supposed to be like this."
Skye,"I knew if anyone would understand, it'd be you."
Coulson,I would've figured it out a long time ago if it wasn't for the mind-control soap.
Skye,Yeah. Wait. What?
Coulson,"That blue soap everyone uses? Hydra loads it up with chemicals. It seeps into our bloodstream. Implants false memories into our brains. They want us to believe this is a magical place. But don't worry, I'm clear. I make my own soap now."
Skye,"No, I think that you're talking about Project TAHITI. They messed with your head a little bit, which is why you probably remember some things, uh, Why don't we put the soap theories on hold just for one second, okay? Yeah?"
Ward,We got a problem.
Skye,"Oh, you have no idea."
Ward,Something big's going down over here. They're sending a unit to pick up your teacher friend.
Skye,You're gonna need a substitute.
Mack,Come on. Don't quit on me. Not now. Not now. How did you beat me?
Hope,"The human brain peaks as early as age 24. Face it, you're slowing down, Dad."
Mack,"Oh, is that right? Well, tell me, show-off, what'd you use for an electronic speed control?"
Hope,"Well, I sort of found something by school, in the park."
Mack,A Hydra drone?
Hope,Maybe I borrowed a part or two.
Mack,"Hope, you know better. We don't mess around with those guys."
Hope,It was all crashed and messed up. I made sure no one was looking...
Mack,"No, no, we stay off Hydra's radar, we keep our heads down, and follow their rules, always. Always!"
Hope,"I know. I'm really, really sorry, Daddy."
Mack,"It's okay. It's okay. Come here. Just want you to be more careful, all right? I tell you what. I'll take the drone parts back later, and then you and I can try to get mine working together. But you got to promise to go easy on your old man."
Hope,No promises.
Mack,No promises? No? No? Get out of here. Go on. Go get your bag. We'll be late for the bus.
Mack,"All right, Sparkplug. 10 o'clock."
Hope,Easy. Harley-Davidson.
Mack,Engine?
Hope,"Twin cam, 88."
Mack,Ooh! That's my girl. Keep your head down. Do what they say. I'm right here with you.
Agent,"Move it, move it! Line up! IDs out! You know the drill. Let's get them out now!"
Man,Got to be contraband. They busted my neighbor for a laptop last night.
Hope,"The drone, it's in my bag."
Mack,What?
Hope,I was gonna take it back myself so you wouldn't get in trouble.
Mack,I'll handle this.
